prospect_nmbrcrdtcrds,prospect_ncm,prospect_wnrrntflg,prospect_ntwrth,prospect_gndr,prospect_ddrssln1,prospect_nmbrchldrn,prospect_gncd,prospect_frstnm,prospect_nmbrcrs,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_pstlcd,prospect_lstnm,prospect_ddrssln2,prospect_ct,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_stt,prospect_phn
1.0,245856.0,O,706155.0,M,SJZOCXESRFDUCUJACGPHKTNYGQSCGUMHYYTYFMIGPTUGJRFMJOHWVNSSGIIBMSNHHIQD,0.0,dkk9374,Koslxxpun,4.0,100.0,M,United States of America,Lraunszebds,dkkbuleomucwvdquzqhwzv,cgavkpjdxhyhliauilbndyyphalcu,Providence,,Portland General Electric,392.0,Nova Scotia,1-015-592-9503
8.0,230479.0,O,1704399.0,m,auchfnpkvtzvifftsulbcf,2.0,NBE9375,Rgegmnysmyfzmiq,2.0,89.0,S,Canada,ujqdfvffoh,NBERSMIMGLHLHRVIQXDTXE,ADHWFKSYGOAJJGCJVBSCSUOASZIYLCETOKLXYUWVQQPGHGXJZHUCYGPUKUPIHDELDQQBGNXNYJUB,El Paso,,Chubb,367.0,WV,1-768-185-5140
5.0,154892.0,O,3871317.0,,yuvbwdltxiokgmosbpbzjkblkfwnjzfsuwkhsdjmndpjoaacxlgmdquvk,1.0,kds9376,KTIGDRTUETBL,0.0,30.0,M,United States of America,Adsjmwttpsyd,kdsmxhuutvyeicjdhndleeedpzsz,wjpwumtvmxmbjh,Tacoma,,Cabela's,814.0,CT,
3.0,486835.0,O,3576531.0,m,Tfbswypagdsrbwvqbvcapgdpgjtgklxwrmhqdxbwbhjqzofwbgeqfblughihekvqxlbdouvboglwldo,2.0,YTF9377,Lhkgjilgwe,3.0,89.0,S,United States of America,Kdzoqjf,YTFLBXIA,Bbhrsxqhoetnnweaidmgaolfogldth,Biloxi,,Puget Energy,461.0,KY,1-468-522-8750
,325531.0,R,3418165.0,f,Etqflrjhvvbkotindjubzeqkugmwvtpclcipfdnlswtflyvmhkllxvrvuliekgrjdnryteguarfnkhmq,4.0,ecj9378,Lsoylmccqppuefdejxbbaku,0.0,75.0,M,Canada,YXOACWDAQY,ecjibgbllojcwyaxsulyvadl,Yrjayi,Whitehorse,L,Macy's,,ID,
0.0,466191.0,R,3762568.0,m,Jxzrjwmfmtfviadpqseitrnky,3.0,DOM9379,Uqkxbzsoumjrldqogqvdwkl,0.0,97.0,D,United States of America,Nmlenv,DOMDOZUFAGQMQBQWNKAOFGREGJJAFA,Sollcivy,Pittsburgh,d,Exterran Holdings,342.0,SD,1-977-481-2520
4.0,47954.0,O,17368.0,F,,1.0,WKU9380,Urrexaigbjjfhatwjmldzwrimfnsxl,5.0,,U,United States of America,xvoftt,WKUSBSJDTXNDP,mkqvcgbufcooqrjdshtmlomtcwexguweymbmlgtknytl,San Antonio,Y,Bob Evans Farms,527.0,Saskatchewan,1-214-062-0263
0.0,43295.0,O,2547897.0,f,CPNWDJYQDMJHTLLYPOEACLXGSTNFPUQKLBC,1.0,Leo9381,Ihpwkusqbcydigjsauu,1.0,57.0,M,United States of America,Tqaqnaeo,Leoeqdbmzikhygu,Scztmieqrphmrrsaxcaldqcvfznnknofzayutahegefsdgwsvyxgfgkfmuq,Newark,,Goodrich,309.0,Saskatchewan,1-627-760-7172
8.0,49091.0,O,3455552.0,,LKWQEYMVDHJVZMIWCGSRTHRFZALLAIWEPROICMEA,5.0,Ole9382,Diodgekecfuxfbywsqocux,4.0,12.0,M,Canada,JBRPPDEL,Olejbofkbnvzfvneotxoflbqdk,Dufmozxgvkkxxlajeqntiockjglkzvffaewpimvxzqkkejxgshlendjydryqhtuowjljrfiougxnyrei,Salem,m,Annaly Capital Management,773.0,AR,1-067-555-2307
1.0,125450.0,R,89300.0,,WSOIO,1.0,vct9383,QOMFGPBEZVGLVUJTTSNFGKO,2.0,28.0,M,United States of America,Clmwphpr,vctlxovpymfdaadj,gaffywuawdywqytudbbrekracxvhfmljvetxoaarfcrreexxganywyfcgovmibamjiutan,Fairbanks,,Cypress Semiconductor,677.0,MN,1-632-526-8929
5.0,50009.0,O,,F,sxsiqwqjhfdpjmvgabcksottzpqqyhbakhkcelfplwizlcrwadzgvixrbdznjqrletumkye,3.0,bdi9384,omzaawslldhiyoldqjkcqigz,3.0,8.0,S,United States of America,ZMHSUEKUU,bdippeifpfeyqzcsmvfsvdbfrjeemx,TZTBTRFAJESCMZGWBCOHNECCSPBNNXPGQCSCNTWBAIRIGQLVTCNLESDVTFHNW,Scottsdale,,Microsoft,355.0,Saskatchewan,1-766-490-7051
1.0,411841.0,O,188683.0,,dznymfthialltmwcyfabucmgrorcxqkynmoibkvzadqxuowyrngnwwrr,3.0,Pjk9385,xwvobbwvvincgtjgcpbfvbqpx,,6.0,U,United States of America,Edqjgeiic,Pjkolknhijxidcfefkxkrf,Uvbqmqioxjswqehglxcrzrkrsybfrnkysbjrfzikhwopmbxgbvbfqbl,Berkeley,R,Ameren,850.0,AL,1-916-847-3702
3.0,282042.0,O,47266.0,F,JWEBXMMSQQZEWPDTEFJ,4.0,Gzo9386,qfrjprpzd,1.0,80.0,W,United States of America,kurqwfd,Gzogxxtzcslp,aknvtjqktgtlcusfjnrdjgzrwjqvtgdcgdmqfdbtxpljnpuazntwvsrdnmoqf,Hollywood,l,Weis Markets,,TN,1-197-198-5620
8.0,76695.0,R,3441452.0,,Ludqlxwprwbxosw,0.0,Vpn9387,wfrwzbqypcldwvife,,1.0,U,United States of America,ZUWZTBCMEQVA,Vpncsisq,Gzmvyiizehcwbrhofpynbiducwpihvdnqecficabqialrmvavmzcmuege,Regina,,Progress Energy,450.0,CA,1-577-180-8689
9.0,169740.0,O,3472455.0,m,Zhcajnhbrckefeqxnvp,4.0,orf9388,hwnmjeezyolwjzjxrerqi,,20.0,M,United States of America,pfiaq,orfqcufybbdwiuob,PNSBCWQNVPQLQIJHEUNORRWWFSCSCBASRMKHLJOJVHTEWDPJNLSWNIBRRTSJF,Columbus,,Visteon,756.0,Ontario,1-329-183-8034
2.0,87347.0,,2731857.0,f,ROMDTIKNVAYSJVLQCUQRWXQEPWWIXRGHOCDNJUDBZD,0.0,Hqq9389,Eanahb,3.0,13.0,S,Canada,mprvojlwo,Hqqtesfgobwqhqlxlrigtjhiyacff,Fcnaoxqbewpscmuixpk,Iqaluit,O,Kennametal,711.0,SD,1-465-145-8568
2.0,134444.0,O,3393312.0,,Tnekycorspvxexvfdovtowrmbzjmmekuixdqplxfmulaormplvokteeelrw,5.0,JZT9390,TODUTXSMIHDUAAWHI,5.0,18.0,U,United States of America,Ampdtjjmow,JZTTKFNOYOIZWIGJMTG,Bxtyylwmgnvzlkyfvoyfglkgumrohqinhgcedqsbzlmvlxorkpothjemqjgvfkhgtlwnjoxqrckjtsc,Des Moines,,Unum Group,485.0,MO,1-861-535-8498
6.0,490524.0,O,352441.0,,UUWNBWOWUREBRNXJOFAVQPCXTVUUFEBHMNPGCFXEZXCALE,1.0,UIO9391,Umtcmzbnhy,0.0,3.0,U,United States of America,Zsfooho,UIOSLRRIKHJAJYDGBKILKORBAFKF,Dvqitipgqqihwppvvcpkskxqwbdhwdhyxkhbinvwwashoypphykxagyozkitwhessiwmmzpjht,Santa Fe,s,Saks,693.0,OK,1-355-189-2132
4.0,492505.0,O,15207.0,M,,1.0,HNC9392,Mhcdffovhholpoprhgzgjczv,1.0,14.0,U,United States of America,Cwrjka,HNCLDFJLSQQVOPK,,Dayton,V,WellPoint,308.0,DC,1-959-949-9563
2.0,163057.0,O,944635.0,M,RVZNQHOOZERHGTNQODRZAIPGOSWMMTUU,4.0,WUT9393,pkpszkalqgrakqorx,4.0,17.0,,United States of America,lreffpsoapl,WUTEHVRLVGHXSSEGHUKJUHF,Orwcmsbdkqqkdccztufdtnviltymiigfdmbqnekhpgnitxhjjc,Philadelphia,n,Mosaic,394.0,Saskatchewan,1-817-711-2467
0.0,31495.0,,54176.0,,,2.0,Paq9394,zuphdtejtgpdcglfmw,5.0,85.0,U,United States of America,,Paqkpmogtsevtg,Wbuoscvphujwinutsfthgxsctkpvjqpoomohmprkdgrkbjamhdscmrjlpcgxhyojxlpxdxuxfvpzxb,Seattle,,Perrigo,505.0,MN,1-649-673-7198
2.0,259876.0,O,2529652.0,f,HDKLJAUJJZQ,5.0,WDL9395,Ihqphhwnnqnbcaxgkt,0.0,53.0,S,United States of America,Hefws,WDLMUFNAICOMNMHHZD,Uzogahfwzfdjpifsfivhprsudgszswqmgnzvetdmjnv,Charlottetown,,Cintas,340.0,CA,1-087-815-9390
3.0,449245.0,O,3677433.0,,Sngcdgdmiqsfiwwmfkmohlsjjqoqdqzbspjpouogujhvzedudqkhmcoaoaqiuvhztitqxkwyiyq,4.0,amx9396,Gcanwypcjfyslnalignofstoqzfgs,3.0,47.0,U,United States of America,Dswxxgx,amxjfjgruw,VICZC,Kansas City,E,Texas Instruments,,AL,1-832-424-1561
9.0,143275.0,R,3100245.0,,qtehiohrmvlmsywpvkqpdx,1.0,cyp9397,ZPJYNONRTNKZ,3.0,60.0,S,United States of America,Npqncksoe,cypugdgcjqprjtjcxahkwgipyjbv,XNUGQFZZECRNWLHG,Honolulu,O,Advance Auto Parts,820.0,OK,1-192-130-6884
6.0,41921.0,U,847782.0,,Ixmmtfdbfnjvjlbuolanldheuojcrohnccjqjmqcvmdecfqzkyvcd,2.0,ETG9398,Ckdlmktctth,1.0,38.0,U,United States of America,Ftdav,ETGDMXVVTVDKFGDT,Exhamwkvqtdiijtrdvomdrzusjwtxxycptgzgpwjgjenlywtrjo,Fairbanks,,,501.0,IL,1-243-000-0593
7.0,257887.0,O,1163096.0,,qifnevglowuqdihkaalxnvkgyzqmqkldrnnowlsqnmehayfqsknaakqg,1.0,Bsg9399,Pcmvaeczcwzpbo,,83.0,M,United States of America,NFVOAXBA,Bsgofuauvjpvtylxalhup,Tzidllkblfdkjvfzilvm,Yonkers,,Live Nation,817.0,PA,1-753-749-8892
7.0,30394.0,R,2521199.0,,EDMWBEGIPNMTF,,OAW9400,qiufevykwzviojgg,5.0,86.0,M,,Evetjrnywsyn,OAWEXBZRBGJFZGIGZ,clrcphnqhollvdgzkxwdqulvktwzgnadcouhotzdbcodyjhmccjyadeioplmnkthcluh,Yonkers,k,Univision Communications,653.0,Prince Edward Island,1-135-620-2410
4.0,,O,1028705.0,t,Chfvsbnuthpjwuihipmjnvteduyqajtfkwjubkhmfvfeessehntixvarvnhogabeqy,3.0,nzr9401,Luridhgs,5.0,23.0,M,United States of America,Tmhxsgjcmh,nzrumaphavdo,naqsvlttnyuyidwuesydatedosfxcwnfnxn,Newark,,Procter & Gamble,342.0,ID,1-770-368-1144
4.0,324312.0,O,284279.0,,YQXWKSVHJPJDSEMOPVFCPOBFLITKUNUQUDFESTKVETHAGPPWDJEEZBYEUIWUBRJCRQKJJL,3.0,Jwn9402,Bibexkfsqqiimdkapto,3.0,86.0,U,United States of America,Rkacdbnd,Jwnbagheaoevujfanobrqz,Ujvmmmsduftahqfgqojvrnofrdrlsyykhapfcqqbtholvcnjipgzglzxvzvymesksnlcdpo,Glendale,I,Enterprise GP Holdings,470.0,New Brunswick,1-003-170-7046
6.0,206115.0,O,3982154.0,M,Djmocxeqwenrrnhwvuhuqcvdhptxuuptgxfffynaxmfguybanmlgka,0.0,Ozn9403,Rnirygadoopmzkaehbwyxipa,3.0,95.0,U,United States of America,Dveyqtqgzw,Oznvqpzwxbzyaqsio,Wiodeogsqriplnvjdtnbfadjwpoye,Macon,,Great Atlantic & Pacific Tea,738.0,Alberta,1-747-573-4013
4.0,286350.0,R,1358649.0,,oojwwgn,2.0,Coy9404,Oakmlfsklfcllmhcwxelk,4.0,66.0,S,United States of America,Ruewoopxmx,Coyxmzjraqajpsfz,nyqihhhvcfprysmdmadmihwmpecjzrphvdnjrgqusexpzlghs,Palmdale,m,Guardian Life Ins. Co.,721.0,TX,1-651-224-0340
4.0,,U,2950960.0,,njdtoxprjctsxbihwydhthybtjimnskiybwijkptlmgfujagoiuebiovuusxdt,1.0,Yig9405,SPMAHFYUDALAGLJJIETVSVBYKPQ,2.0,40.0,S,United States of America,Uuxtc,Yigivmsskhaymsjbdapgveha,Bhxrlypufbnehgitqsuhcaamlfsyctjtljrcwnucigksftzzkoexjdcbjtleibq,Greensboro,,Berry Plastics,608.0,DE,1-434-139-0541
4.0,396153.0,O,,M,,3.0,Laz9406,iknynttouqvodefckonfdpj,2.0,93.0,W,Canada,JNRGAXCHVW,Lazjxsva,URCVYYIJPGBDQJVVNXPMDGYTIIAHQJFJIU,Huntington,d,Xerox,387.0,MN,1-041-707-1801
3.0,113282.0,O,,f,lazxabkldnvllkfvjgabduysqudrmwjkyjaqcivexokksqixs,5.0,Gou9407,Sofdvnjwuyj,3.0,,S,Canada,RHOLT,Gousrcxolpdcppgxnuwosiljedjrq,Giokxxqmvnhmsaznkxsdbymqnmxtarpziissclerbxqonawjqnsobvckzrvkduyks,Nashua,,,,MN,1-142-543-8989
5.0,107612.0,R,3035527.0,,Kilgrntjdfhxg,1.0,Den9408,Nqgsqguixwb,4.0,67.0,W,United States of America,Cbjhpobwsvvm,Denwxbmvj,Tnttrcvxotyiwwjaxwodqquvisgfirhfbnyknfrhmnnoollhlontqexgzoggrlhoegway,Henderson,k,NetApp,535.0,AZ,1-642-408-5459
10.0,52850.0,O,,m,Ipepdkutbkyhwnsnbpmwrzvkuboxfgzofceqnnllzz,2.0,Jft9409,Shuvwtjrfoupgnutmljh,5.0,44.0,M,United States of America,Zfeztlg,Jftpoenpdwhtfpl,Wiqmtegcgqblnxywptpalhniqwlitwllxbgshbuxpmejgmnsthttbvfvqxugqnshv,Colorado Springs,v,Cliffs Natural Resources,602.0,AK,1-471-916-3022
1.0,442069.0,O,2078834.0,F,Qmwxfhdnuvr,5.0,SBQ9410,STWVCISQT,1.0,85.0,U,United States of America,SRANCKDPCPC,SBQKXFEOGDQTHKASJGCVJMPXRTQ,Hbdmrwjmhz,St. Petersburg,S,AECOM Technology,791.0,MS,1-916-703-9205
4.0,424497.0,O,932477.0,,Pfbdja,0.0,DQN9411,PZBNHW,2.0,20.0,S,United States of America,rryvgejmwlmj,DQNCFESCLFGHLRAZONYXOLYMT,tfpnrjgsvhvepgpgzwjfmuypzxwtaorbymhnbaodipgbwmtuafuizckqp,Columbia,,PetSmart,565.0,LA,1-549-791-3741
9.0,194585.0,U,2356456.0,,TGFQFIAOIXQVOWPLFNLVSAHBZIVUQXCPWKNXUEHHYEVYFXDCBJVNDXQMLEYNGCAVIOACQMTQH,3.0,Gxn9412,zwlemodde,4.0,55.0,,United States of America,,Gxnxgllezimfzoydoto,FHEQIYR,Fargo,,Hewlett-Packard,785.0,AL,1-361-871-0230
0.0,427521.0,U,2372383.0,M,,0.0,Uil9413,Xkujx,2.0,40.0,U,United States of America,AMDNFR,Uilwtdxhdxslwdgqcmqlaa,sdlwwsaatjsbfjpgzxwsunbrhqyfduilkuwoleug,Milwaukee,S,Hudson City Bancorp,801.0,GA,1-835-025-3174
4.0,25203.0,O,2157485.0,m,tmeyiaqxajnupsbrmgdwwpyqyuobnjoljod,3.0,GXC9414,vptvgjqcyboich,0.0,82.0,W,United States of America,EBQOGKXWPV,GXCREA,Doifcitejqvltb,Eugene,,American Express,398.0,GA,1-650-468-3471
9.0,314243.0,O,1629131.0,,AQBABKVAQRXYSEPIXSEYUMVQQHTNKUKWPEXEJSGTYQTHUACSNEEZ,2.0,grg9415,cnczuhpgx,0.0,40.0,S,Canada,LLTSFRODVL,grgavyxejbmddfshvsdsqlgmudbj,Sgoiewrlawhrsaaleqhiqgfuxqvdofcnowooprtjdmbulabu,Fayetteville,,Kla-Tencor,679.0,AK,1-376-762-0093
8.0,215905.0,O,1281786.0,F,jhdivvnpiuakzmtklchbulifgdzfchfbzeuvciujsfsalbhgnqocsudmvjuxkihrpxmdoohze,0.0,Lbi9416,Oyjqmqnhtprerylvposclvexkjk,5.0,39.0,M,United States of America,Tmuvwebrfv,Lbimxyxlfawvqz,zbwiltbeermwtmcenicfh,Cedar Rapids,J,J.B. Hunt Transport Services,356.0,KS,1-942-284-7016
9.0,249321.0,R,,,Rwcvrkwajhadbf,3.0,jha9417,MVAEBKYZIDNWLRBNKSVBGA,,56.0,D,United States of America,wjiarafv,jhagzgl,Jbbceekmvuqjorluaizzxhkqsvfgdafwjveobvgdneemkuqfwnychkxuxcbsivrtceaclngthck,Buffalo,,Cabela's,480.0,NH,1-294-143-0630
8.0,435102.0,O,1912860.0,,,0.0,HMW9418,JXVULDMHRNZ,5.0,73.0,U,United States of America,Xcjpcs,HMWBGTSOGICYSOMKLSTXWZTCQA,FZJTXEYVNQELVINIYIRKWRQWCREXQFEPTUKQOUULKRUGPDKNUIMRXBFZJC,Biloxi,,Nicor,376.0,MN,1-777-426-7369
6.0,359437.0,O,815582.0,F,kxpgibfstrkkftbdyamucdbalmqahemrsxhsjufvtzixcswafwqbquhsiwvqobyakuktihs,1.0,cvf9419,Dsehgwshkvpyzzg,1.0,,M,Canada,hpffav,cvfulexvpzags,Dubtnimvgbjrprquchcvkllnlfnbnenqftvxijnrukkpmfr,Simi Valley,,NiSource,591.0,NC,1-976-380-0264
0.0,197021.0,O,1475743.0,F,OKDUCMYRPLMLRE,5.0,Psa9420,Uurhfxjhqhxdmcfdmvrhyhr,4.0,61.0,M,United States of America,cpsidgtqeqz,Psajlnai,Abieoesbigujcb,Garden Grove,,Crane,516.0,SD,1-733-952-9511
4.0,188916.0,O,455426.0,,Wfentbammniegyxnfrwpmbzfndaomrdlzzuwrwpkiqqevcagwsvwpssmreylctucdnnwhvingmw,,tcb9421,mcpbvxpprrqmgfixoqkfpc,2.0,33.0,S,United States of America,ZQNUFV,tcbavzovims,KBINNWPGVFJSGT,Yonkers,,Wyndham Worldwide,595.0,WV,1-461-827-7331
7.0,181793.0,R,1352390.0,,Qzxcjjloqrhqhsvqrywvlaoeqppetbcrvmwn,2.0,Mcp9422,Quvkyrryldmgjjobgphhnmgqel,3.0,73.0,M,United States of America,Lfhhapm,Mcpjwibnpbcievzaidbpdyzevjnwg,Owfebaarhdwdzwmcrqsjjtcysnvgsrtacxjgguhncybyhdqxmdgyyarlbzhlcbxcec,Fort Worth,,,688.0,DC,1-505-629-5554
10.0,271110.0,O,205601.0,F,Addnshoeikxalllpgtmepn,1.0,Gcp9423,WYQTPLKNAZJQEISYHGGVNYRVLL,5.0,67.0,D,United States of America,Dugyig,Gcpbqwoxfbgawsaxfsbjcobzpalqtu,Xatwcojywlcxxqnfkgajhlxwmbksrh,Warren,,Bemis,724.0,PA,1-993-925-5242
6.0,43922.0,O,2763552.0,,Jcgmbs,0.0,Mcp9424,iugjhlhfjejrmb,5.0,34.0,W,United States of America,aqhqovlxo,Mcpeasqbdksfhhicigig,jzpjjhzxg,Orlando,,Kansas City Southern,813.0,CT,1-700-360-1448
,72410.0,O,2495715.0,M,Ybbopmozjtqlbuvtyqtjhmballiaxapdsvdmuffkbpeatazhwaxhqmnndcc,2.0,Sgq9425,FWZMH,4.0,15.0,S,United States of America,Xbchvvw,Sgqmixjli,DUOPZBJWIBVHDQZUZUHQYJOVCCYIRWKYDDYNCXWSWGPNIHPINTP,San Diego,,D.R. Horton,307.0,KY,1-852-810-8213
8.0,53233.0,O,2159419.0,f,pnpphhyfcisxlifcltnqxirbdmzdfbweduyirvomsrqymbsppujsp,3.0,VBI9426,Bnxlshrviffxyvvjldvuwzndapj,4.0,58.0,M,,Rwbnz,VBIAHYKCJXQYRMWFQXEKO,znvwgubwkcqhavukltgprkobgbvtkumtjpcmkrtdmlicejikbdlomtwhurujxhlrktpyhqawcjjd,Philadelphia,,Yum Brands,729.0,KS,1-815-234-9736
9.0,246776.0,O,1071328.0,,QTAEBN,3.0,Mjy9427,dybwtoxepxusuatkumuxxcb,0.0,45.0,S,United States of America,Timxvejl,Mjyhgaskpxawfzvlns,sorvpzj,Palmdale,,CB Richard Ellis Group,656.0,TX,1-802-548-9072
3.0,474229.0,R,501427.0,m,YGUKAIMCESZBTSST,,JDI9428,eekyymnvwehsrscvyy,2.0,57.0,D,United States of America,Jcluvsj,JDIVWSTWZIVNDIVIXWHXQUQTJRMLH,whiiunlynyjhuxoojurodoorbxihmlaesugfpbcyjvhrxubzpwgkdbqwfkifhbkcnfkwupliifxda,Las Vegas,,Paychex,810.0,NV,1-234-384-0542
8.0,346332.0,R,1364129.0,,,3.0,Jgv9429,tcszgwdovexmfuntucyfrbmxrxh,,13.0,M,United States of America,Estobq,Jgvhygmsa,Hdbpicbavfkrzyuelonix,Fontana,,FirstEnergy,613.0,MD,1-283-018-9240
2.0,,O,2773908.0,,NIYGALBCIGQOHYCQUMAUJVFTHHISHSRNCEYMGIEPEKORXSHHSBODGDANLITR,4.0,WZF9430,dbujibldqtn,2.0,11.0,W,United States of America,xgjluovvlfrw,WZFXOZHVWOENDYCNN,DGHWPZMROVZPJEMB,Saint John,,,486.0,CA,1-314-259-1147
6.0,32728.0,R,3953127.0,,Yvuwegaqkrvghlnmxeljvddebncvgplszgynabweadvbziiwqcg,3.0,Ise9431,Krxbgsrduouxibbtdebi,0.0,75.0,W,Canada,Pkyeawndh,Isekxbydjfsd,itamhnfsuqawy,Santa Ana,,Varian Medical Systems,,FL,1-434-880-1350
9.0,313671.0,O,2931206.0,,Wzqjuplvbdkusgeaojieayboslsxrugixmsmuptxhepcadmqwvvcarpxgkljkqdvxagu,4.0,HRJ9432,lbmudhmferazjmmmelvcpcmajtvii,0.0,83.0,M,United States of America,Uvuru,HRJFXSY,zbacghjzzgrodqwcwocuhusvfrtjwcxihqbvsgrlhcundsijkchsksmnzl,Riverside,Y,Tiffany & Co,418.0,LA,1-219-743-5408
9.0,275885.0,O,1090819.0,M,Ucwkiiogjpvlhcmutteosoiqjownbmbjikbbxotujdgodpdp,,mcu9433,uutdzwifdmrcztmoyvjuhcpo,,77.0,M,Canada,Rwljk,mcusdrmacvfqmclkvmecmvg,Jlcmqxtn,Richmond,b,,,ME,1-779-496-4262
4.0,220493.0,O,,,VCVMTMMLL,1.0,Hqp9434,qhamuclkblwgbaq,3.0,46.0,W,United States of America,Gbqvsqudu,Hqpeov,Exzsrphbjjzbanzdoiwhggkxdtzwdlukeidpfuespzxzucbroerjskoelqdonjmtolsfqrrrxzn,Louisville,f,Fleetwood Enterprises,759.0,SD,1-439-159-8222
4.0,213252.0,O,1121482.0,M,Qlgzpzdwofzzvawkmvadammmazodrwebvtmjftgyhebpzzgfxiuqr,5.0,OQK9435,Xrtztgcavhn,1.0,32.0,M,United States of America,Fptwdytytr,OQKWFFLWNULPTXOUZTOLG,Nraxrxliiotaymrybq,Rockford,k,FedEx,404.0,CO,1-179-752-3528
4.0,83831.0,O,1687602.0,F,,1.0,KRG9436,Euaesnqnkubm,0.0,51.0,M,United States of America,Exigdjhq,KRGVPPEKHCUJZV,Jjstwkcpunrpee,Simi Valley,,Assurant,544.0,WY,1-309-866-3200
10.0,157956.0,O,863567.0,f,Iuucregtvplbunmpiywryxsmjhahcyseqqnvzbagreebjxvporgidpamfhuxqtvtsiws,1.0,Que9437,BQUUQFPH,,58.0,M,United States of America,Ueisrinj,Quemajsgmdnqt,uwnxwkeevbsiyfhjsvmbutydnnjuipnpook,Billings,T,Vectren,385.0,FL,1-520-320-1879
1.0,,O,1915336.0,,Lwqlllxczdpr,4.0,oes9438,Cylbiyb,4.0,1.0,,United States of America,Thnsvqbm,oesxklabtcibu,utfgzyicxzutqgtjktqdbaklwkbxjycjwzqhfryktrbfjshqurxdegfifwn,Iqaluit,,National Semiconductor,649.0,KY,1-014-926-9892
2.0,,O,1108967.0,f,CMJRCR,3.0,Cuf9439,Ldinlhbs,3.0,16.0,,United States of America,Ewhto,Cufrjtnpejrlfa,rkwwbefgsivxg,Paterson,,Sonic Automotive,703.0,AK,1-249-938-4154
0.0,467572.0,O,1564637.0,M,RMHAZXNXXVPBITZHJPHWGRERATOUHMKPEGPTTPTAVIPIOOEAWXXNETCKWM,1.0,Omv9440,Xxxdzcxkofsngdfyqxmdqu,3.0,28.0,S,United States of America,Rztawdh,Omvgtouw,Dafcoqeydbkb,Grand Rapids,,Nucor,,WV,1-665-361-7531
4.0,43184.0,O,2698242.0,M,Gbczfijciqijpgobbai,2.0,Jgw9441,DQQMRTM,5.0,33.0,U,,Hvpywoo,Jgwrghkaifnpcggyklb,Dxuuxjqicgkwamumhymtqufjraqglloeplgxchgu,Saint John,,MeadWestvaco,369.0,NE,1-538-466-2026
1.0,182367.0,O,3827700.0,M,QBIJUJRYRGDCVRNTYXVPKMJMVZJVCNARVQLXNZGX,4.0,pus9442,Lvovfmwbm,2.0,83.0,M,Canada,fcwtfphemdq,pusbz,cgtnomvhwiuwwcvefxsqxepmpttxvxbpwfruwlgoyaw,Albuquerque,,Goodyear Tire & Rubber,735.0,ND,1-394-462-5885
,94040.0,,,,hbfaaqnvtbtroqomyhdgkbgryqdpvklhbcizzsyjfijwcicjubueybkwfgcaupfnvavqjfkmxemjw,3.0,ILQ9443,Njbvefsvabsdztbvfagpduagposr,2.0,0.0,U,United States of America,SSZUQOFTI,ILQWYQNDHHOGREWAQHFJYHVKHV,Uimrehaelpmtkhiejncykz,Grand Rapids,J,,805.0,NJ,1-469-273-2200
2.0,77740.0,U,3966122.0,,Syixuxmcpeqzotnmnnugkidkexsjfsmnmazfrrjivddarmpqroucbaemoymvzgwwumabsiblf,4.0,Jgk9444,LLQYTRNU,5.0,,S,United States of America,Ommar,Jgkzbqbgmgeklikjdwbwvi,Pjtxjyivgcsnmfsoysonjpahbrpugsunsjocloerygslzvimykcgorjyzhmjzn,Peoria,,BE Aerospace,641.0,HI,1-327-499-8383
5.0,404963.0,U,3248589.0,F,ggtrfwgvjirilowvoiacbqojagpubuwdyravocvibfrizhouenfkhqijswodkuhkwsuebwitclwtokv,4.0,Dwc9445,VNPEKNSNKKUZSITGZGIZEFA,0.0,65.0,M,United States of America,ELUOIEOVOAN,Dwcmwsexkefzscbdvacirjchyvpt,Thmlaixqnrb,Newark,,Hertz Global Holdings,730.0,WV,1-123-547-4916
2.0,330058.0,R,1543885.0,m,Suceiidxnihsxueo,1.0,dqt9446,HYVPZJJGCUVFKH,2.0,63.0,U,United States of America,Ijfre,dqtwzvwvzntfbbcwfdgl,Whdxbfgtkdsdtgooqqgqosgrnycuelwomsihimewswungxbxxx,London,X,Whirlpool,834.0,OR,1-651-484-3426
9.0,417458.0,O,2846842.0,M,dtxphhutopsxjnbtrilrdrhbwxyiwhqlqnarnrolcjfrxaoxtoprmteuxeddbmxdqzmetomaoties,3.0,VCR9447,zcfojvgupocngfr,3.0,5.0,S,United States of America,Trqdrtjgju,VCRSCJQZZUBVRDPSNBWJF,pbywoxhqsagqtlqxnhybgvuulkrsvscjtjuwbpxutwcqlikasqcxgox,Norfolk,W,AbitibiBowater,424.0,Saskatchewan,1-075-885-3063
4.0,278446.0,O,,,iyivizsrlldprtqsotwsmdlmprzdcuvhqba,5.0,VMX9448,Wjtjeendyac,1.0,80.0,U,Canada,UZIOATICDZ,VMXKXNYRULQJLUDOATCMDHT,Tlxoyaglycyvsgjoeqesfhzrafscywgzheveseerzozaplntxoupysotmscmoajsnwqztvumjk,San Jose,W,,711.0,NM,1-264-616-2616
