gncd,ntwrth,frstnm,mddlntl,crdtrtng,lstnm,nmbrcrs,mplr,phn,ct,ddrssln1,ddrssln2,cntr,g,mrtlstts,ncm,nmbrchldrn,wnrrntflg,nmbrcrdtcrds
Xkv5120,956211.0,OGIDBKNPVWPYP,B,784.0,Xkvusepetwrosoavehhpfsyavokq,3.0,World Fuel Services,1-492-623-4158,Modesto,Evcfqufekmiad,,Canada,22.0,M,191197.0,2.0,R,10.0
Aye5121,2968076.0,Dkwklgztkzsboswxuibgae,i,610.0,Ayelrctkdfggddhtfthgapqdjqwok,5.0,Affinia Group Intermediate,1-808-535-2587,Hampton,UPDYTSQBRTHHXHIWPQSSKSVDHOTQBHOUUTOTGEGJGZCYWSJJ,Lghthtof,,11.0,S,84145.0,1.0,O,9.0
Yqb5122,57664.0,Bazgfibviavkcmsjhlkdtrrjb,,691.0,Yqblokwcbjokvnuhbnhxsbaf,1.0,Michael Foods,1-001-844-0253,Garland,Kuzwipkvlejhjoorrgxikzsnqgfacvawggzkbssubuz,IIDPGLKJSOMJUDFKYXBHHBRAVOVXESXINOBZRZXACXSGNCHIKIOJSPWZCWOOTFQUZPVBDIUSVXAFGLE,Canada,5.0,M,6517.0,0.0,O,6.0
Twh5123,885354.0,FOGIIQHSAX,,601.0,Twhunvjlpzeovjnfaroizofxbnwgiq,4.0,CSX,1-874-636-0512,Sydney,SEEYOLMEVTKHSISZQXDTMCJCPSEFYCQIWLEPAFPCJTESP,TKICKWFQLEJMXXYLJUQKAWXGKNMIYIISDURJBUHOWSCQSKKMIOPXTAJJOFOVAWOEQJIAMWNKF,,26.0,M,350327.0,5.0,O,9.0
Zra5124,3621571.0,Tugwklbtdi,B,426.0,Zralwizeabrr,1.0,Expeditors International,1-051-588-7833,Wilmington,Gvcrfcqjdtwiavnetgxbevvgvgxaiwcngcfpnppnf,HWZIIIQBEHFSRXXWNXTHGRAWEOZAOQDPBBZRQOZEKT,United States of America,21.0,M,74.0,4.0,O,4.0
Upp5125,3241560.0,mcgblqusxqkqxdyglgxlwuymog,,755.0,Upponyvotvyonjtag,3.0,Moody's,1-863-765-9683,Iqaluit,OOUVNRBY,Thhtyvqroqgofylijqbfjximiwaw,United States of America,42.0,M,119629.0,1.0,R,3.0
PJP5126,1464694.0,Uqvfkmcxagunsjh,,693.0,PJPWNOQLKVHSHXCRM,4.0,Wal-Mart Stores,1-799-908-7002,Oshawa,ietyfqcfhmpnqhxnppdbbthpwdbwcthdobpzwbrwtfilebwjnyjtgepfetpzjzjlk,jorxtqcyyiydnjpzywbdzwvwukadrqqdxzhnwvnscukndrzajlijijl,United States of America,42.0,S,310308.0,3.0,R,2.0
Glu5127,515339.0,HIKQUCH,,422.0,Glurslepvxmwoldsxes,4.0,Susser Holdings,1-327-022-4319,Lubbock,Uzznixhrrtdepqmnguzlubyfwoueazavbhpdatlmvpfongljcbqyvyxuparkblghlyz,XFOLUPSOVIABCQXWYACPTBRJXQDGFRPVBROVERREXFRHANVWZIIORRTVCBQ,United States of America,14.0,M,248496.0,3.0,R,2.0
Lwy5128,3394491.0,Phneefblsyhvrrtwlin,,427.0,Lwyhoxgpdtzkjcfmbb,5.0,Virgin Media,1-709-962-4524,Hampton,srxfrsbttkbxdkeqrphgliwoczzkyivxigpqfcwmqmfrxxhmnzmchpmlyglcdzvfjyuexlousqzd,Clyxuozxdfowhkepjs,,18.0,M,10048.0,4.0,O,8.0
UFC5129,3101398.0,zkqjypgqrhliupci,,,UFCVCSZFAPIDFPXAANRJ,3.0,DST Systems,1-598-028-0709,Las Vegas,Bldenerigofjbvinzgy,Oybnrdixtufhxwebacjidikkrmggypcjkvdxinbtckocitfpyzulbat,United States of America,11.0,M,420955.0,3.0,O,1.0
JAI5130,1315140.0,Rxpkkcbboe,,651.0,JAIRAOMBKPPJFLRMTBJGKVBLOOONC,3.0,Kennametal,1-297-984-3508,Denver,NCGHMJTVXVAXDGTPLPYRCEUSADRYBCKNDTGGUPSXAEZRSLUSZJ,VNGTDRFTVOHKREGTATFJOXTHJCCJFJCHGE,United States of America,92.0,M,282617.0,4.0,O,4.0
Eia5131,2076496.0,zbgqrhgdyupfniyhjhhsok,,674.0,Eiawhpcyzvmysxzrappdzjnlkedaz,3.0,Advanced Micro Devices,1-059-833-4162,Tempe,IGHMFTRZKXGTVDCOYCXCSSMYXLZSPYHHAIETMNTMDTSXHDMG,Pntqzlignbkcicygqnifqmhoecfxwqcqxogntvmlqtfwlmtqjscgdafkounsw,Canada,60.0,M,318044.0,2.0,O,8.0
Uim5132,663907.0,DMIAENHKAYWZODCLKTPUVVDGTIFI,,540.0,Uimmmzpg,4.0,Merrill Lynch,1-038-020-9859,Rockford,LWTINOLFKUXMNDMNMBBROBQTPLUVVKMNLOQNNNNDIQZPAAPV,Hwamwnzliqjlsdhlzgsyundmvsrsqmylalefbiiswksctpfvfdacffybvghcoq,United States of America,8.0,M,490585.0,1.0,O,4.0
vjd5133,3927712.0,qnaoewihzkqvhfgdtdwfolvcfn,Q,798.0,vjdpcuntbnghqgdqjzumhzvamtgss,2.0,Icahn Enterprises,1-933-698-4470,Pueblo,PVJVMQUZXKRXMVJDKHURDTKWVWJXEWXUOIM,Occhqjsupmqxcjktktiriguhhldpv,United States of America,87.0,D,203440.0,2.0,O,1.0
Khl5134,238203.0,Hnmrpumnedsfy,,433.0,Khlhage,3.0,Hubbell,1-059-548-8932,Irving,Npeoyanezdkpohnxphjtaoylkrofyqawlqoittohkqnprbtffhzert,Usvavzfnijehrecndswybq,United States of America,5.0,M,196959.0,2.0,O,6.0
Gzx5135,3309894.0,Xntglbrwnfwmnbq,,339.0,Gzxbkuxdjsysdpajdbxzndqfliu,3.0,Piedmont Natural Gas,1-344-102-3330,Huntsville,wohxwkuglqbpauumcueqtquwtcmltcnhtlyqudkbkaucoutdpujrrzhltndjdxdg,njwdikdrkfinnestvxymgunohlbovygjm,United States of America,,M,396109.0,3.0,O,4.0
QJE5136,2398033.0,kwngxyylduwkqzmthalpluzaliuis,,599.0,QJEASYHTGVDYHMBSCFMUKPNRRX,5.0,Rite Aid,,Laredo,URMDCJKDNWWUTWFWMSVLSUZDGWDSWITYAWRNSWZPFVUI,Ryztpsoelxqnqrgtlulpxbnryofppfxqfcfoceiwcesitdmufjouedqtgiiyrunimlmfwtrfbbwu,United States of America,50.0,M,,4.0,R,9.0
Ufe5137,2037217.0,Utxwkenhhxmuj,,614.0,Ufeeeevgsghopznhvlehpbzid,2.0,Sally Beauty Holdings,,Fairbanks,,eyoewbkgrtrjzzigcomxriijwmajjv,United States of America,70.0,D,320818.0,3.0,O,3.0
bpb5138,261703.0,Uaxrdofcoqeqcjhyxehpv,x,609.0,bpbwzftgeuff,1.0,T. Rowe Price,1-163-638-2862,Mobile,FPRIYDDUHLVTWJJLBAPOYTTBHQEAAMSDJNJEYEYZWEGJAJNRVDMRQEZHOJEKHRAOL,QIWZXCMGKOQAWQUOBYOJBRWPDBEQWQDJOY,United States of America,10.0,M,168818.0,1.0,O,10.0
UEU5139,2824621.0,QPSHIKSRIESQQIUPAUNPNKMLK,j,665.0,UEUGYSQYXLXZQGCLBHIGVSG,1.0,3M,1-173-829-1426,Whitehorse,Cmwlkjaqvxsbcwluckpqbxcyuvugmleadddgstlitpkibo,Niqfcjldpenvukwauehpweymzoetuiqudduhythomctfxbzesjg,United States of America,17.0,D,294531.0,2.0,R,5.0
tts5140,1012970.0,Lnncwczsmflmfaxgglcyp,,362.0,ttszaeplenmh,4.0,Allstate,1-531-184-8647,Tampa,satwx,yocttqmyzqzmvvugeslhesof,United States of America,83.0,D,248249.0,,O,7.0
pfh5141,2940651.0,qlgomdrgwvxsxeim,,614.0,pfhrvixghnxubbaslhfl,3.0,Las Vegas Sands,1-241-810-0740,Lowell,Evrnxddwpttmfyknquojjflvt,ASNMOWGGZLIOTCKT,,25.0,M,221798.0,1.0,O,4.0
Aqv5142,804630.0,Lmmnwlgvulcxrxaemfkcpsnjhnsv,,809.0,Aqvjnbpdbuhaakpsvvwviq,2.0,Capital One Financial,1-519-167-5795,Virginia Beach,keyqvgvttkxzpmsrghvgmcobnysmsmudifqawtsvdjlyiwxw,Gxebesgaoioblqomzfhubakwavlnafxijfxrvgkeeqoegcopbqaoqggnxkoshhawfdfh,Canada,39.0,W,423917.0,2.0,O,0.0
uyq5143,1875700.0,pjveb,,754.0,uyqcadwmotwgyshhywylbmkoh,0.0,Timken,,Memphis,CHXKPDRDUOUPRNSUMPGEOEDCBECKAQERBXFPUTZBMVYPA,Zoazljxabcxhsjzadkz,United States of America,99.0,M,245911.0,0.0,R,
GIU5144,3772541.0,Qmerdxgblg,,574.0,GIUPTVGPFAZCDMLXUJYFF,5.0,W.W. Grainger,1-697-894-9048,Missoula,yvomuhfostsojinbcgzlmlpnfotsqmkcefigeycsqofssfiknrecbeqfhqdh,Sztbfmesejxjespwtktuotfsolo,United States of America,53.0,D,218846.0,0.0,U,9.0
Vtb5145,3739391.0,Vqtypvgbabtbkfwyfpercsndrkb,,648.0,Vtboirmvgyeww,5.0,Jones Apparel Group,,Elizabeth,Jclhlhhnpqjlflwbeobprbyxwpt,Xmtmwmebwmatvtpathmqbuqpjefsvuxm,United States of America,,D,193728.0,5.0,O,0.0
Nqe5146,3457284.0,gdufqsdfbaizkjyuit,l,458.0,Nqejihsnoezhkagnxtkifk,5.0,Regis,1-052-273-5008,Allentown,wpzqn,GDUIUUN,United States of America,93.0,S,121478.0,3.0,,1.0
Eiv5147,1922688.0,LADQNLKON,v,644.0,Eivobta,0.0,Expeditors International,,Boise,uhghgxnlrecxu,fxflohdmyzbrroipesrfmmflngvgsnlmwzxfhhyaquyqvorys,United States of America,51.0,W,284081.0,3.0,O,1.0
HLO5148,1164532.0,Mvpwyyhrmmvljdapnmvnnzlgoxjc,O,457.0,HLOLQRCKCGJNVMOLDUQMDMTIUK,2.0,Kindred Healthcare,1-702-559-9374,Omaha,Snqja,Gviimmsvscjcftfvxqnduygetijqweicwatnfcgijggo,United States of America,70.0,S,165122.0,2.0,U,5.0
loh5149,10912.0,DQOYTELMJERN,,349.0,lohniyi,0.0,Manitowoc,1-860-608-3761,Albuquerque,KRQGUMVVFZKFQSIHFWG,Tphzrajdgblwmqanqqydsvizjbsxvkssftylrknkcyyedbnfaqtmnhfhfi,United States of America,29.0,S,51122.0,1.0,R,7.0
Nqx5150,1833137.0,Uhbtkuwmpzlnwynolfhsqavfxwkx,,424.0,Nqxdbnhwwnaaaewdfxhsiihsde,0.0,Seaboard,1-041-904-3607,Birmingham,Wmhwksfcnzaqyaupbanpsckkmsbefxujmjplwfrg,gqdjvopppdyuxeqyrcjloqorovxtssfbzthbwuycpedecwucnlteegpnrdzcu,United States of America,5.0,M,332150.0,1.0,R,0.0
hkl5151,2851147.0,Ijxguunorm,Y,400.0,hklnmrnwymbrvdcdyrsodnp,0.0,Southern Union,1-200-843-2900,Sherbrooke,JTRKEHXHPXNPPFGFDUOZFLEFCASTSCRQZSVWHDQSEWISUTURDYVPSFDRSXKJTQKEKJOFP,DGSIBBJHZFTURAZM,United States of America,41.0,M,304128.0,3.0,O,7.0
HDI5152,383474.0,HCLEYHCVWOGXIQKCFFDH,,507.0,HDINEYG,5.0,A. Schulman,1-403-888-2471,Newport News,Kmkjoxkazgaqzbjbpjjfhtwmypakqzwalwjduxi,Czofbyxruxcntpzgncdkben,United States of America,38.0,M,69902.0,,O,4.0
sle5153,1844285.0,Ubqpithyibpeyo,,,slernrhdt,2.0,Black & Decker,1-542-324-7423,Evansville,TZALWMHXANDFLDXJVUAMKQKBUQHAYHCRTBJPAGOAGOTAYPEZWIOPRDLMBPGPTGPIPIDWRINWO,Gaupijprsfdwayfbpsnludlzpjnzhrbwcxamjuksuyakaqbkqweiykoysilwoqkrrlmzwf,United States of America,71.0,W,159290.0,0.0,O,
Lzy5154,2609576.0,Auaolw,A,778.0,Lzygzsjhuhaemkpj,4.0,eBay,1-149-571-3198,Bellevue,Qburmrtnaalkvfozp,nnettdfpogoeaxqfinbupvxcuafoodzhvluhytnzyydpydlygqfgoebjmghmxpxsnrcsyeahpapsmtqz,United States of America,22.0,W,74297.0,2.0,O,3.0
ugk5155,2387287.0,Zhmpev,,647.0,ugkrqjhilksonjfj,5.0,Analog Devices,1-127-554-2030,Stamford,rfraqwgnnprfvrdxayopucifsybmemvrpsyaolejpcpmfpssdfktevmpoyfmadqcvsdihvacncq,ODHTJPWJBOUNUJRODBZUH,Canada,72.0,W,47132.0,5.0,O,2.0
tns5156,1062995.0,Jrlywhtrwdjzwvzmdqjlsx,,603.0,tnsxth,4.0,Buildings Materials Corp.,1-757-703-9681,Chicago,PPWZVLVIJWOUFVWZLYPEWAKRCGUCUUJJBPDJOHVHNSPO,GNPYVXMDDGFNRJHDPBUSSCZQ,United States of America,29.0,M,372365.0,5.0,O,9.0
Dgt5157,3876817.0,lrwhbtjwaaedtrvnau,A,633.0,Dgtesbamlfmyvwnkudomil,0.0,World Fuel Services,1-178-774-3975,Spokane,Fqrynownpytnlyrqisetydbbelayhmublzyurpaxrqd,rousxwahsylqxukhyzwmlssdnhsespybrvydtqecfjxtwvgzcbxatumiqbej,United States of America,67.0,M,339676.0,5.0,O,2.0
Smj5158,3070711.0,dwfjuiawuivwrnnpcvms,,402.0,Smjhkoyoalsrqulgpvqtrigetd,3.0,Fleetwood Enterprises,1-196-019-2989,Pittsburgh,AWKSTLXBMRVLYE,Sglropbunqoqhylswmdfcwnoxbbaiwinmjxwznobpkezwboxsvnsgfcnnljxjmcmitxlhyekijxiev,Canada,26.0,S,302840.0,0.0,O,1.0
CEN5159,1000571.0,Edpkytqrkdalsuintxzmqbfov,V,506.0,CENGAEGQPEEIIVMACLERJTLEDF,0.0,Publix Super Markets,1-141-045-9312,Casper,Svswkpkidagfjhbiupakyudmxhufdqazwkcpkbrxfxibnqjhfozwgkdeiiaioa,fxhtykiqrlbxnnclaucdbeqfuseciuhhjndqpqrmpnouafdyxlipigxwadma,United States of America,77.0,D,498399.0,0.0,O,10.0
Juw5160,1678661.0,Dsaqpovcsirmietsrlyqhyvnvnh,,587.0,Juwpuhrvwubozfuroydtzqfmg,4.0,FMC Technologies,1-469-463-0397,Raleigh,vssqphwvhfsdtmbfkixbingbdnguhxvcwbwgeghlzvjtmufvuadwwq,Fedlmqwwggkrh,United States of America,45.0,M,271772.0,3.0,U,3.0
Qqi5161,38223.0,MTPBPTESNGSMCKIGUEZOSMPYVOCXHR,,443.0,Qqiuqnkkxdw,3.0,Men's Wearhouse,1-791-359-8478,Chattanooga,Ppmjkvgbfonusuwrnugslxmrqjeptsxsocvpagtdombzdpg,Celdnhyqmialjjjtizpudbkqpzqnppjxwegdwauamssurofkbcboswoyweuwrpe,Canada,80.0,M,402148.0,4.0,U,1.0
mhn5162,829821.0,bmquphnkwlzvwfhvcybfxnuf,,541.0,mhnojzkcavoxjqwnldvwxdnjxvhy,4.0,Hawaiian Electric Industries,1-754-124-9576,Gary,Roprrfllcyougjnbxwjfuajeqsvrgekvtafdlwlqeqvazrxhzgwdpyjbmtxcfvrfdvyxeuvustnybfs,bhnlewrpkugmtljzlehiatbsgxsswvotkmixlaftihznefzmmhueqewelxusudcnwonvimsxl,United States of America,82.0,U,324105.0,4.0,R,0.0
Gaa5163,1999500.0,PRCUJT,Q,474.0,Gaaayvxjamwlh,0.0,JohnsonDiversey,1-553-707-8035,Orlando,Mlhkgpoorwihrzpdmyiajrdlnptvcqrhwhizihhvvficacwyaoihjam,Yityktnxfyztnevxafjhkhg,United States of America,,S,253787.0,4.0,R,6.0
Umf5164,2475835.0,PSMIXHJLUWYOLEJJPRK,,408.0,Umfgewfswzrlzzbrhyaompgzhsjln,4.0,Armstrong World Industries,1-953-270-3614,San Antonio,PWPSMWUYOQQBCWIQBSEQGPCIBHBQJJVGHBDVDO,,Canada,82.0,S,498374.0,0.0,O,2.0
hue5165,3395731.0,UWFNPOWRTBREEHQDSMRQKHPWLREC,,445.0,hueoj,0.0,TIAA-CREF,1-506-513-9600,Moncton,GVAFKBMCVJMOJUGDIBSIPGGVPGZTEHKVAYURTZCLRTWZOFS,Ndqlbhlacvlvsjtwvmhacstaoyjmkpjhjkvwxjrdqlbkoeslonpqjcednejrmartxquiwanfkwrjbf,United States of America,24.0,D,183445.0,1.0,O,2.0
ren5166,3352563.0,oqyvlmqoebihpmbcy,C,611.0,rengjkniuqqtrtppxs,4.0,Stanley Works,1-026-808-0856,Winston-Salem,Oyetfbwknspkdqxiubztpjtpfbxrnrdhscfobsqdjwmqpioeswooutqihbfbecurmtagovxf,Qbaktmkttqgntygtniqyurhnteempdbgwdqmvdnoplfcsrpustipkpneejspmarsurgd,Canada,33.0,U,63663.0,1.0,O,10.0
Lrq5167,1055291.0,Ellvxogrlnotoaaj,,518.0,Lrqfmveshzptceyqypuboafh,4.0,Sanmina-SCI,1-324-590-8117,Milwaukee,AAXUHKCAHWGSBJTLBGFZFSWDXEGZVNBGSDRRSNODZFILCTKWVCIFZCOPPTKSBNEIQYBPULC,Wkqapvtslhtqfgppdzpvafixjzlewtzgun,United States of America,69.0,M,195807.0,4.0,R,2.0
Gxj5168,2761927.0,ZJONGONKSVDXZXXZEUQEUDOBL,,440.0,Gxjfeodoplexhlnvibognngub,2.0,Sonic Automotive,1-863-314-9243,Philadelphia,dxsghgudctsxd,Vfyoidykqqemkcvglaybednnjrzqmrbldxfebslcmjgoadqwjisxtansvwzljcnnhtqxsi,United States of America,21.0,M,67931.0,1.0,O,0.0
Jon5169,790129.0,LOUUHOTBGVADMVLI,,542.0,Jonbrlapcxdxyu,0.0,Arrow Electronics,1-591-451-1951,Rochester,Lihullgpddgvhlrgtrexhrlxzbilqcseuqmuutvchvlvfavxcxlryhnnhobbjsiu,Yxcpjhwqclexnncajnjiklygtftexqnlxhzgepjcmyylftrmlwtcjpahheqqo,United States of America,46.0,S,291648.0,3.0,O,6.0
FRP5170,2481249.0,Vgpuhuaqxoiscmmyslkfbrndnqf,H,727.0,FRPAIIALJXEXDVXQEIJSMWBTCT,1.0,Cablevision Systems,1-740-728-5229,Knoxville,Sqjyvqbarccpjvav,YKQENJUACLNVBRSMTZURVWBCRCGLGDFLUDAAFJLAUUXTIXCORIMPTWSTFLHLWEDEGDTVY,United States of America,13.0,M,434267.0,0.0,R,8.0
eso5171,2653911.0,DXYYLHAATJGCDJFWOEVWUYDJVOT,q,456.0,esojthiclchtrewjurk,2.0,Realogy,1-098-728-1395,Peoria,wbabknrxzaavfpwrjlbwhbvgpgpyjhvoqjtqvgvmskpjyolntdmynockdtasckfdlgku,Rdfkdmdvkaposihmtlvqfvctptjpwtfkscljnbrimjtwdgqbmowzgcoqvumfnvhskhhahqaecfqutm,United States of America,57.0,S,453828.0,5.0,O,9.0
CDA5172,2904087.0,GQWBLCZGLA,,782.0,CDARLMYGQKRQXVEPJHLXKLOC,0.0,,1-635-342-9875,Albuquerque,Fdhefnrhuwtfxsqldmdmnbarrxydcbassmpfbvupojssgoeclpfxwe,Qgzmytzaxukqwjvlichabvqwluktuhamigvtutxshiarxmorcuqutwemdmyacanwperyjihpw,United States of America,71.0,D,486078.0,,O,7.0
uds5173,2570253.0,Wgqthzteqcjxqyr,,588.0,udszqccocx,1.0,Philip Morris International,1-483-132-2771,London,Nsdmxyhpsklodqarobpliigectvvzbrkvnnauxewlavapdrwq,abbedjggjvriqudfqptmiznljkukskdhgvztluldyw,,43.0,D,146543.0,2.0,O,2.0
Vkk5174,375793.0,wbejttshbftkudxmlrutuzjml,c,,Vkkxojbojuqlv,1.0,URS,1-330-750-3010,Charleston,Tpfkdtuwdfeeqgwibyrxxawrchlf,Yghliyrgbnbdqjhwrtql,United States of America,92.0,,209237.0,1.0,O,8.0
SCB5175,3439394.0,aheteag,,765.0,SCBDZSUWLMP,0.0,Michaels Stores,,Evansville,xpirftlpugruxozdtnucrndueepnkcadldio,DHXXEKNBMOTHPDQOVPVL,United States of America,66.0,,148323.0,4.0,O,8.0
Xdp5176,1773668.0,gljrmupucgebtezaekhvohkxv,T,541.0,Xdpdduebalvbibrkdaz,4.0,State Street Corp.,1-637-009-5251,Lexington,LYOXRLZLKWPCPRUTUGVVGUGDCG,Rjblfmiiesorkntodbbfcbkjfyqhhk,Canada,,W,305899.0,3.0,O,8.0
VNF5177,537987.0,Vfrohadjimflwdusjpdbfcoqpwec,A,611.0,VNFMVFSZFALJX,1.0,Verizon Communications,,McAllen,Dwcgjvrmbyqsyusvlbpjvom,Hrlvrbrnoxsjbhjzujednwxqtdtpvvudpblphfqkevdaywqtwemfweandlsgcazhhzuzmqgy,United States of America,1.0,M,,3.0,O,8.0
Duv5178,3723984.0,FZWDGNPF,M,409.0,Duvhx,0.0,United Services Automobile,1-841-477-6841,Gary,Dumlfnebeqpmyutwmnsrpxnrzjbhirndoptauomdsaxscohjgqmnwguejmdjqsvgwmdxp,rsocnfsvsxrwhgqtoyqomwkpykshivwpy,Canada,54.0,M,332188.0,5.0,O,
Lzf5179,258911.0,Bzhsdehquuauhxnndodflbhhgcxhn,M,610.0,Lzfjnubfqkryulnuvrqw,4.0,MasterCard,1-607-282-1269,San Diego,Bftppjskmujmsijcnrztkxtlsf,Lnvgtmxpglwrnxnblwtrgsjviverntjlvlyvavmfitpchkzcoblrrsqcopiwujpvnh,United States of America,11.0,S,275296.0,0.0,U,5.0
Mbu5180,1668412.0,Zjsql,,638.0,Mbuvtsvdvaiuocgg,4.0,Kellogg,1-314-139-3868,Pueblo,Rdgqelfswhpussniqvj,Sndxbwexpabkrlhrjatckvamhvktbiugupcvcxwmterxefazmtldcuczp,United States of America,25.0,,453755.0,3.0,O,1.0
Jog5181,3484024.0,Zcxmdvrbqinyrny,m,442.0,Jogcvaxrwpsastuyfxslq,3.0,Mercury General,1-641-617-0087,Fort Wayne,Qwhhvqmkpcal,,United States of America,6.0,M,56931.0,3.0,O,9.0
Oop5182,1069212.0,bseiqskzndrotciqijlqsbcwuydcmf,,391.0,Oopyqphaxnwdbccscxfbzdgonmkr,0.0,Cognizant Technology Solutions,1-898-581-6062,Great Falls,dftmozdqyrqppuveciukldpswpobtcoyivfirytspqbkddvlboufwepnefwnbzprmgsacdxxm,CIXFZLBINGQWESILGJAWMFNOHKIVCUEZEJVKFNIJRDYLH,United States of America,6.0,M,206130.0,1.0,O,2.0
Agm5183,3142867.0,Jouqsjviqzyaaperwuabuhkbqjolov,a,353.0,Agmvgejrvdozktnfxvqnrt,0.0,Cameron International,1-441-218-1245,Sterling Heights,,Ibhwhtlcrhewnulviojtervvuspkd,United States of America,33.0,M,46811.0,0.0,O,3.0
RYE5184,1895960.0,Symwuhnvscpx,,336.0,RYESCPREIOZQWFLRSQCW,,Nucor,1-001-707-5590,Jersey City,Uorslvsnzprxbknlxifrcbrqsaxuvebz,nzfoixcxhvtqjvpcqtbqyvzupfhkeeeqjartjqjjftmxwyosolovpmmttkfbiynp,United States of America,11.0,S,447472.0,3.0,O,6.0
Tbn5185,2386093.0,MTOIFDAMPUAROOLJTSIULFM,l,803.0,Tbnmvxoowzqehdgpl,,First American Corp.,1-733-220-7125,Sunnyvale,Mpnhnxseeesistlcmsktjjtxjodkapfmnjkujcylavxftpbequksmrbaljkzvspdowkkosbrxn,MVOAUNTQUILDLRMOILRUSMWHIFLM,United States of America,2.0,M,191758.0,2.0,,0.0
TVO5186,3414196.0,XSSGTNPCDBRDJQNKSXA,J,418.0,TVOIRWKNWWDFVKUACPIA,2.0,Huntsman,1-282-265-3243,Warwick,,QAJPFBXIYVGBXNRIRSFVVX,Canada,81.0,S,487286.0,4.0,R,7.0
wpx5187,2587044.0,UWMJDONKHYIYKER,,632.0,wpxcfqewllgpschjs,4.0,CVS Caremark,1-768-291-2465,Lowell,Gvdcxmfhrkxqucadpyxtojpqsqjffizqeqzgrrzzrnnidiqhopetd,Izfxoyttajbimeppfkpuwrjtfarvonsaubnvdjssqrhwloueafs,United States of America,98.0,M,101773.0,0.0,O,9.0
JCF5188,3565494.0,Wzomzkqnnpqnbibqvxvlqrpwftdx,z,505.0,JCFCMOXKERCBQYOCIHHWJYBFHWLT,1.0,Ametek,,Henderson,Kpazrvmxujhkklxgxurnweifzaxilmvagjtwdhdsamatteriwmmyodgdczt,Zknasjtfnnencm,United States of America,21.0,S,356923.0,4.0,U,0.0
Wvh5189,1979153.0,USDZPBOZXLRHTQMPX,B,401.0,Wvhuigocbdlbt,3.0,Reliance Steel & Aluminum,1-175-214-3364,Dayton,ZOKLVTUECSLCIHBIBYYSXVCBWMW,Jwbiqfj,United States of America,49.0,,238413.0,3.0,O,9.0
Lnv5190,3346972.0,GMDLGTCEXCINBYZ,,549.0,Lnvwmmrlik,1.0,Piedmont Natural Gas,1-520-249-2486,Durham,TTSSMDSBVLETGJNVIPGFTJZMEUJANJMLTPAGRE,Jpbwshfnxrhpdmfqspvjlkvxgwujqeb,United States of America,11.0,M,439618.0,2.0,O,1.0
Skr5191,88831.0,ZGQAXGPPJMXQCNE,H,713.0,Skrhtfguhnerxxktyesxpexzpe,4.0,Portland General Electric,1-487-432-4891,New York,CBPXYWPDNFPQZMXKGYLTAGGVVIMFENJODHWBBLBGROCLLYGNWQBXYCQPUPNJ,,United States of America,97.0,D,374104.0,5.0,R,1.0
Xxw5192,3520688.0,Brsavnjsglesaefziqbvunirvmxvnt,g,733.0,Xxwizz,5.0,UAL,1-624-999-0729,Lancaster,eqrmjvvfrvwtsrrwix,kluqxvoz,United States of America,20.0,M,393154.0,2.0,O,8.0
gyz5193,505490.0,ZSHUMCNCUUIQLPCOAUQAKTCH,,842.0,gyzbzhiceynp,0.0,Cooper-Standard Holdings,1-971-051-4981,Santa Ana,eihcbhgiwmumsxsdrkyyoufmowsoivvpcxilqtc,iyymuffrlmqrksjxnoqvhfagqkoarfttriegwjnyqprnbxxtugvreyobcujtyngzbihwcnhyahejpj,United States of America,69.0,M,395498.0,5.0,R,2.0
fad5194,,YLICPGQIPMPRGTZZTIKLEA,,454.0,fadxictsudblyxvdwkygwfqbw,5.0,Guardian Life Ins. Co.,1-271-831-0535,Allentown,jlryefwcsvaauwvhdozugdsiclkjkpctmptiupvbwnvpvkfvwxfgnuytfyarv,Mpndacvurwrziltirkuoldddcswcuptuphulipblufggurixgyzh,United States of America,94.0,M,488185.0,3.0,R,2.0
Mew5195,2773536.0,YSDCGRWTJHWKGIEALD,X,638.0,Mewveocy,5.0,Weyerhaeuser,1-104-317-1204,London,pustqejniqermdwwhgrbrxdoeoolgmxtltqpotxfyvpjufbwjaslbaoxuuqmvgbjn,vqyobvrvjdymwgfthwfipiacwzbpomxuidpjjopcdbzdqgvcqjskjageen,United States of America,47.0,,363058.0,3.0,O,10.0
Uva5196,1852539.0,lybqjrmtomkiaqpuqggdtvnumqcbrj,g,835.0,Uvamaqg,4.0,Principal Financial,1-370-990-6102,Detroit,lgzupqqluqgvzubknwuwxfofofljxikvfrafqvolgud,qorsmdwsahvztjwsflofksmnjxdtavsnejaxfwrtvfsckxxukj,United States of America,,M,279232.0,2.0,U,0.0
HHK5197,3057999.0,FIOFPLSCJYQKWGJCVOGY,k,,HHKVQ,1.0,McDonald's,1-847-490-7878,Pueblo,Tpxdlhluoqubkutoocixgvrgbnalnkgdtiauyagfnknibsmqefsaeebr,SQYPNREDPRYWOBYITICOFABUJVJMRVSSMMBRYANIRZMPGKEBVCXKQPWDUXANVFHLJDBEIHGXCNOYHZ,United States of America,63.0,S,282401.0,3.0,O,4.0
