NeWo,FiN,Ci,Ag,AgeID,AdLi2,CrRat,MidInit,Ph,NuCreCa,Coun,PosC,NumC,Inc,NuCh,Ge,Em,Sta,LaN,MariSta,OOReFl,AdL1
3702054.0,Qiejglnboxxfcrsb,Billings,11.0,qiw9363,Tcrpscbduepacfwmglkootzinigstuuqyulnhpwclnsntfeoe,486.0,,1-559-131-1347,3.0,United States of America,Txbouafl,4.0,249106.0,3.0,F,Key Energy Services,Saskatchewan,qiwskmanbwyuapwkwytqqog,W,O,Zisxgkjncbnecmpqtkkjnkxxewrqsrtgnaomkn
3474079.0,Hsfwimollqojhgisegb,Grand Prairie,24.0,Xje9364,EFHASLATYPRZKWYQKTVZLECM,342.0,M,1-890-526-1657,5.0,Canada,MGLKOSSTLAG,5.0,305306.0,5.0,,Marathon Oil,IL,Xjentilutpkqclvzrsklvekht,M,,Tduwwnmzpbancwdgcyhv
837037.0,jysisysiu,San Bernardino,58.0,edw9365,Icmokukmbfxltltwdldnjaftsnfkkvauhuqaxqdprxfjrurhdvrszzakogzqvqrprihbjadvqqskct,346.0,v,1-765-701-6530,0.0,United States of America,Iemtqx,4.0,31765.0,3.0,,,PA,edwoaxqkoocmyslqfbplsntuoa,U,O,Esdodf
1482994.0,Vogciclxaweasmyvtlojxljtn,Huntsville,35.0,Ayj9366,,319.0,,1-739-416-0201,6.0,United States of America,mkevldommwq,5.0,329439.0,5.0,M,American Electric Power,FL,Ayjdbvncpqvikogackpndqhirjeywl,M,U,ANVEWXDUQMOHXALSVWMMEQLEOOPDKYEDOCEARJIGFLK
3433840.0,zdorgqcfqtyrnwsd,Concord,55.0,smf9367,,782.0,p,1-219-366-1225,9.0,United States of America,BIYIZAITG,2.0,49130.0,4.0,f,Thor Industries,HI,smfnrdwkryfjlhdtfcotqfrs,S,O,GIYHHMYMDPKFTWPODHTEMTCYUWTISDJOCWKD
926004.0,GMBXIVPC,Rochester,46.0,Flj9368,dnicw,827.0,,1-493-603-3040,2.0,United States of America,Nxtmpryovw,2.0,432107.0,4.0,,Werner Enterprises,MO,Fljkjnwuolfizmfrrsdv,M,O,Wshipoblsnieamuyfctxzacqt
1032078.0,gbifcpoa,Cincinnati,30.0,lrq9369,tlbggymtvofrydkmpzkr,705.0,I,1-268-764-2083,5.0,United States of America,TLYILG,1.0,321346.0,0.0,,KAR Holdings,IL,lrqsfwewbpqgvkpe,U,R,Pxozlbexqtershanbrzfitnxmbwbzunsrylsjvdttjlqbrockvgaxzlsbuuuqxeilmawkpttjiqka
677109.0,SSRKBTKIRBRPAHD,El Monte,27.0,Zrb9370,Qccahrnbhkermqxqstpwargqhmyfqfwxnsfmfctetezoayed,808.0,S,1-345-028-9922,0.0,United States of America,dnqwpc,1.0,471404.0,1.0,,Bank of New York Mellon Corp.,MO,Zrbfcondoikwmxxd,W,U,qpgnstdxctltzftdpwhavbswurdl
2824015.0,Rnubaocxxysvcnjumairk,Aurora,26.0,Aqo9371,Agnioxncoulhoxtkkdsqjggajkltqixjsnlusymwhucoiinjdbjnkjsnmofvlxjolcywklkao,837.0,,1-067-056-0181,9.0,United States of America,AXYAXKQ,1.0,434232.0,2.0,F,Ashland,SC,Aqosnyjpzyogzk,S,R,Zboqlqxcslsknqbetigflwjhuctwb
2823628.0,IUQDQKNXVQABDGI,Bismarck,36.0,FBJ9372,GGBDCOEXQGQTCJQOSIVQWICSDIZKAPWFZRPUINMMWSYXGQKSKDQSAJLYGPMCMHFULVZIXBCT,576.0,o,1-231-999-0171,9.0,,JNZAAUOFXCWD,2.0,354702.0,,,,MI,FBJVTMODMRXGCGOQNL,U,R,Uqmcajxljgjlclplwvpg
3865939.0,qgyuuqqkiphodkfxzjgdmkq,Hamilton,92.0,PWQ9373,HKBLGFRRHYLUFTAJUTHVEUFSKXKKZGCFUPPCTDFXTMUCUBBKGXLVDFB,623.0,,1-951-980-6497,8.0,United States of America,JXAHYID,4.0,91047.0,2.0,,,Saskatchewan,PWQEELVHLSLQXXW,U,O,Syjpyouwdnuusoqbjibhwqjmawersprxmaikkfvxvjenlkwujrojbvhrwqnpoeusccsvhwyphgtiua
706155.0,Koslxxpun,Providence,100.0,dkk9374,cgavkpjdxhyhliauilbndyyphalcu,392.0,,1-015-592-9503,1.0,United States of America,Lraunszebds,4.0,245856.0,0.0,M,Portland General Electric,Nova Scotia,dkkbuleomucwvdquzqhwzv,M,O,SJZOCXESRFDUCUJACGPHKTNYGQSCGUMHYYTYFMIGPTUGJRFMJOHWVNSSGIIBMSNHHIQD
1704399.0,Rgegmnysmyfzmiq,El Paso,89.0,NBE9375,ADHWFKSYGOAJJGCJVBSCSUOASZIYLCETOKLXYUWVQQPGHGXJZHUCYGPUKUPIHDELDQQBGNXNYJUB,367.0,,1-768-185-5140,8.0,Canada,ujqdfvffoh,2.0,230479.0,2.0,m,Chubb,WV,NBERSMIMGLHLHRVIQXDTXE,S,O,auchfnpkvtzvifftsulbcf
3871317.0,KTIGDRTUETBL,Tacoma,30.0,kds9376,wjpwumtvmxmbjh,814.0,,,5.0,United States of America,Adsjmwttpsyd,0.0,154892.0,1.0,,Cabela's,CT,kdsmxhuutvyeicjdhndleeedpzsz,M,O,yuvbwdltxiokgmosbpbzjkblkfwnjzfsuwkhsdjmndpjoaacxlgmdquvk
3576531.0,Lhkgjilgwe,Biloxi,89.0,YTF9377,Bbhrsxqhoetnnweaidmgaolfogldth,461.0,,1-468-522-8750,3.0,United States of America,Kdzoqjf,3.0,486835.0,2.0,m,Puget Energy,KY,YTFLBXIA,S,O,Tfbswypagdsrbwvqbvcapgdpgjtgklxwrmhqdxbwbhjqzofwbgeqfblughihekvqxlbdouvboglwldo
3418165.0,Lsoylmccqppuefdejxbbaku,Whitehorse,75.0,ecj9378,Yrjayi,,L,,,Canada,YXOACWDAQY,0.0,325531.0,4.0,f,Macy's,ID,ecjibgbllojcwyaxsulyvadl,M,R,Etqflrjhvvbkotindjubzeqkugmwvtpclcipfdnlswtflyvmhkllxvrvuliekgrjdnryteguarfnkhmq
3762568.0,Uqkxbzsoumjrldqogqvdwkl,Pittsburgh,97.0,DOM9379,Sollcivy,342.0,d,1-977-481-2520,0.0,United States of America,Nmlenv,0.0,466191.0,3.0,m,Exterran Holdings,SD,DOMDOZUFAGQMQBQWNKAOFGREGJJAFA,D,R,Jxzrjwmfmtfviadpqseitrnky
17368.0,Urrexaigbjjfhatwjmldzwrimfnsxl,San Antonio,,WKU9380,mkqvcgbufcooqrjdshtmlomtcwexguweymbmlgtknytl,527.0,Y,1-214-062-0263,4.0,United States of America,xvoftt,5.0,47954.0,1.0,F,Bob Evans Farms,Saskatchewan,WKUSBSJDTXNDP,U,O,
2547897.0,Ihpwkusqbcydigjsauu,Newark,57.0,Leo9381,Scztmieqrphmrrsaxcaldqcvfznnknofzayutahegefsdgwsvyxgfgkfmuq,309.0,,1-627-760-7172,0.0,United States of America,Tqaqnaeo,1.0,43295.0,1.0,f,Goodrich,Saskatchewan,Leoeqdbmzikhygu,M,O,CPNWDJYQDMJHTLLYPOEACLXGSTNFPUQKLBC
3455552.0,Diodgekecfuxfbywsqocux,Salem,12.0,Ole9382,Dufmozxgvkkxxlajeqntiockjglkzvffaewpimvxzqkkejxgshlendjydryqhtuowjljrfiougxnyrei,773.0,m,1-067-555-2307,8.0,Canada,JBRPPDEL,4.0,49091.0,5.0,,Annaly Capital Management,AR,Olejbofkbnvzfvneotxoflbqdk,M,O,LKWQEYMVDHJVZMIWCGSRTHRFZALLAIWEPROICMEA
89300.0,QOMFGPBEZVGLVUJTTSNFGKO,Fairbanks,28.0,vct9383,gaffywuawdywqytudbbrekracxvhfmljvetxoaarfcrreexxganywyfcgovmibamjiutan,677.0,,1-632-526-8929,1.0,United States of America,Clmwphpr,2.0,125450.0,1.0,,Cypress Semiconductor,MN,vctlxovpymfdaadj,M,R,WSOIO
,omzaawslldhiyoldqjkcqigz,Scottsdale,8.0,bdi9384,TZTBTRFAJESCMZGWBCOHNECCSPBNNXPGQCSCNTWBAIRIGQLVTCNLESDVTFHNW,355.0,,1-766-490-7051,5.0,United States of America,ZMHSUEKUU,3.0,50009.0,3.0,F,Microsoft,Saskatchewan,bdippeifpfeyqzcsmvfsvdbfrjeemx,S,O,sxsiqwqjhfdpjmvgabcksottzpqqyhbakhkcelfplwizlcrwadzgvixrbdznjqrletumkye
188683.0,xwvobbwvvincgtjgcpbfvbqpx,Berkeley,6.0,Pjk9385,Uvbqmqioxjswqehglxcrzrkrsybfrnkysbjrfzikhwopmbxgbvbfqbl,850.0,R,1-916-847-3702,1.0,United States of America,Edqjgeiic,,411841.0,3.0,,Ameren,AL,Pjkolknhijxidcfefkxkrf,U,O,dznymfthialltmwcyfabucmgrorcxqkynmoibkvzadqxuowyrngnwwrr
47266.0,qfrjprpzd,Hollywood,80.0,Gzo9386,aknvtjqktgtlcusfjnrdjgzrwjqvtgdcgdmqfdbtxpljnpuazntwvsrdnmoqf,,l,1-197-198-5620,3.0,United States of America,kurqwfd,1.0,282042.0,4.0,F,Weis Markets,TN,Gzogxxtzcslp,W,O,JWEBXMMSQQZEWPDTEFJ
3441452.0,wfrwzbqypcldwvife,Regina,1.0,Vpn9387,Gzmvyiizehcwbrhofpynbiducwpihvdnqecficabqialrmvavmzcmuege,450.0,,1-577-180-8689,8.0,United States of America,ZUWZTBCMEQVA,,76695.0,0.0,,Progress Energy,CA,Vpncsisq,U,R,Ludqlxwprwbxosw
3472455.0,hwnmjeezyolwjzjxrerqi,Columbus,20.0,orf9388,PNSBCWQNVPQLQIJHEUNORRWWFSCSCBASRMKHLJOJVHTEWDPJNLSWNIBRRTSJF,756.0,,1-329-183-8034,9.0,United States of America,pfiaq,,169740.0,4.0,m,Visteon,Ontario,orfqcufybbdwiuob,M,O,Zhcajnhbrckefeqxnvp
2731857.0,Eanahb,Iqaluit,13.0,Hqq9389,Fcnaoxqbewpscmuixpk,711.0,O,1-465-145-8568,2.0,Canada,mprvojlwo,3.0,87347.0,0.0,f,Kennametal,SD,Hqqtesfgobwqhqlxlrigtjhiyacff,S,,ROMDTIKNVAYSJVLQCUQRWXQEPWWIXRGHOCDNJUDBZD
3393312.0,TODUTXSMIHDUAAWHI,Des Moines,18.0,JZT9390,Bxtyylwmgnvzlkyfvoyfglkgumrohqinhgcedqsbzlmvlxorkpothjemqjgvfkhgtlwnjoxqrckjtsc,485.0,,1-861-535-8498,2.0,United States of America,Ampdtjjmow,5.0,134444.0,5.0,,Unum Group,MO,JZTTKFNOYOIZWIGJMTG,U,O,Tnekycorspvxexvfdovtowrmbzjmmekuixdqplxfmulaormplvokteeelrw
352441.0,Umtcmzbnhy,Santa Fe,3.0,UIO9391,Dvqitipgqqihwppvvcpkskxqwbdhwdhyxkhbinvwwashoypphykxagyozkitwhessiwmmzpjht,693.0,s,1-355-189-2132,6.0,United States of America,Zsfooho,0.0,490524.0,1.0,,Saks,OK,UIOSLRRIKHJAJYDGBKILKORBAFKF,U,O,UUWNBWOWUREBRNXJOFAVQPCXTVUUFEBHMNPGCFXEZXCALE
15207.0,Mhcdffovhholpoprhgzgjczv,Dayton,14.0,HNC9392,,308.0,V,1-959-949-9563,4.0,United States of America,Cwrjka,1.0,492505.0,1.0,M,WellPoint,DC,HNCLDFJLSQQVOPK,U,O,
944635.0,pkpszkalqgrakqorx,Philadelphia,17.0,WUT9393,Orwcmsbdkqqkdccztufdtnviltymiigfdmbqnekhpgnitxhjjc,394.0,n,1-817-711-2467,2.0,United States of America,lreffpsoapl,4.0,163057.0,4.0,M,Mosaic,Saskatchewan,WUTEHVRLVGHXSSEGHUKJUHF,,O,RVZNQHOOZERHGTNQODRZAIPGOSWMMTUU
54176.0,zuphdtejtgpdcglfmw,Seattle,85.0,Paq9394,Wbuoscvphujwinutsfthgxsctkpvjqpoomohmprkdgrkbjamhdscmrjlpcgxhyojxlpxdxuxfvpzxb,505.0,,1-649-673-7198,0.0,United States of America,,5.0,31495.0,2.0,,Perrigo,MN,Paqkpmogtsevtg,U,,
2529652.0,Ihqphhwnnqnbcaxgkt,Charlottetown,53.0,WDL9395,Uzogahfwzfdjpifsfivhprsudgszswqmgnzvetdmjnv,340.0,,1-087-815-9390,2.0,United States of America,Hefws,0.0,259876.0,5.0,f,Cintas,CA,WDLMUFNAICOMNMHHZD,S,O,HDKLJAUJJZQ
3677433.0,Gcanwypcjfyslnalignofstoqzfgs,Kansas City,47.0,amx9396,VICZC,,E,1-832-424-1561,3.0,United States of America,Dswxxgx,3.0,449245.0,4.0,,Texas Instruments,AL,amxjfjgruw,U,O,Sngcdgdmiqsfiwwmfkmohlsjjqoqdqzbspjpouogujhvzedudqkhmcoaoaqiuvhztitqxkwyiyq
3100245.0,ZPJYNONRTNKZ,Honolulu,60.0,cyp9397,XNUGQFZZECRNWLHG,820.0,O,1-192-130-6884,9.0,United States of America,Npqncksoe,3.0,143275.0,1.0,,Advance Auto Parts,OK,cypugdgcjqprjtjcxahkwgipyjbv,S,R,qtehiohrmvlmsywpvkqpdx
847782.0,Ckdlmktctth,Fairbanks,38.0,ETG9398,Exhamwkvqtdiijtrdvomdrzusjwtxxycptgzgpwjgjenlywtrjo,501.0,,1-243-000-0593,6.0,United States of America,Ftdav,1.0,41921.0,2.0,,,IL,ETGDMXVVTVDKFGDT,U,U,Ixmmtfdbfnjvjlbuolanldheuojcrohnccjqjmqcvmdecfqzkyvcd
1163096.0,Pcmvaeczcwzpbo,Yonkers,83.0,Bsg9399,Tzidllkblfdkjvfzilvm,817.0,,1-753-749-8892,7.0,United States of America,NFVOAXBA,,257887.0,1.0,,Live Nation,PA,Bsgofuauvjpvtylxalhup,M,O,qifnevglowuqdihkaalxnvkgyzqmqkldrnnowlsqnmehayfqsknaakqg
2521199.0,qiufevykwzviojgg,Yonkers,86.0,OAW9400,clrcphnqhollvdgzkxwdqulvktwzgnadcouhotzdbcodyjhmccjyadeioplmnkthcluh,653.0,k,1-135-620-2410,7.0,,Evetjrnywsyn,5.0,30394.0,,,Univision Communications,Prince Edward Island,OAWEXBZRBGJFZGIGZ,M,R,EDMWBEGIPNMTF
1028705.0,Luridhgs,Newark,23.0,nzr9401,naqsvlttnyuyidwuesydatedosfxcwnfnxn,342.0,,1-770-368-1144,4.0,United States of America,Tmhxsgjcmh,5.0,,3.0,t,Procter & Gamble,ID,nzrumaphavdo,M,O,Chfvsbnuthpjwuihipmjnvteduyqajtfkwjubkhmfvfeessehntixvarvnhogabeqy
284279.0,Bibexkfsqqiimdkapto,Glendale,86.0,Jwn9402,Ujvmmmsduftahqfgqojvrnofrdrlsyykhapfcqqbtholvcnjipgzglzxvzvymesksnlcdpo,470.0,I,1-003-170-7046,4.0,United States of America,Rkacdbnd,3.0,324312.0,3.0,,Enterprise GP Holdings,New Brunswick,Jwnbagheaoevujfanobrqz,U,O,YQXWKSVHJPJDSEMOPVFCPOBFLITKUNUQUDFESTKVETHAGPPWDJEEZBYEUIWUBRJCRQKJJL
3982154.0,Rnirygadoopmzkaehbwyxipa,Macon,95.0,Ozn9403,Wiodeogsqriplnvjdtnbfadjwpoye,738.0,,1-747-573-4013,6.0,United States of America,Dveyqtqgzw,3.0,206115.0,0.0,M,Great Atlantic & Pacific Tea,Alberta,Oznvqpzwxbzyaqsio,U,O,Djmocxeqwenrrnhwvuhuqcvdhptxuuptgxfffynaxmfguybanmlgka
1358649.0,Oakmlfsklfcllmhcwxelk,Palmdale,66.0,Coy9404,nyqihhhvcfprysmdmadmihwmpecjzrphvdnjrgqusexpzlghs,721.0,m,1-651-224-0340,4.0,United States of America,Ruewoopxmx,4.0,286350.0,2.0,,Guardian Life Ins. Co.,TX,Coyxmzjraqajpsfz,S,R,oojwwgn
2950960.0,SPMAHFYUDALAGLJJIETVSVBYKPQ,Greensboro,40.0,Yig9405,Bhxrlypufbnehgitqsuhcaamlfsyctjtljrcwnucigksftzzkoexjdcbjtleibq,608.0,,1-434-139-0541,4.0,United States of America,Uuxtc,2.0,,1.0,,Berry Plastics,DE,Yigivmsskhaymsjbdapgveha,S,U,njdtoxprjctsxbihwydhthybtjimnskiybwijkptlmgfujagoiuebiovuusxdt
,iknynttouqvodefckonfdpj,Huntington,93.0,Laz9406,URCVYYIJPGBDQJVVNXPMDGYTIIAHQJFJIU,387.0,d,1-041-707-1801,4.0,Canada,JNRGAXCHVW,2.0,396153.0,3.0,M,Xerox,MN,Lazjxsva,W,O,
,Sofdvnjwuyj,Nashua,,Gou9407,Giokxxqmvnhmsaznkxsdbymqnmxtarpziissclerbxqonawjqnsobvckzrvkduyks,,,1-142-543-8989,3.0,Canada,RHOLT,3.0,113282.0,5.0,f,,MN,Gousrcxolpdcppgxnuwosiljedjrq,S,O,lazxabkldnvllkfvjgabduysqudrmwjkyjaqcivexokksqixs
3035527.0,Nqgsqguixwb,Henderson,67.0,Den9408,Tnttrcvxotyiwwjaxwodqquvisgfirhfbnyknfrhmnnoollhlontqexgzoggrlhoegway,535.0,k,1-642-408-5459,5.0,United States of America,Cbjhpobwsvvm,4.0,107612.0,1.0,,NetApp,AZ,Denwxbmvj,W,R,Kilgrntjdfhxg
,Shuvwtjrfoupgnutmljh,Colorado Springs,44.0,Jft9409,Wiqmtegcgqblnxywptpalhniqwlitwllxbgshbuxpmejgmnsthttbvfvqxugqnshv,602.0,v,1-471-916-3022,10.0,United States of America,Zfeztlg,5.0,52850.0,2.0,m,Cliffs Natural Resources,AK,Jftpoenpdwhtfpl,M,O,Ipepdkutbkyhwnsnbpmwrzvkuboxfgzofceqnnllzz
2078834.0,STWVCISQT,St. Petersburg,85.0,SBQ9410,Hbdmrwjmhz,791.0,S,1-916-703-9205,1.0,United States of America,SRANCKDPCPC,1.0,442069.0,5.0,F,AECOM Technology,MS,SBQKXFEOGDQTHKASJGCVJMPXRTQ,U,O,Qmwxfhdnuvr
932477.0,PZBNHW,Columbia,20.0,DQN9411,tfpnrjgsvhvepgpgzwjfmuypzxwtaorbymhnbaodipgbwmtuafuizckqp,565.0,,1-549-791-3741,4.0,United States of America,rryvgejmwlmj,2.0,424497.0,0.0,,PetSmart,LA,DQNCFESCLFGHLRAZONYXOLYMT,S,O,Pfbdja
2356456.0,zwlemodde,Fargo,55.0,Gxn9412,FHEQIYR,785.0,,1-361-871-0230,9.0,United States of America,,4.0,194585.0,3.0,,Hewlett-Packard,AL,Gxnxgllezimfzoydoto,,U,TGFQFIAOIXQVOWPLFNLVSAHBZIVUQXCPWKNXUEHHYEVYFXDCBJVNDXQMLEYNGCAVIOACQMTQH
2372383.0,Xkujx,Milwaukee,40.0,Uil9413,sdlwwsaatjsbfjpgzxwsunbrhqyfduilkuwoleug,801.0,S,1-835-025-3174,0.0,United States of America,AMDNFR,2.0,427521.0,0.0,M,Hudson City Bancorp,GA,Uilwtdxhdxslwdgqcmqlaa,U,U,
2157485.0,vptvgjqcyboich,Eugene,82.0,GXC9414,Doifcitejqvltb,398.0,,1-650-468-3471,4.0,United States of America,EBQOGKXWPV,0.0,25203.0,3.0,m,American Express,GA,GXCREA,W,O,tmeyiaqxajnupsbrmgdwwpyqyuobnjoljod
1629131.0,cnczuhpgx,Fayetteville,40.0,grg9415,Sgoiewrlawhrsaaleqhiqgfuxqvdofcnowooprtjdmbulabu,679.0,,1-376-762-0093,9.0,Canada,LLTSFRODVL,0.0,314243.0,2.0,,Kla-Tencor,AK,grgavyxejbmddfshvsdsqlgmudbj,S,O,AQBABKVAQRXYSEPIXSEYUMVQQHTNKUKWPEXEJSGTYQTHUACSNEEZ
1281786.0,Oyjqmqnhtprerylvposclvexkjk,Cedar Rapids,39.0,Lbi9416,zbwiltbeermwtmcenicfh,356.0,J,1-942-284-7016,8.0,United States of America,Tmuvwebrfv,5.0,215905.0,0.0,F,J.B. Hunt Transport Services,KS,Lbimxyxlfawvqz,M,O,jhdivvnpiuakzmtklchbulifgdzfchfbzeuvciujsfsalbhgnqocsudmvjuxkihrpxmdoohze
,MVAEBKYZIDNWLRBNKSVBGA,Buffalo,56.0,jha9417,Jbbceekmvuqjorluaizzxhkqsvfgdafwjveobvgdneemkuqfwnychkxuxcbsivrtceaclngthck,480.0,,1-294-143-0630,9.0,United States of America,wjiarafv,,249321.0,3.0,,Cabela's,NH,jhagzgl,D,R,Rwcvrkwajhadbf
1912860.0,JXVULDMHRNZ,Biloxi,73.0,HMW9418,FZJTXEYVNQELVINIYIRKWRQWCREXQFEPTUKQOUULKRUGPDKNUIMRXBFZJC,376.0,,1-777-426-7369,8.0,United States of America,Xcjpcs,5.0,435102.0,0.0,,Nicor,MN,HMWBGTSOGICYSOMKLSTXWZTCQA,U,O,
815582.0,Dsehgwshkvpyzzg,Simi Valley,,cvf9419,Dubtnimvgbjrprquchcvkllnlfnbnenqftvxijnrukkpmfr,591.0,,1-976-380-0264,6.0,Canada,hpffav,1.0,359437.0,1.0,F,NiSource,NC,cvfulexvpzags,M,O,kxpgibfstrkkftbdyamucdbalmqahemrsxhsjufvtzixcswafwqbquhsiwvqobyakuktihs
1475743.0,Uurhfxjhqhxdmcfdmvrhyhr,Garden Grove,61.0,Psa9420,Abieoesbigujcb,516.0,,1-733-952-9511,0.0,United States of America,cpsidgtqeqz,4.0,197021.0,5.0,F,Crane,SD,Psajlnai,M,O,OKDUCMYRPLMLRE
455426.0,mcpbvxpprrqmgfixoqkfpc,Yonkers,33.0,tcb9421,KBINNWPGVFJSGT,595.0,,1-461-827-7331,4.0,United States of America,ZQNUFV,2.0,188916.0,,,Wyndham Worldwide,WV,tcbavzovims,S,O,Wfentbammniegyxnfrwpmbzfndaomrdlzzuwrwpkiqqevcagwsvwpssmreylctucdnnwhvingmw
1352390.0,Quvkyrryldmgjjobgphhnmgqel,Fort Worth,73.0,Mcp9422,Owfebaarhdwdzwmcrqsjjtcysnvgsrtacxjgguhncybyhdqxmdgyyarlbzhlcbxcec,688.0,,1-505-629-5554,7.0,United States of America,Lfhhapm,3.0,181793.0,2.0,,,DC,Mcpjwibnpbcievzaidbpdyzevjnwg,M,R,Qzxcjjloqrhqhsvqrywvlaoeqppetbcrvmwn
205601.0,WYQTPLKNAZJQEISYHGGVNYRVLL,Warren,67.0,Gcp9423,Xatwcojywlcxxqnfkgajhlxwmbksrh,724.0,,1-993-925-5242,10.0,United States of America,Dugyig,5.0,271110.0,1.0,F,Bemis,PA,Gcpbqwoxfbgawsaxfsbjcobzpalqtu,D,O,Addnshoeikxalllpgtmepn
2763552.0,iugjhlhfjejrmb,Orlando,34.0,Mcp9424,jzpjjhzxg,813.0,,1-700-360-1448,6.0,United States of America,aqhqovlxo,5.0,43922.0,0.0,,Kansas City Southern,CT,Mcpeasqbdksfhhicigig,W,O,Jcgmbs
2495715.0,FWZMH,San Diego,15.0,Sgq9425,DUOPZBJWIBVHDQZUZUHQYJOVCCYIRWKYDDYNCXWSWGPNIHPINTP,307.0,,1-852-810-8213,,United States of America,Xbchvvw,4.0,72410.0,2.0,M,D.R. Horton,KY,Sgqmixjli,S,O,Ybbopmozjtqlbuvtyqtjhmballiaxapdsvdmuffkbpeatazhwaxhqmnndcc
2159419.0,Bnxlshrviffxyvvjldvuwzndapj,Philadelphia,58.0,VBI9426,znvwgubwkcqhavukltgprkobgbvtkumtjpcmkrtdmlicejikbdlomtwhurujxhlrktpyhqawcjjd,729.0,,1-815-234-9736,8.0,,Rwbnz,4.0,53233.0,3.0,f,Yum Brands,KS,VBIAHYKCJXQYRMWFQXEKO,M,O,pnpphhyfcisxlifcltnqxirbdmzdfbweduyirvomsrqymbsppujsp
1071328.0,dybwtoxepxusuatkumuxxcb,Palmdale,45.0,Mjy9427,sorvpzj,656.0,,1-802-548-9072,9.0,United States of America,Timxvejl,0.0,246776.0,3.0,,CB Richard Ellis Group,TX,Mjyhgaskpxawfzvlns,S,O,QTAEBN
501427.0,eekyymnvwehsrscvyy,Las Vegas,57.0,JDI9428,whiiunlynyjhuxoojurodoorbxihmlaesugfpbcyjvhrxubzpwgkdbqwfkifhbkcnfkwupliifxda,810.0,,1-234-384-0542,3.0,United States of America,Jcluvsj,2.0,474229.0,,m,Paychex,NV,JDIVWSTWZIVNDIVIXWHXQUQTJRMLH,D,R,YGUKAIMCESZBTSST
1364129.0,tcszgwdovexmfuntucyfrbmxrxh,Fontana,13.0,Jgv9429,Hdbpicbavfkrzyuelonix,613.0,,1-283-018-9240,8.0,United States of America,Estobq,,346332.0,3.0,,FirstEnergy,MD,Jgvhygmsa,M,R,
2773908.0,dbujibldqtn,Saint John,11.0,WZF9430,DGHWPZMROVZPJEMB,486.0,,1-314-259-1147,2.0,United States of America,xgjluovvlfrw,2.0,,4.0,,,CA,WZFXOZHVWOENDYCNN,W,O,NIYGALBCIGQOHYCQUMAUJVFTHHISHSRNCEYMGIEPEKORXSHHSBODGDANLITR
3953127.0,Krxbgsrduouxibbtdebi,Santa Ana,75.0,Ise9431,itamhnfsuqawy,,,1-434-880-1350,6.0,Canada,Pkyeawndh,0.0,32728.0,3.0,,Varian Medical Systems,FL,Isekxbydjfsd,W,R,Yvuwegaqkrvghlnmxeljvddebncvgplszgynabweadvbziiwqcg
2931206.0,lbmudhmferazjmmmelvcpcmajtvii,Riverside,83.0,HRJ9432,zbacghjzzgrodqwcwocuhusvfrtjwcxihqbvsgrlhcundsijkchsksmnzl,418.0,Y,1-219-743-5408,9.0,United States of America,Uvuru,0.0,313671.0,4.0,,Tiffany & Co,LA,HRJFXSY,M,O,Wzqjuplvbdkusgeaojieayboslsxrugixmsmuptxhepcadmqwvvcarpxgkljkqdvxagu
1090819.0,uutdzwifdmrcztmoyvjuhcpo,Richmond,77.0,mcu9433,Jlcmqxtn,,b,1-779-496-4262,9.0,Canada,Rwljk,,275885.0,,M,,ME,mcusdrmacvfqmclkvmecmvg,M,O,Ucwkiiogjpvlhcmutteosoiqjownbmbjikbbxotujdgodpdp
,qhamuclkblwgbaq,Louisville,46.0,Hqp9434,Exzsrphbjjzbanzdoiwhggkxdtzwdlukeidpfuespzxzucbroerjskoelqdonjmtolsfqrrrxzn,759.0,f,1-439-159-8222,4.0,United States of America,Gbqvsqudu,3.0,220493.0,1.0,,Fleetwood Enterprises,SD,Hqpeov,W,O,VCVMTMMLL
1121482.0,Xrtztgcavhn,Rockford,32.0,OQK9435,Nraxrxliiotaymrybq,404.0,k,1-179-752-3528,4.0,United States of America,Fptwdytytr,1.0,213252.0,5.0,M,FedEx,CO,OQKWFFLWNULPTXOUZTOLG,M,O,Qlgzpzdwofzzvawkmvadammmazodrwebvtmjftgyhebpzzgfxiuqr
1687602.0,Euaesnqnkubm,Simi Valley,51.0,KRG9436,Jjstwkcpunrpee,544.0,,1-309-866-3200,4.0,United States of America,Exigdjhq,0.0,83831.0,1.0,F,Assurant,WY,KRGVPPEKHCUJZV,M,O,
863567.0,BQUUQFPH,Billings,58.0,Que9437,uwnxwkeevbsiyfhjsvmbutydnnjuipnpook,385.0,T,1-520-320-1879,10.0,United States of America,Ueisrinj,,157956.0,1.0,f,Vectren,FL,Quemajsgmdnqt,M,O,Iuucregtvplbunmpiywryxsmjhahcyseqqnvzbagreebjxvporgidpamfhuxqtvtsiws
1915336.0,Cylbiyb,Iqaluit,1.0,oes9438,utfgzyicxzutqgtjktqdbaklwkbxjycjwzqhfryktrbfjshqurxdegfifwn,649.0,,1-014-926-9892,1.0,United States of America,Thnsvqbm,4.0,,4.0,,National Semiconductor,KY,oesxklabtcibu,,O,Lwqlllxczdpr
1108967.0,Ldinlhbs,Paterson,16.0,Cuf9439,rkwwbefgsivxg,703.0,,1-249-938-4154,2.0,United States of America,Ewhto,3.0,,3.0,f,Sonic Automotive,AK,Cufrjtnpejrlfa,,O,CMJRCR
