prospect_OwORF,prospect_NuCh,prospect_MarSta,prospect_AgID,prospect_Empl,prospect_Ge,prospect_NumCreCa,prospect_CrRat,prospect_FiN,prospect_Cou,prospect_AdL2,prospect_A,prospect_NuC,prospect_Ph,prospect_Ci,prospect_MidIni,prospect_PosC,prospect_AddrL1,prospect_LNa,prospect_St,prospect_NWor,prospect_Inc
O,5.0,,Hbr9521,XTO Energy,,1.0,740.0,Lsdxohossqtarsksnjxjheqh,United States of America,KDCQPAQZKSFAVGNJVNYXFHATLLODWZKXJADFZLIKEHOPJVHGCEITVJSLVGLAFQPXBPFELXYXXQR,75.0,4.0,1-553-253-2612,Anchorage,V,Dkponakif,eylagojbtjclfpcmidqnfgknbzbggvyduqtxubncklvrcwq,Hbrraubcextbxpk,Quebec,991552.0,53545.0
R,1.0,U,XDG9522,H&R Block,,5.0,601.0,QTIPLXMVMS,United States of America,lmadgpwggyfw,61.0,1.0,1-215-413-6363,Fayetteville,,Xxryb,DDIJAMVKFUK,XDGFADCCVWGYOJHIZL,WI,1132095.0,102688.0
O,4.0,D,kkt9523,Olin,,8.0,685.0,Kwiemlicx,United States of America,RXXPJJMFUKTNISULVQNRKEKTWLQRSITCNDOOMA,,2.0,1-845-154-9153,Jacksonville,T,Xbyvh,Fexnprcjrmdkkoulxbwjagvbfulfsuegahujakoojowyxhpsilpoakhnbfqo,kktmdmkfsuwtqeq,Manitoba,1503092.0,484439.0
O,2.0,D,dvr9524,Brunswick,F,4.0,725.0,LPFTYVJXSKKTSBDORIKHCZHI,Canada,,52.0,0.0,1-781-987-8972,Jacksonville,,XVFXZX,Qnqthqwq,dvrmstrwafrpiu,SD,3272166.0,373412.0
O,2.0,M,Lcn9525,CC Media Holdings,m,2.0,759.0,DQDXQRQDHGPOKABZ,United States of America,Dxkmshenhkuxhtngtdbarxmmmeraeyvljkwxnixe,60.0,3.0,1-560-532-0833,Chesapeake,,thrsonqvfapf,Waitogrcivfgmmfprkuvcjhbvrrnyicijbvizibgit,Lcnqarirdnwgyrrpkwjsarvk,NJ,1810930.0,438674.0
O,1.0,D,whn9526,BMC Software,f,3.0,433.0,Pjfpeempxknncgwkfxff,United States of America,izsnbdvvwdbatisungpgzawmhuycxsks,26.0,4.0,1-982-881-0154,Fort Worth,Q,VTOSSEELNGV,NHNPAPFRJDFPQZDIOUFXBCXMJLCVZMXFULZAUSZKELSDOIWBCPOENFKEH,whnxguc,Saskatchewan,721498.0,207133.0
O,4.0,U,Ybh9527,Rowan Cos.,,4.0,369.0,Qqpknsnzxqpxjol,Canada,LKRRWDKLKHXVGFKYFDSDGVBUVDNICWFAMHQJGOGFWQODEJTEFLKMEMJPWELHXAFPKLGXDMMTGQE,16.0,0.0,1-407-512-5719,Irvine,M,xqipnwp,atmsevmx,Ybhmdfxjjhdgccgdi,IA,2814573.0,278778.0
O,4.0,S,Qmy9528,W.R. Grace,m,3.0,510.0,Evrncaxxrrlccewfntssjkf,United States of America,Okrwzoairrnczkqnipmghyblvkaulgcdczdgnuxwkhpekuxb,65.0,4.0,1-914-367-1741,Allentown,w,OYCGIIJBYMU,KYMJIUMVPZIKYKA,Qmyowvbmdmqqlz,FL,2108915.0,157989.0
R,5.0,S,Ujk9529,Cardinal Health,,3.0,660.0,onmoobpphropposcehqbcokaspkhau,United States of America,YAJGGZBLWYVWJJFRXRANAOHSXEKDDISDOVAFXRHESTHB,39.0,4.0,1-740-453-4690,Lakewood,D,MTCNU,,Ujksufyronqmks,HI,3439434.0,148832.0
U,4.0,U,Lcu9530,Old Republic International,F,4.0,640.0,SHEBMNMLZUQDVNJUATFYIRHOGUSAO,Canada,ewptkgmpifdxni,29.0,1.0,1-623-300-6425,Allentown,i,Yrxvz,Smayydcjhiulwsqvvltzrwqfjpxhzijupdzuaagesydjbqolvimchc,Lcuexffvjrtqobscjunozw,NJ,252999.0,240358.0
R,3.0,U,Lnq9531,Foot Locker,,3.0,531.0,STFUBOYXFMVYXMGACEWPCLOGSVDU,United States of America,Waixwsvuvbfdulfvplyugnvsfhruspvyalsuoftwkmsjdzdcwuvtizksbbeeyuwrltthtwsva,14.0,1.0,1-833-301-8303,Escondido,,Bpkjoosn,WHZNLHMNNSHBWWYOUPNTVTLFWNFLXGYHY,Lnqctxswxcdcro,VT,166120.0,114774.0
O,5.0,D,Syj9532,Stanley Works,,2.0,690.0,xkvqnjdcdm,United States of America,Mmartslqdr,28.0,5.0,1-623-880-5407,Savannah,,Jlxrqihpiocz,TJUIHKQYISDWOCAOZSKXGUUDMAPFUIIILOBAJBXHHIRKXQTOKTUKSGIBIMUOZILRNXZ,Syjwz,NY,1963169.0,479458.0
O,4.0,S,las9533,Pep Boys,m,8.0,613.0,Gfsecwmkdbcyaqafnolkrmdaqobc,United States of America,,10.0,1.0,1-571-629-3781,Rochester,,gstgjolgxnr,IVYICJCENUWXCKZMBQSDHYJLRKVBYOU,lasyghlvsjsnuvuxr,SD,3306961.0,165085.0
O,3.0,W,WGM9534,Cognizant Technology Solutions,M,8.0,610.0,ioplsn,United States of America,yqnhwhcsddervchxxxszklyxuncimamfc,55.0,0.0,1-108-758-1356,Henderson,c,Unhwb,jraporeutynrrlmbbfajkfvdy,WGMUKCCRBY,Newfoundland,774888.0,
O,0.0,M,pcw9535,Dean Foods,,6.0,598.0,lvxwdigrh,United States of America,Bpurirnjhezqumhhqzlayfzdefowtarxmoovdrnqrard,77.0,3.0,1-843-168-2446,Windsor,,Gsuyxassa,JNMAQFUAWOASVOQKVFIRDAXMGHTDZXXFPZUDQBBDGTDOYFBQADLWDBMVEOBCI,pcwjtkrxshiomsizqcjrkc,NM,2006421.0,15031.0
O,5.0,M,Hfq9536,McDonald's,F,9.0,531.0,Vonhiaasd,United States of America,FLNTCLHGMXXBBLUJQZJJTLJIAWGISXCGXOZEHUHBNCRMNEXLYAQOAYGRUNUGKRBNN,41.0,5.0,1-360-653-8595,Corpus Christi,y,Mkidmm,Srnxitreylnkhayythbazxddwmxrbwrybuugktjaplphaqbdjxqlrqnusznxaj,Hfqxsbyqrywgyh,VA,2523553.0,3124.0
O,5.0,U,Hix9537,Microsoft,,0.0,673.0,FKBTPSIEALMATWBEKEEGM,United States of America,Unravunbsoqyoisvqsaeqgycnccmudubgposlhvtihwfgkitkpnqahhdobilcgfmeaiaslgoxeaxcbru,74.0,,1-796-626-0062,Virginia Beach,b,wtqkkpvi,Smbbdltfjostkpytkykabxfu,Hixhdvsvsdwnohiuaagyjmpmho,Prince Edward Island,3271342.0,428891.0
,0.0,S,CSE9538,Ferrellgas Partners,,10.0,369.0,anttcutvmjpivnunhdadbur,United States of America,Mqadoxgzmguqsfrpmvsqpenhzndnzortcrdsylkvbcimixqtpuyubvdghniutmky,40.0,4.0,1-101-816-4142,Bellevue,i,FQBFOQI,GIWCMUFHOIYGVVPTGPZVZLSAJDBUZGXNCJPEXIFLL,CSEACXXVU,IN,2547937.0,255697.0
O,4.0,M,Bpl9539,Dell,m,10.0,350.0,Fwiby,United States of America,OYWAFWNTYLEOLSRGDFBYMJGCFMOXTORGTNJWSMYYU,7.0,0.0,1-678-039-3665,Provo,w,Fcgjulorpcmx,idpufvonioqxzcakheannlxptivhdnfoxhyulihl,Bpltljhfabqq,OK,2050507.0,359642.0
R,5.0,M,QTO9540,Simon Property Group,F,6.0,825.0,Alvbnxwudftli,United States of America,YEJQBBIHJKHUMTEPN,58.0,5.0,1-364-201-2596,Oklahoma City,,Yxheyqzr,xblshhqucrzzqvuzdjocqazkmapwrgoekhucfkbvqgovifsgdsamvubchdvdzfdrfa,QTOHDGYYHXFPNTPYPHTNXDWU,ME,537965.0,297738.0
R,2.0,S,HDF9541,Pactiv,,10.0,622.0,voqbfcnoidjelckpr,United States of America,eknhzgvhhlvdfogxtvhqo,61.0,4.0,1-665-961-7967,Rapid City,P,Xysxk,COHDBOBBNDSVNIJMEYNHSOROLDJJRKAEKTGOICYHSLWRGSMZUUKKNZKPTAEZFXOCSCYDUXTKY,HDFUADOUEZASAVOD,British Columbia,1890962.0,
R,2.0,,YWM9542,Liberty Global,M,7.0,842.0,Ebfzhwvfrhzdkdsivcighiqrktqcs,United States of America,Fprqbymzbwekejnxysouspdpgmkfrrfqvbleddlrumelmoctgwagscauyrbsamiqqf,84.0,3.0,1-441-739-2755,Huntsville,N,,KULWLIOKJDFOPBTGYHESFKCWDDHNPKBWJRMVKTZEBJSBAZGFUSNRQMLFWFLNIRXUGNITU,YWMDQMFIHNFPONJHTHZTSZHEB,British Columbia,2743742.0,54311.0
O,4.0,S,Faw9543,Seaboard,f,5.0,638.0,Dzlfrbilai,Canada,BPAXBSVVVEXTYNSBKATKNEKMZYUTOHXCSULFYHMMEETLKUKMIFALDQPKVGRLMVTUBHZFH,39.0,3.0,1-141-542-6570,Tallahassee,,sjqwqetqqa,ailqdqukludmajymvbvonbskjqfwhkxyeosbzvbfdcchzpdhilchjbaevnsbchfkwxb,Fawwt,MN,3414260.0,409026.0
O,4.0,U,YEL9544,NYSE Euronext,f,2.0,399.0,Yalaouhtiwajvxetvg,United States of America,hzzmxlyyefgnljvoqafghxbvlcomgy,51.0,2.0,1-001-648-8073,Fairbanks,I,duikdby,Gqvucpccmwfovcxxbxarmgvryujvqtroyebhxwgwssepuaebn,YELLXNKHPZDSKMEKUSHSMSNI,MO,2081460.0,213527.0
O,3.0,M,Dpa9545,VWR Funding,,3.0,486.0,XHJDYEDWETCHREGLOIN,United States of America,YEKLANUSTIE,40.0,1.0,1-987-622-5771,Ann Arbor,,DCFIFWWNMGO,Jsmdsuudmeegjqjfjaytzgxzzdbynuzq,Dpapmrddvdgrehutxg,WY,1285744.0,3742.0
O,4.0,S,Zql9546,Hormel Foods,,0.0,,oqtufykgequerqxkxatygryzlrd,United States of America,Dsqhyqgmsnhuwxsildzggtdihhhwnafrknyvbqwmajrefmmvhsefbnmevgzuh,84.0,4.0,1-002-753-8064,Corpus Christi,,Glgmnybgrulf,AALZEUCJYJZZWXHDDBBT,Zqlsmptvwelgltbikostmk,TX,,345341.0
R,4.0,D,wtn9547,Packaging Corp. of America,,3.0,720.0,siksxtwcuayrnjmkb,United States of America,VUZOHMZGJWVIGSQL,57.0,5.0,1-994-644-6144,Great Falls,,Uiwrcyeqqib,dcjnjmelhtlcovebrdhdkragmxwwcttfhxxjwkqnihdmalvjabnsrnlcnutegwrjqnwmdyiytp,wtnccjrw,Quebec,3548174.0,245486.0
O,1.0,M,uar9548,Tiffany & Co,,,524.0,AGBVHHHJCHHA,United States of America,lvafunezccngjsudksascwrrvnbovb,15.0,3.0,1-264-803-8163,Fairbanks,,Edgqdw,Jeyvukiuxngummucacnsomvgxnxcrdkotbtvbfmfz,uarjiufutstqhryzr,FL,3823666.0,286642.0
O,3.0,U,PLA9549,Sempra Energy,f,4.0,419.0,Fisprwdtzgmqwcpemcjhisejlzvvg,United States of America,Tpufidvwqltoeuzvbicbyhidqqvblkvlfycfgntbsnrcpqeygwmgbpnpsooxpbcbzeebbhb,98.0,1.0,1-481-361-0304,Regina,w,Ekgomzwbbbv,Amqnnutnlzqxlsirb,PLATLKTXOBBQJSKEJNDEJHJABIIJ,KS,822813.0,173856.0
O,4.0,M,YTY9550,Zale,,0.0,532.0,fwrgtrk,Canada,YROKQIRFCRFDFYIOXJNFXLSDHLKUVTS,24.0,1.0,1-523-555-9650,Montpelier,Z,Lmtzmnr,Azphnyytyjxuwzpqymvgyogdwbkhqpulgouwaxenpalqvcbgzoj,YTYIHJGSSBPKTPIHM,ME,913686.0,76123.0
R,2.0,D,RDQ9551,Family Dollar Stores,,3.0,478.0,XLVMFIPKCWXVGRG,United States of America,Qtgflwyxnyvuvrgglihwqaefjjmnmrqxqmwqqpreobjsaxt,8.0,4.0,1-185-052-2108,Chattanooga,,Nhrnphrvmn,AVGCYZLHJEHLLJAFCWGKWVVTOXHZVXDMJPWNZTASRBIHYVZVALZVQRPWOALIR,RDQJXOAKQSGPYWLWSKZZCK,NV,2616612.0,348221.0
O,0.0,S,XEX9552,Donaldson,,9.0,687.0,BLXUVAHPITCR,United States of America,Osyqgcpyblitleqmbhnpldshrvcpwcvuldkdotlmcfgxsvfboeppvy,73.0,4.0,1-876-758-7615,St. Paul,Y,Okqhmytw,ssmestatbdzqgb,XEXKKV,NH,2580162.0,351887.0
U,0.0,S,Krn9553,FM Global,,4.0,652.0,FSIGAQOPACWIWOOFMSQUJZK,Canada,Eoknaweigvurnupsxckooddgddopidfwgphidlfueuqunbqvqcyfvbnalarw,60.0,2.0,1-728-079-7194,St. Johns,E,EWWHK,Sadhppqprgltkdvvfaeqidyauchvlpnuxdctmuvllkqmnidjsrqbrhewyy,Krnxpfybzfovnshrbodnibukgsm,MS,952324.0,63951.0
U,0.0,D,Cwk9554,Securian Financial Group,m,10.0,657.0,RNBHICHPBVLOOBLIPXECXXEWQ,United States of America,gqawwtprdisfiehybjtduuoculorrdtfolwtrimurubvpjejgaosxbg,11.0,2.0,1-278-223-0919,Hay River,,UJBECSNQLFTR,Ipvvvddgjyueppgsamxfgdkghrkqewcclcnmmhhwtctzaoluywjtfrlnsphghg,Cwkhrcinxxhrffdyqnqadfcprbz,GA,1307047.0,474609.0
O,0.0,M,ysk9555,KAR Holdings,M,7.0,486.0,Tkuvsrawgwmzg,United States of America,ACOZEVNBJXIGQPOSQRSEKMWBXNNJOGEDNBPMIVIEWR,62.0,,1-741-822-8317,Calgary,C,Fnrbwqcsnc,qalgk,yskqmelfwnthxwchsoxz,NY,1543743.0,
O,4.0,S,Ins9556,Oceaneering International,M,8.0,623.0,wdkollevqc,Canada,dkkvemvlddyucbatbixseuqpnwqafzqrgotxfewckkptnrspevylerzwxvw,86.0,1.0,1-538-388-5268,Kansas City,w,qvcpwekp,Eihoxytg,Insrntljfbpdglievoif,OH,601154.0,180193.0
O,2.0,M,Zwh9557,Forest Laboratories,M,,412.0,Fswiuslikqupfkyvbqimfdktbwlc,Canada,imuqkvbfmjfugvirfucmlpahqxvmuuqxrmsaxpaxc,2.0,1.0,1-860-298-6605,Overland Park,b,CFJQKUAX,Kudyyclfljhluby,Zwhtaboothioxskylhh,IA,255089.0,466100.0
O,5.0,S,TLT9558,Toro,f,9.0,844.0,PCXJOCXUJKTAOYLLQVLPKRASITN,United States of America,Tvcenrgskrpkysmbbzhkaxzcyjqrcwqbtnzgjnprhckprsefeflwkffnjroewpxsumqmihijneesgltq,,1.0,1-584-870-7045,Cleveland,,feagoipjape,Dlhwixvhhvpfdqhgnqjjisazkbcgcphquijinnumnjclgudzpvcewybyaib,TLTEKJRWLRIZJYZDCUQ,CA,1692570.0,479075.0
O,3.0,M,RXD9559,PC Connection,,0.0,586.0,Wjwpuuqdk,United States of America,Jpmotsnqvxcggksmyxbwbdzikxytwbxhvlzejyzuxnentmvbujlaxmdbgnxhmsucvkkdf,33.0,2.0,1-922-290-1553,St. Catharines,,Xhedhdg,ZFGVPHWJHLFJJGTTRFDJFJO,RXDPXCFXDMYSPMFXMWC,TX,281870.0,32827.0
R,4.0,M,Nlk9560,Wells Fargo,m,3.0,464.0,ZAUTYUMIGAXADYAMWXJDZKX,,SXZGZGFVCGZBSZWBHQZPRVOIFFGWTBVAKKGCOKXMKFCUVNJRDHPGHDF,15.0,4.0,,Sherbrooke,,Cejyoqer,IDLMHHI,Nlkdtozlyizxylkrzljikxxamihet,WY,3593324.0,303348.0
U,2.0,M,Zbx9561,Tech Data,F,7.0,424.0,xirlkwrmoncobtrbzq,Canada,Lnxmqnwdozimvvxgmozttbzito,71.0,5.0,1-547-138-4390,Spokane,r,zinnoh,,Zbxcnhkxqnknn,AZ,1179562.0,421052.0
R,,U,Feq9562,Goldman Sachs Group,m,2.0,528.0,QFILRNGWV,,PQETFQPWHALFRKNJ,36.0,5.0,1-245-923-8288,Grand Prairie,,tcgyheqojgd,qxaedynevvxmwdsdtfgmbxhegopctykk,Feqphazasnxpegr,OR,833293.0,
O,,M,jrp9563,JetBlue Airways,,2.0,308.0,sllro,Canada,yfkeyxklswohrwwizsgontknrulldhcfnvzznaeepqzeooonpvcfb,68.0,0.0,1-662-954-0862,Shreveport,,Czjce,Eixshyjdpcqaswzlcaopgttjbqujozgsucabuthbd,jrpgaaxufxsqwj,NC,559458.0,447136.0
O,0.0,U,VCQ9564,,F,,413.0,pnpymkhbelwtknlfzaotstgv,United States of America,Lgprkopvjsjqzmdlwcevmekx,2.0,1.0,1-103-293-3560,Mesquite,,Uqmrmj,Ppxvcerbrdxytigaojosotcwvwjldwfc,VCQTAVNYBVVWHBUGMIYBUIV,MO,2490128.0,378352.0
O,3.0,M,vsb9565,LifePoint Hospitals,F,4.0,590.0,nwohdjtmmy,United States of America,ktndwgslfxxulxtqvrnwqkkcamguqfgvdgryhlqbfhgmgkffbvdovzkzfjv,36.0,3.0,1-435-883-4963,Baltimore,,Gbdyfva,QBODMYFUXCTUOIMGQRPZYQGHFIL,vsbcnpbureqnfj,CT,3286201.0,99482.0
O,1.0,M,Bog9566,PepsiAmericas,,0.0,356.0,zpjxj,United States of America,Krjrnbrtgnhsvnlbltssrcdwsqsconfzyqxespseyiympqgutycdnvkryqh,34.0,3.0,1-414-232-5178,Tempe,Y,Nfcptvqgv,MLBIFJWLGEZKALJOFWQJWKBODOTIKMCDXJOGPHYNMP,Bogrmkuphptkotukiorcshx,DC,,202184.0
O,0.0,U,oox9567,Nalco Holding,,1.0,646.0,qnnwnbmbd,United States of America,ceoepcaxnmjxdahrjvkgyfxlaqjuzpgevipzmgtieoiqnxzoenm,90.0,3.0,1-145-568-1188,Los Angeles,,Qkwsq,Usmpwkp,ooxbvhsrwqjsxhrxai,VA,1327387.0,226522.0
O,1.0,U,Quw9568,Retail Ventures,,7.0,443.0,WJVPGYAMVFXRWZTPIRSYJPK,United States of America,FBQBEWQTT,96.0,4.0,,Winston-Salem,,UUDFRWA,wuamjuooutfsbtoppoelyzhcrvupkvloghiebdwupygecmpwknpxmqcmn,Quweqbhvmenjbayscdppdismcmoix,New Brunswick,2496893.0,119285.0
O,,D,jsc9569,CC Media Holdings,,7.0,660.0,Gfwfaqaoxpoir,Canada,lvkqntmjlyanplilynwjywtxxvlevniaolrgrofqfespokxqqpcqqkvejajucbwacxecvn,46.0,,1-099-959-1170,Pembroke Pines,X,Spvlyvcwa,JSCPQMYYDGAFNAXZUUAQISROJEIIYNQZKUXMJQRSHUIVLEUAKZYHKECYVDRBFN,jscpwqrjnkuiiedorcnee,WA,3141170.0,384384.0
R,3.0,M,Gag9570,RPM International,,,448.0,Ngmwagpnhvvdeynr,United States of America,SOXPUBMFISHSTZJJALJ,81.0,5.0,1-849-432-3416,Mobile,,krjug,MKTCYBITZCKIAFRNQXFMSBFVDSNPJKCOQMNIWBPGULPVYUFOFBKERGWHLUHBRTZZAYHEBOGDVZYG,Gagbqsb,NH,159285.0,26242.0
U,2.0,U,Zei9571,International Paper,f,1.0,330.0,Uqmupybnkvapjprlvorammlxiwrr,United States of America,Gszbxwdpborelxfkhnqkfhnptcvdxvkdzqqehrkpkwralibratdmfngafledht,37.0,0.0,1-663-555-7586,Austin,,HSHVSO,Nwwadpmkadtcpxirxajijjlhwzmirxjwfsthhbmwexalysjxla,Zeiiqkrbikekygxkr,IL,3794937.0,
O,0.0,U,lwi9572,Boyd Gaming,,5.0,566.0,Sjpcnhrtjxwjsfmrkxpb,United States of America,Hyercsvndsevudixowyvkbbouhszxqgxtzqisihszdduosqmgwpnmavqampbkvatdmggywvhgfkul,35.0,5.0,1-522-737-2862,Independence,j,Gucwydsm,pcdhbrxksnodfctpjkcggcwgqpazbbzpzduabhdywvyyvua,lwicblwi,SD,2787169.0,467896.0
O,5.0,D,JQN9573,Rowan Cos.,M,0.0,510.0,pgpwpppyjgjhiopcinitdonkua,United States of America,Vnxditodpmhjwxfuqaxepwsuihizktcprsaavgjcbtcwwrzpncrezmlqmyserptyfuxtggykmzqow,51.0,2.0,1-139-061-7035,Chula Vista,e,Bmllxpjz,Nivbrjzgqyqcbcgwvtlgcvdjoafhhfthlswspowpmtx,JQNXPGMHLLPPZCAPAJXBNJD,TX,3243634.0,292846.0
O,1.0,M,XJD9574,Vornado Realty Trust,F,3.0,407.0,Pwojpvoekmzsskr,United States of America,Guwuoxzhirgxcbffptqdrltzrqqbsnujgjvikkfljljeuulbrpydxscapgicztgiqwixtiyvhetct,72.0,3.0,1-140-936-8711,Washington,,xqmoug,Zavmbrnxxcdkbmitavocswkebt,XJDXMCMQGVZHEFHCYDTFRUKARYG,AL,,94349.0
R,3.0,M,Pkb9575,Precision Castparts,,2.0,644.0,Fulsjb,United States of America,IHZTFKLCYBMNWMGWYXWLLBEDVEPKRCCIWDTIONSNSP,23.0,3.0,1-288-512-4531,San Diego,L,,Xrchxbzuizzh,Pkbebqoucfxypflvhjqezmcfnyhm,NJ,570578.0,117874.0
O,2.0,S,Jsn9576,Gap,,9.0,672.0,MSGOHNGJGM,United States of America,,94.0,4.0,1-074-564-4635,McAllen,,jjrlquu,Nqewcdghszypoavedybbfdwnmhwcrosjixzw,Jsnzexnvnqbhaudydsuxphovqpocq,WY,866654.0,168747.0
O,,D,OQF9577,Chubb,f,1.0,827.0,xhxxnhgaesfcmyclvwjpwrg,United States of America,Plpcupgscokwolokjvgqim,24.0,4.0,1-034-049-2184,Washington,f,Tpcnwvevb,Rjjhtnhyfcabixigwoftaiftc,OQFZN,NH,3883861.0,375855.0
R,1.0,M,akn9578,AGCO,M,,394.0,Hielutwja,United States of America,Dmvjprabukcmztutfgbsweszaampoodlxltnulvecs,27.0,5.0,1-958-595-3219,Fort Wayne,o,Vcuynca,BOYVUZELOQITOYEMKNXISMFPY,aknmkcyxvwrgckjksbxmldhe,Quebec,1661912.0,310793.0
U,4.0,D,wow9579,Biomet,,8.0,542.0,VSIVUQISFGOTZCUSWJZX,United States of America,Ackrhpiilaetjmvoc,59.0,5.0,1-152-835-9487,Hayward,,Bunjvklnisiu,Zjppddropiovdkckwdciosvsrcbeuueyredqxmgoewibil,wowpxjlroveoinxgfkpglbo,HI,2334122.0,206675.0
,3.0,U,SGV9580,Spherion,,10.0,675.0,owqxqruuvfdotxguzjizkqqyd,United States of America,RXCMFQENVJQBMFWOGWMVWQTVONZZWHWDTYWZVGGKREHIAZHEWYTUKKLWJBMCCDIPUJZWNNJCTBBRADHQ,55.0,4.0,1-024-257-9090,Scottsdale,,Suhlnnoxidyo,Bdjggtbiakdfikrtptaklpacscvhldcsrtvofduvqjddvvkmdjtobggdjrhcdcndswskbzsqnrzlg,SGVNCFA,IN,2651982.0,367962.0
R,1.0,S,Ace9581,KBR,,4.0,415.0,GTEYCMPKOPFEHTIDEVGDRBSI,United States of America,Qoacivaxdkalsorhvdmwzppttwxtpvzcepuupwaijpclkreoovpep,19.0,2.0,1-346-424-7217,Sioux Falls,a,Almthx,Cqndcqsghqrb,Acehtmkwg,CA,1839032.0,497404.0
R,0.0,M,Ziv9582,AmeriCredit,F,6.0,695.0,Uwmrnfrsfbivpfmemaltl,United States of America,qxcflqpuudiqcpnavdtswokbkbrffccwactatexkbdu,32.0,4.0,1-656-335-6322,Bridgeport,,CBUBOPRHHQW,Iuutkubzgtywbziqphkexcckylapoau,Zivbeprkffsxrfz,AL,1927218.0,23985.0
O,,S,IMK9583,Barnes & Noble,,9.0,834.0,Lyrjeblke,United States of America,vvelmcsawscyozgbpornfoyjwfxxkabwbbbueknrvcivdubwhwdawobauoswionxpetcbzsmuooyubuu,48.0,2.0,1-919-212-4817,Fontana,C,KKVRSLZGEI,Fwselhldygqcmazhkfbzx,IMKKQPAHENOWDEVFLUVZBNQL,MD,2633551.0,439662.0
O,,M,Ylk9584,PharMerica,F,8.0,671.0,pvwbbqeanswwxjrc,United States of America,zhqrzuylisoypqwumvlknptqnkylauuqtmvpqomrsltxifunapzo,20.0,1.0,1-535-055-3536,Fargo,,Rnsyas,NANGJGKJKLPYIOOGHMODUNBGGRGRRQKXDHF,Ylkthqservgp,AL,3287590.0,369204.0
O,,M,Zwl9585,Waste Management,,1.0,301.0,Zbprkavxewrrxihwrqdfkrnp,United States of America,clhdhvbmxtqlydgutnxbdpjzbsapqenqyadnymnkueavkwocfbjgpdfvripgcdmrvv,90.0,4.0,1-329-330-1734,Minneapolis,,eksbqwvego,Jmxpwornzweibcoquxwnmvnvpicevxccutqdvvkohpyojy,Zwlnpuduqrvgmbboqmuxsn,UT,2043569.0,141929.0
O,4.0,M,Oxi9586,Philip Morris International,F,2.0,714.0,Lzajvdgopory,Canada,tddjhwydgidvepwfxkrywjfolmq,3.0,,1-998-953-3901,Charleston,,Eifoepazwvtd,Hpchloumeyguupqqzozkgamhiizdhrftrbckxfpmpsoidcdxrhz,Oxiaooaibcbbockq,MI,3024522.0,365389.0
O,0.0,S,HYC9587,Air Products & Chemicals,,9.0,641.0,Pjibmstg,United States of America,fhxarvcnggirlknmawrpshvlqncfugid,34.0,,1-649-495-7117,Elizabeth,K,OROJEAPJN,urpfeqchowzwzamchwrietvcqlkcyqablcjjxsugzpcknrwwqtjxlaiqnvdenedbljxicblngaiccpxs,HYCNSCQZRTHQFJYIVCNRHNZNLIBU,MN,2097877.0,234124.0
R,2.0,S,Yik9588,BJ's Wholesale Club,,0.0,582.0,Kyflluulstnop,,eoxsbsibxmnnuakkrqlgaieqnk,99.0,3.0,1-603-787-0064,Lexington,V,Bosppjl,JYASALXNBJSZXRKAEVO,Yikatvsvrdyppgu,AR,2114972.0,298976.0
O,4.0,M,FFM9589,,,9.0,318.0,Iwshlllilpdpjpyfaxirn,United States of America,GMFVOFMFOGQGLBAVSXELIWNQLWBUMPASGOEZBKETLBMKTOVRSHZBDHBTNEMSFMYRGWSPFNQW,25.0,0.0,1-724-827-3598,Santa Ana,,VYHAXHRURO,MJPATPBBFJGHR,FFMQWXU,Quebec,71123.0,323188.0
O,4.0,M,Tkd9590,Aleris International,,6.0,513.0,Viwnqmi,United States of America,Jcjpwtkdnsylsdgrob,90.0,2.0,1-750-106-0156,San Diego,r,USCUMJLZ,IGOENRHESZLVVTATVQBPTGLKBSMUSANPCRYXSSNZQFQJPBJGZQORQRJUR,Tkdrblqi,NJ,481333.0,125822.0
O,1.0,U,Ucz9591,,F,5.0,795.0,qteywprmaoq,United States of America,wpnwc,11.0,3.0,1-963-696-2524,Chesapeake,,bfblph,Bhucrckyjxffvvrdgxqloqpecdhlflkesvutoefsdownsgihfaoivxnmipdaxnsnelwmhwblfmdj,Uczwtcbdtffpayfbcoqzjvdyfmhpb,LA,2491861.0,382939.0
R,0.0,M,ist9592,Levi Strauss,,5.0,720.0,Bfpyktuftistcqgkxccidibqqlpd,United States of America,agfpicyolhvwgrswbzkxantujrdkqeujetlgkcryhlqwjqofnhcdcdalvvcqjunrybezunqqsw,30.0,5.0,1-517-390-0230,Arlington,L,Linglno,fepgcrsevmgbinqybhbwoexmgnlfi,istdyt,WA,3221662.0,141355.0
R,1.0,,Wyq9593,UGI,N,0.0,351.0,PPUQORSCCJEDVFEKKK,United States of America,tuyujrw,79.0,5.0,1-290-754-4689,Overland Park,,Trqcrrrzl,Njconlwyewrukkwszrrqpnaei,Wyqcinkbkqbmxi,Manitoba,1959595.0,364346.0
O,3.0,U,ERG9594,CH2M Hill,,8.0,845.0,SXWRIAS,United States of America,tqkhmqscbwakpjayystrhwmbknqqaiwebgbjhdbhefrolfjnowbjsvlahgpbodupjhoagdbidxrus,89.0,1.0,1-637-106-0842,Alexandria,P,Zoqzt,Xsbzen,ERGRBLXULL,CA,119276.0,86581.0
