prospect_AddrL1,prospect_MaSt,prospect_Co,prospect_MidIn,prospect_OwOReF,prospect_Em,prospect_NumC,prospect_PoCo,prospect_NumChi,prospect_In,prospect_LaNa,prospect_A,prospect_AgeID,prospect_AdLi2,prospect_C,prospect_St,prospect_FiN,prospect_NeWo,prospect_CreRat,prospect_NuCreCar,prospect_Gen,prospect_Ph
hobpeooxafabekrebrqfuuoamwuhgr,S,Canada,,O,Affiliated Computer Services,4.0,HTHXTM,5.0,235487.0,nwdzacwzaaemt,33.0,nwd9493,KKZZWTSNPIGGBTPFWJLIBJOPSQDMAIPEJMJSKFLVKMROXNEAQBWGUOMMKWAGLOLKNGCUCIU,Hayward,IN,Txjmlarkrczqgnnhlcbwu,3327641.0,,5.0,F,1-362-203-7159
Eewdqmpadwhravltiaumbrgeemanohflompvkjaijgjkiltclsysruzugicwmq,S,United States of America,O,O,,4.0,Ktwng,4.0,491115.0,fnxcpeweuvzcctztnewbb,9.0,fnx9494,Jlknmqmiunblahivqwbsdzcaoekirrnhpundbwatmirjyubdojkeljzrdreiuhuvg,Shreveport,PA,ILILMVTEUCJYLPNZOWRRJVPZG,1816348.0,496.0,7.0,,1-884-559-1729
Qkdastidobuhiogyoepdaxppzqptcwuzyhdmvkdsttqkqbcqgatxhpivflfmxx,M,,,R,LandAmerica Financial Group,4.0,gvvshn,2.0,256666.0,xglhedljc,1.0,xgl9495,ejizjkxphcwetojwbfdrniiduwtarqtevimzvip,Evansville,VA,TPOLWGNSIPDZNHKFPOTSPYQXTEHI,,748.0,1.0,M,1-725-024-5182
xotuwemogf,S,United States of America,,O,Kindred Healthcare,3.0,YNNVY,1.0,286893.0,Psvqblfovrmkpgtuqcykaqtfilcwnr,74.0,Psv9496,FGEWHUXGOVWFFLR,St. Paul,MI,Fqczqnlshdxgxptfqntxi,3435022.0,792.0,3.0,,1-308-338-7519
EECZFSWXTLCMRCCXZDEYXZKLCFITLNQPTY,M,United States of America,G,O,Buildings Materials Corp.,2.0,Wgkwqaxh,,288389.0,ODJJLCHLESVHUKVKRCUVC,34.0,ODJ9497,XFWSJJDDVSJQYAFWCSGTHTXSGHXCFCVFXONFCTVJYELGNAB,Richmond,OH,Fjkqdehhyecbfjolf,156473.0,699.0,9.0,M,1-741-219-6035
Ywckijppzilxrewmocgnyxwatwdvztwqazxcvblqbwxtmhhbsxmhxnefnthzvlzlfu,S,United States of America,d,R,Mueller Water Products,5.0,Vofudytah,0.0,213958.0,GIOWUOZUZOAWRYHE,95.0,GIO9498,QIMUPZEJXCJJLIZEUKSSXDCRVJZXQPSNSBHNJ,Grand Rapids,NY,Boruvwogralvzujhm,484180.0,,9.0,,1-739-791-3178
lfberiectxbowjnwzrohugjucfhnwhwtonhcxwtikg,W,United States of America,,R,Icahn Enterprises,0.0,Oyhcglbo,4.0,36584.0,Sytkboioxgvavywcag,,Syt9499,Wiwmbgwufcgjaurlevccrhqauifofonwvompxyxtedhhtvhraisbhqsykyjdde,Raleigh,VT,ABVFXVEHDLRXTYQ,3122213.0,722.0,5.0,F,1-138-297-2263
SIOXPYRGBXCBFPZIUWCQQORMJOHTQWAGEAXLUCJJO,U,United States of America,j,O,A. Schulman,1.0,Mycdwr,4.0,433090.0,Xtunrszypketlsrmfemffczef,76.0,Xtu9500,Chttgystgxrwheofkewiwrccdcweodakjkstmjescxpzotwremvtfjwe,Iqaluit,WI,PNGARPSQF,,435.0,0.0,F,1-407-422-0343
wtzjomvzpewpupbpvjgynhuxnxkelzazaclsbpdcejejkxgwaenrkrutuzk,W,United States of America,U,R,Allegheny Energy,1.0,Knnxrinui,5.0,480247.0,Lkgcnm,73.0,Lkg9501,Ivftvzwhyobvqqtzrqntwcbkbbfktqnmkuaeasnxiscgohhjlzwnqrilwltlgizkfppdvi,Naperville,TN,Bwynsjpiqwnrrygdvwfk,3449474.0,816.0,5.0,F,1-213-805-8297
Kkihbu,U,United States of America,f,O,Cintas,0.0,BRCYWIHVZO,5.0,311882.0,wgwtntknbftkvzrhqumibzmqxvhqpg,82.0,wgw9502,trfsawnznjpeqncwyxg,Columbus,Ontario,JCNOLPDAANBE,2102334.0,693.0,,,1-293-053-3055
Cqrmgiuyvcvsdxmxgjxklguvpfydrdhkmxkcbfhat,M,United States of America,R,O,Public Storage,5.0,Dgblofbac,2.0,195215.0,Scxmfojarprupa,45.0,Scx9503,Spfqrlyookxqapklzuxufwrnkhservxjveskbul,Richmond,MD,egunlngewxmbnccnhjeuloi,3280769.0,723.0,9.0,m,1-372-926-4609
YTCMCWHRHLXFWNIPGSEJWHPTTNAHLJHMWYMSFWRGVFJYXNMRAWQQACC,M,United States of America,N,O,Watson Wyatt Worldwide,0.0,Pxltw,3.0,377759.0,xccxwbzhowjgznvhjkiqmqzknhd,21.0,xcc9504,Pvxcxcdzxyxtysmdtccwyrsasltqvnvsgkkqcclzrjmwyhchfqdeddqopbgkohyfibcj,Bismarck,WV,MOPZPKINEBFZILDIBXZFMDNUQZKKGH,,597.0,2.0,,1-306-312-4894
Sgrwhetuqefhicwsbpxslawoghnmetqfxssktivixiepwcosfbpnybmygspm,U,United States of America,d,O,,1.0,wvezgjmcohf,,444654.0,kpmyiffepmio,82.0,kpm9505,Tjqkdudlhksu,Warren,ME,rbtugfjvexhogfkgrxowjmfc,2576901.0,747.0,9.0,,1-775-115-5430
rcwkqeazogxxvwzrbhygzerqtclyidhrjdp,D,United States of America,,O,Constellation Energy,2.0,EORSP,0.0,20521.0,BKEDWOJCUHJKGEIFAVXWXFTCJQZECF,7.0,BKE9506,AUVEXGUVBQWSGHENATLKLJEBYMVIUZBHMQLYWQCBPYTRGBXRODOXLDIWFKVPXJZJQSVDIZYW,Jackson,GA,rjswvwansmgiinzb,3502928.0,391.0,6.0,,1-593-713-6307
kgvqnpkkpoihwacshftkuawedhrcrwddelnuica,M,,,O,United Technologies,4.0,Pnaibukwjx,4.0,136656.0,Aytorpalghgcqgrzlcci,38.0,Ayt9507,onmfce,Phoenix,CT,Swfvoswmtv,,584.0,1.0,,
FELBQVWJKZEIRXVNGMWBPPQRJ,U,United States of America,p,U,Reynolds American,3.0,Jwetxmtjfxu,3.0,434474.0,Qhcjbnibxwviegnmjjkedzfnhwbbb,59.0,Qhc9508,Pmvetvzowtlnjehkrtmilhiiqydgqlqmvupfesufyc,Paterson,TX,Kduhxyidhpsslqdbkuinishahbz,713120.0,391.0,0.0,M,1-695-441-1442
exgprlepalpyfakithh,M,United States of America,T,R,Computer Sciences,,ESFZUZ,0.0,7450.0,Eyfohiuxcoozmxcslavpico,99.0,Eyf9509,Szzgpannzjajmtxzemhxwtsvlswwbydxoivfcuhllw,New Haven,WV,vyywbazlxp,67828.0,797.0,10.0,m,1-376-518-0976
Bpvcfipdcolgdrudgvbxbovbydrwhvabzlxrlwlcuctdstezdemajbmubmv,S,United States of America,d,O,OM Group,5.0,jwugjkyaqdop,1.0,336413.0,btqcolqalyvct,48.0,btq9510,Mqrkfqlralnyexhztkufhbgpdzlgnsggodgwcfeveefwaoatxlubwuskhhnq,Elizabeth,SC,Jhsyjrojeliemyyryled,1044199.0,588.0,0.0,,1-394-033-1715
Hktymsvtwhgjaujjvealqlmcipkixsvbfqitjnylcwydaknrxocuxamaociup,M,United States of America,,O,Perot Systems,5.0,PUOQHA,3.0,115331.0,Udycelke,9.0,Udy9511,UMHMKJIWUGJFRCHYNWOPTPQDUXWKZIBZSKXGOVSYIYGGQUSHJNSWAGINIVGMWSMRRJI,Overland Park,PA,graeyjzmnehtocnoda,2450172.0,627.0,5.0,m,1-036-501-5452
JMDMEJXCVVRGKDSWWQQQZDNU,D,United States of America,L,O,Energy Transfer Equity,4.0,jcvmarlcly,3.0,343939.0,XSSAXNXFDOOPSMVCLMENSKPIUS,46.0,XSS9512,XNVTJOLZMHVSMAILRKXTXXEOLOWZMTFWOFRHSXGHOJNH,Fullerton,WA,Vddsnjalxbv,111571.0,771.0,10.0,,1-544-882-9655
OSUIPJAMGUOLNCNLHOSFDF,D,United States of America,E,O,New Jersey Resources,2.0,Vjoyvd,5.0,294758.0,SCXLWIUWLOXDQDYQPAAH,51.0,SCX9513,Puovcribyssecroruuubracbrqgrkjadivdvkobxerqprgivc,Anchorage,AZ,Rahhlcgufnmugcbaca,1473285.0,519.0,8.0,m,1-162-662-4252
NPXEJYWQCPDZLLZPEZEIFAVKANEGPDZTRSZOCMQEY,U,United States of America,P,,Burlington Northern Santa Fe,5.0,XIHUVUHXZ,1.0,420820.0,Pwymuaf,77.0,Pwy9514,Ztuodvfayjsmjdtdapmfqfsukcgzrjpknrojpvyscuynvsbdvroxmihscqofffgwtlzikqsr,Columbia,DE,Hrcpggdnlrkdfqrgtwnrihkdelqt,1763265.0,351.0,0.0,,1-482-008-2988
Pcmsgmiacpppzlquayxsepcodwfhtxttpr,W,United States of America,,O,Andersons,0.0,aszgyiuacq,2.0,,yceyvppbehjnodndbsnzda,93.0,yce9515,mrqgmkdqlcnzuecvncxzbpyijcghglbkezge,Memphis,MT,Psuzqehfevhxlhfilrkcg,2590140.0,519.0,9.0,f,1-641-614-4165
SDFVVOZJQDCKCYHDXNNSXEVLIGLUNAQEPMITVPAUQJJW,D,United States of America,,O,Forest Laboratories,1.0,Ywwatikt,,114636.0,Kiyahzr,54.0,Kiy9516,Niumtfr,El Monte,HI,PXYEXXEENWOHUANR,2830890.0,308.0,7.0,,1-394-241-2808
DWGAKUKVAMVKHQLRFPTENWIB,U,Canada,,O,Staples,2.0,Xlnkqcsdb,1.0,177716.0,fauaxwqcsaezzaclbjnmrpy,,fau9517,Htlsgwtgeuriwzcsd,Pomona,NV,Kxvvmhwjuctalcgm,1473229.0,757.0,6.0,f,1-273-121-4926
UUQKMMOGTNSSCUVQKISDGHKOJJVGVSGAYPSDPQYHITRFXFEMVDI,U,Canada,h,O,Waste Management,3.0,Duaxmmxe,4.0,197479.0,Cakfxmahfutxobwlmdtnco,51.0,Cak9518,tghlvzrlytlmttwqcqfdmucsbjpdytgqrqlaeldkfoosbprpdnrdvst,Boston,DC,FDFUWVLTXUMBFRPEXU,1713820.0,725.0,6.0,f,1-905-452-9414
gbjygzsudqgepamlalgrimfhpdqoeebeqywunrafdamuswrys,M,United States of America,,R,,4.0,Sezwvnbs,4.0,219143.0,WOIBVIRGNI,1.0,WOI9519,Wjtowgrjtldrznpwomu,Pittsburgh,Alberta,UDSBQN,3557413.0,844.0,0.0,,1-989-371-3149
Qtyrdtfibdfzydechmqunovbwbpfvznn,D,United States of America,e,R,Entergy,4.0,Pnusdh,2.0,338480.0,Flgzboogxvvsgecziocbfnoqbvvls,68.0,Flg9520,VNAZOTOMKGEFSCRYKMUTINRKPXAONHCFXCJG,Santa Rosa,ID,Imkknfqooyllziraq,3315382.0,787.0,0.0,,1-993-885-9527
eylagojbtjclfpcmidqnfgknbzbggvyduqtxubncklvrcwq,,United States of America,V,O,XTO Energy,4.0,Dkponakif,5.0,53545.0,Hbrraubcextbxpk,75.0,Hbr9521,KDCQPAQZKSFAVGNJVNYXFHATLLODWZKXJADFZLIKEHOPJVHGCEITVJSLVGLAFQPXBPFELXYXXQR,Anchorage,Quebec,Lsdxohossqtarsksnjxjheqh,991552.0,740.0,1.0,,1-553-253-2612
DDIJAMVKFUK,U,United States of America,,R,H&R Block,1.0,Xxryb,1.0,102688.0,XDGFADCCVWGYOJHIZL,61.0,XDG9522,lmadgpwggyfw,Fayetteville,WI,QTIPLXMVMS,1132095.0,601.0,5.0,,1-215-413-6363
Fexnprcjrmdkkoulxbwjagvbfulfsuegahujakoojowyxhpsilpoakhnbfqo,D,United States of America,T,O,Olin,2.0,Xbyvh,4.0,484439.0,kktmdmkfsuwtqeq,,kkt9523,RXXPJJMFUKTNISULVQNRKEKTWLQRSITCNDOOMA,Jacksonville,Manitoba,Kwiemlicx,1503092.0,685.0,8.0,,1-845-154-9153
Qnqthqwq,D,Canada,,O,Brunswick,0.0,XVFXZX,2.0,373412.0,dvrmstrwafrpiu,52.0,dvr9524,,Jacksonville,SD,LPFTYVJXSKKTSBDORIKHCZHI,3272166.0,725.0,4.0,F,1-781-987-8972
Waitogrcivfgmmfprkuvcjhbvrrnyicijbvizibgit,M,United States of America,,O,CC Media Holdings,3.0,thrsonqvfapf,2.0,438674.0,Lcnqarirdnwgyrrpkwjsarvk,60.0,Lcn9525,Dxkmshenhkuxhtngtdbarxmmmeraeyvljkwxnixe,Chesapeake,NJ,DQDXQRQDHGPOKABZ,1810930.0,759.0,2.0,m,1-560-532-0833
NHNPAPFRJDFPQZDIOUFXBCXMJLCVZMXFULZAUSZKELSDOIWBCPOENFKEH,D,United States of America,Q,O,BMC Software,4.0,VTOSSEELNGV,1.0,207133.0,whnxguc,26.0,whn9526,izsnbdvvwdbatisungpgzawmhuycxsks,Fort Worth,Saskatchewan,Pjfpeempxknncgwkfxff,721498.0,433.0,3.0,f,1-982-881-0154
atmsevmx,U,Canada,M,O,Rowan Cos.,0.0,xqipnwp,4.0,278778.0,Ybhmdfxjjhdgccgdi,16.0,Ybh9527,LKRRWDKLKHXVGFKYFDSDGVBUVDNICWFAMHQJGOGFWQODEJTEFLKMEMJPWELHXAFPKLGXDMMTGQE,Irvine,IA,Qqpknsnzxqpxjol,2814573.0,369.0,4.0,,1-407-512-5719
KYMJIUMVPZIKYKA,S,United States of America,w,O,W.R. Grace,4.0,OYCGIIJBYMU,4.0,157989.0,Qmyowvbmdmqqlz,65.0,Qmy9528,Okrwzoairrnczkqnipmghyblvkaulgcdczdgnuxwkhpekuxb,Allentown,FL,Evrncaxxrrlccewfntssjkf,2108915.0,510.0,3.0,m,1-914-367-1741
,S,United States of America,D,R,Cardinal Health,4.0,MTCNU,5.0,148832.0,Ujksufyronqmks,39.0,Ujk9529,YAJGGZBLWYVWJJFRXRANAOHSXEKDDISDOVAFXRHESTHB,Lakewood,HI,onmoobpphropposcehqbcokaspkhau,3439434.0,660.0,3.0,,1-740-453-4690
Smayydcjhiulwsqvvltzrwqfjpxhzijupdzuaagesydjbqolvimchc,U,Canada,i,U,Old Republic International,1.0,Yrxvz,4.0,240358.0,Lcuexffvjrtqobscjunozw,29.0,Lcu9530,ewptkgmpifdxni,Allentown,NJ,SHEBMNMLZUQDVNJUATFYIRHOGUSAO,252999.0,640.0,4.0,F,1-623-300-6425
WHZNLHMNNSHBWWYOUPNTVTLFWNFLXGYHY,U,United States of America,,R,Foot Locker,1.0,Bpkjoosn,3.0,114774.0,Lnqctxswxcdcro,14.0,Lnq9531,Waixwsvuvbfdulfvplyugnvsfhruspvyalsuoftwkmsjdzdcwuvtizksbbeeyuwrltthtwsva,Escondido,VT,STFUBOYXFMVYXMGACEWPCLOGSVDU,166120.0,531.0,3.0,,1-833-301-8303
TJUIHKQYISDWOCAOZSKXGUUDMAPFUIIILOBAJBXHHIRKXQTOKTUKSGIBIMUOZILRNXZ,D,United States of America,,O,Stanley Works,5.0,Jlxrqihpiocz,5.0,479458.0,Syjwz,28.0,Syj9532,Mmartslqdr,Savannah,NY,xkvqnjdcdm,1963169.0,690.0,2.0,,1-623-880-5407
IVYICJCENUWXCKZMBQSDHYJLRKVBYOU,S,United States of America,,O,Pep Boys,1.0,gstgjolgxnr,4.0,165085.0,lasyghlvsjsnuvuxr,10.0,las9533,,Rochester,SD,Gfsecwmkdbcyaqafnolkrmdaqobc,3306961.0,613.0,8.0,m,1-571-629-3781
jraporeutynrrlmbbfajkfvdy,W,United States of America,c,O,Cognizant Technology Solutions,0.0,Unhwb,3.0,,WGMUKCCRBY,55.0,WGM9534,yqnhwhcsddervchxxxszklyxuncimamfc,Henderson,Newfoundland,ioplsn,774888.0,610.0,8.0,M,1-108-758-1356
JNMAQFUAWOASVOQKVFIRDAXMGHTDZXXFPZUDQBBDGTDOYFBQADLWDBMVEOBCI,M,United States of America,,O,Dean Foods,3.0,Gsuyxassa,0.0,15031.0,pcwjtkrxshiomsizqcjrkc,77.0,pcw9535,Bpurirnjhezqumhhqzlayfzdefowtarxmoovdrnqrard,Windsor,NM,lvxwdigrh,2006421.0,598.0,6.0,,1-843-168-2446
Srnxitreylnkhayythbazxddwmxrbwrybuugktjaplphaqbdjxqlrqnusznxaj,M,United States of America,y,O,McDonald's,5.0,Mkidmm,5.0,3124.0,Hfqxsbyqrywgyh,41.0,Hfq9536,FLNTCLHGMXXBBLUJQZJJTLJIAWGISXCGXOZEHUHBNCRMNEXLYAQOAYGRUNUGKRBNN,Corpus Christi,VA,Vonhiaasd,2523553.0,531.0,9.0,F,1-360-653-8595
Smbbdltfjostkpytkykabxfu,U,United States of America,b,O,Microsoft,,wtqkkpvi,5.0,428891.0,Hixhdvsvsdwnohiuaagyjmpmho,74.0,Hix9537,Unravunbsoqyoisvqsaeqgycnccmudubgposlhvtihwfgkitkpnqahhdobilcgfmeaiaslgoxeaxcbru,Virginia Beach,Prince Edward Island,FKBTPSIEALMATWBEKEEGM,3271342.0,673.0,0.0,,1-796-626-0062
GIWCMUFHOIYGVVPTGPZVZLSAJDBUZGXNCJPEXIFLL,S,United States of America,i,,Ferrellgas Partners,4.0,FQBFOQI,0.0,255697.0,CSEACXXVU,40.0,CSE9538,Mqadoxgzmguqsfrpmvsqpenhzndnzortcrdsylkvbcimixqtpuyubvdghniutmky,Bellevue,IN,anttcutvmjpivnunhdadbur,2547937.0,369.0,10.0,,1-101-816-4142
idpufvonioqxzcakheannlxptivhdnfoxhyulihl,M,United States of America,w,O,Dell,0.0,Fcgjulorpcmx,4.0,359642.0,Bpltljhfabqq,7.0,Bpl9539,OYWAFWNTYLEOLSRGDFBYMJGCFMOXTORGTNJWSMYYU,Provo,OK,Fwiby,2050507.0,350.0,10.0,m,1-678-039-3665
xblshhqucrzzqvuzdjocqazkmapwrgoekhucfkbvqgovifsgdsamvubchdvdzfdrfa,M,United States of America,,R,Simon Property Group,5.0,Yxheyqzr,5.0,297738.0,QTOHDGYYHXFPNTPYPHTNXDWU,58.0,QTO9540,YEJQBBIHJKHUMTEPN,Oklahoma City,ME,Alvbnxwudftli,537965.0,825.0,6.0,F,1-364-201-2596
COHDBOBBNDSVNIJMEYNHSOROLDJJRKAEKTGOICYHSLWRGSMZUUKKNZKPTAEZFXOCSCYDUXTKY,S,United States of America,P,R,Pactiv,4.0,Xysxk,2.0,,HDFUADOUEZASAVOD,61.0,HDF9541,eknhzgvhhlvdfogxtvhqo,Rapid City,British Columbia,voqbfcnoidjelckpr,1890962.0,622.0,10.0,,1-665-961-7967
KULWLIOKJDFOPBTGYHESFKCWDDHNPKBWJRMVKTZEBJSBAZGFUSNRQMLFWFLNIRXUGNITU,,United States of America,N,R,Liberty Global,3.0,,2.0,54311.0,YWMDQMFIHNFPONJHTHZTSZHEB,84.0,YWM9542,Fprqbymzbwekejnxysouspdpgmkfrrfqvbleddlrumelmoctgwagscauyrbsamiqqf,Huntsville,British Columbia,Ebfzhwvfrhzdkdsivcighiqrktqcs,2743742.0,842.0,7.0,M,1-441-739-2755
ailqdqukludmajymvbvonbskjqfwhkxyeosbzvbfdcchzpdhilchjbaevnsbchfkwxb,S,Canada,,O,Seaboard,3.0,sjqwqetqqa,4.0,409026.0,Fawwt,39.0,Faw9543,BPAXBSVVVEXTYNSBKATKNEKMZYUTOHXCSULFYHMMEETLKUKMIFALDQPKVGRLMVTUBHZFH,Tallahassee,MN,Dzlfrbilai,3414260.0,638.0,5.0,f,1-141-542-6570
Gqvucpccmwfovcxxbxarmgvryujvqtroyebhxwgwssepuaebn,U,United States of America,I,O,NYSE Euronext,2.0,duikdby,4.0,213527.0,YELLXNKHPZDSKMEKUSHSMSNI,51.0,YEL9544,hzzmxlyyefgnljvoqafghxbvlcomgy,Fairbanks,MO,Yalaouhtiwajvxetvg,2081460.0,399.0,2.0,f,1-001-648-8073
Jsmdsuudmeegjqjfjaytzgxzzdbynuzq,M,United States of America,,O,VWR Funding,1.0,DCFIFWWNMGO,3.0,3742.0,Dpapmrddvdgrehutxg,40.0,Dpa9545,YEKLANUSTIE,Ann Arbor,WY,XHJDYEDWETCHREGLOIN,1285744.0,486.0,3.0,,1-987-622-5771
AALZEUCJYJZZWXHDDBBT,S,United States of America,,O,Hormel Foods,4.0,Glgmnybgrulf,4.0,345341.0,Zqlsmptvwelgltbikostmk,84.0,Zql9546,Dsqhyqgmsnhuwxsildzggtdihhhwnafrknyvbqwmajrefmmvhsefbnmevgzuh,Corpus Christi,TX,oqtufykgequerqxkxatygryzlrd,,,0.0,,1-002-753-8064
dcjnjmelhtlcovebrdhdkragmxwwcttfhxxjwkqnihdmalvjabnsrnlcnutegwrjqnwmdyiytp,D,United States of America,,R,Packaging Corp. of America,5.0,Uiwrcyeqqib,4.0,245486.0,wtnccjrw,57.0,wtn9547,VUZOHMZGJWVIGSQL,Great Falls,Quebec,siksxtwcuayrnjmkb,3548174.0,720.0,3.0,,1-994-644-6144
Jeyvukiuxngummucacnsomvgxnxcrdkotbtvbfmfz,M,United States of America,,O,Tiffany & Co,3.0,Edgqdw,1.0,286642.0,uarjiufutstqhryzr,15.0,uar9548,lvafunezccngjsudksascwrrvnbovb,Fairbanks,FL,AGBVHHHJCHHA,3823666.0,524.0,,,1-264-803-8163
Amqnnutnlzqxlsirb,U,United States of America,w,O,Sempra Energy,1.0,Ekgomzwbbbv,3.0,173856.0,PLATLKTXOBBQJSKEJNDEJHJABIIJ,98.0,PLA9549,Tpufidvwqltoeuzvbicbyhidqqvblkvlfycfgntbsnrcpqeygwmgbpnpsooxpbcbzeebbhb,Regina,KS,Fisprwdtzgmqwcpemcjhisejlzvvg,822813.0,419.0,4.0,f,1-481-361-0304
Azphnyytyjxuwzpqymvgyogdwbkhqpulgouwaxenpalqvcbgzoj,M,Canada,Z,O,Zale,1.0,Lmtzmnr,4.0,76123.0,YTYIHJGSSBPKTPIHM,24.0,YTY9550,YROKQIRFCRFDFYIOXJNFXLSDHLKUVTS,Montpelier,ME,fwrgtrk,913686.0,532.0,0.0,,1-523-555-9650
AVGCYZLHJEHLLJAFCWGKWVVTOXHZVXDMJPWNZTASRBIHYVZVALZVQRPWOALIR,D,United States of America,,R,Family Dollar Stores,4.0,Nhrnphrvmn,2.0,348221.0,RDQJXOAKQSGPYWLWSKZZCK,8.0,RDQ9551,Qtgflwyxnyvuvrgglihwqaefjjmnmrqxqmwqqpreobjsaxt,Chattanooga,NV,XLVMFIPKCWXVGRG,2616612.0,478.0,3.0,,1-185-052-2108
ssmestatbdzqgb,S,United States of America,Y,O,Donaldson,4.0,Okqhmytw,0.0,351887.0,XEXKKV,73.0,XEX9552,Osyqgcpyblitleqmbhnpldshrvcpwcvuldkdotlmcfgxsvfboeppvy,St. Paul,NH,BLXUVAHPITCR,2580162.0,687.0,9.0,,1-876-758-7615
Sadhppqprgltkdvvfaeqidyauchvlpnuxdctmuvllkqmnidjsrqbrhewyy,S,Canada,E,U,FM Global,2.0,EWWHK,0.0,63951.0,Krnxpfybzfovnshrbodnibukgsm,60.0,Krn9553,Eoknaweigvurnupsxckooddgddopidfwgphidlfueuqunbqvqcyfvbnalarw,St. Johns,MS,FSIGAQOPACWIWOOFMSQUJZK,952324.0,652.0,4.0,,1-728-079-7194
Ipvvvddgjyueppgsamxfgdkghrkqewcclcnmmhhwtctzaoluywjtfrlnsphghg,D,United States of America,,U,Securian Financial Group,2.0,UJBECSNQLFTR,0.0,474609.0,Cwkhrcinxxhrffdyqnqadfcprbz,11.0,Cwk9554,gqawwtprdisfiehybjtduuoculorrdtfolwtrimurubvpjejgaosxbg,Hay River,GA,RNBHICHPBVLOOBLIPXECXXEWQ,1307047.0,657.0,10.0,m,1-278-223-0919
qalgk,M,United States of America,C,O,KAR Holdings,,Fnrbwqcsnc,0.0,,yskqmelfwnthxwchsoxz,62.0,ysk9555,ACOZEVNBJXIGQPOSQRSEKMWBXNNJOGEDNBPMIVIEWR,Calgary,NY,Tkuvsrawgwmzg,1543743.0,486.0,7.0,M,1-741-822-8317
Eihoxytg,S,Canada,w,O,Oceaneering International,1.0,qvcpwekp,4.0,180193.0,Insrntljfbpdglievoif,86.0,Ins9556,dkkvemvlddyucbatbixseuqpnwqafzqrgotxfewckkptnrspevylerzwxvw,Kansas City,OH,wdkollevqc,601154.0,623.0,8.0,M,1-538-388-5268
Kudyyclfljhluby,M,Canada,b,O,Forest Laboratories,1.0,CFJQKUAX,2.0,466100.0,Zwhtaboothioxskylhh,2.0,Zwh9557,imuqkvbfmjfugvirfucmlpahqxvmuuqxrmsaxpaxc,Overland Park,IA,Fswiuslikqupfkyvbqimfdktbwlc,255089.0,412.0,,M,1-860-298-6605
Dlhwixvhhvpfdqhgnqjjisazkbcgcphquijinnumnjclgudzpvcewybyaib,S,United States of America,,O,Toro,1.0,feagoipjape,5.0,479075.0,TLTEKJRWLRIZJYZDCUQ,,TLT9558,Tvcenrgskrpkysmbbzhkaxzcyjqrcwqbtnzgjnprhckprsefeflwkffnjroewpxsumqmihijneesgltq,Cleveland,CA,PCXJOCXUJKTAOYLLQVLPKRASITN,1692570.0,844.0,9.0,f,1-584-870-7045
ZFGVPHWJHLFJJGTTRFDJFJO,M,United States of America,,O,PC Connection,2.0,Xhedhdg,3.0,32827.0,RXDPXCFXDMYSPMFXMWC,33.0,RXD9559,Jpmotsnqvxcggksmyxbwbdzikxytwbxhvlzejyzuxnentmvbujlaxmdbgnxhmsucvkkdf,St. Catharines,TX,Wjwpuuqdk,281870.0,586.0,0.0,,1-922-290-1553
IDLMHHI,M,,,R,Wells Fargo,4.0,Cejyoqer,4.0,303348.0,Nlkdtozlyizxylkrzljikxxamihet,15.0,Nlk9560,SXZGZGFVCGZBSZWBHQZPRVOIFFGWTBVAKKGCOKXMKFCUVNJRDHPGHDF,Sherbrooke,WY,ZAUTYUMIGAXADYAMWXJDZKX,3593324.0,464.0,3.0,m,
,M,Canada,r,U,Tech Data,5.0,zinnoh,2.0,421052.0,Zbxcnhkxqnknn,71.0,Zbx9561,Lnxmqnwdozimvvxgmozttbzito,Spokane,AZ,xirlkwrmoncobtrbzq,1179562.0,424.0,7.0,F,1-547-138-4390
qxaedynevvxmwdsdtfgmbxhegopctykk,U,,,R,Goldman Sachs Group,5.0,tcgyheqojgd,,,Feqphazasnxpegr,36.0,Feq9562,PQETFQPWHALFRKNJ,Grand Prairie,OR,QFILRNGWV,833293.0,528.0,2.0,m,1-245-923-8288
Eixshyjdpcqaswzlcaopgttjbqujozgsucabuthbd,M,Canada,,O,JetBlue Airways,0.0,Czjce,,447136.0,jrpgaaxufxsqwj,68.0,jrp9563,yfkeyxklswohrwwizsgontknrulldhcfnvzznaeepqzeooonpvcfb,Shreveport,NC,sllro,559458.0,308.0,2.0,,1-662-954-0862
Ppxvcerbrdxytigaojosotcwvwjldwfc,U,United States of America,,O,,1.0,Uqmrmj,0.0,378352.0,VCQTAVNYBVVWHBUGMIYBUIV,2.0,VCQ9564,Lgprkopvjsjqzmdlwcevmekx,Mesquite,MO,pnpymkhbelwtknlfzaotstgv,2490128.0,413.0,,F,1-103-293-3560
QBODMYFUXCTUOIMGQRPZYQGHFIL,M,United States of America,,O,LifePoint Hospitals,3.0,Gbdyfva,3.0,99482.0,vsbcnpbureqnfj,36.0,vsb9565,ktndwgslfxxulxtqvrnwqkkcamguqfgvdgryhlqbfhgmgkffbvdovzkzfjv,Baltimore,CT,nwohdjtmmy,3286201.0,590.0,4.0,F,1-435-883-4963
