AgID,Pho,C,LaNa,In,NumC,NWo,FirN,A,MarSt,NumChi,Sta,Coun,CreRat,OwOReF,Em,NuCrCar
Hfh10796,,Wichita,Hfhizfgjsinytqzjfqwhcrfdlhond,375881.0,0.0,1456952.0,CHXONXOGUSIXKBHARWZJ,94.0,M,3.0,KY,United States of America,619.0,O,Alliance Data Systems,5.0
Uce10797,1-005-744-6905,Beaumont,Ucehvhcfoihiqgidzvkrhmghg,198187.0,,3275538.0,Tagudpckry,17.0,S,5.0,NH,United States of America,337.0,O,Harley-Davidson,7.0
vwn10798,1-838-650-6282,Louisville,vwnywshlwsnlzqpp,331718.0,1.0,2863460.0,Psplzuvtbxvwwepvhdhvo,18.0,M,4.0,KS,United States of America,576.0,O,Ford Motor,2.0
Twc10799,1-506-432-5236,Oakland,Twcmtlehrtojevmfrqv,7173.0,0.0,,glxqbmcvhi,76.0,S,5.0,AR,Canada,685.0,O,Stater Bros. Holdings,8.0
lhn10800,1-969-480-2533,Dawson City,lhnwg,172729.0,3.0,906022.0,Tbvjkanpgjcikvnwwty,84.0,M,5.0,OK,Canada,708.0,O,BearingPoint,3.0
Fby10801,1-762-340-8469,Sterling Heights,Fbywmltorvb,218459.0,3.0,3269581.0,Trzjqqe,65.0,M,4.0,Manitoba,United States of America,723.0,O,AnnTaylor Stores,2.0
Wbh10802,1-493-704-6889,El Monte,Wbhoygwjstumd,293955.0,5.0,2287268.0,zbbcrzrmxxmxtuafeuhysuno,70.0,W,5.0,FL,United States of America,352.0,O,Walt Disney,6.0
Imp10803,1-790-646-8973,Lansing,Implvqkkbapvwnacjmeexdzogwhg,213052.0,1.0,2411108.0,nflluhxcqxdtmv,40.0,S,2.0,SD,United States of America,816.0,R,Lam Research,6.0
see10804,1-194-535-9986,Yellow Knife,seezpavvdeukq,417884.0,2.0,1634472.0,Dodijyefealfuuvocgagtewxsgjque,48.0,W,3.0,MS,United States of America,651.0,O,Symantec,6.0
akn10805,1-630-602-4901,San Antonio,aknqpbwm,123343.0,0.0,629264.0,PUYKTESWVVA,96.0,M,4.0,AZ,United States of America,698.0,O,Hewlett-Packard,5.0
wpa10806,1-031-973-6966,Durham,wpafz,56475.0,4.0,2853478.0,Abyjaygiuvbpircurqmdaslwunt,59.0,M,2.0,ME,United States of America,804.0,O,Toll Brothers,6.0
Awj10807,1-583-912-3027,Lancaster,Awjylfftbvovvxqq,395447.0,1.0,1340666.0,Dwglcgqwgoxvcpwaxmcqfjwtxb,88.0,W,3.0,New Brunswick,,,U,Kraft Foods,10.0
rgg10808,1-256-320-9686,Thousand Oaks,rgghpxowsfpplmirdxzjsgkesm,424197.0,3.0,3597465.0,Ktxbwvepalcalct,81.0,S,0.0,OH,Canada,352.0,,American Axle & Manufacturing,3.0
Zdq10809,1-286-252-0305,Mobile,Zdqnnnmvdgicbhgwy,151018.0,4.0,2367827.0,SSEZYVLGVVXTOQ,78.0,M,1.0,DE,United States of America,816.0,O,Superior Energy Services,6.0
Uzl10810,1-486-740-1322,West Covina,Uzlchjqvbyhwckrxbaa,218453.0,0.0,,Jiseyotqnndheh,20.0,M,3.0,ID,United States of America,510.0,O,Lear,2.0
YQB10811,1-818-769-6521,Kitchener,YQBFWEYCEMXY,432197.0,5.0,1233055.0,QYZYKFV,61.0,M,5.0,HI,Canada,417.0,O,Graybar Electric,6.0
xwt10812,1-699-921-4663,Orange,xwtrwsyskjjjuddxjiqslmiwgslmr,116570.0,4.0,102427.0,Psdmzxjdwwmjsiouzifh,37.0,S,3.0,UT,Canada,850.0,O,Cincinnati Financial,4.0
Dew10813,,Salt Lake City,Dewrj,115948.0,5.0,2786005.0,Ooilbfiuamcdzxawjzevuiweaal,,S,4.0,Quebec,United States of America,835.0,O,Mirant,0.0
cjg10814,1-137-836-6758,Minneapolis,cjgpizkuoo,434788.0,1.0,,unwqeeadbjxifgsftowdwvd,94.0,D,1.0,IN,Canada,474.0,U,SPX,
HXK10815,1-493-659-3964,Santa Rosa,HXKDXQAWDOFQGUSGKKQLBCPEOD,287531.0,1.0,1503007.0,CVJSURRGJOEJJFRZTKFNOPENLIA,9.0,U,0.0,MI,United States of America,609.0,O,Cummins,9.0
Glj10816,1-548-072-1931,Toronto,Gljcpav,221614.0,2.0,2123212.0,Izvvvltpefsnycyojkccylcvzldmx,82.0,M,0.0,DC,United States of America,375.0,U,Graphic Packaging Holding,3.0
aob10817,1-027-420-1686,Fairbanks,aobtsr,324232.0,3.0,1744147.0,Lclypfhzebkqcqvkdnh,,S,3.0,NY,United States of America,309.0,O,Discover Financial Services,9.0
AHT10818,1-794-212-6452,Indianapolis,AHTDNQPBZUVQLIUDJKHKMTAQW,239547.0,2.0,3427871.0,Saplqvoixs,99.0,D,5.0,AL,United States of America,516.0,O,Group 1 Automotive,9.0
Lxz10819,1-076-584-7269,McAllen,Lxzwsd,243053.0,4.0,2713771.0,RKOJBKAMIMNVDPNXLG,38.0,M,1.0,MD,United States of America,319.0,R,MasterCard,0.0
Ufu10820,1-465-838-4956,Scottsdale,Ufupenbvjilkczqhhnwgzckh,101473.0,2.0,3526256.0,Sxacqxdrbiunytzehoiojniok,74.0,M,0.0,ND,United States of America,673.0,R,Crane,8.0
aby10821,1-193-589-4253,Moreno Valley,abywbsg,392902.0,5.0,2956251.0,Jysjk,,S,3.0,NM,United States of America,472.0,O,Scholastic,
YVQ10822,1-482-726-1707,Frederick,YVQVTFLBEMRJY,52496.0,3.0,3263403.0,Axvjgavxlkz,16.0,M,4.0,SD,United States of America,707.0,O,Steelcase,1.0
qmw10823,1-855-121-2990,Richmond,qmwtaarjrjciemukgmpnv,395022.0,3.0,1695466.0,vusixvpqhqnbs,25.0,M,1.0,ME,Canada,709.0,O,D.R. Horton,4.0
XKC10824,1-950-765-0467,Sherbrooke,XKCGNQQEVQNNKXFFUAPS,98274.0,3.0,1095754.0,Podbblpeekkcnhuuqi,99.0,S,2.0,HI,,775.0,O,Weyerhaeuser,6.0
Ryp10825,1-224-009-1614,Philadelphia,Rypqdcfksupmtckaboq,382055.0,0.0,1938297.0,QQQGYYXS,6.0,D,1.0,SD,United States of America,830.0,O,HealthSouth,10.0
SMO10826,1-552-379-3968,Sandy,SMOKLS,123754.0,0.0,1248307.0,Gjfagv,25.0,M,3.0,ID,United States of America,529.0,O,Energy Future Holdings,0.0
LGK10827,1-357-429-3968,Norfolk,LGKDQGJOOKVKCARVIXIG,1969.0,3.0,2326670.0,Bamrgpkoasmlmciz,100.0,S,2.0,HI,United States of America,690.0,O,Noble Energy,
kwc10828,,Pittsburgh,kwcezkvxpkiwrenle,456860.0,1.0,,mdilwgskicewwhbqhowly,56.0,D,5.0,TN,Canada,441.0,U,Dr Pepper Snapple Group,
Fzp10829,1-840-869-8952,Grand Rapids,Fzpetvkyjrnxjgcv,317619.0,5.0,577606.0,Gwfsgndwhwkosg,12.0,U,4.0,NJ,United States of America,554.0,O,CH2M Hill,2.0
dms10830,1-446-378-7818,Sherbrooke,dmslqndytifps,27254.0,5.0,2986027.0,xalqvi,94.0,S,1.0,NE,United States of America,526.0,O,Sysco,10.0
Avz10831,,New Haven,Avznkmtdj,468777.0,5.0,2498795.0,Nvzviismjrhb,83.0,M,2.0,GA,United States of America,457.0,O,AK Steel Holding,5.0
Nyf10832,,Brownsville,Nyffigvltnowfogvjbjappvauov,362991.0,4.0,2765571.0,qphzahx,67.0,M,0.0,WV,United States of America,424.0,O,PNM Resources,8.0
JTF10833,1-187-894-9565,Miami,JTFPZAGPQIPJULIYDMTIFYIUPF,119200.0,0.0,3933394.0,Xalmrijvphtsbxkikzvqsvss,61.0,,4.0,MT,United States of America,559.0,R,Brinker International,4.0
Ukd10834,1-259-561-7057,Torrance,Ukdgxisjjt,58102.0,3.0,3830057.0,Xbxkpntvrvabkraywfbxx,37.0,D,5.0,NC,United States of America,544.0,O,Snap-On,9.0
OGB10835,1-450-253-0327,Hampton,OGBQVR,428624.0,3.0,1373200.0,Pgyaipazqcfgndwllolxhoxtmo,39.0,M,3.0,Nova Scotia,United States of America,525.0,O,Allegheny Technologies,8.0
ceo10836,1-773-783-5611,Colorado Springs,ceodavfufblagaurvaxijrpcyubuq,465832.0,1.0,158582.0,TUPPUBRUBXLTATSDXXFJLDTUDT,81.0,M,2.0,NC,United States of America,830.0,O,,3.0
Hrz10837,1-965-493-0349,Concord,Hrzdmqeyvdwzgwjnwjpluweny,119885.0,1.0,189255.0,BMQBFVAEKMYLXXLXZLLIV,71.0,U,2.0,MA,Canada,752.0,R,Ralcorp Holdings,9.0
jeb10838,1-155-049-8081,Salt Lake City,jebtmweywvdrqtfqhvwfitqdyn,174669.0,1.0,1109218.0,Fognkom,95.0,M,1.0,OH,United States of America,846.0,O,Nicor,
fkd10839,1-452-868-7167,Augusta,fkdfrptmhhs,156656.0,2.0,3656088.0,Qrqms,47.0,S,0.0,MD,United States of America,558.0,O,Bed Bath & Beyond,3.0
Res10840,1-574-507-3746,Toledo,Resoanfvodgzl,357920.0,2.0,473417.0,vjkaqcy,,M,5.0,IN,United States of America,850.0,O,HNI,9.0
REC10841,1-354-477-6595,Fort Collins,RECJBMFBNFGPIHKSMHHQEMERREGTKR,359633.0,1.0,3434751.0,pfwxrzxibirffzqsfqbbpntpv,76.0,M,0.0,HI,Canada,323.0,O,Lowe's,3.0
Yst10842,1-924-365-0863,Kansas City,Ystxinmbosmjya,202099.0,1.0,3180166.0,REYMLXWHPRPA,26.0,U,4.0,GA,United States of America,842.0,O,Donaldson,3.0
Nvs10843,1-343-557-5744,Hartford,Nvsugujddappzaqxzilvxfgl,,4.0,356321.0,errdwiqvrzqmofuussocph,99.0,M,3.0,British Columbia,United States of America,718.0,O,Ingram Micro,8.0
Krm10844,,Hollywood,Krmzape,265342.0,4.0,3992021.0,ETQSMUPXWOTVMAMFLSSLUOWK,58.0,M,2.0,KS,United States of America,529.0,O,Northrop Grumman,9.0
qps10845,1-066-884-8895,Concord,qpsaeqqfzxfeqd,337164.0,3.0,1750937.0,kzdhotmopfxgdoxirbjqnthgx,94.0,U,0.0,AL,United States of America,609.0,R,Lender Processing Services,3.0
Fyr10846,1-091-698-4789,Saint John,Fyrkhzenbfqbraoi,350915.0,3.0,3548008.0,DRQQOLZKIXVHKYQRLRVRPYLLHOT,45.0,D,4.0,Ontario,Canada,772.0,O,Bank of America Corp.,0.0
hkj10847,,Norfolk,hkjhrnevmbfd,358327.0,1.0,414056.0,Jmfmuynmblfotbwhx,57.0,M,4.0,NE,United States of America,633.0,O,,0.0
smw10848,1-109-569-5507,Santa Clara,smwubpizbyjxafpdz,28279.0,4.0,613222.0,Wnqkqfqj,62.0,M,5.0,KY,United States of America,494.0,O,Leap Wireless International,10.0
Urq10849,1-343-259-7805,Sherbrooke,Urqptvcobrtyptmutchgv,491167.0,,2416300.0,OWKFKMEQGHFLZAGULSFBBABKYMK,34.0,M,2.0,MN,United States of America,592.0,O,Nicor,
Cbl10850,1-453-392-7885,Bridgeport,Cblpcibrxireyodca,367346.0,3.0,2676453.0,MPAOILRIKXM,31.0,M,,WA,United States of America,455.0,R,Source Interlink Cos.,1.0
IJX10851,1-213-684-9283,Oklahoma City,IJXUCUTVOHZ,420057.0,5.0,2306581.0,Oddqcnxanuay,66.0,U,4.0,DC,United States of America,446.0,O,Xilinx,0.0
qpm10852,1-237-664-0583,Miami,qpmqerpr,410305.0,3.0,2251896.0,zbotsgkpa,58.0,M,4.0,Saskatchewan,United States of America,,O,Cameron International,10.0
Hfr10853,1-689-879-3736,Tampa,Hfrdkprikfrymhtfmopxb,326726.0,3.0,3052538.0,bjyaomxgwd,40.0,M,4.0,NY,United States of America,371.0,O,Buildings Materials Corp.,1.0
gob10854,1-953-647-7827,Chicago,gobkryxwljkhffqdxtg,418631.0,4.0,3739890.0,FWTYXVTYK,63.0,M,,DC,Canada,308.0,,Levi Strauss,8.0
Kta10855,1-002-821-0001,Concord,Ktahh,323616.0,0.0,1436877.0,GBOUAHXGREH,39.0,M,,AR,United States of America,520.0,U,Superior Energy Services,7.0
Icr10856,1-932-555-0987,New Orleans,Icrtnwtuufg,376508.0,3.0,1560760.0,QDIFL,49.0,M,3.0,OH,United States of America,612.0,O,Murphy Oil,6.0
tpm10857,1-646-016-4503,Evansville,tpmtemjgc,476120.0,0.0,,Zarlfoieh,100.0,M,5.0,Quebec,United States of America,808.0,O,Jabil Circuit,6.0
LRI10858,1-821-883-5682,Worcester,LRIATXPHUWZWEMBHEN,40122.0,3.0,2845352.0,XUFZEUCPIEBIWSLKWCEDCXPEJDI,50.0,U,3.0,AK,United States of America,614.0,U,Mosaic,6.0
ebc10859,1-496-563-6016,Baltimore,ebcsatz,161189.0,2.0,2857909.0,Yserkqx,40.0,M,5.0,MN,United States of America,577.0,O,,4.0
Fbi10860,1-055-051-9146,Vallejo,Fbidtzyduxszwkjjfhggbrpegbukd,400468.0,4.0,1069521.0,Crogwzvifgssseiwhddkxkmvt,76.0,D,0.0,MD,United States of America,318.0,O,Securian Financial Group,3.0
ICR10861,1-388-554-0277,Durham,ICRACNKCVFRSOBI,194902.0,3.0,,Jbmgtkmaxzxfkxft,55.0,M,5.0,KY,United States of America,604.0,O,Caterpillar,1.0
tee10862,1-727-292-8078,Tulsa,teezckyunhqtkzypdc,13152.0,0.0,3917628.0,wbqkqbjrgcijwywqvohjiktctdf,88.0,M,4.0,WV,United States of America,847.0,O,Southwest Airlines,3.0
Tin10863,1-334-525-9861,Winnipeg,Tinxturhedipszsmvqhsj,436025.0,0.0,761443.0,MVSVSSAFEEVRUUTNTRENWLSU,35.0,U,5.0,CA,United States of America,363.0,O,Flowserve,1.0
Vch10865,1-990-107-5564,Corona,Vchcqkeweozrkquddtgjg,257165.0,,1771800.0,Lqauooyw,,M,1.0,NJ,United States of America,326.0,O,Invacare,3.0
Pjx10866,,Sacramento,Pjxwmmulsmdqialjttzpusktt,337894.0,,3022542.0,Mcmnssylambbbnqykyfjg,48.0,M,5.0,GA,United States of America,668.0,R,BB&T Corp.,4.0
Vpf10867,1-716-166-9366,San Antonio,Vpfkhzmddeygmadhtv,356799.0,4.0,1383399.0,LPWPPARUBHLXIZOUGOHDAMMHGRVF,52.0,M,0.0,KS,United States of America,825.0,U,,5.0
Gvj10868,1-688-045-4901,Brownsville,Gvjknsuprukdqtgvmrkc,270117.0,1.0,3990771.0,Rqbbvryykhv,99.0,M,0.0,WA,United States of America,786.0,O,Genworth Financial,2.0
Xuc10869,1-273-772-0860,Charleston,Xucjztzoluqzirxiltrpwtmw,494908.0,1.0,2450042.0,WOAAKWSRVVXELTLXDAVGNLNCW,5.0,M,1.0,MO,United States of America,481.0,O,Health Management Associates,4.0
IVN10870,1-131-027-9958,St. Petersburg,IVNBKKRTKKCHCDXOIPNNB,,2.0,3331943.0,Brvyvblnoemya,23.0,M,2.0,WI,,313.0,R,International Assets Holding,10.0
Rgl10871,1-687-841-5725,Durham,Rglursqhjesrwowip,72631.0,4.0,2700892.0,motuzfbazslzeopv,74.0,U,4.0,ID,Canada,797.0,,CACI International,5.0
Zin10872,1-049-141-1702,Hilo,Zinqwhhlclsffrmyeihjjjivnoel,,0.0,1988778.0,Mnbmlpugpjkp,80.0,M,4.0,WI,United States of America,655.0,O,First Data,4.0
Adu10873,1-905-415-3583,Anaheim,Adudjquv,91926.0,0.0,726681.0,Qqsqimjxnjdpaipmvdmy,28.0,,4.0,CO,Canada,735.0,U,SunGard Data Systems,8.0
Csc10874,1-540-914-4756,Livonia,Cscluuawlffbnbmkhnp,234038.0,1.0,2337460.0,Whkkfp,5.0,D,3.0,Prince Edward Island,United States of America,459.0,O,Group 1 Automotive,4.0
Ekn10875,1-191-268-1646,El Monte,Eknsmytegohebvtvm,13154.0,1.0,736224.0,HUZQCZHOCUAFZNNBXVLRVVLPTGOKKO,49.0,U,4.0,MT,United States of America,664.0,O,Capital One Financial,2.0
Sql10876,1-419-978-5211,Overland Park,Sqlkovsnzgtdshluvfvuds,489679.0,5.0,608007.0,Agceuysxggsksus,24.0,M,3.0,HI,United States of America,817.0,O,Adams Resources & Energy,3.0
GPG10877,1-559-928-3346,Kitchener,GPGBBHCVSYQIKLSIMIS,134587.0,0.0,3246504.0,CIHDVPYONELIITEXLQQQVIQYGOZFF,9.0,U,4.0,IL,United States of America,,U,MeadWestvaco,8.0
YFJ10878,1-052-414-7792,Tacoma,YFJDCDMGRPZNFHAWVEKABNATLY,127730.0,2.0,2086761.0,cnoxmttjqnqgylig,62.0,M,2.0,RI,United States of America,753.0,O,Dell,6.0
Jqw10879,1-165-465-6251,Charleston,Jqwicclqozilgaswlmtzyljnoltog,34247.0,0.0,3868264.0,Xdxsrgvkfjhtjuqwscksn,71.0,M,3.0,DC,United States of America,582.0,O,,1.0
Dep10880,1-394-137-7064,Wichita,Depdlksempihuoqecwzor,315589.0,2.0,25224.0,cfuty,53.0,,4.0,MT,United States of America,625.0,R,Jabil Circuit,5.0
Zzq10881,1-095-184-2788,Iqaluit,Zzqjbxluzwjveal,377153.0,2.0,2099888.0,Ettexaiuoj,11.0,W,2.0,British Columbia,United States of America,619.0,O,Abercrombie & Fitch,6.0
Pnj10882,1-885-088-7182,Scottsdale,Pnjgwwijwfqfdcqcruggtngxtg,31105.0,2.0,413092.0,Ipzbcjw,78.0,M,3.0,NC,United States of America,641.0,U,Unum Group,4.0
Waw10883,1-830-148-9088,Salinas,Wawtfldmfqyptxwngjvmpjyimcdy,224693.0,,,Auiapvedoqhgxig,70.0,U,3.0,Quebec,United States of America,531.0,O,Fleetwood Enterprises,5.0
Yjv10884,1-110-165-1188,Concord,Yjvqo,350254.0,1.0,575786.0,LSOYXNQK,39.0,M,4.0,AL,United States of America,811.0,O,W.R. Grace,9.0
Ahg10885,1-784-195-1927,Salem,Ahgbastpjemrculwergrqe,258746.0,1.0,2552837.0,fxwdkgdouefillqmbu,59.0,S,5.0,NH,United States of America,846.0,O,Foot Locker,0.0
Rsd10886,,Lubbock,Rsddetgplv,24839.0,4.0,1478348.0,Pkuczwpoojgugdfjbua,53.0,U,3.0,WA,United States of America,543.0,U,Textron,10.0
Coo10887,1-390-959-7935,Huntsville,Cootaqsitpzukczihphleiqa,283482.0,0.0,2812221.0,OQHUSHJA,38.0,W,2.0,British Columbia,United States of America,708.0,O,Kroger,9.0
TAT10888,1-465-363-1576,Atlanta,TATBDAYCCMARAOFSNLLICJQNPAZT,412788.0,0.0,552625.0,ZEFVETU,76.0,D,0.0,VA,Canada,736.0,O,,4.0
Liz10889,1-123-808-1516,Cedar Rapids,Lizkctuacasdsg,18209.0,4.0,1217588.0,WFZCLDXBBSRMPMM,8.0,W,5.0,HI,United States of America,314.0,O,DaVita,3.0
Son10890,1-369-111-0397,Independence,Sonocsosrpegtixldf,156695.0,4.0,3426989.0,FVTVIGXUDTAIPFHGERUYJMDNEALK,35.0,U,5.0,Prince Edward Island,United States of America,422.0,R,Broadcom,7.0
Coi10891,1-652-781-7583,Mobile,Coiicjcnccgd,497996.0,1.0,553994.0,vlqmbkr,,S,2.0,OK,United States of America,638.0,O,BB&T Corp.,5.0
hfw10892,1-156-514-8299,Torrance,hfwejrlgeouvcqbwtlxntsw,348858.0,3.0,1861088.0,hkvwnfdwmlpmxpbbbnponkjn,28.0,M,4.0,ME,United States of America,740.0,R,BlackRock,10.0
Bgj10893,1-554-737-2614,Corpus Christi,Bgjigkuivyycxiixjzv,362732.0,2.0,1632708.0,zxwkkyacatseubvo,11.0,S,4.0,NH,United States of America,769.0,R,Nasdaq OMX Group,7.0
Jef10894,,St. Paul,Jefueehbaxnrkbzqvotkotc,291759.0,2.0,242007.0,expechzozfscqapwionjksvygnpod,80.0,M,3.0,TN,United States of America,489.0,O,LifePoint Hospitals,4.0
Pck10895,1-292-180-2332,Los Angeles,Pcklhxsqgbk,494615.0,1.0,2591328.0,Rgjkggn,46.0,U,1.0,AL,United States of America,664.0,R,Andersons,5.0
HQJ10896,1-109-504-8456,Ontario,HQJFPYEMGHUFFMLZWC,157794.0,1.0,2879085.0,Goqwsysqvscolaxoym,52.0,D,2.0,FL,United States of America,534.0,O,,9.0
Lcr10897,1-848-515-3209,New York,Lcrytvd,17017.0,2.0,2070875.0,Vbfxdqxdenthgjeihlku,32.0,S,5.0,Manitoba,Canada,800.0,R,Tractor Supply,8.0
euf10898,1-746-280-7436,Evansville,euffvx,73499.0,1.0,2961512.0,Tgsegegyeadcqajhdfdohsz,55.0,M,,IL,United States of America,622.0,R,Trinity Industries,3.0
Lwq10899,1-372-185-7674,Long Beach,Lwqnplqchsoxpqpoanrxn,269621.0,1.0,553731.0,Jlbcu,27.0,U,2.0,Alberta,United States of America,779.0,R,URS,7.0
vzp10900,1-447-973-6883,Anchorage,vzpulekdaduswguolhhzt,66173.0,4.0,3805111.0,Jlvisocfrhlxpqfktibprftkonmsrj,29.0,M,4.0,WY,United States of America,577.0,O,Merrill Lynch,9.0
Unw10901,1-711-512-6950,San Jose,Unwxqlyffusldlw,466342.0,0.0,1194478.0,ooplpbotgfasmqiekwlw,50.0,M,3.0,NJ,United States of America,618.0,U,Mercury General,10.0
Wzs10902,1-393-112-0293,Sandy,Wzsayecybjififte,195879.0,1.0,702805.0,XASDOFQQNMXNC,14.0,M,1.0,ME,United States of America,699.0,U,Genworth Financial,10.0
oyj10903,1-995-397-2081,Abilene,oyjlkhghxvyznxyfmmrbbmximyh,369560.0,5.0,89580.0,DOIYECQLKIAMBQX,65.0,M,0.0,TX,United States of America,642.0,R,CMS Energy,9.0
kuq10904,1-249-182-4524,Columbus,kuqxxalwemcywmljskxmnm,12936.0,4.0,3364856.0,Jltrpiwcgulbfvcgsro,89.0,W,4.0,Ontario,United States of America,808.0,O,Ecolab,4.0
Qiz10905,1-732-367-8014,Denver,Qiztxnn,462950.0,4.0,1175581.0,TGWNYSJLQFWNOGCRD,52.0,U,2.0,MO,United States of America,379.0,O,Warnaco Group,5.0
FZN10906,1-212-364-0014,Montpelier,FZNEKGDVGNH,405694.0,4.0,2461352.0,pnbyjuapqsfjkjibbgdnfmpe,58.0,M,0.0,VA,Canada,533.0,U,Berkshire Hathaway,0.0
EWR10907,1-895-727-6050,Bakersfield,EWREHLYUNMAIYZEF,54271.0,5.0,3437713.0,Lqznyzkbnmsusvrledyri,8.0,M,3.0,FL,United States of America,558.0,O,Allstate,
Fgw10908,1-245-123-3822,Amarillo,Fgwfu,346404.0,0.0,2036027.0,kaudad,46.0,U,1.0,CA,United States of America,555.0,O,Allstate,5.0
kzd10909,1-601-692-2835,Hollywood,kzdqj,478931.0,5.0,2033653.0,Fgcvzyxvidniwobu,21.0,M,0.0,TN,United States of America,470.0,O,Vulcan Materials,5.0
Nve10910,,Mobile,Nveykupb,210193.0,,1255327.0,Jceevatpersgtmpatxqavxhy,9.0,D,4.0,MI,United States of America,,O,Interpublic Group,5.0
GHA10911,1-514-526-5294,Madison,GHAULEJQZ,481083.0,,2449252.0,Rqdoe,,M,0.0,OR,United States of America,632.0,O,DirecTV Group,8.0
Tev10912,1-439-112-1157,Evansville,Tevukmn,339731.0,1.0,1340516.0,nwcstievcualblkotjv,60.0,S,3.0,ND,United States of America,496.0,O,NetApp,8.0
UZE10913,1-582-813-5255,Hialeah,UZESJLZNGELQVGFINRGJZPCRZWMPU,436764.0,4.0,3461994.0,ANYTAYSTXPPDNSJLCGLCPAVKUN,29.0,S,1.0,ND,United States of America,392.0,U,Crane,8.0
NCG10914,1-548-978-1948,Dayton,NCGHJMKNXSSURHUOABPXRMNK,352360.0,1.0,2024540.0,Amvffuiyqbcfhcea,23.0,U,2.0,Ontario,United States of America,517.0,O,Eagle Rock Energy Partners,8.0
bhq10915,1-746-021-2699,Toledo,bhqaq,158128.0,0.0,1138992.0,Fxiosvixvqdxqroxnlbwxucpo,94.0,S,2.0,KS,United States of America,781.0,O,Toro,1.0
PHJ10916,1-415-186-6687,Stockton,PHJMFTTVVI,420705.0,3.0,714476.0,ULSJDWSXVCI,,M,5.0,AL,United States of America,473.0,O,Aventine Renewable Energy,4.0
Nby10917,1-924-167-9389,Detroit,Nbyrkskvbuga,,1.0,2911061.0,Dderlnwelvxuwogvfwixmk,1.0,M,1.0,Ontario,United States of America,833.0,O,Calpine,0.0
OGB10918,1-609-890-0204,Arlington,OGBCSHJKCN,129742.0,2.0,3969773.0,SVLJACBKRBYAWFMIEJB,24.0,M,4.0,GA,United States of America,691.0,O,ArvinMeritor,1.0
lxs10919,1-036-865-9969,St. Petersburg,lxsjuszsaarapzidbzkdehydcajq,328525.0,5.0,703094.0,XZPSEPGUHDJYUGQ,24.0,M,1.0,MI,United States of America,605.0,O,American Greetings,2.0
acm10920,1-051-526-1667,Iqaluit,acmrsqduajovlrl,209184.0,5.0,1949122.0,zjinmzcrh,62.0,S,3.0,WI,United States of America,606.0,O,Expedia,2.0
Wrm10921,1-768-813-5360,Rancho Cucamonga,Wrmjrvjksncvmzkbqmtmsfv,345510.0,1.0,2703266.0,HPDTETWBQYTDBFLTTCOISELZWLDL,0.0,U,5.0,FL,United States of America,764.0,U,Cardinal Health,10.0
Jpi10922,1-649-666-1883,Casper,Jpiypymtpjvtymartq,186382.0,4.0,380664.0,WQRBVQMHHXPQINZOGHIXPWB,39.0,S,5.0,PA,United States of America,706.0,O,Nalco Holding,9.0
Tro10923,1-613-128-8542,Rapid City,Troomkcbiecthgt,360008.0,5.0,2013608.0,Uotoamsz,41.0,M,0.0,IN,United States of America,539.0,O,MSC Industrial Direct,1.0
xnn10924,1-274-072-3038,Alexandria,xnnuxfvbowzlmuagrgsnqxxx,437145.0,0.0,684957.0,Pdapqxnroxbajuoiervvbr,96.0,U,1.0,WA,United States of America,705.0,O,Toro,1.0
Slk10925,,Hull,Slksmqccxapcsikby,156350.0,2.0,1880630.0,JTJAKJFLMBQZAJYJWDVGEWDOEDSMBS,53.0,M,5.0,Newfoundland,United States of America,506.0,O,Energizer Holdings,1.0
Mna10926,1-790-225-4437,Sacramento,Mnatkf,290929.0,4.0,2644379.0,Lqhdszeqcpzgymtxose,33.0,M,2.0,NJ,United States of America,722.0,O,Nasdaq OMX Group,10.0
Ceu10927,1-263-408-2993,Berkeley,Ceujzlu,81542.0,4.0,2974979.0,Dtkipccyqroqpkheosf,22.0,M,3.0,CO,Canada,652.0,R,Psychiatric Solutions,6.0
Lib10928,1-890-985-6572,Raleigh,Libfaicnipheoywnu,370202.0,3.0,1290150.0,AVSGUYATPZXALQMVFBYCUU,46.0,S,4.0,WI,United States of America,511.0,U,Torchmark,4.0
bbo10929,1-265-909-5632,Bellevue,bbovrseaxmtwhumkehslmbsnbxkpvj,268225.0,4.0,376021.0,Rudbav,31.0,U,,AR,Canada,399.0,O,,6.0
Ncp10930,1-375-393-7011,Ontario,Ncpbryqnduzthh,215225.0,3.0,492595.0,Oyeanuksqkwq,70.0,S,1.0,PA,United States of America,568.0,R,LandAmerica Financial Group,10.0
Uwx10931,1-568-261-8929,Evansville,Uwxkhebb,90783.0,3.0,3146306.0,Lhflclsqdqwjglj,24.0,,2.0,DC,United States of America,561.0,O,Pactiv,4.0
OLB10932,1-986-959-3653,Baltimore,OLBEBQSQ,305315.0,1.0,1641342.0,Kywtjoxmldahbtqebcdojz,3.0,S,,MO,Canada,438.0,,Mylan,8.0
xvj10933,1-181-080-3564,West Valley,xvjpxmrufccenftfmrjpsteydmikm,136236.0,,3078194.0,Fluhaizdvpfrurynxiq,40.0,M,3.0,WA,United States of America,316.0,R,R.R. Donnelley & Sons,1.0
STD10934,1-473-108-7514,Chicago,STDXFHTRXBZCBDXXKPUM,120953.0,4.0,1146111.0,Ajbjkhwy,89.0,S,5.0,AR,United States of America,309.0,O,,
