gncd,crdtrtng,ct,gndr,pstlcd,phn,nmbrchldrn,wnrrntflg,ncm,ddrssln1,lstnm,mddlntl,mplr,cntr,ntwrth,nmbrcrs,mrtlstts,g,nmbrcrdtcrds
UUP9254,404.0,Mount Pearl,,ginwatk,1-285-220-4963,0.0,O,80798.0,Dqacrawruy,UUPNZIWHDYHKPYAHBHUOFFDNC,f,Mosaic,Canada,2390840.0,1.0,W,40.0,2.0
ixs9255,650.0,Buffalo,,THRPUTV,1-929-454-9080,1.0,O,,nuwocjzdujbpovrluicdlznguuucnzsnxeopah,ixseoty,l,CarMax,Canada,3164221.0,4.0,S,61.0,10.0
Fty9256,757.0,New York,,yqxoo,1-573-046-0328,0.0,O,402527.0,EZMPOTTY,Ftyiqwnaygdcozzp,Q,Sherwin-Williams,United States of America,455909.0,3.0,U,28.0,1.0
Dkk9257,461.0,Vancouver,,Kmvlj,1-177-407-1347,2.0,O,344996.0,Sxbvbiemjjwuucqdunxazvbuzvckoptasuchjwbsltjjxddjqvteujrlduekpfkfoagffzncvwkzc,Dkktfl,O,General Growth Properties,,2269320.0,4.0,U,64.0,7.0
EWZ9258,356.0,Providence,,Mawtlavbq,1-035-398-3179,3.0,R,27697.0,Lusjevhyyljmwnmgyfnepzbbfcdyxkpefqnwmxajasfrmphjceeeomuqzhhcujdup,EWZPJILFHQROA,,Quest Diagnostics,United States of America,,2.0,M,28.0,2.0
Iqn9259,522.0,Lubbock,M,Rglypmjksoq,1-112-898-0222,1.0,O,61175.0,Pmllxaodixguvdjtyuehhqneneczivhmllpsnmaxgfaoulsycnwbcedcbvcegqamfqe,Iqnoqthi,,Goldman Sachs Group,United States of America,3460973.0,2.0,D,,6.0
nco9260,536.0,Huntington Beach,F,Jjijpl,,1.0,O,470956.0,Wdlfqwjqmqhuqkhjclmafvlllxlwzqigbopsokelvajvzmrbffmwwurxteww,ncoqc,O,SunTrust Banks,United States of America,158220.0,0.0,D,13.0,2.0
Mfd9261,800.0,Provo,,Bnmprs,1-981-187-3119,5.0,O,14329.0,Teuaandqdjgdrujamwetpugcyltdrdcvdixihtiknefchdgpwelbpkbxrvppccwicrlrnzjqkqytgdl,Mfddasyorwev,t,Expedia,United States of America,1236451.0,0.0,S,90.0,4.0
iun9262,429.0,St. Louis,,MDPRRNMGV,1-602-182-5007,0.0,O,340416.0,THAXZXGNIIWZERVUXQREFJNZADHKFO,iunifaexxv,y,Plains Exploration,Canada,2050117.0,0.0,M,45.0,10.0
Jwy9263,485.0,Providence,,ZTHLRCSUNXRI,1-469-600-6858,,O,494896.0,pyukfuhlzqrlgkcqfgxkljlxatlzyfsvxsvkb,Jwyjoxgb,p,NSTAR,Canada,3132061.0,2.0,S,90.0,5.0
OZU9264,647.0,Norfolk,f,Ovsjvyu,1-102-636-6366,0.0,R,332331.0,CQGOTQPAHDSLFJLOOKQXRHUWDMG,OZUENEPHICAQWUSCTQBMQCFZUNTES,J,Tenneco,Canada,2096984.0,2.0,M,40.0,7.0
Vhh9265,302.0,Fullerton,x,dliaww,1-294-034-4125,0.0,O,188310.0,tzmozvqckhhzpvkefjrypcqsedtjsue,Vhhgrmkdenk,,"Toys ""R"" Us",Canada,2604664.0,0.0,S,23.0,5.0
kkk9266,350.0,Hollywood,M,Wadqtqnimtw,1-797-828-2051,2.0,O,180615.0,MKTGBBVKHLIIDWPOJJAPANDZESYURAOZUKTXVCXHDSLMQAEGUUVHLNEJJS,kkkcsbwvwetlatpvpl,,Allegheny Energy,United States of America,1842010.0,2.0,M,39.0,8.0
hcd9267,609.0,El Monte,F,WHPEYHMUAA,1-071-343-3869,0.0,O,14461.0,HXNVGPCZUDUZXOMUSFKASRFSDMHQNYNRACKNLMVRL,hcdyloziuyyaznjqmlpsiqrvttwkj,I,MEMC Electronic Materials,Canada,1094780.0,5.0,U,69.0,8.0
NVP9268,751.0,Nashville,m,qftsswso,1-495-563-1627,5.0,R,395795.0,Ivtajljrsarvfmtgwtmayngniiabyytepsinwelhsraxf,NVPHVLMUGJCQPJWULROJDD,,New York Life Insurance,United States of America,1398892.0,5.0,M,77.0,10.0
Hkk9269,410.0,Riverside,m,Xukaatfxbz,1-163-355-4572,2.0,U,341012.0,DCQUWAWCDLTSLMFJAMJFOJBWSLZEMCB,Hkkbpwelajnxdseapeclhzufve,t,Sauer-Danfoss,United States of America,1471913.0,5.0,M,37.0,4.0
Qwf9270,437.0,Orlando,m,Lvzjxcsoojnp,1-328-166-9769,2.0,R,,Uhartoxxcnvgpdumhopwkkidodrspzoiblqhutrgiygexctpmxgti,Qwfexxxhvwcluqegmwya,,Service Corp. International,Canada,40150.0,3.0,M,99.0,4.0
uzy9271,399.0,Vancouver,f,Cpjhrrjvtiyk,1-560-210-6284,0.0,,33940.0,stzocozqlxstqvfflds,uzyaolbnuwf,,Chubb,United States of America,2455738.0,3.0,M,33.0,1.0
Qer9272,844.0,Idaho Falls,,Kxuvdas,1-331-171-6816,1.0,U,4143.0,httouwdvateikzzw,Qerifijdfsccqnsq,,Harsco,Canada,3823670.0,0.0,U,38.0,3.0
Znu9273,844.0,Nashua,M,pysjnd,1-779-855-6704,2.0,O,167631.0,JZFCYNPQIOLTLEPESQVEXFWNAUOEQESOTVPKTAWOUJWFHJBZNWSTCDRISYJBJDTO,Znukufazahthydrsbuvdemgacpks,J,Big Lots,United States of America,2749198.0,4.0,M,52.0,1.0
cvg9274,353.0,San Jose,F,RFPQT,1-202-354-1589,5.0,R,354988.0,CCOFNPXGQVYN,cvgjccsq,k,Spectrum Brands,,1091679.0,2.0,M,74.0,9.0
Qql9275,448.0,Hartford,f,Rmxniyi,1-950-104-6943,3.0,O,449820.0,CXZAGMCVFLWIAEWUVSRQJKEGMYWVXHSEDZNCSTHCDYITVMLPKAJUROSRDIFYICUHWTVIMKQTCZAGS,Qqllnzdmqcqtfqeywmywkh,p,Ecolab,United States of America,2150364.0,3.0,S,94.0,10.0
Sfp9276,550.0,Nashua,,,1-275-718-2640,4.0,O,6411.0,oervjgaibwytmepfdonmevideifrngcxcampcujjrugmkunuplswb,Sfphozwoskrtgldrmq,,Fiserv,Canada,1323751.0,3.0,M,61.0,7.0
Gvg9277,460.0,Columbia,f,pxwhx,1-123-090-5633,4.0,,452184.0,opddvbchttgspgulwcvntwblrexdnvwwjtiqwfkpnkquoinjpkwjvzbcg,Gvgjgwo,,Deere,United States of America,3615431.0,0.0,M,51.0,4.0
Uha9278,448.0,Santa Fe,,eqlrbe,1-144-202-0200,0.0,O,,YWIDBDACNOEOCMOEWWMOGPBBLIKKKOTKSBTGTQMYUVM,Uhasmd,,Dominion Resources,United States of America,1454327.0,5.0,S,92.0,0.0
QUU9279,503.0,Garden Grove,M,NBNBJJLVE,1-931-271-7927,0.0,O,174030.0,KXLGBHVVQGJEBMY,QUUFSLBYDDTHIBVXZGZFUIRABC,,NRG Energy,United States of America,2994755.0,3.0,M,47.0,10.0
Qkl9280,697.0,Milwaukee,,yzuynlhvmz,1-454-876-2261,0.0,O,151380.0,kiumrgmgeezibnjqpsodzorrivbsxmwhnzt,Qklresvwkwxaocjilzigyyj,,Amkor Technology,United States of America,3471416.0,0.0,M,34.0,2.0
Zma9281,831.0,Cincinnati,F,ravyrsrl,1-056-699-8225,1.0,,491974.0,Fvracepauyrpswkns,Zmapnfoowjipky,d,Sempra Energy,United States of America,1230647.0,0.0,M,93.0,0.0
azx9282,493.0,Pueblo,,Llzyw,1-961-866-6787,5.0,R,186620.0,Adfjmtyqtkwsh,azxvsqisiojdmjm,l,Smurfit-Stone Container,United States of America,552886.0,3.0,M,61.0,0.0
Ipb9283,565.0,Thousand Oaks,m,nehurgpltfwj,1-383-262-5550,1.0,O,4011.0,HOSAUOMELHWAKCIFVFQGYKAUURRUPSFY,Ipbzlojbvhacqccerowielllwqd,v,BJ Services,United States of America,3241806.0,4.0,,28.0,8.0
SOO9284,344.0,Santa Fe,,hafatin,1-442-477-1954,2.0,O,161973.0,XEKSPNLHYTPKOYTTEEKKECCXANDIXD,SOOJTHL,W,PepsiAmericas,United States of America,498520.0,5.0,M,,2.0
Tmj9285,342.0,Albuquerque,,vwitbvqqibxs,1-709-748-9824,1.0,O,79257.0,TXRZFBFKHKDQXGKHUQYMATPXVBSQWKAEFLLV,Tmjensldwlktroejbxlak,,Graphic Packaging Holding,United States of America,558126.0,4.0,M,24.0,6.0
Inx9286,444.0,St. Catharines,,ZIHQU,1-800-248-1863,4.0,O,350087.0,Wulknjymjwfssmwkyfatfoaqqz,Inxssortmcsljzvnvuiwebpxt,A,Cardinal Health,United States of America,,5.0,M,70.0,7.0
OWV9287,840.0,Peoria,,Pvdgdmv,1-902-199-4348,3.0,O,461393.0,RREYGYIXWHPFQBIODYKPAPYCLUHZCZGWOSRFXIJBCZRSDQSUFMPVUBB,OWVQSHINCOKRQXKIXYXNIPAZAV,c,Abercrombie & Fitch,United States of America,519396.0,1.0,S,23.0,0.0
Vis9288,803.0,El Monte,,Efnykp,1-303-389-8865,,O,358062.0,Tqbfzrnppvhnsbbejupfwgvymdlmtajv,Visilggvejmmoabn,N,Furniture Brands International,United States of America,3639546.0,3.0,U,25.0,1.0
YIZ9289,532.0,Arlington,,Nyebrtkch,1-327-455-9315,0.0,O,322165.0,Odgjlhffsvfzitiyfsrflvucyjzdm,YIZNBQQRZQXRW,C,Enterprise GP Holdings,United States of America,1137629.0,2.0,M,92.0,
NDY9290,601.0,Worcester,f,Hrvhby,1-742-872-1218,5.0,R,418613.0,Zoevtvypndccfnnhxciwljjrskibrmcjxcxlblbkxghlvuhlnciblynvuhfobpnidnkcrkqvbbaiw,NDYUXTFFKQLOETG,B,Priceline.com,United States of America,2565674.0,1.0,S,12.0,5.0
Roc9291,843.0,Huntington Beach,f,Ajuirgwhh,1-103-237-4616,3.0,R,107902.0,PSSIMPBBIJOYBVYXFSKLCAOUQSZWSOJZNAERJKYBAQJKEXPOZNMZLBVPKJAOBGKOANY,Roclcmdkmtemcrapyyhhjmstd,Z,,United States of America,493797.0,4.0,S,60.0,4.0
KCT9292,396.0,Sterling Heights,F,Xaknnclovwq,1-340-367-3066,0.0,O,349077.0,VMNKZNZQWFAKVQSWVAFLLTMAMQZNEAHRXCCWSSZVPESYVFCBHSVKNEAI,KCTWQSYEVMBNLDFMQRQ,V,Valero Energy,United States of America,717847.0,0.0,M,76.0,0.0
Edl9293,324.0,Denver,f,qxozoctki,1-036-228-3920,5.0,O,422984.0,Bspbmiztnbqvgrvcwjpyujic,Edladrnlxinyozrqhrn,T,StanCorp Financial,United States of America,220373.0,4.0,M,82.0,5.0
Nbr9294,417.0,Detroit,,,1-082-706-4664,5.0,U,441805.0,cgignbmurpztdqglumddutziphxasvscmoz,Nbrhyb,u,Cincinnati Financial,United States of America,2458485.0,0.0,D,51.0,7.0
Xad9295,,Thousand Oaks,,MUJJYTCHREO,1-773-838-6362,3.0,O,451605.0,Ajpmuxcqxriawphsifellkjwrgwxtonaquwpudfhdpcydvmviwqtswnu,Xadmziwrjvkohghjnch,n,Goodyear Tire & Rubber,United States of America,,2.0,M,29.0,4.0
njx9296,741.0,Colorado Springs,,Ejimkjtnjsq,1-763-470-0579,1.0,R,262664.0,JJWXCLFRWVGWLSADRWHSJXSCWNJNWVDILDRWY,njxaisspqrpsupj,Q,Dick's Sporting Goods,United States of America,812824.0,3.0,M,80.0,9.0
Vun9297,330.0,Springfield,,Xiegdxdb,1-132-369-5017,0.0,R,90056.0,PRSOICGRELBJVUQDRNGNDOSJANARVKCLCDIXCW,Vuntqtnirhycmjnffdowdbsqlqag,,General Cable,United States of America,2914214.0,4.0,D,58.0,6.0
PCR9298,492.0,Tempe,F,Ipjwakx,1-994-356-6533,5.0,,303070.0,tlhvfxiijsvocpwgcmwyyjljvupwvtocmpxxtb,PCREKZDISXJTJEXIPACHFBN,,Regis,United States of America,2936891.0,2.0,M,,0.0
Gbo9299,808.0,Montpelier,,NUQEWF,1-281-521-8414,0.0,O,264157.0,rugraczpdtouejqbyvimpiizbdgfwyppujnnqczspwtniibhnzrytbpehcjuiqhcmr,Gboqvchqobqmke,,Apollo Group,Canada,2573727.0,3.0,W,83.0,9.0
LXA9300,367.0,Aurora,,Uibuzlym,1-991-410-2680,1.0,,90133.0,qdkpduxsbmucndsdibwkyq,LXAWCDZVIYMBJDCOTDZCSWA,,Owens Corning,United States of America,85554.0,1.0,M,64.0,0.0
Sro9301,,Fort Lauderdale,,ijhchcovugi,1-433-513-9740,1.0,R,192710.0,Avnbhkzdkcmmcnncafdztbtetbpnjhfwwkmnqqicqgvfatxiotwbhodxpigwocixdqcaewpggplf,Srovmfsxe,,Kindred Healthcare,United States of America,333160.0,4.0,U,25.0,2.0
Fjm9302,718.0,Fresno,f,,1-834-107-7735,4.0,O,247648.0,Doovfgyddvwpwmsegdjfohrkqvvwj,Fjmmirdtvjewtuxyvtsfqfzefqlgpc,,Monsanto,United States of America,1964125.0,0.0,W,58.0,5.0
Sur9303,447.0,Livonia,,Nafcmm,1-766-430-1474,4.0,R,409256.0,JKMWAQWGWAWTEBUPHUTAGCAVTWTKVBQFNYJONKYGCRMWGINELOAD,Surumny,,Maxim Integrated Products,United States of America,2334579.0,3.0,M,82.0,3.0
Hax9304,405.0,Orange,,Vmvfoqbppkve,1-936-575-5788,5.0,O,60268.0,Zfjjwdxmqsuinnthbtvuvulthhxognhcvdhznwayoixdu,Haxzkyuvarhfvrojqerq,,BJ Services,United States of America,114832.0,1.0,M,51.0,8.0
zgx9305,646.0,Provo,F,NXGKVJWD,1-779-005-3408,2.0,O,299077.0,VLFKWILH,zgxmchgcibwahtuqbwetcjdebjxo,I,ON Semiconductor,Canada,2593495.0,5.0,D,60.0,4.0
Kmh9306,617.0,Orange,m,Arvzcjdgi,1-544-182-1503,5.0,R,265850.0,Ohksijheoeierjbfujnicdicbgdwzrrzwie,Kmhvrbqnjgeqpaovmjchzxnd,,Polaris Industries,United States of America,1731732.0,2.0,U,10.0,8.0
tec9307,346.0,Salem,,Kymuormq,1-485-053-4961,3.0,O,448020.0,CDUEVDMMLBWDDSDYENHRZQNJFWLNOVQBQHTANDTUJTQHXWJSTNR,tecxyzdmc,,Varian Medical Systems,Canada,,3.0,U,11.0,9.0
Xsb9308,784.0,Charlotte,,Cahdunqytzw,1-434-184-5650,0.0,O,205923.0,efajzhcmjwlgogjcraenqyemdeiukqlzopmubqzpdkngiwijhahbaccfokpvlgpbwbalnm,Xsbucvojvnycqwsglin,c,YRC Worldwide,Canada,,1.0,M,42.0,5.0
RJB9309,345.0,Frederick,,NTXJNIOWALG,1-444-992-9218,3.0,O,457110.0,Wnqcoqixkld,RJBJIFLRSJNQZBPXYPKXCNKU,,Terra Industries,United States of America,1137816.0,2.0,U,73.0,
Ttw9310,816.0,Scottsdale,,,1-182-939-2795,4.0,O,,Cnbmncbypygewtxakmjxyrlfvxzjbadd,Ttwll,,Walgreen,United States of America,2948275.0,,S,30.0,8.0
Gox9311,,Orange,f,,1-544-562-4582,4.0,O,25537.0,Tkmgbuhkivgcobgjqsoxhnk,Goxfyxkivmh,i,Protective Life,United States of America,1018827.0,1.0,S,71.0,2.0
zxx9312,479.0,Columbia,f,DTIINLFR,1-656-542-3365,3.0,R,243425.0,Apwdrtidfbhfpqvsicnkrarriorylrthjqbfwcivxftgewqnkvnbmvwqubjlxvmqrnwvrxlb,zxxjajcsbzdypbvt,E,AGL Resources,Canada,3670831.0,1.0,S,73.0,2.0
Oik9313,840.0,Augusta,f,JURUW,1-155-740-9974,3.0,O,456113.0,Iwxbhfqalqdppbgsmerhphrzgdjnmwiujxvuxfunnuruoyctorn,Oikbnitywbnqvgycfuajqrvtfmuys,Q,Manpower,United States of America,1101433.0,5.0,D,,
Fdu9314,765.0,Hollywood,F,wgbyllvqa,1-365-387-3031,1.0,R,,,Fdutbsmhsdlvlprypt,,Chevron,United States of America,1520350.0,3.0,D,92.0,5.0
BSV9315,490.0,Madison,,Kbxrynbkidr,1-699-774-1254,2.0,R,151157.0,Wichk,BSVKTAAYQLBVKEPARMYOGGGK,e,Nasdaq OMX Group,United States of America,1705062.0,2.0,U,97.0,10.0
qyt9316,650.0,Las Cruces,,Kjdjjhyquzix,1-111-491-8558,0.0,O,359574.0,Vkdlnwlxhoyikmvjvznwjulowopjnekcnitxgwhoshduoo,qytpqwqyfthgmw,,Assurant,United States of America,1648906.0,5.0,S,70.0,10.0
Uap9317,318.0,Concord,f,YIARXL,1-204-025-6092,,O,162420.0,,Uapgrvpwycjpjbnsxqdozq,,Michaels Stores,United States of America,3534957.0,3.0,W,10.0,0.0
PUL9318,458.0,Sudbury,,Yvkjj,1-151-395-1617,3.0,R,118416.0,ntkedpcwsdwgwaugbeljgwxbaywoqnhq,PULOEIKIYYYSCFSJIKVL,S,,United States of America,2906056.0,3.0,S,90.0,10.0
Vsi9319,508.0,Whitehorse,f,Sfaicbotep,1-742-249-7532,5.0,O,44735.0,Naont,Vsijctsrojoqoj,a,NuStar Energy,United States of America,1758546.0,3.0,D,19.0,9.0
Ulq9320,600.0,San Bernardino,f,Hfsqglb,1-116-620-1198,1.0,O,265368.0,KRMKNJCBPRFBVGIOUCOPFXARDBLULKLMFWTRVSLENOQAFKLIAF,Ulqyabpugubryqtelqg,v,Equifax,United States of America,1876595.0,2.0,,7.0,1.0
PXR9321,470.0,San Bernardino,F,Zssib,1-479-570-7693,4.0,O,90317.0,Xgznkfoxypvihkafuffvllwv,PXRRCICOOZNUSFTXV,,Vanguard Health Systems,United States of America,3364612.0,5.0,,48.0,0.0
BIC9322,367.0,Tempe,M,Capwj,1-281-131-8778,4.0,R,305683.0,MKNWVZEBDNXJQGSJOVZOIKCNLKWCXYAYGWDSDVAFAZCRA,BICCMYAGGJHYPZXHXWAD,,WellPoint,United States of America,960349.0,2.0,M,27.0,8.0
Egt9323,828.0,Winnipeg,M,Usyykxhpgnmd,1-246-441-5565,3.0,O,312046.0,UIUAINSDQUYGOYNRFULPCCZTPOQWZIXBCVFOLHYZKQCHRKQVUCTSQFNPLZQHVNQSNPMPKNHHMRV,Egtmhllbazlgtx,W,Charles Schwab,United States of America,2434281.0,1.0,U,19.0,6.0
Hwi9324,791.0,Syracuse,,Wmsrsdnxsua,1-106-315-9052,2.0,O,130547.0,Rghtyensqiwcrjfootkhcrj,Hwishmepjqmmrfiblcelvafulscrrh,L,Helix Energy Solutions Group,United States of America,1687912.0,0.0,U,2.0,4.0
Aiz9325,770.0,McAllen,f,SXCRDAMJ,1-944-038-8243,1.0,O,54561.0,Iqxirqilnaetokwoaxqsmtnynnshzlptiyef,Aizanjlxjpzujid,I,Great Plains Energy,United States of America,226828.0,5.0,U,88.0,9.0
lbj9326,640.0,Hialeah,,,1-616-635-2195,2.0,O,430056.0,kcomhbxoctjfuvcxwoownuxcbohmlvubw,lbjeroxcnzmhaqnixybypks,N,Granite Construction,United States of America,2682142.0,0.0,W,37.0,
klz9327,485.0,Yonkers,,Aaxxbmsskwa,1-109-509-5374,2.0,O,208745.0,Lxryimwvxicjipjryesqmsxfhhdxqusuxocuudqrksxrccdxuwkjalqjbhsyk,klzfhvajxs,,TECO Energy,United States of America,2356998.0,4.0,M,30.0,10.0
Vaq9328,544.0,St. Johns,,Jrcoao,1-017-213-1159,0.0,O,328669.0,,Vaqysjteypyisgkndgb,,NetApp,United States of America,848687.0,3.0,S,51.0,4.0
iwp9329,646.0,Albuquerque,,BYJKMHU,1-886-868-0874,2.0,O,217250.0,Hrjgfshvkahv,iwpghalrdeuyuncpxojaianrokcuj,,International Game Technology,United States of America,735994.0,,S,41.0,4.0
VDX9330,563.0,Huntington,,gagsm,1-597-653-2241,0.0,O,386927.0,Azxpmfnlgypttrcvfsoetbktcsjsvdlmbrju,VDXWJBPHGD,,McDonald's,United States of America,1439992.0,1.0,W,2.0,2.0
XOT9331,821.0,St. Paul,,Dswflqojjpu,1-442-207-8967,2.0,R,223494.0,fdhrmqbrfsnpqgdhjpmgceeqmndsreqfqwpnufbjtgy,XOTHLHFWLVNUDANICZVBHVZQMM,,Steel Dynamics,United States of America,1274990.0,1.0,M,39.0,7.0
bgd9332,455.0,Halifax,f,Qkbttvtpywe,1-270-865-8570,5.0,O,372159.0,Iapfxocyabqpafnphkqiitqckpeerpngsqcwunoyufxtcemppailkipmkxacuugmfrqfzgfmy,bgdjhofbkvrtcjcvh,M,Helmerich & Payne,United States of America,206621.0,3.0,U,96.0,0.0
LWI9333,662.0,West Valley,m,Bbrzyk,1-346-294-4429,3.0,O,462514.0,HHONPGZVCSSIQFDJOZIMQRHRINATOCKFGLDKBGPEZZCMAQTWQPIDXMQZEGCWLDM,LWIJBHYAK,,Lear,Canada,2310238.0,3.0,M,13.0,6.0
EXK9334,818.0,Spokane,,Yunta,1-623-096-3088,3.0,O,93567.0,pifhdafzygmqtoilalaiduuliobfkvzlhi,EXKABAMXCPMPKWVLHILKMPGA,,Atlas America,United States of America,,1.0,U,44.0,5.0
nyq9335,701.0,Manchester,M,Vfskfmfa,1-863-400-3831,,O,410810.0,Fuexijfecuwvbnziqrldiqhmcephfnzfvgncyebwmfqkzcvbiudkbyshvuofktichqanmreie,nyqidnnkakqlcwscaouyxuqruqae,o,Jones Apparel Group,,2044618.0,1.0,U,63.0,5.0
Hdi9336,547.0,Chula Vista,m,MZGVHDPMC,1-091-554-0668,1.0,R,177807.0,Ugrlygznksqmynlvxbylnzxeokcpuwqudsllunbllagakkuyblskutuogodelddmbm,Hdihvvewyckk,G,Henry Schein,United States of America,556278.0,5.0,M,74.0,5.0
YEV9337,511.0,Toronto,F,Mzrva,1-041-041-7084,0.0,O,220965.0,,YEVSITPTTFMNXNGKCJ,,Celanese,United States of America,3284453.0,0.0,D,13.0,6.0
jmb9338,776.0,Minneapolis,,wrstbrhrlh,1-179-719-7301,1.0,O,7870.0,wunnsxtohdflbukesllwffcrejntprpqwfiwxvvtkqcebmwqcnprtyh,jmbftxvvfwysz,,Applied Biosystems,United States of America,3775743.0,2.0,U,98.0,7.0
Uhs9339,603.0,Dallas,m,Hddgntm,1-036-500-9811,3.0,O,359152.0,Wzkqkuyarzdaiivcerrihozmdguqfulmfmnxnmi,Uhszphnuf,G,Las Vegas Sands,United States of America,1974666.0,2.0,W,20.0,10.0
Pmo9340,413.0,Salinas,,Nccjzmhff,1-577-862-5813,0.0,O,244334.0,,Pmoyhbghbqnj,S,Coach,United States of America,1329378.0,4.0,S,49.0,2.0
BMP9341,481.0,Memphis,,,1-520-927-1380,0.0,R,428099.0,RKRLPIAGGLCQCTZKRNBANXPJHQQDBWJPSKWPNTHRKBZOCLUSFKQMXITDPTDUYVSUEZBYVVZJNLAOB,BMPLCGLDOJCAPBEVVZHTNKQ,,Ameriprise Financial,United States of America,2909229.0,0.0,,8.0,2.0
HOC9342,673.0,Allentown,,Cbabfkgrzovp,1-191-312-5506,5.0,O,325852.0,RGJGTKHEQAWNTWWTHQJQZORWIUJFCTVBAMZINETSATZFS,HOCTAIMFPJDGZJHB,W,Vought Aircraft Industries,United States of America,,1.0,M,59.0,2.0
uoe9343,726.0,Denver,,IWYMOWM,1-184-898-8716,5.0,O,,Seqqgldmmbfolljsnjyjdryebucxbhbvohujbvavovhkqjrjhybeddughlqqftqfiuegwy,uoebfrpkxmhqklwwjvmevu,,Hanesbrands,United States of America,2869101.0,1.0,M,55.0,4.0
ddv9344,394.0,Charleston,,WTVUWV,1-542-783-2509,4.0,O,31005.0,IMOFNFOSPKRCDECGTPSFNPONNWXRSLBIWTMYFEUGNPYNCLMTBSHWGDZIVNSVOQLWHRJ,ddvqxpgrr,,J.M. Smucker,United States of America,565070.0,4.0,M,,10.0
AQO9345,613.0,Sudbury,,,1-568-123-5187,4.0,O,5605.0,Rrrpritsqgyoxjqtngkrnjwsctmcxlbnmzrihihduqucaluzgacrlnzmu,AQOKLOKMDHIW,,Conseco,Canada,2283039.0,1.0,M,25.0,3.0
Cxi9346,361.0,Gary,m,Ilifeydpije,1-489-309-9438,4.0,O,159171.0,Limurlputyexlrupkgaexdgwpdrtvllnbmhksrsgvoqzdicfexnvqldfdfqhcqnqsqapvhkxz,Cxiybtaprkizhqhmwkjewlsjap,B,AptarGroup,United States of America,3189016.0,5.0,U,8.0,3.0
Drr9347,577.0,Independence,,Dbpohaojyxk,1-340-208-6107,5.0,U,360692.0,FMFEWKUHEWKCBSJWFFIX,Drrtwr,,Helix Energy Solutions Group,United States of America,2654496.0,4.0,M,89.0,10.0
Bno9348,455.0,Dayton,,Uzuotmimptgh,1-442-696-6249,0.0,R,71803.0,Pvxatpndkxvwrslzxxtlrpeicwblpiwhlqidngzvuzhnndmsvbikhxduxjsqhrtftpztotciumz,Bnojfhbfenwespohegwakvt,,Sanmina-SCI,United States of America,2716732.0,0.0,M,9.0,3.0
ibm9349,647.0,Anchorage,M,yzgbigsdx,1-782-519-8480,3.0,O,431130.0,Jxmqxbyoy,ibmuehqxrxzeptwngsiezgvgaeztd,,Vought Aircraft Industries,United States of America,266702.0,4.0,U,33.0,9.0
Roq9350,344.0,St. Louis,F,Tqzpn,1-771-983-0971,4.0,R,402077.0,Flxqbpmfihthvloklurscit,Roqafammmuvpwxibe,E,Thermo Fisher Scientific,United States of America,3036109.0,1.0,W,83.0,2.0
Bee9351,702.0,Salinas,f,MGHHRBBS,1-026-310-4002,4.0,O,317493.0,,Beequyncxupianpfvrtw,,Morgan Stanley,United States of America,802666.0,2.0,U,76.0,5.0
pmt9352,602.0,Cincinnati,,Jhdqfr,1-904-123-5817,2.0,O,242846.0,,pmtuqtkegdapmr,,Hershey,United States of America,2121177.0,5.0,U,21.0,7.0
XNV9353,526.0,Los Angeles,m,GANTKFQISCB,1-236-421-1891,1.0,O,189279.0,Vofselcthhgvuhsadnglmzimyuqgfsostiwcslnvstpqaasplp,XNVOYYDIDARTIJAWVCTDKWCSHFRRUK,N,Noble Energy,United States of America,3243442.0,,S,42.0,5.0
Hra9354,,Bellevue,F,Gniqeiujegr,1-769-176-0939,5.0,O,96167.0,rxgkinshlojqfodfkuhfbniijmxwwikswyanvfvitmfzcqvsqwyjuidvk,Hracsjnosjdmht,m,Century Aluminum,United States of America,2021690.0,,D,95.0,3.0
xmp9355,514.0,Virginia Beach,m,Evnkdvlzp,1-408-211-0567,3.0,O,321492.0,tipqftrqsqayxbrwpeupdwrfkrddwgmdr,xmpunfa,z,,United States of America,1980845.0,4.0,U,70.0,5.0
Mlt9356,331.0,Overland Park,F,WNDOXJDHOUMV,1-506-571-8374,4.0,O,66367.0,Yywumjyjolpxregxaorxmatnteghskplphcuckttywcxftoqdsysipiu,Mltudkmvjmjxtg,,Terra Industries,United States of America,838050.0,2.0,S,66.0,6.0
kfj9357,840.0,Yellow Knife,,SZAQVQ,1-509-391-0683,4.0,O,257884.0,DFJEWKEJQLITQPGHFXMMCKLUEFHXBOCONKYJRDZMFOPVOHQBVGVIQNGNSUTHHOBLMLXGMFISHE,kfjdfrmfsdvpygcs,,Mattel,United States of America,2021368.0,5.0,W,73.0,9.0
XGL9358,668.0,Santa Rosa,,Ojhic,1-384-794-2882,2.0,O,449830.0,fxefczwhvsqtdfwbu,XGLXJODSFPENAHQVDETJLHTLEAKQ,,,Canada,176674.0,2.0,U,88.0,10.0
Aio9359,474.0,Huntington,f,wbqhcbhmw,1-982-194-8517,1.0,O,58702.0,Xtlfuhdzolfiopgarhzuqmpgisdjw,Aiogsioqctvxepkkyoeunuiikovef,o,Fiserv,,630392.0,4.0,M,70.0,4.0
jjd9360,368.0,Cleveland,f,CDBPFV,,3.0,,32361.0,Cnvhwqsnizpwazklfklploolcyfvkebuocshdke,jjdaaestqrkhgwsdnut,,Emerson Electric,United States of America,939924.0,4.0,M,43.0,10.0
