prospect_gncd,prospect_pstlcd,prospect_nmbrchldrn,prospect_ddrssln2,prospect_ddrssln1,prospect_gndr,prospect_nmbrcrdtcrds,prospect_ct,prospect_ntwrth,prospect_mddlntl,prospect_mplr,prospect_crdtrtng,prospect_phn,prospect_lstnm,prospect_nmbrcrs,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_wnrrntflg
Kep9618,Dfzsiuin,4.0,gqbchqdrohwinvmcpxcfhgcjbqwcqmma,zxadxmnpwbsxdpjyzphcohowixesavggnxcqlwkpnusfplfutnicisojmeionqermspjaraogvpi,m,3.0,San Francisco,2998827.0,G,,478.0,1-742-084-1793,Keprudkzerfzcvosaukb,3.0,404917.0,S,87.0,O
Sbh9619,Pybaopcx,3.0,VNOTLVQCEBZMJXQLDFCSBDJGUCXRCDQJFQYEHEDZSRBPVBGQYIYCPUR,,,1.0,Flint,125727.0,c,Teradata,522.0,1-142-040-2754,Sbhlnwj,2.0,133860.0,S,77.0,O
eax9620,CIXBCICH,,Gxffovdjfgsmd,Kfbzpfyrooylksymqqllwhtaxxowhytdhuqybdxu,M,2.0,Sherbrooke,2580217.0,J,Exide Technologies,424.0,1-623-004-6373,eaxdafdhmwfbqzeckkwfwkhdnl,4.0,362096.0,,,O
Fxb9621,,5.0,Dcpbbusifpzyefxbftgtyjxkafvobuykoeiediiaxqeayrtepfnvhyyrkvsfqxoilnrzjjruudchrfmq,piugkibfidpqosedqzogqhjynhjayqulpbxftfcbgo,,5.0,Sydney,2937182.0,e,Raytheon,838.0,1-673-465-5530,Fxbdobfjumieqcxoewxheczzx,1.0,62285.0,W,18.0,O
Pgd9622,ZTWERNIOUI,,kyzddzfrrzhovowqnnjum,kvdqoncsxsgspsdcmggncltgnrhuotsjvbzitbexjkmsvehcelvorz,f,2.0,Independence,1688979.0,a,Ruddick,352.0,1-879-575-2775,Pgdwwxldumj,3.0,485955.0,M,52.0,O
Pbm9623,Cgmxunvo,2.0,mgiqlrmflgrwibkeqalzajupfbpickcngudomunubxifdgfikmophlgt,Qtcenqrkpdetlzmlmivkpudeekqqeweafsbueowbxcjqspcwaxbqodsqxrpeellsjrpd,f,4.0,Chula Vista,951716.0,,Affiliated Computer Services,541.0,1-617-314-4050,Pbmxseazxpesrenlkldcemnd,2.0,496062.0,M,28.0,O
Tjq9624,Njaawk,5.0,Beawlvqqgqdkmqnvfbibscgnisjtzmvhdzghhifpdqqskc,Xssxiegnbzspjeewamrftubpatrcjjngwjuxnq,m,8.0,Amarillo,3286331.0,l,Cisco Systems,713.0,1-852-797-5421,Tjqiykfyprazzbqpqpowd,4.0,357691.0,D,78.0,O
Rqt9625,noielpof,3.0,Pgqkimxtrmrzpsvgcofwmzbnjjvjeuvwfj,Seixwdkafflqwmwgrtnitnmtacbwjljxekvcygyupbpuuvcaytejohqvezayacuviuqf,,10.0,Vancouver,1548003.0,I,Molex,362.0,1-405-722-6037,Rqtiup,2.0,363994.0,,46.0,O
Vqd9626,Oqvbjd,0.0,ahfwlw,NRJEQDUKUMPXQYEEVHOWCNESVNISUMBIHAJSRJAXOVSCOQVLDBMJHEHJZTFEGVKLXCWSAGW,,10.0,Waterbury,3560347.0,,Procter & Gamble,749.0,1-572-286-3435,Vqdfu,2.0,447126.0,S,70.0,R
Ear9627,XPMQEIUH,4.0,nsxjrp,Kermh,,5.0,Casper,3038857.0,,Watson Pharmaceuticals,368.0,1-207-535-0860,Earpffp,4.0,405459.0,,98.0,O
Cai9628,skyyvmj,1.0,Rljrdpdqtnbfandmrvcfjbthdkkexpffdaeintzigrcjdywbwoigbmnvovdhkqdufpcvlla,jifdreeogwadhtoeqnseaueqqgplxkzbfirijngfmntviawrssq,F,5.0,Charlottetown,3649153.0,,BearingPoint,642.0,1-298-560-3607,Caisstnltcmhcxsoeksx,2.0,115063.0,S,84.0,O
Cvw9629,Ubvdhi,3.0,Uqodyfeovkbq,Fmmvrxddgc,,4.0,Saint John,3757101.0,,E.W. Scripps,781.0,,Cvwgxmuykxylilopstohoba,0.0,185892.0,M,93.0,O
Ujo9630,Hshntn,5.0,tpdzscdqwtqhjw,Zlhtfklabphlwnukstectoanitctrrmlrvdwtidwhktumvztpbgqroveploasjjhxhrqrhbkoznrx,,7.0,Birmingham,2050133.0,,United Rentals,588.0,1-121-277-4762,Ujobhadoiltkyttkfseihzqrcrek,5.0,419892.0,W,65.0,O
Rlo9631,Xcfccj,0.0,Nwvchpspyzplswrxchjdxxteexhwnfvorfheoiznmnicmfgozjiskilacg,Hqhjjvrujasjtt,,9.0,Sunnyvale,1299398.0,,Entergy,838.0,1-467-298-8636,Rlovltjqjoruiwamyhjgfeesaywt,4.0,383095.0,D,22.0,R
Edt9632,stoiqh,3.0,Tcjfigwetjllmkvjbhxcusydsgwldcmkuqlnztwlmmt,Svkrqysgohbxwealhbxwog,m,0.0,Torrance,2701723.0,z,Carlisle,516.0,1-303-717-2689,Edtnflqnmehsuoplpugdlbeehxqqe,,308861.0,U,42.0,O
HDH9633,Vmgvg,4.0,dswkmfvrglidcilyduiophkecjecauwxbqekvnvzyfdnkrco,cudtcqxfgvybouccapaizpnupemndzvarrbctyujkvxlrlvdeflnxll,,,Columbus,,,Patterson,839.0,1-750-299-1821,HDHQWAJTTBLOIAXRDRWNFKSTWMXH,2.0,94274.0,M,21.0,O
Mbv9634,slwwcsq,3.0,feteslrtevlvkwslvmjkexqcpaghiozfxotkorvfawykgkv,xlhtcxgvgtaheikskoayppmziwzddizbagd,F,,St. Johns,1756757.0,d,National Semiconductor,370.0,1-770-700-3972,Mbvdkigafhdcfxpuckqohh,3.0,245985.0,M,30.0,U
WKP9635,XFAGQHQFSDQG,0.0,Eazyxllrpvmtf,Ugbwiqhojdmvqoffkejjouatraapwabbabmapmuptywmaro,M,1.0,Salinas,942008.0,,Coca-Cola,456.0,1-998-749-6801,WKPLD,,400758.0,M,59.0,R
IBU9636,Xqqvy,2.0,khflfnkrlokwzgpduiopfslbpauvvrmrrpzlndklamwikdroa,Hubjswlaorgpkrhlzogacsetohajgqxmhltlr,,2.0,Nashua,1347910.0,V,Continental Airlines,458.0,1-446-903-7131,IBUUSCEOCBKLONLVF,1.0,440015.0,S,44.0,O
eqc9637,BKMGPQKWTRG,2.0,Sqettbvoezdcuvlannxdgljtdxpthbxxiqfkpnpoccvqhfnrvamoadietwormcbqdvjorsryms,UOMAAOEEXTMA,,10.0,Tulsa,2549732.0,,Beazer Homes USA,747.0,1-518-944-4097,eqctcvdjvstgfpj,1.0,424229.0,M,80.0,R
Wcc9638,,1.0,eivpforhbbwgwugvagyoeqzifecisefyaceicmatdtyggrylxwfddecxxd,WWBFVQUGLODQCAHZNDGNIFZADNKJTRGQDPAUTKEHKDJUFLLDRJKCTJQPNAUOXZPFFIPDUGCTQQMKCSUS,f,10.0,Reno,981332.0,c,Select Medical Holdings,659.0,1-849-881-6875,Wcccvjkgczfvcljdvcizvpawnhhqn,3.0,69150.0,M,34.0,O
Ktq9639,Oijcpsxc,1.0,,jmzzxpbpyjrohuwrshswplbv,,0.0,Worcester,1977940.0,f,CH2M Hill,676.0,1-007-388-3095,Ktqvbvivs,5.0,234345.0,U,24.0,O
Zos9640,GBFJDXOAE,1.0,Lrdjlvfzybhtmmfjsparrklpmdvjyznkwjk,Bxvrolwwlbpnehinlnyogtagoiqakytxceqkjsjdrfzzddwxvfmklftrw,,5.0,Nashua,1559371.0,,Allegheny Technologies,701.0,1-992-699-4247,Zosiv,4.0,96921.0,M,94.0,O
Agt9641,gbrxinqcb,1.0,XFDDNDMWSLUIEKQBZZESGMWTDMEHHBKUTXNMQNEBWPDXSCMKTEGLENJKSVWCADYUTPYGYPHPOB,,f,,Inglewood,1863673.0,,Allegheny Technologies,,1-766-275-3648,Agtzeicqdfjmsosqg,4.0,386291.0,S,78.0,R
Gqu9642,Nibldg,1.0,uusstttkuclzjmtgxgtpnbpmxcojeudworrachyhgrutszqrnlrwzl,DNFXOMTGSKITJIOCPYTKDQLELDGCASTZYVFIMNYYKLVYIHETZQFAEBKJVQLQGDLLWH,m,2.0,Mesquite,2656907.0,l,Alliant Techsystems,810.0,1-369-804-4930,Gquxou,2.0,146507.0,W,86.0,O
Bdw9643,Dytajlv,5.0,YFGKXAQYFDPBCPSKDDWSTSGGEAMZUSHCIVGWQLEVJRINMVFOBEOGXBKMWDLDIIUXWOWP,Qjcignxdlthdgchadb,,,Newark,286281.0,,Broadcom,735.0,1-836-845-1047,Bdwzsrifn,5.0,18703.0,,90.0,U
buq9644,Zupzyhpl,2.0,WVGAHXAVHEOHDAUPZRSWLWKCTSRNRHIZKIAHJFLSOLSGY,rsdpetdkvfjliyyaorvbwckxrdihczcnizzniugdrnpdlpdwpmpwvlwivaznwnexkypsijmw,m,6.0,Pittsburgh,2389595.0,U,NCI Building Systems,791.0,1-421-570-7147,buqqgsh,5.0,53647.0,U,58.0,O
fhi9645,IKSJNCGOQ,0.0,Llhuhnzyyzbodossnznpwusqwdgswkgkjqklmpqaysdjyxllkpprauppreqzzrhtwmpnphztagalpx,SDZPDLZDRDSYAZOGUMDGNBGDQBIXXTJBCINTHISHTNZLN,,8.0,Akron,1957281.0,,Career Education,684.0,1-757-716-5992,fhiltisrnmuwjyetoccpnppzwcrkz,5.0,434003.0,U,78.0,O
RHF9646,qxinc,5.0,QVMUVIMANCYKHRPSBWZ,Stydezvfdbmkfccypapqxxqwcpnitzesfdacastjapmkyezfrktdqixthrgmoiwnlrnd,m,7.0,Yonkers,3301979.0,x,Beckman Coulter,841.0,1-261-331-2427,RHFQKLLFMQQTMYJXHBUBYJGATOJDAH,4.0,70929.0,U,69.0,O
Oks9647,,1.0,,stkgkwqpflseeaarwgpkxqafbf,M,0.0,Oshawa,712995.0,J,Retail Ventures,392.0,1-346-021-7864,Oksbg,1.0,289744.0,S,92.0,O
UKQ9648,Sovvspz,0.0,Wgwivpqnnyjgobkvbmuewelghsgnjhtldtbylrbdqgonpqnshulrkjbhivjndvlzhozcl,JEDKTLXSHUOHUGYOQOTUILLOCUASLVRHQGSGIUCDNDQUMZUASJPWVOXOBMALQBTDUHWHQTRSZTVIIIR,m,9.0,Dayton,842795.0,,Calpine,492.0,1-790-926-4762,UKQJBHGD,1.0,156050.0,U,2.0,R
Ohu9649,Tjopetbhpn,3.0,Kuqurytj,vxuna,f,0.0,Flint,1367688.0,,Delta Air Lines,744.0,,Ohusqvezmwghgbyfjcmszupadde,5.0,382626.0,W,,O
smm9650,Qxyoomfyvut,,Tarkxdkweibttmchdvsiszfxhxpiaujupjabxuf,Fhnfjnokzcphovtwkqxajvkshjrlfvokrbmyvdgmtmjftxgjuvamxhjawkmzjcxpkernvxg,F,10.0,Glendale,2635107.0,,Baxter International,636.0,1-940-377-2495,smmfkuusvzynlfnxmljvasunrarphp,3.0,133264.0,M,43.0,
Beu9651,oblongwf,4.0,Frzkdfpsieutfwcxhpaqfqovgghlfgkkberrjjanqpovihnuslkimvhmmvdnaahobtrconxiboao,Dobaryj,,2.0,Sterling Heights,2208163.0,,RadioShack,395.0,1-633-105-6727,Beupfjdkjq,3.0,425723.0,U,77.0,U
APH9652,Ojakk,0.0,ofieicnsywhqlqlulhpfit,Uczfvzlygptcpmerfksbkmfelzsvtegueipwjtdnbpccezoyzojcirpctfmrof,f,,Overland Park,921134.0,,Chemtura,783.0,1-852-696-7294,APHSNCQRCWRJPMMVNXTPHKKDGEC,2.0,306944.0,S,90.0,R
GSF9653,DYYMGAMOI,4.0,Asgzbixrtcrgjsvrgxvabyuvsphmrkbcdbshtgzxfpaqtsgoapzqixykgtswfltoxc,uybcfpckzy,M,8.0,Detroit,811994.0,i,McClatchy,716.0,1-928-315-1548,GSFFGRFGFRDKQHQPIOVCQTBMNZMR,4.0,288499.0,D,5.0,O
Vha9654,Nqhzo,2.0,SBYPUNONEYLHVZBMDYONGPPQHEIBFFMEBX,Rsnoceputpofykhewgvnkhuazhzqtadqukgidtzcdegfmfuhuyevtzbupgzpxmfpmzxnlmgxba,m,3.0,Washington,,U,ConocoPhillips,550.0,1-405-738-1297,Vhabyuef,3.0,440276.0,D,55.0,U
Jfg9655,Cxibq,3.0,Hdcuzxinnywumdqvjxgtakruykqiifcdnajcx,Vkhyoqtfgx,m,10.0,Santa Fe,3169368.0,k,Abbott Laboratories,763.0,1-964-125-5433,Jfgrzaadppwtsc,2.0,335631.0,M,26.0,R
npn9656,Moznadepu,4.0,IUGTAFNUIPPPA,LRIVGLEWPVRFUQRUMO,,1.0,Vancouver,2043675.0,n,Dominion Resources,489.0,1-505-112-3484,npndgslvzom,0.0,188284.0,D,45.0,R
umw9657,Jcqqdasnbq,5.0,Wgmrapwgjoc,Pzvblkxzz,F,0.0,Stamford,,I,Genzyme,779.0,1-590-018-4997,umwdecwnvkvah,4.0,102698.0,M,30.0,R
tjj9658,pguikuweayns,0.0,Xoxveuemycwwxhallcnuapboulwzvgnopciaccmy,FHUGDBGVHQLKULGGFDPGFELRNJDPR,,9.0,Abilene,2886757.0,,,452.0,1-491-191-5968,tjjqhcketlab,2.0,314955.0,D,15.0,O
zzq9659,TMIXPFYVKGE,0.0,GNKDWSAOGSXNPPAOKECAWFZZDJOEHKPZUOLBIGPNRLRLQNFEWBGQ,Oidhmmumqpuemabvdjxpihgxgeqcrrvtlaml,F,6.0,Lafayette,1681142.0,p,Ralcorp Holdings,673.0,1-586-119-8258,zzqercahynbbydkndayjctbmwhmiwq,2.0,,D,70.0,O
Fuj9660,Kefgng,5.0,gjfyemuiyvunciczbseowfsqwbplw,tsnpdvrnwho,m,1.0,Torrance,,E,Marriott International,418.0,1-933-513-8421,Fujxwq,4.0,,S,52.0,
xwr9661,XLOFUJVHVG,4.0,Rlhtdbsjltjhxndfpusedjzbxchqwvkrozgsedmxbsayevsqvaijxdddkogneptmm,Ddmqwhytsdfo,m,1.0,Biloxi,1578917.0,,Devon Energy,453.0,1-082-095-9779,xwrcsyvuiycalqmpxrodiqz,0.0,35214.0,S,49.0,O
Qqv9662,Tuakxjjdmyq,2.0,Cazftyvbjjuswioxce,,,8.0,Philadelphia,2209812.0,,Hess,347.0,1-848-087-7400,Qqvugrcnukigvyd,5.0,419445.0,S,35.0,U
lmh9663,BRYIFZZI,3.0,BMJBJGWSOTIQDZJPRRREODSSQUFULZBPPEVPKGUKRAVCRKXQNTMYOFKZSAJJARSODEUZHUSNGWD,Nadwnovydxlptxlcs,,8.0,Columbia,2741874.0,,Cardinal Health,652.0,1-267-122-8885,lmhqlxamjdkdfnbaqxpixzrs,1.0,306590.0,D,51.0,O
aoy9664,UESWAUAVSD,5.0,MQIUXKJMYRUEBAFJHLDAHMNCKUNBBAJFQROMXNVBKME,JVCZTMCWSKSZOWBHIKEJSPYTORSSSZHTCV,m,,Casper,3568994.0,c,IDT,315.0,1-483-408-3124,aoywumesvcflcbdasxppsqxsbunrwb,5.0,238125.0,S,89.0,O
Rqd9665,dcvamdzj,5.0,inlhxjyshouosxrweoahbjtndxxcmtofauywjpdo,Sqtuhhllecdmkzhhsltxuopcfjfwonaypqyhsjtmtt,m,7.0,Independence,2346784.0,,Sauer-Danfoss,459.0,1-968-859-9429,Rqdivrhznoezcw,4.0,261835.0,S,41.0,O
Dqw9666,Qcdyewmngkxa,0.0,Cmtfjhxazegmmbvtubsqtdpqhlcwiqriwedknfkylhrdmwqccjvlrfjgzrtaxqsdfjkpkbd,OSQTIJOMCMPBEEHJZNDSMLUQADPYJQOSVTOZEFTGILUDIQXZA,,2.0,Memphis,1898220.0,,Micron Technology,725.0,1-745-910-7040,Dqwdkkbrbmhriaoseyofjwizj,3.0,497692.0,U,67.0,O
Dgn9667,wuskbqszeb,0.0,zmpvticxajhuftrllcvxepdcnqmzgeoparwfzx,WWZPPTLQFTESGQ,,3.0,Cedar Rapids,2203625.0,,General Cable,447.0,1-899-093-9739,Dgnbzrqfsncvsbpgpgeuju,1.0,88112.0,U,93.0,O
aoq9668,Fbnoo,1.0,MXULIDLHNRGRPZVRGCIMXHJBLQUHKTHWXPCEYXFVI,Chjxrujupnfkncigpbmcywjkzyoq,,6.0,Calgary,52183.0,f,"Toys ""R"" Us",,1-541-695-3852,aoqbwlqnbrulcjliaqcxm,,104437.0,M,65.0,O
Sad9669,Immphapz,4.0,VBSTXOQFXBLNZWOSZJUQTOVOGNKPJWFXOILCDFJBPYEDVOBUKWUCNXMEARJL,,,4.0,Oxnard,239989.0,,Thor Industries,792.0,1-007-280-8774,Sadlkcbatgxumizwgt,5.0,,M,56.0,O
Ado9670,Coqnelttwkq,3.0,rhceudgltdkwzkventbozcwkibdwdepslvfjlyxwvyysspfkxakgmqawwhnnbgfsiafsodjz,Vrhzatsidclblopzesmcjtgvpzucrhxqdqhiwgpibdgj,,3.0,Orlando,2767366.0,A,Dell,621.0,1-413-101-7772,Adorixruifipw,2.0,,M,90.0,R
Vmi9671,YJGAXIBDGIF,1.0,FTCUZXMWUHVJTPKGFKXSDXAP,Mcfloylpncgezyarkxazhpzbzvohgmslmvkyiion,M,2.0,Augusta,2497914.0,k,Bucyrus International,658.0,1-591-593-2209,Vmiuddoaetmomzzvdzxsad,5.0,341013.0,S,18.0,O
Hnj9672,huceedxenkvb,1.0,YDJZBRMXZIIJREF,iyharocbthpk,F,9.0,Dallas,2766304.0,j,Community Health Systems,584.0,1-720-657-9962,Hnjmwjokuofbslwy,,485066.0,S,42.0,O
dei9673,EWAIYYFNO,0.0,ttlyjighwxjjsdsmukexerluvnsobva,Rxobtjvropvgqomehvhrqapchbshyvhrvqtroioluaruajdqrjk,,5.0,Idaho Falls,,J,Adobe Systems,678.0,1-519-930-3145,deiqwrtjzqgdiflymnmodm,1.0,75434.0,M,47.0,O
XWZ9674,Hfepjdkbxtsu,3.0,Qxojh,Vdvwkbvrujwktcnpozgjekxcpdkqwxsxkpezteedgsexfeclyjurwttm,M,9.0,Springfield,842909.0,p,Sonic Automotive,363.0,1-308-247-8605,XWZAINO,5.0,414049.0,M,4.0,O
orz9675,Wwfytjgb,5.0,Fytvnjeojcnsfjmbxlrqvhjrtvyncdgmakglwlbicmvsxgyoaz,Virwbwjrnohycqnqgovdfsdphlxxnqbeneiupgwvcgaahakuobvplmqeh,,0.0,Mobile,1984905.0,,KB Home,735.0,1-055-588-7882,orzilxccetwnyyniiqypcqtw,5.0,428708.0,M,24.0,O
aup9676,Owwjdhdjalao,,Hhmlqgwfcqxpirs,IENCJDBLRAAUMLC,,6.0,Dover,,,United Refining,478.0,1-958-444-3864,auploanpdwrmoziljakqidolazxs,2.0,39844.0,M,0.0,O
yfc9677,vmfxlubyh,3.0,zddkaspfsraemotchcjnzjzguqzbpdgezabjzaacqiznokwjowbyozbojsaiuuoytbe,lxqnxkrkh,F,1.0,Chicago,1768786.0,,TECO Energy,601.0,1-571-946-4731,yfcwjaapnmxcokqclumtxwfhhqps,5.0,478282.0,S,75.0,O
Gmm9678,Dybsohghvv,2.0,Cawkbziwteifyvlotsxhvqhrdqsacppnsihkyfabrdloypdhdfvgxtsohdlfvocmmczcteqnnp,Gudlptbdjsxqnekngcdutxvqisxerztxedmazjkkjlciphansqwoheqiossztlumbitckmem,M,2.0,Overland Park,1753547.0,,Rockwell Automation,360.0,1-274-031-4367,Gmmlwwlsgo,4.0,398282.0,U,86.0,R
Fax9679,VTEGEGX,2.0,,guexuyewomivukp,,9.0,Inglewood,1629815.0,D,Allstate,344.0,1-013-497-5463,Faxlpklcazejwacnjypabte,1.0,118446.0,S,63.0,R
Rjb9680,Fdwsbajlddtl,5.0,PWLJTONKSFPJPKMWXKKLCXUNEC,Cbslaopdrfxpdehicvm,,1.0,Los Angeles,475073.0,M,BB&T Corp.,491.0,1-339-574-0564,Rjbcis,1.0,81725.0,M,85.0,R
MQE9681,Btyepvnn,3.0,pfjbdbfegsxvgjzgwcttedfnlanytthbdlqqnolxzfhbdmtjniodpwfqwocoqwju,Alszbfuucozscrfcxuavokuizaofkfvvggvmtrykszvr,m,3.0,Birmingham,778154.0,,Health Net,747.0,1-036-625-3420,MQEMC,3.0,351317.0,U,36.0,O
Jxc9682,VGMEFCJQI,1.0,Niiemsgqsztpkhoctmeupknuqdxvgvuzzls,EMGPPNCSDAPUPHMBRTHZLWIOAXUTHIBMZYSFPNZGJYXLKMWTIFRRTDBJSXAM,M,,Laredo,2754129.0,P,Jacobs Engineering Group,365.0,1-689-457-5027,Jxclbgnpnwxifgku,0.0,389550.0,M,,O
Mzk9683,Fzhjd,4.0,Rlngxdppwajnljewscj,Jvlooqpnvwsrmpeohmyhesjjmbrdxrrnxbvzuduxxcpnfkldlwrreiqsxhtlgcwmfthbsuab,m,7.0,Mesquite,856092.0,A,Thomas & Betts,644.0,1-104-467-5384,Mzkopwrbky,2.0,327758.0,M,71.0,O
Vpr9684,Owmcxwrqim,5.0,DHFMABKBVHJSXAXOSXQZBWEJMPJKYAXIXNUHTXIZUOIYDJRZWZRTGNQOOGRIQHDFSKI,Aitqdlprfkarfhuipmsjjpnbvjpfzjadadhwnoaexrcwegtoairukwevppz,,0.0,Berkeley,3946401.0,U,Hershey,667.0,1-939-928-9518,Vprew,0.0,473327.0,M,83.0,O
ter9685,Dumtemhcqw,2.0,Vyhez,Yzbshrkfprewjifcmouyqbrgpmhxuoffuqynyfltssbfabkfpcvqihjdcanowmanpermxmhfkmnpnf,,2.0,Oklahoma City,1772756.0,,Peter Kiewit Sons',404.0,1-855-338-8338,tercwg,0.0,78196.0,S,2.0,O
BVB9686,Ukbhyktiegtx,0.0,kjyohttautindomqpzboscfugxtwa,CBCWBFHKXPUAACGMFABK,,10.0,Naperville,890225.0,,Biomet,302.0,1-663-637-9407,BVBNXVKY,1.0,369645.0,M,5.0,R
Rtr9687,jiytkmat,5.0,Chmdkxxmtz,WKEUOQOKPOTBKNPWOVECORFMTMACTGDECSPKT,h,,Washington,522058.0,,Helix Energy Solutions Group,715.0,1-253-522-7670,Rtrmljgulplfsqyyppoegssvjf,2.0,387813.0,U,45.0,R
Gqm9688,nhxmvfdza,3.0,Hfmccvouaxdvlraluqp,Fwwtcmiwanzqbzvkcrtuafzeuqcolhxkteqhrycccsthwocdvvos,,7.0,Fargo,729468.0,,Peter Kiewit Sons',569.0,1-518-921-6896,Gqmryjahnyqwgkwptr,5.0,224373.0,,16.0,O
twx9689,Lxpyjoiqpe,2.0,Hbohvblxeusmbnyaytoldzqpjoilhrcdfyfrbpdfjdnogqp,VJXZFNSREFDIOSVGVZPOQLFQJVTDEFGYRJPPLFZCMJNDPCYDWVZEEDICAZMPWKQLLVGKDFW,,5.0,Mesquite,785210.0,,Metals USA Holdings,427.0,1-940-990-0427,twxwphvmdplo,,411588.0,W,30.0,R
Nya9690,egjkeyujahr,2.0,Jooaqoxpokg,Smadqwikhkpifvjxgegdkcgrsgaqettntjzatalmmjjeaonihqyavkumyufnalesjt,,0.0,Lexington,3678733.0,B,Corn Products International,469.0,1-398-166-5292,Nyaigkrywjfixyuqvpdicy,1.0,131727.0,M,,R
lqb9691,Ujkodnbusc,1.0,ZIPFECVQQWBJNTSBWAPVJILOQQGRCB,Doajfbrrckejgucpnifghadcilhbfpxhiugmk,,8.0,Syracuse,2362008.0,T,Select Medical Holdings,765.0,1-927-097-0868,lqbchpqgwqqgiia,4.0,418095.0,M,28.0,O
Sgj9692,Pnnbejwipn,5.0,Jgqromjnyvmnlssehhqvshpsubtqp,Oliqrykeuivkjzepwiynwmkxtxmuzouhl,,9.0,Rapid City,1148605.0,f,Dow Chemical,612.0,1-737-043-5199,Sgjviwbz,1.0,176403.0,M,81.0,O
Nxi9693,Dccmp,5.0,Qvukmwowlmeavrqkyjtsseojgxfabzejhdu,dbbubzuciqhezvzgkhgqlprsbhvwijsdbzuwohqybkqroxixabrku,,8.0,Austin,725507.0,,Tractor Supply,446.0,1-244-217-7148,Nxizymxaaydoyjeiyhm,5.0,480921.0,M,72.0,O
dsc9694,xzzqsvkm,,LEWVUHTQWVJJIYDUUGUXGLDUB,civievlepfgkdwyltopuqeasutvqhlodxgqfzbcczluakmdbglcetbgajsafvtsvmddmqawdl,,6.0,McAllen,687245.0,K,TECO Energy,729.0,1-615-809-4057,dscfassaostjxiljtbk,1.0,135544.0,S,100.0,O
KES9695,,2.0,MLIXZQBRSIDHX,cqzxonxozogidiifoczdgptqhzlntfvctfawdfbabhfyrkpxocyfmtgtnhqzvpmdcrppcchrlpy,,9.0,Phoenix,3128364.0,r,Jones Lang LaSalle,536.0,1-947-023-7069,KESWIOFNFQMOEFFEBNVGNZB,4.0,141282.0,U,27.0,O
Ioy9696,ZATUGUX,0.0,injxyhsiiokljmaefyugkhsbrqabwetcsebjulxdplcb,Uafdysfm,,,Hayward,2019975.0,s,Molina Healthcare,392.0,1-804-557-4843,Ioyihiir,5.0,124643.0,W,79.0,O
Chf9697,Ougozvevg,2.0,Evuytdqafghmlfogqvufrrfbaoybivjteprujwyyrofiebffisfgcomoaacawblp,ZQUQOMDHNOJSKVTCIHN,,4.0,Allentown,3947994.0,,Eaton,710.0,1-449-118-3915,Chflwyn,,30059.0,U,62.0,R
udq9698,Doerbagjqikl,0.0,Kyaieljkhipjmkizckkzdobuqhhlwpjp,Wztotdcatgkfpqfvrglvzixuwvenbhdrqmjfimvfuhh,m,,Waterbury,1117777.0,,Graphic Packaging Holding,509.0,1-792-399-2590,udquzihhkpcjtqcikodzktov,3.0,161910.0,M,6.0,O
Tex9699,Jduhkv,5.0,xrmppjdkukqptmoodzaahxdsodcxxjjkffjnqkxldjydbrjteurququxssxv,nfemyqjffpkcovojnufiibxpsusvfxjfusza,,4.0,Lincoln,3699271.0,K,Universal Health Services,494.0,1-144-991-6718,Texdcpywqgdijttkmuphzqkijv,,188636.0,D,,O
nsr9700,qzkohi,4.0,Hrydgzyxwvvnbktfktfqs,Rfyguulihuwwddjncdexklacma,,10.0,Saint John,3390554.0,,Amphenol,451.0,1-249-519-6691,nsrrpjd,1.0,192899.0,M,43.0,R
uyo9701,Cxmjasscm,2.0,Iwknmhengae,vdaeasowkswwmglkypemwpjblxcvqrpsusvmigr,,,Fullerton,2595389.0,l,Cracker Barrel Old Country,544.0,1-168-431-2457,uyoxbaxfrnpqds,2.0,131135.0,S,,O
Kni9702,Auibgawr,5.0,Narsxo,Mhmanzfbleqexvhetpsbchmmgznhbusdbfgfgwciaxfsdwbrrydtmweqkffpf,,3.0,Boston,2461368.0,,Scholastic,,1-328-227-5957,Knitrdotunwlbschdykqjisopv,5.0,179290.0,M,95.0,O
Wvv9703,Iplvgcirddat,2.0,ndfyepgfaohmrsorgxupaoycbfrlcekkxnxolwzpadvkavyfhmnpbarynrcwbgqpiahwbw,VSMEQDNQCNRBDTWAOMS,,1.0,Raleigh,2313032.0,Z,Cardinal Health,607.0,1-909-047-8936,Wvvib,3.0,346151.0,W,6.0,O
OKM9704,,0.0,MLGYLMVEMFJDAXGSKVSJPTOZNXLEWATYRRYPBTOFSPAKSTOR,Fcvqxyflsjliruyuutcattfjsmjxalrkblj,,6.0,Lancaster,1248101.0,,Delphi,739.0,1-385-703-4324,OKMYXBUOBUUTTUORREVC,0.0,361254.0,U,72.0,O
zpp9705,KOGZCYOVIE,,QBMNOVYUVKQBAOLPABAMEIOKP,Givecuumchckjaeseesvxqwenwqyejjvklclovmwveiovmoggjepeuohdlchnfxenpgghptxboer,,8.0,Sacramento,3651964.0,,PolyOne,361.0,1-944-594-1754,zppvtlakkinj,2.0,412022.0,M,98.0,O
