Age,Country,AgencyID,NetWorth,Income,FirstName,NumberChildren,LastName,AddressLine1,NumberCars,OwnOrRentFlag,City,Gender,MiddleInitial,CreditRating,AddressLine2,State,Employer,MaritalStatus,Phone,NumberCreditCards,PostalCode
94.0,United States of America,MAT2437,2245529.0,84912.0,Yannick,4.0,MATSUSHITA,19199 keene park,0.0,,Newport News,M,,380.0,,NE,NCR,M,1-145-463-1976,7.0,T5c 1q3
2.0,United States of America,Mac2438,3232054.0,76255.0,Arvin,0.0,Macmillan,16235 wolcrest road,5.0,U,Tampa,,F,829.0,Suite 203,NY,Newmont Mining,U,1-417-646-5605,6.0,33329
80.0,United States of America,Str2439,1104508.0,2520.0,Peria,0.0,Strauss,17334 LAVENDER STREET,1.0,R,Salem,,,756.0,,Prince Edward Island,Hexion Specialty Chemicals,M,1-254-792-5172,3.0,25326
39.0,United States of America,GUL2440,770915.0,9593.0,tallie,,GULKO,12985 camp bowie south,1.0,,Baton Rouge,M,,844.0,,NV,Sunrise Senior Living,M,1-554-981-8742,0.0,30329
83.0,Canada,nug2441,3905168.0,241573.0,AKIN,5.0,nugent,19744 taylor crest street,3.0,O,Evansville,M,V,343.0,,Nova Scotia,New Jersey Resources,D,1-811-583-7791,4.0,59806
96.0,Canada,BOS2442,,126785.0,Knut,1.0,BOSWORTH,3504 regency avenue,4.0,O,Irving,m,,722.0,,OK,Symantec,U,1-948-516-2141,5.0,80101
17.0,United States of America,Tho2443,2516706.0,205466.0,MANH,2.0,Thornburg,24996 robbins east,3.0,U,Gary,M,,748.0,,CT,General Dynamics,S,1-710-447-3720,3.0,80013
94.0,United States of America,Bou2444,3160249.0,468873.0,Bhupendra,2.0,Boutilier,15883 baltic south,0.0,R,Denver,m,,695.0,,DE,PetSmart,M,1-742-084-9911,5.0,72219
33.0,United States of America,Jac2445,2510352.0,258482.0,Fredi,3.0,Jacobson,21414 pasadena road,0.0,O,Oceanside,F,D,745.0,,SD,Penske Automotive Group,,,5.0,33304
,Canada,cze2446,36525.0,7356.0,ashlen,1.0,czeban,3549 ANSLEY WEST,,O,Provo,M,,847.0,,MA,Centex,M,1-195-728-0020,4.0,77036
65.0,United States of America,Ger2447,3461749.0,104883.0,EMMALINE,1.0,Gerth,14422 morning rue,3.0,O,West Covina,,,381.0,Apt. 529,AR,Nicor,D,1-228-969-9945,5.0,H5k 1r6
29.0,United States of America,tot2448,2301563.0,254897.0,Jet,5.0,toth,17676 rusk street,4.0,O,Eugene,,L,619.0,,AK,Bed Bath & Beyond,U,1-937-757-4887,4.0,64055
86.0,Canada,Die2449,470186.0,155066.0,maxey,0.0,Diep,24890 LAKE DRIVE,4.0,O,Mesquite,,L,776.0,,New Brunswick,Fannie Mae,M,1-223-475-2215,5.0,89106
77.0,United States of America,Al 2450,2484226.0,274050.0,Donal,2.0,Al bud,232 LYLE PARK,1.0,O,Santa Rosa,,T,676.0,,WA,Exelon,S,1-932-796-3639,5.0,V6F 1S4
69.0,United States of America,De 2451,1175022.0,296397.0,Kimmy,1.0,De coursey,18675 CALHOUN LANE,4.0,O,Moncton,,,486.0,,WY,Peter Kiewit Sons',M,1-754-693-6021,6.0,99602
95.0,United States of America,Dow2452,544166.0,410542.0,Koren,0.0,Downs,6464 bonnie brae street,1.0,R,Toledo,,U,653.0,,Quebec,PG&E Corp.,M,1-445-987-0277,8.0,m8c 1x6
49.0,United States of America,Hol2453,,359562.0,pey-kee,0.0,Hollenbeck,24178 turtle creek street,3.0,O,Glendale,,,832.0,,AK,Alliance Data Systems,S,1-392-226-6806,8.0,M5g 1v2
36.0,United States of America,D'i2454,508955.0,277112.0,shahab,2.0,D'ippolito,12009 pharr south,1.0,R,Huntsville,f,,836.0,,ID,Agilent Technologies,U,1-827-713-7304,1.0,h5l 1r3
45.0,United States of America,OFC2455,1076885.0,330077.0,Survey,2.0,OFCPARM,20109 alexis lane,4.0,O,Rochester,,,360.0,Apt. 192,MO,Eastman Kodak,S,1-190-997-5376,6.0,76707
41.0,United States of America,Rfa2456,109839.0,173452.0,Gavrielle,3.0,Rfa,19435 montfort road,5.0,O,Montreal,,,,,WY,Unitrin,M,1-102-439-7343,8.0,95351
12.0,United States of America,cod2457,3742925.0,204918.0,Daffi,0.0,codrington,10448 DAIRY ASHFORD COURT,0.0,O,Coral Springs,,R,365.0,,MT,Itron,W,1-404-924-2652,9.0,80051
68.0,United States of America,SET2458,2279424.0,433610.0,armando,0.0,SETTERFIELD,18966 BELT LINE UPPER,4.0,U,Sunnyvale,,,496.0,,ND,Consolidated Edison,S,1-379-416-7367,0.0,57114
44.0,United States of America,rid2459,2135093.0,462885.0,arabela,0.0,ridgway,11640 baltic upper,5.0,O,New Orleans,,,553.0,Apt. 678,PA,Northeast Utilities,M,1-932-040-3179,9.0,91919
67.0,United States of America,Gol2460,3940943.0,170107.0,lottie,2.0,Goldner,16550 9th boulevard,3.0,,Mount Pearl,F,,831.0,,AR,Pacific Life,U,1-151-971-1770,7.0,H2A 1U4
21.0,United States of America,ROT2461,2419844.0,408859.0,Tilda,4.0,ROTONDO,15916 royalton street,5.0,O,Providence,f,I,494.0,,New Brunswick,New York Times,U,1-170-884-1784,7.0,91103
31.0,United States of America,KAW2462,26959.0,346683.0,Cherice,1.0,KAWAMURA,2590 crestmere park,4.0,R,Birmingham,F,,560.0,,Nova Scotia,LKQ,U,1-304-057-8530,5.0,98189
78.0,United States of America,BAR2463,2785186.0,233226.0,Shona,0.0,BARAGAR,18304 furth north,,O,Phoenix,,,434.0,Apt. 49,KY,Precision Castparts,D,1-995-573-3882,1.0,90259
97.0,United States of America,Des2464,999562.0,22913.0,Viqar,3.0,Desautels,5822 edwin boulevard,1.0,O,Lincoln,F,,474.0,,WI,Western Union,M,1-892-727-9840,1.0,m6s 1i1
81.0,Canada,Gil2465,313806.0,69632.0,felice,5.0,Gilliard,6492 adams east,5.0,O,Plano,,,396.0,,WI,Dick's Sporting Goods,W,1-859-931-7262,5.0,33324
64.0,United States of America,hei2466,1517573.0,86909.0,BUNNIE,5.0,heinonen,6963 EMMONDS DRIVE,2.0,O,Brownsville,M,,557.0,,WA,Collective Brands,S,1-492-043-3560,3.0,V6u 1v9
33.0,United States of America,Mca2467,2139474.0,136524.0,ALMA,3.0,Mcalister,10411 apple tree lane,5.0,R,Boston,,J,536.0,,SD,OGE Energy,U,1-343-215-5891,0.0,90251
22.0,United States of America,KEL2468,512766.0,94940.0,vax,1.0,KELLUM,19336 boll drive,1.0,R,New York,,,748.0,suite 427,IA,Phoenix,M,1-775-256-9375,0.0,64138
61.0,United States of America,Mcn2469,3027159.0,456063.0,DANILO,4.0,Mcnamara,13971 MILBURY COURT,5.0,,Portland,F,A,558.0,,SC,Exxon Mobil,M,1-976-194-0028,8.0,V6z 1p9
12.0,United States of America,BOS2470,1016557.0,210135.0,CYNDI,5.0,BOSILJEVAC,1464 green ash avenue,2.0,R,Orange,,O,585.0,,DE,,M,1-913-962-4926,4.0,36151
74.0,United States of America,THE2471,2556760.0,478948.0,NERTY,3.0,THELOOSEN,6396 woodall north,3.0,U,Buffalo,,T,671.0,,WI,Acuity Brands,M,1-259-721-2039,0.0,94270
58.0,United States of America,tag2472,3942439.0,240372.0,VIVIANNE,4.0,taggart,18630 ATLANTIC ROAD,5.0,U,Santa Rosa,F,,810.0,,ID,Xilinx,M,1-169-725-9097,7.0,45418
47.0,United States of America,gay2473,1758840.0,300694.0,DOMENICO,3.0,gaylor,1037 bonneville lane,3.0,O,Sacramento,M,,454.0,,WY,Cracker Barrel Old Country,U,1-042-388-7088,2.0,80058
90.0,United States of America,mcb2474,2135551.0,,mariam,0.0,mcbryan,12566 MISTY UPPER,3.0,O,Berkeley,,,307.0,,Saskatchewan,Fleetwood Enterprises,S,1-125-792-7050,9.0,78220
77.0,United States of America,Svm2475,863411.0,329533.0,Jordain,5.0,Svm-bnrmtva,9907 upton south,5.0,O,Charleston,,N,436.0,,AL,Enterprise GP Holdings,D,1-249-112-2924,7.0,72906
4.0,United States of America,Kam2476,3770262.0,319929.0,Symen,0.0,Kamiyama,22959 charlestown rue,4.0,U,Lubbock,,O,707.0,,OR,,D,1-031-961-4068,2.0,v6h 1u6
6.0,United States of America,mci2477,2885731.0,429532.0,Martguerita,4.0,mcinnis,16655 ventura north,2.0,R,Columbus,f,,,,OH,International Assets Holding,U,1-185-235-7364,0.0,74148
22.0,United States of America,Lab2478,798971.0,435289.0,Zainab,0.0,Labonte,12292 flynn park,2.0,O,Mesa,,,738.0,,FL,KeyCorp,D,1-365-881-1386,1.0,64135
96.0,United States of America,nix2479,2286073.0,89570.0,MILICENT,,nix,4482 eden avenue,5.0,R,Oakland,,U,313.0,,MS,Jones Apparel Group,U,1-198-294-2510,1.0,64192
100.0,United States of America,Ebe2480,732759.0,498145.0,Mala,3.0,Eberle,14717 rutledge lower,,O,Boise,,V,688.0,,MA,Helmerich & Payne,M,1-781-439-8481,5.0,77113
33.0,United States of America,UNK2481,3537992.0,283529.0,Sandie,0.0,UNKEFER,10014 MERCER LOWER,3.0,O,Philadelphia,,M,690.0,,Saskatchewan,Celgene,D,1-794-212-5205,9.0,V6r 1v3
96.0,United States of America,SEN2482,3034411.0,125571.0,MEHDI,4.0,SENYSHYN,7255 berry way,,R,Tempe,F,P,677.0,,AR,Monsanto,S,1-223-420-4235,7.0,T6A 1A3
73.0,Canada,MCK2483,2349487.0,480675.0,Linnea,0.0,MCKENZIE,16557 howser rue,3.0,O,Greensboro,M,Y,547.0,,Quebec,New York Life Insurance,M,1-268-834-7601,3.0,T5B 1T9
78.0,Canada,Ant2484,1494499.0,384603.0,THEODORE,1.0,Anthony,12566 misty upper,2.0,O,Fullerton,,,440.0,,PA,Valmont Industries,U,1-186-893-8186,8.0,75218
5.0,United States of America,lei2485,2638849.0,335401.0,issy,2.0,leiwe,3574 pemberton west,2.0,O,Wichita,,,386.0,,VA,Exide Technologies,M,1-491-982-4806,8.0,V6c 1v1
23.0,Canada,gue2486,2571524.0,,Miguela,,guerette,703 COMMERCE PARK,3.0,O,Laredo,F,,569.0,,ME,Nordstrom,W,1-717-586-5351,7.0,23466
49.0,United States of America,TIP2487,766990.0,436833.0,VIOLE,4.0,TIPPETT,16480 cliffbrook upper,5.0,O,Mesquite,,,822.0,,SC,,S,1-315-662-3581,9.0,29218
89.0,United States of America,GAZ2488,3631273.0,343734.0,brittaney,2.0,GAZIER,20497 echo upper,,R,Torrance,,,607.0,,IA,Whole Foods Market,M,1-155-363-7244,4.0,M8b 1x2
24.0,United States of America,nha2489,155862.0,,lois,5.0,nhan,23361 stonehill way,0.0,O,Buffalo,f,,458.0,,CA,Capital One Financial,S,1-863-672-7875,2.0,V6w 1s2
83.0,United States of America,CLA2490,3906905.0,417750.0,SHAMSHAD,1.0,CLAYBROOK,1378 clara street,2.0,O,Colorado Springs,,Q,474.0,,AK,Sonoco Products,S,1-903-685-2636,1.0,V6w 1u6
,United States of America,Cas2491,3300230.0,260636.0,sophia,1.0,Cassese,4862 martin court,2.0,O,West Valley,f,,504.0,APT. 461,WI,Albemarle,M,1-106-944-1336,,v6i 1w1
99.0,United States of America,Lan2492,2908662.0,9364.0,ASHLEIGH,1.0,Langton,15729 fondren street,2.0,O,McAllen,,,770.0,,VT,GMAC,M,1-429-019-2683,4.0,99763
65.0,United States of America,Mcs2493,1267471.0,418148.0,Rheal,4.0,Mcsorley,19512 storeywood drive,,O,Irvine,,W,799.0,,NJ,American International Group,M,,10.0,30378
72.0,United States of America,Bam2494,2257628.0,246279.0,shih-dar,5.0,Bamfo,19983 5th court,2.0,,Austin,,,606.0,,CT,CSX,M,1-832-586-6740,6.0,95162
69.0,United States of America,DEF2495,1764724.0,405465.0,kinna,3.0,DEFRANCHI,24717 midland lane,2.0,,San Francisco,,P,376.0,,NE,H.J. Heinz,M,1-103-766-5205,6.0,93370
58.0,Canada,she2496,2428075.0,234120.0,Sil,,sheu,6429 reeves lower,5.0,O,Bakersfield,,,701.0,,WY,AmeriCredit,M,1-340-905-2953,,m5f 1w7
12.0,United States of America,Gui2497,2922167.0,124690.0,aurelea,1.0,Guisler,5088 overbrook way,3.0,R,Burlington,,,506.0,,KY,,M,1-365-022-9336,1.0,23220
63.0,United States of America,OVE2498,3634912.0,93065.0,bertina,4.0,OVERBY,15447 SENECA RUE,0.0,O,Whitehorse,,V,665.0,,CA,Steel Dynamics,D,1-373-925-4220,,36170
5.0,United States of America,KER2499,2489107.0,332993.0,LARAINE,4.0,KERNAHAN,6963 emmonds drive,2.0,U,Corona,,N,827.0,,AR,Ingram Micro,M,1-563-430-1462,8.0,94615
26.0,United States of America,cas2500,327215.0,40821.0,Shoshana,0.0,castronova,20813 lamar park,2.0,O,New Haven,M,,801.0,,NC,Alexander & Baldwin,S,1-537-446-1280,1.0,H2e 1v8
62.0,United States of America,BEL2501,3735120.0,160582.0,ROSANNE,1.0,BELZILE,11538 KIMBERLEY BOULEVARD,3.0,O,Salem,,,505.0,,NJ,Greif,M,1-963-228-9162,0.0,T5A 1P5
1.0,United States of America,MET2502,305477.0,82733.0,minerva,0.0,METCALF,2203 VALITA BOULEVARD,3.0,R,Kansas City,,,608.0,,KY,AmeriCredit,W,1-096-379-1792,1.0,93310
72.0,United States of America,El-2503,141550.0,232582.0,gussi,3.0,El-am,7266 CHERRY UPPER,5.0,O,Lexington,,U,488.0,,TX,Service Enterprise Group,U,1-687-195-9855,8.0,50309
0.0,United States of America,Kon2504,3856814.0,321511.0,MKT,3.0,Kong,6558 SAXON NORTH,3.0,O,Chattanooga,,,575.0,,CT,Key Energy Services,S,1-627-096-8107,1.0,90893
99.0,Canada,BYD2505,1116367.0,284346.0,Olva,0.0,BYDELEY,4633 PALM EAST,5.0,O,Iqaluit,m,,589.0,,VT,Hershey,D,1-634-295-2044,3.0,V6U 1S1
100.0,United States of America,de 2506,2410072.0,470689.0,Regis,,de buda,17032 cantrell south,1.0,O,El Paso,,,512.0,,NV,American Greetings,S,1-563-784-3121,10.0,98106
30.0,Canada,Rev2507,,419773.0,Chye-lian,0.0,Reva,719 BUCKLINE LANE,5.0,,Chattanooga,F,,827.0,,MA,AK Steel Holding,,1-988-491-5303,1.0,h6d 1x4
89.0,United States of America,Lof2508,3795613.0,208587.0,lolly,5.0,Loftis,5503 raymond park,3.0,O,Fort Worth,M,,518.0,,New Brunswick,Holly,W,1-244-286-0398,7.0,M2r 1d6
60.0,United States of America,Gla2509,1586606.0,412457.0,Karee,2.0,Glast,5731 cadiz lower,0.0,,Santa Fe,F,,509.0,,NE,Sonic Automotive,M,1-086-053-5538,7.0,93749
100.0,United States of America,Sto2510,1863177.0,459516.0,MEG,0.0,Stocks,11622 josey south,1.0,O,Inglewood,f,G,508.0,,Saskatchewan,Nucor,M,1-236-892-1554,2.0,v6k 1r2
46.0,United States of America,DES2511,1732635.0,213356.0,Louisette,5.0,DESAUTELS,8442 deerwood avenue,1.0,O,Beaumont,,,780.0,,VA,Oracle,D,1-454-962-9026,4.0,79926
60.0,United States of America,Ove2512,,337728.0,Olwen,1.0,Overby,21985 oakhurst court,4.0,U,Flint,,,506.0,,FL,Coventry Health Care,M,1-051-573-5390,5.0,94218
17.0,United States of America,cle2513,2265395.0,206576.0,Jacque,2.0,cleere,14808 HUDSON RUE,0.0,U,Riverside,,,408.0,,NH,,M,1-656-854-5362,1.0,15227
73.0,United States of America,kes2514,2934652.0,178385.0,cherilyn,4.0,kessel,9063 magnolia street,2.0,O,Paterson,m,,801.0,,KS,Lowe's,M,1-331-550-1502,10.0,79114
41.0,Canada,rab2515,2594448.0,,Owen,1.0,rabon,20900 marchmont west,0.0,O,Indianapolis,,,847.0,,IA,Group 1 Automotive,S,1-902-944-8832,1.0,35220
86.0,United States of America,Lia2516,3268391.0,356233.0,Estrella,1.0,Liang,9400 juniper west,,O,Anchorage,f,,786.0,,CA,HCA,M,1-404-444-2225,6.0,94429
43.0,United States of America,Kal2517,2769654.0,201662.0,Subi,4.0,Kaluzny,22360 princeton upper,5.0,O,Salem,f,,619.0,,CT,SunGard Data Systems,M,1-252-263-3558,0.0,33321
96.0,United States of America,SAV2518,1611675.0,224196.0,WYNNY,3.0,SAVARIMUTHU,20774 tartan west,2.0,O,Boise,,Y,392.0,,OK,Systemax,M,1-984-474-2371,10.0,93884
96.0,United States of America,Del2519,1551989.0,8740.0,KRISSIE,2.0,Delahay,19940 gold crest park,3.0,U,Ontario,f,,412.0,,OR,Constellation Energy,U,1-915-245-1409,6.0,90386
83.0,United States of America,Soj2520,1850457.0,76390.0,Fariborz,1.0,Sojkowski,24383 coventry north,2.0,O,Cheyenne,m,B,798.0,apt. 676,Ontario,Arch Coal,U,1-833-515-3942,1.0,65807
23.0,United States of America,BER2521,3180809.0,460702.0,sydelle,2.0,BERTINI,23128 roswell crescent,4.0,O,Fairbanks,,,634.0,,Alberta,Martin Marietta Materials,S,1-752-453-3369,0.0,H2c 1v7
6.0,United States of America,BEL2522,3237160.0,,Enrico,5.0,BELCOURT,21629 royalton way,4.0,O,Halifax,f,D,489.0,,CT,DirecTV Group,W,1-989-160-9788,3.0,m2p 1d7
28.0,United States of America,Fav2523,3488451.0,149916.0,fabienne,,Favreau,20827 clint way,3.0,R,Salt Lake City,F,J,680.0,,OH,Thrivent Financial,M,1-688-041-6006,1.0,99672
12.0,Canada,gib2524,3315131.0,441377.0,lyssa,1.0,gibbs,14568 fernando south,1.0,O,Garden Grove,f,L,795.0,,FL,Duke Energy,U,1-788-176-3606,3.0,E7o 1n3
61.0,Canada,csr2525,743360.0,469257.0,Darrol,3.0,csr,12756 weyland south,,O,Newark,F,,739.0,,MO,Pioneer Natural Resources,U,1-609-043-9391,1.0,M5g 1u7
35.0,United States of America,Boa2526,1450566.0,60938.0,Cathie,4.0,Boase,15379 selma road,5.0,O,Denver,M,I,334.0,,WV,Walt Disney,S,1-633-237-5262,2.0,H2e 1x5
25.0,United States of America,HOM2527,1131254.0,105989.0,Ashleigh,2.0,HOMAYOON,6768 fondren lower,1.0,O,Fremont,f,,433.0,apt. 856,AZ,Texas Instruments,D,1-576-657-6299,3.0,H2c 1w2
11.0,Canada,mat2528,833483.0,50817.0,Rayna,1.0,mathews,10856 summer street,2.0,R,Ontario,j,,565.0,,SC,,M,1-182-013-6546,5.0,53703
60.0,United States of America,mal2529,1423551.0,443988.0,Orenzo,0.0,malcolm,2047 brown west,1.0,O,Warren,f,,313.0,,NE,Cabela's,W,1-931-978-3134,5.0,44103
35.0,United States of America,Opl2530,,354075.0,Koo,0.0,Oplinger,19202 ansley park,2.0,O,Grand Rapids,M,,329.0,,MN,Alliant Techsystems,M,1-584-467-8593,4.0,90043
85.0,United States of America,Tim2531,1731195.0,2962.0,TYBI,1.0,Timleck,4068 beauregard drive,4.0,O,Simi Valley,,,591.0,,TN,Thrivent Financial,,1-227-975-4896,4.0,t5c 1u4
68.0,United States of America,WIN2532,2454316.0,36947.0,Ronen,5.0,WINICKI,11100 morningside west,3.0,O,Palmdale,F,,780.0,,NJ,UAL,M,1-836-098-8732,9.0,53790
89.0,United States of America,EAL2533,3161570.0,389051.0,valli,0.0,EALES,15686 oliver street,5.0,R,Columbia,,,674.0,,CO,Spectra Energy,M,1-009-041-1072,9.0,99635
41.0,Canada,Pit2534,3476350.0,,Cody,5.0,Pitre,23851 gold rue,4.0,O,Rochester,,I,434.0,,New Brunswick,Crane,S,1-568-020-0145,5.0,19217
7.0,United States of America,ODA2535,227110.0,148019.0,derick,1.0,ODAC,3788 holmes rue,1.0,,Hialeah,,,502.0,,ND,CenterPoint Energy,U,1-091-211-2049,6.0,72207
85.0,United States of America,Gro2536,2073555.0,187890.0,Dieuwertje,1.0,Groves,210 charthouse south,1.0,O,Eugene,,,310.0,,RI,Tesoro,M,,7.0,V6c 1u2
30.0,Canada,dou2537,1084778.0,170094.0,linn,3.0,douet,1722 mosshead drive,3.0,O,Whitehorse,F,X,599.0,,MO,Lockheed Martin,M,1-518-862-2188,9.0,60735
71.0,United States of America,Cor2538,2679183.0,339324.0,Adah,,Coriaty,14329 rio grande lower,0.0,O,Mount Pearl,m,,776.0,,Nova Scotia,Beacon Roofing Supply,S,1-999-314-8129,,80171
76.0,United States of America,Don2539,3196486.0,6027.0,Arielle,5.0,Donleycott,5965 DAWNVIEW ROAD,5.0,U,Arlington,,,664.0,,NV,Lam Research,M,1-310-498-9354,6.0,t6b 1h4
6.0,United States of America,Bru2540,,315949.0,Niek,2.0,Bruno,6580 BINGHAM AVENUE,4.0,O,Santa Clara,m,E,484.0,,AR,Oil States International,U,1-570-994-1597,8.0,M5e 1v6
,United States of America,Spi2541,3367952.0,339950.0,La verne,1.0,Spisak,7596 marchmont avenue,5.0,O,Stockton,f,,,,CA,Owens-Illinois,S,1-932-266-7390,9.0,46212
81.0,United States of America,Cho2542,3988768.0,214595.0,Huib,5.0,Choo-kang,23592 ardmore rue,2.0,O,Jackson,,H,647.0,,AK,Principal Financial,W,1-755-483-3353,4.0,85231
17.0,United States of America,Fou2543,619627.0,85902.0,Naveen,4.0,Fouke,18688 BEATTY BOULEVARD,4.0,O,Fayetteville,,,657.0,,WI,United Services Automobile,M,1-874-425-7728,6.0,98406
29.0,Canada,Mar2544,294902.0,479979.0,Angeliek,0.0,Marttinen,17886 st. phillip upper,4.0,O,Mesquite,,,720.0,,NV,Pilgrim's Pride,U,1-379-820-6771,4.0,h2e 1u4
20.0,United States of America,Tog2545,1351126.0,296791.0,Las,5.0,Tognoni,8116 martin upper,5.0,O,Los Angeles,,A,809.0,,WA,Prudential Financial,D,1-201-080-7163,9.0,70150
66.0,Canada,Abi2546,2913033.0,421265.0,Zdenka,5.0,Abi-aad,17026 durand north,5.0,O,Tampa,,,850.0,,Ontario,BJ Services,M,1-658-916-8210,1.0,T6d 1g6
48.0,United States of America,pig2547,,404755.0,Faith,2.0,piggott,17073 rust north,5.0,,Baton Rouge,M,,375.0,,DE,HSN,S,1-011-068-6547,1.0,M5e 1y8
48.0,United States of America,Piy2548,1593121.0,363331.0,Lubomyr,4.0,Piyasena,10938 main lane,4.0,O,Erie,M,U,564.0,,NV,VWR Funding,M,1-894-616-6963,4.0,h7f 1t9
10.0,United States of America,Pel2549,1046997.0,65695.0,SARI,5.0,Peleato,19876 conier upper,5.0,U,Mobile,,,582.0,,AL,ArvinMeritor,M,1-544-823-3292,7.0,V6k 1p6
64.0,United States of America,Had2550,1090026.0,176926.0,RANICE,4.0,Hadley,14243 river place road,3.0,O,Pueblo,F,,376.0,,CA,Flowserve,,1-153-147-3013,8.0,10010
93.0,United States of America,DAW2551,951099.0,138136.0,Walter,0.0,DAWSON,19518 sheriden upper,4.0,O,Erie,,,843.0,,NH,American Eagle Outfitters,M,1-689-030-7538,5.0,92411
20.0,Canada,FAI2552,1503741.0,,prashant,5.0,FAIRLIE,4833 baltic boulevard,0.0,O,Glendale,,M,809.0,Apt. 471,Manitoba,,M,1-232-732-2018,3.0,E7n 1q2
5.0,United States of America,tri2553,3335946.0,434217.0,Xylina,4.0,trisic,16181 foster park,0.0,U,Cheyenne,,,699.0,,IA,United Technologies,M,1-669-094-2294,9.0,78749
88.0,United States of America,RAM2554,204564.0,65910.0,Mot,3.0,RAMSAYER,7042 ottley park,5.0,O,Modesto,,,355.0,,ME,Family Dollar Stores,M,1-398-736-3545,0.0,93832
22.0,United States of America,pat2555,3363186.0,124057.0,Megan,2.0,paterson,1104 century road,2.0,U,Vallejo,,,315.0,,LA,AmeriCredit,,1-368-143-9819,2.0,90232
54.0,United States of America,QUI2556,80004.0,323372.0,Radoslav,1.0,QUILTY,24400 SYCAMORE SCHOOL BOULEVARD,1.0,O,Santa Fe,F,Y,,,British Columbia,Enterprise GP Holdings,U,1-599-582-7213,5.0,V6d 1v2
22.0,United States of America,Koh2557,727999.0,140747.0,tidwell,4.0,Kohnhorst,9815 withers lane,5.0,O,Whitehorse,,,,,OH,Applied Materials,M,1-972-516-3025,1.0,94590
79.0,United States of America,Pue2558,208029.0,,Torre,1.0,Puent,15520 ledgestone upper,2.0,R,Dayton,,,574.0,,ME,,M,1-504-733-4725,9.0,94518
88.0,Canada,DRO2559,2750505.0,26190.0,Julee,5.0,DROLET,2164 palm road,0.0,O,Chula Vista,F,C,737.0,,MO,Laclede Group,W,1-894-028-5050,5.0,72265
14.0,United States of America,Akk2560,2105378.0,211812.0,Roland,1.0,Akkermans,13741 durand street,2.0,O,Macon,,,823.0,,KS,,S,1-156-684-5311,0.0,T6d 1e7
94.0,United States of America,Cud2561,574595.0,491034.0,Jey,1.0,Cuddihy,23181 CANTEY COURT,0.0,O,St. Petersburg,M,Y,571.0,,AZ,Aleris International,M,1-198-959-7417,4.0,92858
59.0,United States of America,Wol2562,1660243.0,58204.0,Cang,2.0,Wolfman,2989 madison north,4.0,U,Fort Wayne,,,466.0,,Ontario,Erie Insurance Group,U,,7.0,10263
19.0,Canada,Ser2563,1499364.0,92676.0,WILEEN,3.0,Serbin,24795 CLOVER COURT,5.0,O,Overland Park,,M,738.0,Apt. 440,WV,Expeditors International,U,1-556-990-2387,9.0,75025
66.0,Canada,Deg2564,3704446.0,135240.0,deanne,3.0,Degan,24368 rutgers way,5.0,O,Hay River,M,,460.0,,Quebec,KBR,U,1-638-131-6560,5.0,94354
36.0,United States of America,Fre2565,2337575.0,292583.0,MARIT,2.0,Frey,17976 jack avenue,5.0,O,Nashville,,,781.0,,UT,Marathon Oil,U,1-230-831-6803,8.0,19133
4.0,United States of America,Kir2566,107221.0,285149.0,Carleen,1.0,Kirkby,4144 LAKE PARK LANE,4.0,O,Hollywood,,,408.0,,ND,RBS Global,W,1-573-380-8833,9.0,E7N 1P4
22.0,United States of America,LAT2567,3827727.0,,Catlaina,5.0,LATORRE,5656 upton west,0.0,R,Salt Lake City,,,586.0,,CO,Eli Lilly,U,1-045-117-0485,0.0,S3a 1g9
69.0,United States of America,cob2568,1540650.0,161828.0,DEHLIA,1.0,cobaugh,6488 AVALON NORTH,2.0,R,Fort Worth,F,,607.0,,IL,VF,M,1-531-778-7023,9.0,39207
95.0,United States of America,plo2569,2635531.0,308038.0,Mechelle,5.0,plouffe,9109 western way,1.0,O,Toledo,F,,322.0,Suite 344,NM,Rowan Cos.,S,1-528-349-0745,0.0,v6x 1s8
11.0,United States of America,STA2570,3642330.0,276572.0,costas-dinos,0.0,STARSDPS,8680 BAGBY COURT,0.0,R,Buffalo,,,,,GA,Thrivent Financial,M,1-981-281-2577,3.0,31410
6.0,United States of America,pal2571,608896.0,379621.0,Emmaline,1.0,paliwal,6517 FRAILING WEST,5.0,O,Inglewood,,,790.0,,Saskatchewan,Family Dollar Stores,M,1-123-622-1334,10.0,20083
61.0,United States of America,Woo2572,1437234.0,69893.0,Yueli,4.0,Wooster,19334 STRATMORE LANE,4.0,R,San Jose,F,,500.0,,ND,Andersons,M,1-537-247-9061,9.0,45441
96.0,United States of America,De 2573,1337965.0,419209.0,ninette,2.0,De wiele,18175 walnut east,,O,Burlington,F,P,445.0,Apt. 117,AZ,Rent A Center,S,1-361-697-4822,0.0,36652
59.0,United States of America,Epp2574,1092846.0,344598.0,Alicia,0.0,Eppenstiner,11167 WOLFE WAY,5.0,O,Virginia Beach,,P,408.0,,PA,,U,1-715-431-9118,8.0,V6B 1S8
73.0,United States of America,LIC2575,1377455.0,37819.0,MICHAELLA,0.0,LICANDRO,24743 hope drive,1.0,O,Burlington,M,,805.0,,DC,Henry Schein,M,1-455-878-7794,10.0,T5a 1t1
9.0,United States of America,hes2576,1501897.0,97688.0,WINONAH,4.0,hesk,10905 apollo west,0.0,O,Bismarck,F,,526.0,,NJ,Hospira,M,1-084-216-6649,9.0,55420
