prospect_AgID,prospect_Ge,prospect_MidInit,prospect_Emp,prospect_St,prospect_A,prospect_AddL2,prospect_OORFl,prospect_In,prospect_Ci,prospect_NuCa,prospect_NumCreCar,prospect_NWor,prospect_MaSta,prospect_FirN,prospect_Coun,prospect_Ph,prospect_NumChil,prospect_CrRat
tom3437,m,T,,IL,6.0,,O,60476.0,Colorado Springs,2.0,1.0,769705.0,M,Meer,Canada,1-534-999-7041,2.0,786.0
HAG3438,F,Q,J.M. Smucker,AR,88.0,,O,41472.0,Bellevue,1.0,8.0,1341885.0,M,Cleveland,Canada,1-928-055-1680,,820.0
Tra3439,f,E,Chesapeake Energy,RI,50.0,,O,220241.0,Buffalo,5.0,5.0,2018893.0,U,KATSUNORI,United States of America,1-401-220-3365,5.0,502.0
gar3440,,M,Navistar International,IA,40.0,,O,127671.0,Houston,0.0,5.0,3099135.0,,ind,Canada,1-776-198-1341,3.0,401.0
bug3441,,V,Cognizant Technology Solutions,IN,39.0,,O,165530.0,St. Louis,4.0,3.0,613433.0,M,ROBERTO,United States of America,1-055-659-1742,4.0,786.0
Hut3442,m,,J.C. Penney,DE,58.0,Suite 169,O,202553.0,Milwaukee,0.0,,610752.0,S,GWENNY,Canada,1-553-030-7909,,461.0
Mil3443,m,,Wal-Mart Stores,NJ,59.0,,O,102601.0,Allentown,5.0,4.0,313979.0,M,marian,Canada,1-954-628-1107,5.0,609.0
DRA3444,m,,Great Atlantic & Pacific Tea,KY,66.0,Apt. 733,O,4092.0,Omaha,3.0,8.0,562184.0,U,pardip,United States of America,1-839-139-1478,4.0,802.0
Ste3445,m,T,Wal-Mart Stores,MI,25.0,,O,385353.0,San Bernardino,5.0,7.0,,U,Dieuwertje,United States of America,1-221-821-0120,1.0,771.0
MCN3446,M,,Citigroup,Nova Scotia,74.0,,O,91654.0,Birmingham,,3.0,1573999.0,D,HOY,United States of America,1-880-302-8602,5.0,304.0
ast3447,m,W,Target,NM,38.0,,O,352098.0,Bakersfield,4.0,0.0,2389531.0,U,Richardo,United States of America,1-888-820-6652,3.0,361.0
Par3448,,C,Morgan Stanley,TN,72.0,,R,202346.0,Fort Lauderdale,4.0,6.0,2691101.0,M,Pauline,United States of America,1-610-025-3531,1.0,696.0
Cla3449,m,,XTO Energy,AL,76.0,,R,70674.0,Naperville,3.0,0.0,2874911.0,U,arlyne,United States of America,1-395-721-9973,1.0,744.0
Yu3450,M,,Wyndham Worldwide,DE,60.0,,O,359618.0,Casper,5.0,0.0,1226396.0,M,franka,United States of America,1-743-918-8475,3.0,747.0
Agh3451,,,Dynegy,MO,96.0,,O,278614.0,Garden Grove,2.0,5.0,670818.0,,Youji,United States of America,,3.0,580.0
atl3452,m,,Health Management Associates,VA,31.0,SUITE 471,R,177340.0,Hamilton,,3.0,83619.0,M,man-fai,Canada,1-292-017-1846,1.0,626.0
Par3453,f,,ON Semiconductor,GA,27.0,,U,438344.0,Columbus,3.0,4.0,1858744.0,,Dhawal,United States of America,1-067-212-4526,4.0,554.0
Gun3454,m,,FMC Technologies,MO,69.0,apt. 792,R,134648.0,Charlotte,0.0,3.0,3440082.0,M,Raynell,United States of America,1-097-113-5005,4.0,778.0
COR3455,,,Intel,OK,62.0,Apt. 615,R,390523.0,Cleveland,5.0,10.0,771572.0,S,angelle,United States of America,1-820-175-8238,3.0,344.0
WHI3456,f,N,Regis,SC,,,R,196837.0,McAllen,1.0,2.0,2200796.0,M,susannah,United States of America,1-834-531-6207,0.0,460.0
Vid3457,f,,,WY,90.0,,O,57061.0,Hayward,2.0,7.0,,M,PAMMI,United States of America,1-498-920-6339,2.0,738.0
lef3458,,,Brunswick,CA,23.0,,O,6289.0,Huntington Beach,5.0,,1638694.0,S,Meaghan,United States of America,1-361-748-2865,5.0,384.0
KLI3459,m,,AptarGroup,AL,8.0,,,244074.0,Akron,3.0,8.0,966497.0,S,Shirish,Canada,1-031-420-3870,3.0,476.0
Gro3460,,,United Technologies,HI,37.0,,O,59165.0,Providence,3.0,4.0,2287787.0,M,GRACE,United States of America,,3.0,815.0
Dem3461,M,,MGM Mirage,NJ,18.0,,O,243695.0,San Diego,4.0,8.0,1238475.0,U,Correy,United States of America,1-976-508-3560,1.0,459.0
dra3462,M,,Precision Castparts,MS,86.0,,O,,Montpelier,3.0,5.0,,M,thrift,Canada,1-458-551-4367,3.0,819.0
GAB3463,F,,Broadcom,Alberta,68.0,,R,436863.0,Syracuse,0.0,9.0,2489420.0,U,Unreg,United States of America,1-267-230-1749,2.0,561.0
Vil3464,m,J,McDonald's,SC,13.0,,O,307862.0,Honolulu,1.0,0.0,3488808.0,U,Randall,United States of America,1-004-682-7468,3.0,849.0
Sie3465,M,,,UT,47.0,,O,253766.0,Santa Rosa,5.0,1.0,3941286.0,M,DANA,United States of America,,3.0,529.0
pat3466,f,Y,Lennox International,MA,59.0,,U,324337.0,Baton Rouge,5.0,2.0,2648779.0,S,Jester,United States of America,,1.0,528.0
Rio3467,,,,MA,29.0,,R,471478.0,Gary,2.0,10.0,2413294.0,D,GENERAL,United States of America,1-457-187-4951,5.0,424.0
Eas3468,F,,MEMC Electronic Materials,MO,100.0,,O,265046.0,West Valley,2.0,3.0,3108332.0,D,Scottie,United States of America,1-946-372-8414,5.0,795.0
ANG3469,,,JohnsonDiversey,Quebec,13.0,,R,170818.0,Montpelier,1.0,1.0,2258909.0,U,DENA,United States of America,1-425-227-2556,4.0,497.0
UPS3470,,,Exterran Holdings,AK,,suite 225,O,381219.0,Newport News,5.0,6.0,2752061.0,U,Vernice,United States of America,1-896-664-1048,1.0,509.0
Ris3471,F,,Amkor Technology,MD,1.0,,O,124125.0,Atlanta,5.0,2.0,3171540.0,U,Kung,United States of America,1-317-422-9304,0.0,362.0
pan3472,,,Zale,WI,27.0,,O,24939.0,Sudbury,5.0,3.0,3465303.0,U,Koressa,Canada,,1.0,838.0
ALM3473,F,,Prudential Financial,IL,85.0,,O,440300.0,Pasadena,0.0,7.0,1380588.0,U,GILLIE,United States of America,,3.0,691.0
loc3474,,,Google,SC,50.0,,O,59201.0,Hay River,5.0,6.0,3737218.0,D,Karel,United States of America,1-512-373-0941,5.0,846.0
Nei3475,,,Stanley Works,RI,86.0,,O,319094.0,Montreal,2.0,7.0,650356.0,M,Gib,United States of America,1-711-700-8101,3.0,426.0
Bea3476,m,,,OH,10.0,,O,135872.0,Jacksonville,2.0,10.0,1118449.0,,FERDINAND,United States of America,1-458-978-8866,4.0,359.0
LAF3477,,,Nacco Industries,Newfoundland,60.0,,O,273547.0,Frederick,5.0,0.0,297187.0,S,ERNST,United States of America,1-746-254-8540,1.0,716.0
Sep3478,F,,Air Products & Chemicals,OK,19.0,,O,131317.0,Columbia,4.0,3.0,977326.0,M,Denys,United States of America,1-463-560-5276,4.0,661.0
Sim3479,,,KAR Holdings,ME,66.0,,O,5637.0,Akron,,5.0,2069853.0,,Ursulina,Canada,1-145-566-6115,0.0,
tih3480,F,O,NVR,British Columbia,74.0,APT. 245,O,364135.0,Biloxi,4.0,2.0,471995.0,S,Pippy,United States of America,1-338-863-3620,,747.0
LIG3481,M,,Mercury General,RI,13.0,Suite 7,O,292768.0,El Monte,0.0,3.0,1908444.0,S,Sarette,United States of America,,3.0,838.0
DIL3482,,B,Dillard's,AR,38.0,,O,228700.0,San Buenaventura,0.0,6.0,1589402.0,M,Ardisj,United States of America,1-091-269-1188,4.0,356.0
Mcc3483,M,,CF Industries Holdings,RI,82.0,,O,300707.0,Warren,5.0,6.0,3016346.0,S,Rosemonde,Canada,1-298-339-9518,,819.0
otw3484,M,J,Supervalu,NE,73.0,,R,61680.0,Carrollton,5.0,0.0,3675600.0,W,darsey,Canada,1-186-446-7845,2.0,727.0
BOU3485,f,Q,Intuit,Prince Edward Island,29.0,,O,263790.0,Santa Rosa,0.0,4.0,789720.0,W,sask,United States of America,1-927-532-3163,2.0,402.0
Fal3486,,,Eastman Kodak,NM,1.0,,,158790.0,Montgomery,3.0,6.0,1888198.0,,Jayne,United States of America,1-842-072-1990,3.0,374.0
MAU3487,,,Mutual of Omaha Insurance,Prince Edward Island,35.0,,O,29607.0,Corpus Christi,3.0,10.0,2111067.0,S,DYANN,United States of America,1-313-961-9044,2.0,388.0
Wal3488,,J,Jack in the Box,VT,54.0,,U,,Ann Arbor,0.0,,,M,Bel,United States of America,1-042-780-6972,2.0,601.0
Pla3489,m,,A.O. Smith,Quebec,52.0,,O,457408.0,Edmonton,2.0,1.0,1009803.0,M,COLMAN,United States of America,1-495-369-0040,,351.0
ser3490,F,N,RadioShack,OR,57.0,,R,145260.0,Orlando,1.0,1.0,3894610.0,M,Laraine,United States of America,1-859-688-3938,0.0,824.0
DYN3491,F,F,Best Buy,RI,34.0,,O,310279.0,Paterson,4.0,6.0,1804864.0,W,BEVERIE,Canada,1-296-603-1391,3.0,698.0
Mcv3492,F,T,Great Atlantic & Pacific Tea,OK,39.0,,O,339015.0,Pasadena,4.0,7.0,1508994.0,D,Benjamin,United States of America,1-486-026-1629,5.0,837.0
edg3493,,,Aramark,UT,90.0,,R,235655.0,London,2.0,0.0,2036988.0,M,Joelle,United States of America,1-988-531-3030,4.0,463.0
VON3494,M,,Black & Decker,SD,13.0,,O,414965.0,Laredo,1.0,8.0,2578252.0,D,Fitz,Canada,1-002-528-9634,1.0,323.0
STA3495,M,,Hovnanian Enterprises,Nova Scotia,94.0,,R,161263.0,Bakersfield,4.0,1.0,3513822.0,S,WENDYE,United States of America,1-237-814-6534,4.0,312.0
LEV3496,,,Valspar,AK,83.0,,O,478013.0,Stockton,2.0,8.0,94604.0,D,Ashia,United States of America,1-383-524-5158,2.0,
FOR3497,,,Trinity Industries,Newfoundland,34.0,,O,,St. Paul,3.0,3.0,421335.0,U,Julietta,United States of America,1-697-311-4832,5.0,703.0
Ren3498,,,Harsco,TN,22.0,,O,457832.0,Columbus,,10.0,2443840.0,M,poppy,United States of America,1-405-395-8488,4.0,767.0
SEA3499,M,,,HI,60.0,,O,125723.0,Seattle,3.0,9.0,3177200.0,M,SHOBANA,Canada,1-833-466-6094,1.0,522.0
Cos3500,,X,Alaska Air Group,MI,,,O,191287.0,Lafayette,2.0,6.0,338056.0,S,karyn,United States of America,1-548-723-6103,3.0,835.0
TOR3501,h,K,SunTrust Banks,Saskatchewan,83.0,,R,380206.0,Bridgeport,2.0,3.0,2752034.0,M,kalindi,Canada,1-229-146-4857,5.0,702.0
Pin3502,F,D,Reynolds American,GA,54.0,,O,489259.0,Huntsville,3.0,1.0,207207.0,M,Ardra,United States of America,1-875-662-5783,0.0,583.0
Fev3503,M,,Public Storage,MI,84.0,,O,153948.0,Greensboro,,8.0,710738.0,,sayla,United States of America,1-568-928-3347,1.0,655.0
Ley3504,,,Mylan,SD,10.0,,O,243639.0,Garden Grove,3.0,5.0,332775.0,U,peng-david,United States of America,1-127-894-1436,4.0,371.0
Ten3505,,,Weyerhaeuser,OK,14.0,,O,17247.0,Aurora,2.0,1.0,2223034.0,D,nataline,United States of America,1-741-940-5593,3.0,783.0
Jaq3506,,F,Virgin Media,MO,35.0,,O,196902.0,Springfield,0.0,3.0,2302008.0,U,Annabal,Canada,1-685-792-0382,1.0,316.0
Sea3507,,,Hasbro,MS,94.0,Apt. 355,,276194.0,Albuquerque,0.0,3.0,2492000.0,S,Demeter,United States of America,,5.0,427.0
Jel3508,,,,IN,14.0,,O,200061.0,Sydney,1.0,0.0,750317.0,W,Missy,United States of America,1-342-800-1550,5.0,432.0
dal3509,F,,Arrow Electronics,ID,7.0,,O,,San Buenaventura,5.0,1.0,2433542.0,U,UTAH,United States of America,1-539-882-5300,0.0,
ZIN3510,,P,Duane Reade Holdings,MT,41.0,,U,56046.0,Eugene,1.0,2.0,3242324.0,M,chung,United States of America,1-466-176-8867,5.0,442.0
Fra3511,m,,Tenneco,LA,51.0,,O,,Scottsdale,5.0,5.0,30664.0,S,RAMON,Canada,1-208-650-0074,3.0,578.0
Eno3512,F,B,Williams,RI,44.0,,O,196660.0,Ontario,1.0,10.0,2877020.0,M,Valenka,United States of America,1-077-842-2494,3.0,534.0
Deb3513,F,,Wesco International,WA,23.0,,O,261790.0,Omaha,1.0,5.0,3508278.0,U,ODELLE,United States of America,1-428-308-4116,4.0,593.0
ful3514,,,BMC Software,Quebec,73.0,,O,187176.0,Frederick,1.0,2.0,2137032.0,M,manya,United States of America,1-176-364-0796,0.0,587.0
VAN3515,,D,,DC,67.0,,O,117208.0,Jacksonville,2.0,5.0,2909341.0,D,Syed,United States of America,1-357-278-1918,3.0,621.0
Mai3516,f,,Brunswick,WI,81.0,,O,254242.0,Moncton,5.0,10.0,429687.0,M,Poulos,United States of America,1-138-749-0785,1.0,799.0
Art3517,M,,AGCO,OR,68.0,apt. 398,O,411016.0,Worcester,1.0,10.0,3550282.0,W,Charly,United States of America,1-520-911-8399,0.0,629.0
BAS3518,,X,Lam Research,FL,62.0,,R,430902.0,Norfolk,1.0,5.0,435520.0,U,NARESH,United States of America,,1.0,830.0
HAD3519,,,Kroger,MT,99.0,,O,43779.0,San Jose,1.0,7.0,3082166.0,D,Grame,United States of America,1-122-738-8813,1.0,
MTC3520,,,Pride International,CA,43.0,,O,355483.0,Rapid City,1.0,2.0,1988684.0,M,Eleonore,United States of America,1-979-920-9646,2.0,353.0
Gho3521,,D,Symantec,Quebec,50.0,,O,182949.0,Torrance,2.0,8.0,1257292.0,D,doralia,United States of America,1-302-066-8020,4.0,646.0
Por3522,,,Liz Claiborne,GA,73.0,,R,323125.0,Livonia,1.0,2.0,378210.0,U,MICO,United States of America,1-135-075-6120,1.0,738.0
Whi3523,,,Kelly Services,NH,,,R,,Great Falls,5.0,5.0,2366756.0,S,Marta,United States of America,1-037-149-1086,2.0,659.0
Yon3524,m,,Regis,MT,37.0,,U,384701.0,Naperville,4.0,4.0,555843.0,D,Carole,Canada,1-352-443-5913,5.0,611.0
Key3525,M,W,MetroPCS Communications,FL,36.0,,R,82703.0,Bellevue,1.0,8.0,3022182.0,,GAY,United States of America,1-578-618-6854,,601.0
BRA3526,m,,Ameriprise Financial,ID,68.0,,O,,Chicago,1.0,9.0,1119543.0,M,Amos,United States of America,1-440-644-7190,2.0,841.0
Flo3527,,,Intuit,RI,85.0,,O,205148.0,Biloxi,1.0,3.0,,M,Behrouz,United States of America,1-777-639-8723,1.0,603.0
MCC3529,,M,Spherion,CT,,,O,10521.0,Omaha,3.0,2.0,939089.0,,Clem,United States of America,1-291-226-2554,0.0,303.0
vel3530,,,ServiceMaster,New Brunswick,34.0,,U,348279.0,Tempe,1.0,5.0,3443557.0,S,NANCEY,United States of America,1-749-788-5718,,496.0
GOP3531,f,,Plains Exploration,NH,46.0,,O,68356.0,Peoria,5.0,2.0,3422350.0,M,Anne-marie,United States of America,1-306-339-1494,2.0,442.0
OZI3532,,,Curtiss-Wright,SD,95.0,,R,,Montpelier,1.0,4.0,,M,Sabra,United States of America,1-963-464-2686,1.0,390.0
Sch3533,,,Eagle Rock Energy Partners,MN,20.0,,O,261884.0,Saint John,1.0,,2018601.0,S,Esmail,Canada,1-172-605-3783,0.0,420.0
LAR3534,,U,Group 1 Automotive,Saskatchewan,23.0,APT. 189,O,401212.0,San Jose,0.0,7.0,940008.0,M,Germain,United States of America,1-976-700-1826,1.0,492.0
des3535,,,Cisco Systems,IL,82.0,,O,207614.0,Irvine,2.0,2.0,806461.0,M,Tamqrah,Canada,1-834-624-6378,5.0,371.0
rag3536,,,Reliance Steel & Aluminum,MT,83.0,,U,374409.0,San Bernardino,0.0,0.0,2610879.0,M,Leonas,United States of America,1-884-002-9757,4.0,374.0
mir3537,m,,Airtran Holdings,MD,84.0,,O,495476.0,Hayward,3.0,3.0,2164020.0,S,yueh,United States of America,1-252-986-8871,5.0,395.0
CYT3538,,,AECOM Technology,SC,68.0,,O,126654.0,Aurora,0.0,5.0,2645544.0,W,JIN-YUN,United States of America,1-751-644-6500,2.0,471.0
Lig3539,F,L,StanCorp Financial,Ontario,83.0,,R,484978.0,Houston,5.0,2.0,1066216.0,M,GERRIE,United States of America,1-340-776-0296,1.0,520.0
BUE3540,M,,Smithfield Foods,IA,100.0,,U,107781.0,Oceanside,4.0,1.0,780436.0,U,brekel,United States of America,1-260-363-3343,0.0,691.0
mai3541,M,,Best Buy,AK,37.0,,U,454159.0,Las Vegas,0.0,8.0,3302794.0,M,CAHRA,United States of America,1-678-734-4872,4.0,835.0
gub3542,F,U,Amerigroup,MA,44.0,,R,255116.0,Evansville,4.0,10.0,1367899.0,M,MABEL,United States of America,1-564-234-0683,0.0,370.0
Cha3543,,,,IA,55.0,,O,111357.0,Bakersfield,0.0,6.0,413934.0,U,Maryann,United States of America,1-715-169-7848,2.0,464.0
Lop3544,,,Helix Energy Solutions Group,TX,68.0,,U,357380.0,Washington,1.0,0.0,3266963.0,S,Dianne,United States of America,1-185-925-7643,5.0,358.0
CIA3545,M,,Beazer Homes USA,KY,62.0,apt. 816,O,379936.0,New Orleans,0.0,9.0,945953.0,D,Atlante,United States of America,1-828-704-0829,0.0,513.0
RYN3546,F,P,Kindred Healthcare,Manitoba,52.0,,O,113730.0,Corpus Christi,2.0,,2258809.0,S,Angeline,United States of America,1-435-316-6860,,439.0
Ash3547,,J,Smurfit-Stone Container,WY,3.0,,O,262475.0,El Monte,0.0,10.0,3094300.0,D,Deloria,United States of America,1-563-464-4375,5.0,449.0
See3548,,,Kohl's,CT,94.0,,O,440630.0,Lubbock,1.0,2.0,3594007.0,M,Finance,Canada,1-511-784-1541,5.0,538.0
FIS3549,F,V,,ID,82.0,,U,159977.0,Peoria,0.0,1.0,2040543.0,M,Agretha,United States of America,1-310-703-9590,5.0,644.0
Zur3550,m,,Exterran Holdings,Prince Edward Island,23.0,Apt. 336,O,38891.0,Waterbury,4.0,1.0,,M,Afke,United States of America,1-696-458-7087,4.0,726.0
Nel3551,f,,Int. Flavors & Fragrances,MT,84.0,,U,200581.0,Saskatoon,2.0,,79859.0,D,powell,United States of America,1-390-877-2615,0.0,365.0
hya3552,,,Pitney Bowes,British Columbia,94.0,Apt. 410,O,477250.0,Aurora,0.0,0.0,2711714.0,U,Cassi,United States of America,1-481-616-7444,0.0,399.0
Fre3553,F,,Newmont Mining,TX,5.0,,O,395585.0,St. Catharines,1.0,,1318621.0,S,randolph,United States of America,1-815-999-3224,0.0,494.0
FEI3554,f,,General Cable,ID,42.0,,O,67533.0,Mount Pearl,1.0,5.0,,M,Hal,United States of America,1-475-054-9356,3.0,379.0
Rod3555,,E,New Jersey Resources,TX,56.0,,O,373325.0,Hilo,2.0,10.0,1276869.0,M,roxane,United States of America,1-228-783-8278,2.0,486.0
Col3556,M,,Goodrich,PA,41.0,,O,253702.0,San Diego,3.0,0.0,2510876.0,S,Mahesh,United States of America,1-380-454-4822,4.0,616.0
Lab3557,M,,Tesoro,NC,25.0,,O,119457.0,Boise,4.0,7.0,1518487.0,S,lilas,United States of America,1-019-623-5155,2.0,
YU3558,,,Patterson-UTI Energy,AK,15.0,,O,378486.0,Hilo,3.0,8.0,3278102.0,W,rudy,Canada,1-331-250-6563,1.0,743.0
Hag3559,m,,Casey's General Stores,AK,11.0,,U,199941.0,Fort Smith,0.0,4.0,828014.0,D,Florida,United States of America,1-965-277-6511,4.0,451.0
kni3560,,,Kroger,Newfoundland,1.0,,R,465009.0,Jersey City,2.0,10.0,1246677.0,U,Paola,United States of America,1-867-023-8578,5.0,784.0
Pre3561,f,S,Visteon,New Brunswick,96.0,,O,90779.0,Abilene,1.0,6.0,1210015.0,M,Jaquelin,United States of America,1-160-856-0954,5.0,483.0
pin3562,m,,Sally Beauty Holdings,New Brunswick,15.0,,O,102642.0,Montpelier,,9.0,3675692.0,S,chick,United States of America,1-632-781-0735,1.0,615.0
PAT3563,,,Dillard's,Prince Edward Island,84.0,,R,413028.0,Santa Clara,3.0,8.0,1827140.0,S,osiris,United States of America,1-935-263-5334,,631.0
Tou3564,,,Discovery Communications,AK,85.0,,O,323812.0,Lexington,4.0,5.0,2645224.0,M,Brigitta,United States of America,1-570-448-1876,0.0,782.0
nab3565,f,F,CSX,OR,36.0,,O,374798.0,West Covina,5.0,4.0,3469329.0,D,ELLYN,United States of America,,1.0,825.0
Scu3566,,,Dresser-Rand Group,MD,96.0,,O,80796.0,Orlando,,3.0,2113282.0,U,CLAUDE,United States of America,1-336-314-4440,4.0,564.0
woo3567,M,,Anixter International,SD,42.0,,O,249352.0,Livonia,2.0,9.0,1073250.0,W,Cathryn,Canada,1-654-106-6842,5.0,484.0
BLA3568,m,,DST Systems,NY,38.0,,O,485106.0,Cheyenne,,4.0,,S,Bam,United States of America,1-446-888-9870,0.0,548.0
ban3569,,,Harman International Ind.,OH,31.0,,O,156117.0,New York,2.0,1.0,3439033.0,M,SHAY,United States of America,1-273-925-1457,1.0,745.0
gia3570,,,Consol Energy,FL,38.0,,O,481057.0,Carrollton,5.0,,1023516.0,M,jesse,Canada,1-335-984-3257,4.0,332.0
hen3571,m,L,J.C. Penney,New Brunswick,24.0,,O,350615.0,Hayward,2.0,2.0,2453594.0,M,Daveta,Canada,1-225-583-7681,3.0,402.0
SWI3572,,W,Fastenal,Prince Edward Island,8.0,,,63862.0,Amarillo,3.0,9.0,3106263.0,U,Ulrikaumeko,United States of America,1-823-315-1843,3.0,415.0
dav3573,m,,Lincoln National,DC,60.0,,O,224529.0,Wilmington,5.0,4.0,3315581.0,S,Pradeep,Canada,1-444-401-5405,4.0,627.0
Byk3574,,Y,CB Richard Ellis Group,Newfoundland,32.0,,R,249398.0,Los Angeles,3.0,7.0,2229667.0,S,Christie,United States of America,1-411-173-4729,4.0,758.0
Win3575,m,,Auto-Owners Insurance,CA,90.0,,O,201020.0,Norfolk,3.0,9.0,2202803.0,,mrugesh,United States of America,1-166-358-7050,5.0,842.0
san3576,,B,Centex,NE,75.0,,O,345133.0,Des Moines,4.0,10.0,86609.0,S,TUAN,Canada,1-580-623-9675,0.0,452.0
Hol3577,M,,Harrah's Entertainment,IA,88.0,,R,272041.0,Des Moines,0.0,1.0,3663817.0,M,Michell,United States of America,1-353-442-3742,1.0,480.0
DOC3578,,,,NV,69.0,,R,29295.0,Arlington,5.0,2.0,3268068.0,D,Takis,United States of America,1-683-927-2200,0.0,352.0
pas3579,,A,,AZ,6.0,,O,428393.0,Hay River,0.0,2.0,1325490.0,W,cathi,United States of America,1-228-816-3259,5.0,
Jer3580,,,Newfield Exploration,ND,37.0,,O,260053.0,Rapid City,1.0,8.0,2031302.0,S,yukihiko,Canada,1-936-920-1678,2.0,558.0
Gar3581,m,J,Molex,Alberta,100.0,,O,432974.0,Provo,2.0,9.0,401346.0,S,Jordain,United States of America,1-007-453-6346,1.0,725.0
Liv3582,F,,Lithia Motors,SC,,SUITE 476,R,188170.0,Chicago,5.0,0.0,1690008.0,M,HANK,United States of America,1-228-382-4709,4.0,405.0
Pat3583,,K,First Horizon National Corp.,FL,69.0,APT. 803,O,128545.0,Newark,4.0,5.0,79069.0,M,Tessie,United States of America,1-078-550-1785,,576.0
Pil3584,,,Belk,IA,55.0,,O,95966.0,Madison,3.0,0.0,60242.0,M,ADRIEN,United States of America,1-093-404-4076,1.0,753.0
OLS3585,,,Priceline.com,NC,17.0,,O,189137.0,Scottsdale,3.0,5.0,1992252.0,M,Dona,United States of America,1-982-600-0326,5.0,845.0
kro3586,,,Black & Decker,OH,68.0,,O,11177.0,Boston,5.0,4.0,1320719.0,W,sucha,United States of America,1-067-512-5546,2.0,804.0
BUR3587,,B,Airtran Holdings,TX,32.0,,O,53184.0,St. Paul,3.0,5.0,726145.0,S,ESMOND,Canada,1-946-460-5278,0.0,533.0
rem3588,,,Dole Food,Manitoba,80.0,,U,488031.0,Dover,3.0,3.0,1131982.0,W,Opaline,United States of America,1-469-841-0566,3.0,554.0
GIR3589,,,Cameron International,WI,84.0,,U,35472.0,Santa Clara,,3.0,3712622.0,U,kristal,United States of America,1-699-433-5592,5.0,314.0
KRO3590,,U,Cummins,NM,37.0,,R,85953.0,Bellevue,4.0,1.0,1348543.0,M,breena,United States of America,1-846-499-7426,4.0,440.0
Mok3591,,,Holly,OR,54.0,,O,75205.0,Missoula,5.0,9.0,3226395.0,M,aime,Canada,1-935-197-5670,5.0,700.0
jan3592,f,,Frontier Communications,AL,28.0,,O,35929.0,San Buenaventura,4.0,5.0,3305190.0,W,Sylvain,United States of America,1-313-092-5482,1.0,648.0
Mis3593,M,F,Nucor,WI,71.0,,O,274733.0,Fort Lauderdale,2.0,8.0,85085.0,U,ALESSANDRA,United States of America,1-443-346-8005,,528.0
Mar3594,F,,Agilent Technologies,MN,75.0,,O,258645.0,Mobile,1.0,0.0,978404.0,S,WIN,Canada,1-489-028-9100,4.0,728.0
BAR3595,M,,Cisco Systems,OH,24.0,,R,375231.0,Santa Rosa,4.0,9.0,2197413.0,M,jo-ann,United States of America,1-300-376-1697,0.0,709.0
DIO3596,,,Oil States International,Newfoundland,65.0,,U,,Salinas,1.0,10.0,1244375.0,W,Hestia,United States of America,1-960-191-8097,1.0,521.0
Wik3597,m,,Coca-Cola Enterprises,CT,2.0,,O,462859.0,North Las Vegas,4.0,6.0,1701956.0,S,LINZIE,United States of America,1-446-677-0905,1.0,722.0
GOD3598,m,,Marshall & Ilsley Corp.,MA,89.0,,O,196035.0,Oakland,2.0,7.0,2608387.0,M,Tamra,United States of America,1-124-295-6390,5.0,338.0
WUR3599,M,P,Beazer Homes USA,AZ,94.0,,U,310983.0,Lakewood,5.0,7.0,936175.0,M,Nelli,United States of America,1-442-722-5010,0.0,656.0
Kot3600,,,KeyCorp,Newfoundland,95.0,,U,226498.0,Irvine,1.0,3.0,2307500.0,U,Shashank,United States of America,1-781-407-6004,5.0,478.0
Las3601,b,,Best Buy,OK,73.0,,R,391261.0,West Covina,2.0,1.0,73903.0,U,Wing-man,Canada,1-508-275-8812,1.0,447.0
SEV3602,,E,BE Aerospace,Prince Edward Island,3.0,,O,22290.0,Oshawa,5.0,9.0,2388062.0,M,PRICING,United States of America,1-522-089-5795,0.0,721.0
Yon3603,,,Applied Biosystems,VA,,,O,205437.0,Hull,1.0,6.0,170776.0,M,petra,United States of America,1-390-652-3354,0.0,519.0
kib3604,,,Newfield Exploration,KS,56.0,,O,165843.0,Milwaukee,3.0,10.0,3870861.0,D,Habib,United States of America,1-945-243-6717,4.0,626.0
Kib3605,M,,American Financial Group,IA,26.0,,O,498007.0,Oshawa,,,2821319.0,M,MAYUMI,United States of America,1-011-610-3792,4.0,379.0
Ens3606,,J,Fidelity National Information,NJ,69.0,,R,428185.0,Cheyenne,1.0,2.0,2166860.0,,Seungchul,Canada,1-873-201-2693,,474.0
Lys3607,f,,Plains Exploration,Saskatchewan,13.0,,R,73149.0,Little Rock,1.0,10.0,1591835.0,M,Micaela,United States of America,1-647-066-1192,2.0,820.0
BAL3608,F,E,Principal Financial,CO,62.0,,O,227225.0,Saskatoon,5.0,2.0,3012910.0,M,Elizabet,United States of America,1-498-584-5971,5.0,531.0
Cha3609,f,,American International Group,TX,88.0,,O,,Ann Arbor,5.0,1.0,2466039.0,U,Sib,United States of America,1-157-268-0538,2.0,834.0
bro3610,F,E,,CO,91.0,,O,81814.0,Iqaluit,3.0,8.0,336001.0,W,angelita,United States of America,1-242-043-1963,1.0,431.0
Rut3611,m,,Solutia,MA,70.0,,O,25071.0,Saint John,3.0,3.0,75929.0,W,Valaria,Canada,1-170-725-5683,5.0,319.0
Kol3612,f,,Synovus Financial Corp.,DC,,,O,164561.0,Naperville,0.0,7.0,2121700.0,M,MADELENA,United States of America,,2.0,655.0
Fer3613,F,A,Asbury Automotive Group,OK,78.0,Apt. 264,O,235479.0,Topeka,2.0,1.0,2130983.0,W,NARA,United States of America,1-180-486-2306,4.0,462.0
