prospect_mddlntl,prospect_frstnm,prospect_g,prospect_ct,prospect_ntwrth,prospect_pstlcd,prospect_gndr,prospect_lstnm,prospect_mrtlstts,prospect_ddrssln1,prospect_nmbrcrs,prospect_nmbrcrdtcrds,prospect_mplr,prospect_nmbrchldrn,prospect_ncm,prospect_crdtrtng,prospect_ddrssln2,prospect_gncd,prospect_phn,prospect_stt,prospect_wnrrntflg,prospect_cntr
,Ixsoib,58.0,Salem,1203267.0,WQSZWQBE,,Zprtowfuebcnkomhctwozawilldble,U,WSZYJROXWWIWMVXDTZLJRKAPTUGFNIKPCPNRWASXEWEEUXRZALWYHWKU,2.0,6.0,Alliance Data Systems,4.0,41345.0,489.0,Qbjvbdhukolhkvblzlpqvhoidbsxhjjidxewmpmeyviumfaknanhkawkqkicst,Zpr7709,1-710-953-4977,Newfoundland,U,Canada
,Cwurvdjbmuxtioeqbpk,29.0,Saskatoon,3704743.0,DWMXIPKTCN,m,LMGKMCADYPJYO,U,Qfeecmwaxqhkulepjrwbmihojdaovxcukyrlnphlnimczdwhbxkilgjzuoiyhpupzxvcxxtrztifgd,5.0,9.0,American International Group,1.0,370209.0,845.0,Abgxbgumkxdgtfxdnipqahoppnvqtycloripcjpwav,LMG7710,1-789-825-2857,UT,U,United States of America
,Jhnamxkltxicm,28.0,Boise,3673540.0,hrhbmmtj,,WMFDKUEYDGUHMH,U,VIJLPKEZYSJJGTR,0.0,0.0,Mohawk Industries,4.0,343016.0,735.0,johelumobsdscjxtegwoqf,WMF7711,1-179-937-7265,OR,R,United States of America
,tdbtkqtfzcnjridma,93.0,Irvine,982779.0,EXIDAUKO,F,Qovtycantlwwx,D,,4.0,4.0,Vulcan Materials,3.0,186990.0,615.0,RVREJBODDAQMNNKSVFCRGEEGYRFCHGQKZIJAMSVQCZSQXIKMEHHFOVJHJQFGKIOHOUNFHENWBEATHG,Qov7712,1-596-337-6757,ID,U,United States of America
,njcdtc,17.0,Washington,2778471.0,Wqhgxcfrvqe,,Vkpfswwfwpswmudhsdo,W,,,6.0,OfficeMax,4.0,46562.0,,fviktddqlpzaihbnirmlzugjucssebcgjqwk,Vkp7713,1-512-224-7078,AL,U,United States of America
P,OMBIVJDP,98.0,St. Petersburg,2585134.0,Lwuvkzp,M,SSTFMVLCKNTPKMD,U,Zmasw,5.0,,Michael Foods,5.0,98412.0,769.0,MHHPNLYPKALRGEU,SST7714,1-552-735-4638,MN,U,United States of America
,ITHLHECNZJLMPKFUHWZCVMIZPUWUXZ,38.0,Torrance,3591627.0,htndjyvd,m,Fuknxsnnxbpkzxpvkgfqmrrtukc,S,Hvwcslkdbovbksvugzeblranwljqocapxusqfhoxknwsbunmtvsdrquws,5.0,10.0,Vulcan Materials,4.0,436056.0,406.0,Szdfmvhiydvlwhpmpetcnqcwscvrnbaih,Fuk7715,1-127-805-3262,UT,O,United States of America
,Erjrxnjctmkhgqwpjzuylkf,44.0,Warren,1819561.0,Iadjghd,f,Brzitazbiandtwccpsojepmnkuwh,U,DVMTEYEFOGEHXPCXCSOGWGYKOIPFCQAEJN,3.0,0.0,,1.0,36008.0,586.0,BTXEJWXBNTKNXZHXO,Brz7716,1-985-423-7255,ME,O,United States of America
,Ijqvmftaeaoeiycxxi,27.0,Oakland,2857056.0,,f,Fawgx,M,Oznikwnqknmmzcqghprkmqgvogyqikwolvmyluhxmsculhddmjcxxwcuijvtebhrdmamuus,1.0,10.0,Unum Group,0.0,417402.0,630.0,VJIXJQFCUTCUXUYATRICWNQEXFDOKVULJGBBLWBGAYQVJQEAREHYVLEKWJRBNN,Faw7717,,IA,O,United States of America
,lrntptwvbrtnvwdquqpsx,94.0,Hull,1393892.0,kvcqpv,m,Jtnfoibxdchrzcaerjqbyvopn,U,Gvpkllxjihwcdekmhwgrvrjjlemqymitgmisuqksneadi,1.0,7.0,Domtar,1.0,273535.0,533.0,Lyljat,Jtn7718,1-019-900-0927,VT,O,United States of America
,Ouzxts,,Boston,759096.0,MFRHTZKJ,,tooeebsa,M,vunoywivtxaoteia,4.0,,Sentry Insurance Group,2.0,445562.0,328.0,Qabwlgqrbidnenyyuvbgrhhvvrgw,too7719,1-055-674-3126,MA,O,United States of America
,Cxogpjlizzckvntqnvns,60.0,Modesto,2288668.0,BRXSSYJHS,,Kcdbaeuimvpilyauyxdlgkhoiyfro,M,cgfbhvbutwppcxeqzjnajirvbyji,4.0,9.0,Constellation Energy,2.0,226333.0,753.0,lqixcaatrhjqjovgxa,Kcd7720,1-539-727-9817,Prince Edward Island,O,Canada
,Piqrxkifkii,48.0,Grand Prairie,3580824.0,ijsdxorwqin,m,Yhhoyidngqgqsloyfqeulcrsio,U,Cnqkflteffhlvuvkvlidzxdddhthinttughoacniyaskjqxcunrgjffmddusvcvayyayerjr,3.0,10.0,CSX,3.0,,512.0,Ekuhwjayuxqperlxnlmrymdmwtxaflbhscqyncomfhwbxhbgjolmyxmxwmnplizhomhjceuxbntzlxvn,Yhh7721,1-125-903-5459,Manitoba,O,United States of America
,Bflmgwcfmker,36.0,Phoenix,1681450.0,Fuxiyfjtqevk,,Adutmdmephuylyexw,D,oigxagmffqteeswxkzbgrigdxtvmfgkkymknfeb,5.0,8.0,W.W. Grainger,3.0,,432.0,BTVDHAKTATGCRSNLNJIMRNEKOCW,Adu7722,1-591-506-8069,TX,R,Canada
W,Gjxszyfxpweic,67.0,Lincoln,1592047.0,Egxkelhxosoh,,Kwxjxfsmuroyrhhdvg,,hvvnvoixtwnfzmbjghxksazmfoqqyifvcgqkdqsaknwanpwjavvnifvkfikf,5.0,2.0,Kimberly-Clark,3.0,271054.0,323.0,Rrzywqvopgjspxdxcvbavgnmfzwgrqwccgvekosmpedjjojxvpdennlhtb,Kwx7723,1-131-877-8296,RI,O,United States of America
,Bjobwdoxutojkprezhmpqibkxthznh,63.0,Shreveport,3596545.0,gmnioeblfn,,uzlhro,U,Gfopscpludliujcvdkhcomkp,3.0,10.0,Henry Schein,4.0,64626.0,714.0,anaeppkooczdbqjqbkncsjyigtdewzxxmwdxwigprimlifrikliqaffedqqvcdfwmnzkfzavdkxa,uzl7724,1-716-805-3703,MI,O,United States of America
C,Nesaxzxlulmhmoxztefdk,55.0,Warren,3093246.0,Mdqarqysh,f,UXYOA,S,qgkokxkhlxlezcflupfkujkmnetfgxtqvnvnwajxvksuauioivdieovttkpwbd,5.0,7.0,State Street Corp.,2.0,463945.0,730.0,Stltlktrzkoxogdnbkblwqfmeakmysqhlfzqcfhvuizenxftt,UXY7725,1-506-286-3588,PA,O,United States of America
d,DHICXMQRMKABXBTFUBDUUJDI,4.0,Erie,3867919.0,frzijg,M,FRUVQXYSLOBFJW,M,xkltqvtdcifskkcnqwkyoawqfszkilztvdcgrfdsrhvmtykrzkcmxdshlwayjjjlstnimjmhcilfjis,0.0,5.0,Quanta Services,,159731.0,346.0,Rerwaixnthnmubexctjvtjfcyxbgybbnktinjlsedjzli,FRU7726,1-427-982-9005,KY,O,United States of America
,Sfdjitmusbmcjxar,92.0,Fargo,3245961.0,Clktwlprka,f,Bjxbfwhcowvfbdenlbrrbcg,M,bwmnbuxfotmhhrcyzjwwrnhlqfdipsnrfekiuaaltzpthagegtbllneojphxmpvglgr,5.0,1.0,Marshall & Ilsley Corp.,3.0,190805.0,,dwchwkksmytmabvhrtrjksknavvfiiipophpbzkcxcrkbvkylijdjyvteuurdprxb,Bjx7727,1-669-946-1808,OH,R,United States of America
,BROVPAASJ,93.0,Wichita,600366.0,Fnbcpkispthu,,zkpmkqgcxwrsrhnmcvdfqstuxb,M,xgrescoregiylgtboucvujwksdieiawytiklnlimmvomlbmmdhxfucnrqugodotgspmcheziai,1.0,7.0,Oceaneering International,1.0,43888.0,818.0,bytlgbvuqbpxdyxtlsfiowxxcobig,zkp7728,1-936-581-5888,AR,O,United States of America
u,pntucfaekdacxehx,87.0,Mount Pearl,1738979.0,Gnczlyncstm,M,Lbokllchqdtdczur,S,Dzmpjafkabapegvhrgb,0.0,4.0,Raymond James Financial,0.0,34137.0,623.0,Xfuwlnffqpdtapbkklpohkpwqsumdeulnwpwxhdzwchksififvwsrkhnsclnewjhp,Lbo7729,1-740-256-2368,KY,R,United States of America
r,Yuvfvyhmgf,44.0,Mobile,454564.0,Qrlsag,f,TFPMZQNTVKUSW,S,XJCLEPZFIVOMHEEDDIVHKBXAELURZXM,4.0,5.0,Valspar,1.0,196885.0,742.0,QVCJYXTAFGUAOIOXDMBDBDERUGMAOIVLBVNVVWLXXETPF,TFP7730,1-559-799-0991,IA,R,United States of America
v,holps,95.0,Phoenix,3912268.0,Bqzjycxovl,F,XKQIZDJHVUNXRKSC,M,Fsqhjvcpihkakzconfp,0.0,9.0,Live Nation,1.0,206705.0,378.0,Ckzlfaxlugy,XKQ7731,1-287-631-2055,British Columbia,O,United States of America
B,Zhsdvrhwonsusgdyuqztx,61.0,Fontana,1966788.0,DCJMXZP,m,DQYMVEPAKNUECHOWNBHLRHJ,D,FDWXXMAMQBZKBNOFIIQNDSCADQOENVUDHBWDPJRTOFAKIVOX,3.0,8.0,,3.0,337299.0,323.0,Mzcgtsgenbpkvrvcivatdmlzrerricchgsjwfrwigwqccodqcirzbamczbgx,DQY7732,1-100-505-6436,Quebec,,United States of America
,SWEFUTQ,23.0,Toledo,985098.0,rnvhdukwyktc,,Ydlrmjdsxxsbjepwscoj,M,Hxxljrxmownwpfdjzfhhazbnkdfnpiffelsgcxpqxditxaecp,2.0,2.0,Health Management Associates,5.0,280247.0,684.0,Faarhmxaisozfaflppncgzgseppmdvpaxwxrmnowds,Ydl7733,1-167-261-7959,KS,R,United States of America
,Trhovdcrqxthcnbbrvdob,16.0,Raleigh,,Pqvdcrnumij,M,VGTJKEIASJMQKJ,U,Gztlddwbfkctdeykytcx,4.0,6.0,Wyndham Worldwide,2.0,286206.0,390.0,Iqimsnxoqjlznmibgvgfawhyldnbyekclcogi,VGT7734,1-653-504-0712,ID,O,United States of America
C,Fviodsrylzqxraxioqleo,58.0,Lubbock,1053231.0,SOMMLUWO,m,Wwicrggkzdyjhwtq,M,UKXAT,4.0,8.0,Broadcom,1.0,153656.0,707.0,Hikomhxvajrtzayxgrsnkk,Wwi7735,,Newfoundland,O,United States of America
G,Sgzipqh,58.0,San Diego,,Hjucmacpoyg,,OJFGHPPIFVKDPQRVHUZDFIEAMOBD,M,dbdoqsilrfcdupggitpkvhybldnpkjhmkarn,1.0,2.0,Aramark,1.0,379503.0,368.0,jbhtombsbmqfattyurifuucsztlxwmevresb,OJF7736,1-388-567-1492,Saskatchewan,U,United States of America
r,VLTBIX,21.0,Charleston,3885299.0,jxhbe,,Czshegxxemt,M,Uojulktpnfxloorioipqxhqwsb,1.0,5.0,Aventine Renewable Energy,2.0,19124.0,534.0,Ujdehjjsexrvbhfomsccrawxahwifviqraxdqkwrxctnsbjpalxnofkxaaucb,Czs7737,1-801-318-0082,AL,O,United States of America
,lxsuouepduoidrjsneub,66.0,Garland,895008.0,Izrbiiz,m,Zpapyj,D,GBMBNKNAUUHMFJFEQNTCBMYKAXVPREBJXPVSASRNGVGFLVULZLKZKACREBUFAQQBBAY,5.0,9.0,Humana,2.0,44001.0,379.0,oepshgdeoddc,Zpa7738,1-280-292-5628,MT,O,United States of America
,Yczdgngm,92.0,Nashua,101325.0,jnvwcxmcygu,,Icxqodklhd,,Kmyegtrbw,3.0,5.0,U.S. Bancorp,3.0,461564.0,305.0,ZXPOVKZTHDSOD,Icx7739,1-075-286-5992,MT,O,United States of America
,Kgqiqsawtbkpgsrsswfadgenvkxxc,38.0,Fort Worth,1279719.0,AJLYHOTFBHX,f,jmmosuzpaihicjlasmnoin,M,VWVVRWRGIWWWKOMBSUMUFEVZIHAKGIQIHHEAAXFAEZMMC,3.0,1.0,Analog Devices,5.0,313750.0,417.0,,jmm7740,1-426-228-4128,GA,O,United States of America
h,PYKDTNCFODSNR,,Sterling Heights,3779634.0,Hptdnxadnxc,M,sazoibyhmhpioyajj,D,Tmkfklxmjgctanxysefncpqamqeselzmfpezrwabi,2.0,9.0,Superior Energy Services,4.0,78185.0,536.0,Ddwtyl,saz7741,1-393-250-1404,MT,R,Canada
R,ohezji,66.0,Oklahoma City,742822.0,Iaahnutner,,Ybrnapwpanycygqivvodcqasg,W,Ajbnzwvejqbkswwvtsy,2.0,10.0,Freddie Mac,4.0,419102.0,773.0,qibrtlnduzqutxr,Ybr7742,1-130-076-0722,CO,O,United States of America
,Htpngemoolmybunaep,55.0,Baton Rouge,2761827.0,cxiytr,,nczqs,S,Dwsfrkmjeygpqnhalhpmjmubfaphiplvrmaxoxjbuvwlngdgickyoaellsbsouckh,5.0,10.0,Autodesk,0.0,91366.0,808.0,,ncz7743,1-984-871-9500,Saskatchewan,O,United States of America
x,osnyvlqpt,55.0,Rancho Cucamonga,3749505.0,eblgypzk,,WWOJJSTMDIYNRRZLWXQXDFNNMW,,Ykznnjuuroxhpuznomzecemrbkgisiutyjsmzkrlfubclazigcci,3.0,2.0,Shaw Group,1.0,433487.0,660.0,Equkcsmqxxxwumxbxwwitywddorabylfivwqqwiqhhfddufmuvpgrqqhrf,WWO7744,,HI,R,United States of America
,Lbbutmfng,83.0,Kansas City,391566.0,pjkbo,f,TKPVDVO,W,nzqeyfxomyrwihdclzsosuosmfeagagowhksexjkl,2.0,4.0,Commercial Metals,0.0,394286.0,,emdfadfnncrqvdbxpaourggzglvuzwihcttgmcpyphwyykhdoyjxnckulduebzfggrkslhohhwafkl,TKP7745,1-203-707-3229,TN,O,United States of America
,Nomvdbagefjlngselxriwhzgpuspcj,27.0,Long Beach,2959021.0,Ebgdmqzzga,,Mqzzodryfgfjswdkmqtlhumtoj,U,hycswjmryjcruwaydqjon,1.0,7.0,Laclede Group,5.0,189157.0,346.0,OCDRZHIRZHWUMOLKZSAUWWEFMXGRLXIDNSOLIKWFNXKNDCZVSKCPLXTJZVCVYEIPPTXPXEHP,Mqz7746,1-297-038-0345,WY,R,United States of America
,bnkufhbxijwrfnjsppfsgp,11.0,Sydney,2776296.0,Oyykmr,,Dqwifdbgiegtviskgopnwbppuoluv,M,Kdehncqoclbuwntwhopjkdqcbmxporyzkaptffgkvzcifihlsnwmdjfmdeurawdy,4.0,4.0,Seaboard,5.0,22483.0,475.0,LLCYBWYMZAHHVNXDAZQHHIATPRTQTTODPADNLVQNFDJSFFNXCRNNBJXLFMOCPNMAEBDHYWLBPYZK,Dqw7747,1-669-932-0648,OK,O,United States of America
e,Mmuplbewosfgftjogkaz,56.0,Evansville,,IAJOVENWI,M,sehtjjranqcuaunsosewfycq,M,AECNOJRMJGCV,2.0,2.0,General Mills,4.0,298307.0,499.0,ikuyjikfbjxooeeyesiqbcuwliopqmapqfxibiwdsvnfjwlutqcwqpqqniucjloupoiadljagbcyfz,seh7748,1-801-131-4681,MS,O,
Y,Nvzlhjvlnefxuixkftbrjpuhvvu,54.0,Lafayette,864947.0,Diustc,M,Niikjmxi,U,lwcvwkdxmgepseawmpitjxfxmabktjsfvjijabcwogxmvygiftzpvslhgtilarytflfumokm,1.0,2.0,Family Insurance Group,3.0,353200.0,346.0,Xtnlcxyfosoplfrnnecugbgwglddk,Nii7749,1-340-993-5817,FL,O,United States of America
,Nrxkbu,50.0,St. Louis,1146468.0,RUKHBIF,f,Szcpinwpnouxaakdrt,M,hcyqwsgegrabatmqxlpfvmmduwmsonjbnktnrgjtcgxhjzjepxqdkhnqabadzqbioagakrlk,4.0,0.0,Brink's,5.0,185208.0,431.0,Ujiqqwqfwtglgwzqdvagemvhylqgipmmwdnphwuijxkfxl,Szc7750,1-116-138-8621,Manitoba,O,Canada
,Fqahvzbjrflxo,93.0,Erie,1702447.0,KFUIYG,,Mphmjfjv,,ikuuxtqqbgnjmmgpswnqfdhbjjvdvibgrnhc,2.0,2.0,Medtronic,5.0,17790.0,823.0,Mqmfobaorinrwvshkrfyslaccjsmcmcwamxommcqtscnwnxzlynlwdmgdgewfd,Mph7751,1-094-843-5304,NH,O,United States of America
,IMELHPKYDEXIHELBQRD,15.0,Sandy,2293642.0,,F,Bvlfcelfyknojpvbgdhutx,M,TLADWR,2.0,5.0,United Refining,5.0,59420.0,344.0,doalizpktnbwdftrawmjymfjkjapladoceyzrwowlxlmxcjelouwgbqjcdfblonhojlffbfexkrjseiw,Bvl7752,1-741-266-4363,Alberta,R,United States of America
V,TFOSMWCFBTVKINAVEEBDKPMBW,92.0,Riverside,1529653.0,yopqwvbyr,m,Nbuhirogxgcswdjxcfyqnxbzwffn,S,Nbtuam,2.0,9.0,Smithfield Foods,,178200.0,709.0,,Nbu7753,1-961-736-5322,Saskatchewan,O,United States of America
,ieomjcnhnyysvradllmznsyd,22.0,Ottawa,137515.0,GXYSPJAIN,M,Emzxjfpumpecoegrkeyjwd,W,Xcttyxsxrkxiddibhfyygvazmtrfvbicysknzkdxitlhfvqhhtxgmjrewnkxdtjkaesooslbwsz,0.0,2.0,Medtronic,1.0,162738.0,,Yghqixirlazenhgjhhmgvuqwkfioxijfufxxtpxylferwxndeqtdfivmglj,Emz7754,1-098-038-9852,New Brunswick,R,Canada
,Iqcdijgerjktuahlgojvlo,25.0,St. Petersburg,2754879.0,Nueqkmojpd,,Kkwkmvwfjjnt,S,Tkjwwmdngsjaomzgcxbinjuzlskehwgymszzetcsdlkasted,4.0,,Cabot,1.0,352913.0,354.0,eaxyhkd,Kkw7755,1-648-057-3488,MS,O,United States of America
,ahvvihkvbextremvexfapo,77.0,Fort Lauderdale,929067.0,Jcrxnu,,HCTTFVVJCODLAZCLDHEJKSEEXTDUN,S,HRNEZM,0.0,9.0,Electronic Arts,0.0,288188.0,,IUTWAYEIDFTNFAQONUASUNWTCTMFLQWMUZQRAXOXLQHKLMMTGLIJPNGYPMHP,HCT7756,1-827-164-1984,KY,O,United States of America
h,geryrjjsknqvhuswavmrjmcrefmhoa,26.0,Carrollton,1153023.0,MINUYRRIL,m,BBEAWGVIEDMOAZEMGTRDLAGWEITBW,D,KTUMHYEYSQLATWNNWEAFGBTIPIZRNQPZCSGYJVUSSSTYJOUOQMDWJGVCLKJZKMSUZENCXKAR,3.0,6.0,Seaboard,4.0,385946.0,686.0,pndndohgkkxeoezcbxqxeodozdgciwayeqrmboug,BBE7757,1-852-465-7862,AK,,United States of America
B,WTXMEESMJGTZWDYME,56.0,Hayward,1933058.0,ptiimoo,F,PTMDDZHHHNEADVKFAVYRILPPUIYJVX,D,gduichleruxtamrjxgabzgfakyz,4.0,7.0,DirecTV Group,3.0,136162.0,643.0,BOXPHMHJGQFDVJCIWJLRKREFDWGRCPFZHVUPCYMYCSDORVFMJRGGJK,PTM7758,1-757-808-6215,NV,O,United States of America
,SLZAPLSIUU,16.0,Yonkers,3179244.0,PCMCPAKCZRPT,,QJDKQLJVNQLPNWDBBHVXFHDYMRLDSA,M,yqrfjwbanuajeafvrrlaeswttzlsjjgdyystgzswpjbtlnarjkskswbqtaliwcwdyrvprebl,3.0,5.0,Allegheny Energy,3.0,220449.0,665.0,Obsxksrxsfyvlylcmdcephtbhnqbudbpdcysxnigstcwtoymcvvptknwcaczyngapwdftxx,QJD7759,1-443-303-9144,DC,O,Canada
,Pbppda,77.0,Lexington,2912318.0,ibuoegcyrm,m,SFEGHRK,S,UDBMERHULBTHEXCETBPULYFRPNHSNOOUSRTNTMXPKKJYHUHMNLUZ,1.0,9.0,Marathon Oil,3.0,299284.0,519.0,,SFE7760,1-889-677-2295,Manitoba,O,United States of America
,Wvtticeyguuhhotrxgmqzsystjnc,43.0,Cedar Rapids,2828037.0,Uuvoy,,rrojlce,M,Zuldtnbmtwvsnmxbyibkqllvlkhis,3.0,6.0,Prudential Financial,2.0,334094.0,615.0,Ymuudoodndgezqonyfmqiqzrvspufqcxxmjcopfrxvegerjxrqjcvbivkxhjfkdxnqr,rro7761,1-938-614-3949,SD,O,United States of America
K,FVVKHPCVSNGTUUITXJ,94.0,Madison,495577.0,Mhfhcibygs,,Imuvry,D,JIJFXKNYUJIJUJGFKIMEKDRPAAJFLEPFSVQTLFCQFYGPLVCNQKWOPKZDFVWJLHMKEVPFUBDCBAQRDAKF,3.0,10.0,Dollar General,2.0,364719.0,,ORFRGNDHJNRCAMTSRLROBXCDJTYTKJKMCELLHKQMPFGCKEGQZIFAVPVIYLXVHNSNPBQ,Imu7762,,NY,,United States of America
B,Jowuthjstdmjzpl,92.0,Los Angeles,1793954.0,OXRCOLPAK,F,JPUDUDRZOIIROUHUDQGOIY,M,,5.0,9.0,Schering-Plough,,319866.0,812.0,Vedkqqqccangzpgdlfuhlrxiooproyrutbgaevkcgkhkuejklxtcvcidysmvjvpwn,JPU7763,1-478-332-4603,TN,O,United States of America
,bctcbpqwkkayptutzjkym,19.0,Fort Smith,2347778.0,Tkdllignncn,,Luwofvivm,M,Jxtjzdrkibdhqflzotzmtjqbeixqjkbflszzefamgnzfidcidmhmudkaqwsmrsimveyosfpwiofuvpr,4.0,5.0,,1.0,71545.0,346.0,raodu,Luw7764,1-378-149-2550,IN,O,United States of America
,Jdpqlxxtfd,80.0,Sydney,380048.0,Llmkq,,Fdeqqfgftxtkfad,D,cxpoxxbfggpxaqgoaerkavykftvazyuobtptjtjjrcidlxpdfpptrrqukr,4.0,1.0,Capital One Financial,3.0,,761.0,WVGRXHMEQAURUVCTXETGO,Fde7765,1-042-436-6724,MT,O,United States of America
O,LWMWK,64.0,Greensboro,,Oaqeg,F,Bsokbnungqcpjhxbyrle,M,Okdul,1.0,7.0,Collective Brands,0.0,484457.0,617.0,jssgcpqbaisoajgfnvldhzzizdbgdptjbtebeakcrgazhdteshfnfzpcbbqdtkciwwa,Bso7766,1-706-400-3078,AZ,O,United States of America
k,utkoptkxststrid,44.0,Fort Collins,1918435.0,,,GVAFIGFXWRPKYSJMXBTOBPB,W,SMUHDZ,2.0,0.0,AptarGroup,4.0,176394.0,470.0,Ivnaeynhrihmhggcacozxjsptmqpojnk,GVA7767,1-877-687-0944,New Brunswick,O,United States of America
e,Frtlkivwiqi,47.0,Worcester,2764457.0,Jutdcadqth,M,twcvljxkgryxuaqobkj,M,Xwhhkecgqinvlwdzlkgoobagymhehsccbybmpjvvwnzlhk,1.0,6.0,Coach,1.0,251600.0,356.0,CJPSRGJELVXVCGMZUGEVEZDNNUJZJMTJAAGQ,twc7768,1-132-295-3991,WY,U,United States of America
,gktsklphdxwnvhcrfcxrykqyacjavd,93.0,Akron,1510144.0,Lpacivuivyxa,F,GZFHMRWJTPGXLGXLUHHUA,M,wthdmiklkrmpehhesijjsosfnbbtwrkptpjeberqarbebpaxnsfytrrffiq,0.0,7.0,UGI,0.0,145698.0,,Hzpykvjzqlhdytsgaboxtixfw,GZF7769,1-451-759-9810,AZ,O,United States of America
E,Boxkdkokrcglmcgymhcxafg,94.0,Tulsa,925182.0,XWNMP,M,bvmvwiitasrqgqlo,W,BEHVNHFDWNXVBIXJDKMNWBNSWJ,4.0,5.0,Forest Laboratories,5.0,492640.0,806.0,nifolgpxsaurthtekwqhvnjbwhfyxvdbtyvlgokbmpqavzdkoxfspoxupstxpfz,bvm7770,1-817-806-2866,New Brunswick,U,Canada
R,dcgkvxonx,82.0,Tucson,2566330.0,Xzaatccwhtxt,f,zjuuhvbnssjfgee,U,AMNWIYMNCYNXARCDOFLLZNAWHBMIKHEKOVNEDUSEPVWNQKBRNJKXXYVZDCRJDQAOYNTPRKYZFFTUHFVN,1.0,9.0,Boston Scientific,0.0,266405.0,,JMULPHHLMDEFKGBTPONITTLBAQPMEBMVYVQMLLLLNLQMDUOPZKXBUVA,zju7771,1-890-845-4416,Ontario,O,Canada
i,tpkpxsuytfvvou,42.0,Irvine,3668461.0,Xaulwtfkv,F,DYVMUACY,,Xpdccyitytbdookefcfdradfqjufyjrvpsnbpfyrqndpkkhevgtrrdpdapdnmmxszomsaeoj,,1.0,Worthington Industries,3.0,307897.0,731.0,yfswxwqjxlattmozifugibtljxujxhofzhcscahnzfqdxejbmyjfajnipqqwonywuy,DYV7772,1-684-966-9733,HI,O,United States of America
,jgyioszfmrvmotbdz,,Wichita,2348645.0,Honnirqpwrye,M,Gpkwbvjguerjiohcydxwveqjt,M,Ejmbilovwjqqndtacppgfewankfmeg,4.0,9.0,McCormick,2.0,53713.0,441.0,vuxjxxfwsfchhlwispwov,Gpk7773,1-692-342-0156,MS,U,United States of America
N,KNITXFSNBS,12.0,Inglewood,616526.0,Pmwkcaesegkm,,Litrdepfksbaacmkxowaq,D,Fkniqtnqfjmzgh,4.0,7.0,Southwestern Energy,1.0,70637.0,339.0,gqtvwhaagfoxyfhbyrrwxjsshlldpaxqyensebsdjykhkevlftutdrwpigeou,Lit7774,1-187-607-6141,Saskatchewan,O,United States of America
C,Rhnezmjcmsrkqdccizjohntrb,36.0,Costa Mesa,1828046.0,qchtwef,,BZGHHD,S,lvefzdwcguyoqgmpkpqndboipbbmkubhdaais,3.0,7.0,CC Media Holdings,0.0,384754.0,822.0,Kjenzgouhgozkcnqnpbicdzeskqborvyuubbiyplfudvdw,BZG7775,1-228-353-9628,Quebec,R,United States of America
u,WXVBQSG,,Baltimore,1296407.0,Nycfak,m,Mldvkmsth,U,Npvgqcckweeraettcvaidwgyvcrmpomnxqfeahpnbzkunqnt,2.0,8.0,Jones Financial,3.0,411913.0,487.0,Dforpysiy,Mld7776,1-421-032-5998,MN,O,United States of America
,RDVDSWKKDKHDJDKQGLVRVT,4.0,Escondido,903552.0,qslprzz,f,Ujqpiixoqzblqeh,U,Yluzwconxheuizyvifnzfutw,1.0,,Whirlpool,5.0,499162.0,664.0,,Ujq7777,1-368-920-5554,NV,O,United States of America
,Iwefijhhrjcvvhy,79.0,Lexington,230058.0,Vcqwwhvjybf,m,Bmfzhlqzwfefnavpz,M,qnvhzntrhqdidztuzcsbfhjvppqinjkxbkueknjpotufhklmcuuldtazsnrudrpshkrqxwidkxaky,3.0,3.0,Patterson,2.0,86635.0,392.0,Ljndmhnfqzsprygifatealsppnwpvgswetzzzmkbnjaoxlec,Bmf7778,1-904-895-6967,Manitoba,O,United States of America
h,GZFLEWBIMDDKCYYHLGBOYDBXMGLXA,97.0,Warren,301320.0,LOOBNMN,F,Jvzvwucdhnemibjeuom,D,Aoegamomtzhynnwisnmrdhzsiumbfwvncqrvmqlmpkmuynwsmqefnklroqixahnwqiqfh,2.0,10.0,Rent A Center,3.0,228058.0,655.0,Jictbkhquitdkwecqmffgxetbldqoyocavdgopdwehsbynqknkcsseqclsbulxayobzgotal,Jvz7779,1-477-094-9023,NC,U,Canada
K,imfweqhdstdakmokjmlefmzhdbvwlp,37.0,Berkeley,2286525.0,ssqxc,,ORQUWJXTQOMGR,U,YCYXOORYULMDGWVDNZFWRRWUTRLNXWHRKFSYAMIYDVKQLGMCRMH,2.0,3.0,Ryder System,5.0,172125.0,380.0,xzyfjxjfeuojfouecgcitfaretgticqehgrkocwygwxqwturgsne,ORQ7780,1-912-621-2838,CT,O,Canada
I,Idswueimrsbycluamujgztzwqfipvf,92.0,Salinas,1482250.0,Gphjr,f,Puvhtgahbhjlxaxvssqjpyv,,Wfhwgsdugpoankasqrlzatlmwmibgkgjjcyt,0.0,1.0,Sysco,0.0,241263.0,651.0,Dqjxdnzdirppetblzoymauhjzvqqiatmhrjppuodkayqqlnhwaikd,Puv7781,1-088-248-7795,NV,U,United States of America
