AgID,OwORFl,LaNa,Ci,CreRa,Inc,MiInit,Empl,Ph,A,Cou,AddLi1,NumChi,PosC,NumCreCar,Sta,NuC,MaSt,NeWor
cow1965,R,cowper,Raleigh,459.0,22849.0,V,Calumet Specialty Products,1-292-332-0391,85.0,United States of America,8211 pelican avenue,2.0,V5b 1p4,0.0,AL,3.0,W,3238498.0
Kan1966,R,Kannel,West Covina,515.0,182042.0,P,CB Richard Ellis Group,1-057-515-8686,43.0,United States of America,5277 chamblee drive,1.0,t6b 1c7,9.0,NJ,0.0,S,3316471.0
Hil1967,O,Hillring,Louisville,370.0,343516.0,,,1-751-328-7391,81.0,United States of America,15086 SUMMIT EAST,,91163,9.0,MI,3.0,U,1374541.0
Sri1968,O,Srikrishna,Idaho Falls,846.0,217972.0,,LandAmerica Financial Group,1-286-140-5181,16.0,United States of America,13058 wisteria lane,3.0,H2b 1v2,10.0,KS,2.0,M,387549.0
MAS1969,U,MASSUMI,Little Rock,649.0,353180.0,,Packaging Corp. of America,1-456-177-2457,2.0,United States of America,9824 OLYMPIA STREET,0.0,99637,9.0,NE,2.0,S,
SER1970,O,SERGO,Iqaluit,414.0,297086.0,,PSS World Medical,,77.0,United States of America,11455 burnham east,5.0,V6f 1t1,5.0,MD,3.0,M,3153181.0
HAB1971,O,HABELRIH,Coral Springs,567.0,384651.0,,Darden Restaurants,1-900-166-3641,75.0,United States of America,5858 CAMELOT STREET,1.0,S7D 1N5,4.0,GA,4.0,M,728599.0
TUX1972,O,TUXFORD,San Francisco,799.0,262990.0,,Western Union,1-189-102-5618,64.0,United States of America,14389 weller upper,2.0,v6f 1u1,10.0,ID,5.0,M,3637057.0
Ive1973,O,Ivers,Columbus,438.0,47473.0,C,Owens & Minor,1-194-098-0277,100.0,United States of America,2401 stratmore lower,2.0,V6e 1q3,10.0,Prince Edward Island,4.0,U,3303767.0
nut1974,U,nuttall,West Valley,661.0,120603.0,N,Olin,1-577-828-4885,28.0,Canada,23588 madison west,4.0,87113,2.0,ID,3.0,U,2393695.0
tye1975,O,tye,Hamilton,541.0,94319.0,,Helmerich & Payne,1-385-505-3389,,Canada,2920 WHITTINGTON STREET,5.0,T6b 1a1,10.0,HI,2.0,,939385.0
Cos1976,O,Cossota,St. Louis,385.0,367904.0,,Chevron,1-706-778-9018,33.0,United States of America,1104 university way,4.0,02113,5.0,British Columbia,5.0,U,
lav1977,O,lavelle,Oakland,666.0,343211.0,,Career Education,1-966-008-7532,78.0,Canada,11164 GINGER LANE,2.0,85286,10.0,IA,4.0,M,1240672.0
FRA1978,O,FRASER,Cincinnati,570.0,274284.0,,Illinois Tool Works,1-103-506-5226,95.0,Canada,16757 HIGHLAND WAY,2.0,30908,1.0,KY,3.0,M,1609970.0
Ran1979,O,Randhawa,Buffalo,390.0,401580.0,,Amgen,1-103-961-2091,73.0,United States of America,703 commerce park,4.0,85037,0.0,Saskatchewan,0.0,U,3803014.0
jam1980,,jamison,Irving,729.0,89287.0,,Fortune Brands,1-027-518-9907,30.0,Canada,24062 tangle brush crescent,1.0,V6H 1V8,5.0,OK,0.0,S,3206623.0
Bro1981,O,Broschuk,Provo,765.0,35564.0,,Sentry Insurance Group,1-096-438-5069,69.0,United States of America,15162 MORTON UPPER,1.0,V6t 1p7,5.0,AK,2.0,M,25736.0
far1982,O,farnham,Evansville,,460344.0,,General Motors,1-568-169-1683,41.0,Canada,23366 HARRIS WAY,5.0,V6z 1u1,9.0,NC,4.0,M,2769346.0
joy1983,U,joyner,Philadelphia,428.0,176598.0,K,Avon Products,1-904-447-1461,91.0,Canada,8293 wayne crescent,3.0,95287,8.0,MO,5.0,M,3730018.0
Wei1984,O,Weinbender,Vancouver,608.0,322722.0,,Quanta Services,1-007-605-0515,85.0,Canada,8303 warren road,3.0,43225,5.0,ID,3.0,M,145124.0
LAP1985,O,LAPOSTOLLE,Casper,731.0,395675.0,U,NiSource,1-673-813-8385,94.0,United States of America,23639 purdue rue,0.0,35842,8.0,Nova Scotia,4.0,,1765016.0
Mar1986,O,Marceau,Inglewood,755.0,483784.0,,,1-663-830-0194,,United States of America,14741 CARTWRIGHT ROAD,5.0,A5d 1a1,9.0,NM,4.0,,963027.0
tim1987,O,timsit,Warwick,526.0,141013.0,,Washington Post,,23.0,United States of America,911 topple drive,2.0,m1i 1q6,10.0,NE,5.0,W,930198.0
Bog1988,O,Boggs,Oakland,826.0,333320.0,V,Popular,1-180-511-7336,15.0,United States of America,2055 evans east,4.0,E7n 1l6,,SC,3.0,U,1279475.0
EMI1989,O,EMIG,Rockford,418.0,149383.0,O,Humana,1-654-230-4307,59.0,United States of America,12478 garden brook street,5.0,55116,5.0,FL,4.0,D,2141980.0
Man1990,O,Manley,Vallejo,407.0,161043.0,,Thrivent Financial,1-675-420-2669,53.0,United States of America,21170 edloe boulevard,,66212,2.0,ID,2.0,U,2680828.0
hin1991,O,hinkle,Livonia,522.0,151951.0,,Land O'Lakes,1-344-648-0296,96.0,United States of America,12373 love bird way,4.0,90341,7.0,NM,1.0,M,1473643.0
rec1992,R,reckhard,Santa Clarita,431.0,246293.0,,Continental Airlines,1-946-823-9933,93.0,United States of America,7329 roosevelt upper,0.0,38190,5.0,IL,3.0,M,2273988.0
Sob1993,O,Sobolak,Coral Springs,527.0,307891.0,,Aleris International,1-776-856-5226,9.0,United States of America,10856 kelvin upper,3.0,36609,1.0,Newfoundland,4.0,M,3953976.0
DEN1994,O,DENTON,Oakland,721.0,105986.0,,Snap-On,1-962-346-5738,,United States of America,23880 skyline crescent,4.0,H6a 1w8,5.0,NV,0.0,S,45405.0
SEL1995,O,SELBY,Laredo,428.0,257303.0,,Sprint Nextel,1-129-901-6928,6.0,United States of America,22785 PEACHTREE BOULEVARD,1.0,X5f 1v5,0.0,AZ,4.0,U,1885786.0
Rig1996,U,Riggs,Raleigh,667.0,229879.0,H,Gap,1-717-226-6655,94.0,Canada,14783 saunders upper,,45261,10.0,AZ,2.0,D,1647005.0
RAP1997,U,RAPPOPORT,Lansing,523.0,112412.0,,,1-478-879-2399,58.0,United States of America,21731 gulfton upper,0.0,v6o 1w6,8.0,NV,4.0,S,2738356.0
Cor1998,R,Cormier,St. Catharines,375.0,10025.0,,Ingram Micro,1-861-870-5328,35.0,United States of America,7574 berry road,5.0,04241,4.0,NM,0.0,W,895169.0
net1999,O,netdev,Salinas,768.0,125576.0,,,1-283-926-0200,14.0,United States of America,18885 ROGERS RUE,1.0,V6X 1V4,3.0,Quebec,2.0,S,1507707.0
Hur2000,O,Hurtubise,Lowell,345.0,327932.0,,Roper Industries,1-706-122-9247,8.0,United States of America,2637 payne lower,0.0,35893,4.0,ND,5.0,U,1234599.0
lab2001,O,laberge,Syracuse,721.0,163216.0,,Interactive Brokers Group,1-249-208-0241,37.0,United States of America,16605 TURTLE CREEK PARK,1.0,E7N 1J2,10.0,ME,5.0,U,3792514.0
Wea2002,O,Weatherspoon,Cincinnati,525.0,27246.0,,Dillard's,1-635-610-1622,48.0,United States of America,18675 calhoun lane,1.0,H2e 1z5,4.0,WI,3.0,M,2076019.0
lev2003,O,levey,Augusta,,121740.0,U,Boeing,1-834-914-7659,53.0,United States of America,13564 bonita boulevard,1.0,H6D 1W4,6.0,MD,5.0,M,755169.0
Ayo2004,O,Ayoubzadeh,Waco,586.0,342267.0,A,Belk,1-022-778-1175,63.0,Canada,7726 tallowood upper,1.0,76124,4.0,TX,2.0,S,1222791.0
mcc2005,O,mcclennon,Charleston,,280242.0,,Illinois Tool Works,1-966-243-7321,61.0,United States of America,14037 jackson road,1.0,t6a 1k3,4.0,Prince Edward Island,5.0,W,272105.0
jav2006,O,javallas-ross,Milwaukee,768.0,37516.0,,Superior Energy Services,1-927-483-7379,93.0,United States of America,15013 harris road,2.0,M2r 1d3,6.0,ND,2.0,U,
buc2007,O,bucklin,Hialeah,744.0,28684.0,C,Verizon Communications,1-380-456-3589,73.0,United States of America,3445 chamblee park,0.0,74126,10.0,Prince Edward Island,4.0,S,3769253.0
Plo2008,O,Plotter,Riverside,387.0,,,Cabot,1-506-833-5279,24.0,United States of America,10530 lancaster south,4.0,T5B 1T3,5.0,GA,,M,3813616.0
Cro2009,U,Crowle,Toledo,475.0,299158.0,,Hanover Insurance Group,1-114-249-6117,91.0,United States of America,3690 plumb boulevard,1.0,B8a 1y6,9.0,DE,3.0,S,1904325.0
Mis2010,O,Mis,Chattanooga,605.0,270496.0,,WellCare Health Plans,1-576-014-4819,25.0,United States of America,20740 MAYFAIR UPPER,3.0,93783,7.0,NY,0.0,M,2295504.0
dra2011,O,dransfield,Columbia,746.0,383205.0,,Priceline.com,1-544-995-7018,16.0,United States of America,9609 KENTUCKY ROAD,,93801,,DE,,M,543160.0
Alm2012,O,Alms,Raleigh,480.0,349752.0,,OGE Energy,1-567-249-7556,74.0,United States of America,4159 gemini lane,0.0,90187,8.0,OH,4.0,U,2756762.0
MOB2013,O,MOBLEY,Cheyenne,552.0,428422.0,,Fastenal,1-628-522-6857,97.0,United States of America,21477 warren park,3.0,T5D 1L7,4.0,Alberta,0.0,M,3697483.0
Cha2014,O,Chambers,Atlanta,795.0,246317.0,,Westar Energy,1-928-867-4210,72.0,United States of America,2845 trafalgar east,2.0,v6r 1w1,6.0,OK,,D,1735980.0
HAD2015,R,HADEL,Albuquerque,,388274.0,,Patterson,1-805-997-4269,56.0,United States of America,6095 coralberry north,2.0,93795,8.0,British Columbia,3.0,,938947.0
Chi2016,O,Childerhose,Santa Fe,417.0,382836.0,,Charles Schwab,1-229-661-5363,47.0,United States of America,6360 savoy drive,3.0,33328,7.0,DE,2.0,M,1877592.0
She2017,O,Sheldon,Houston,605.0,352637.0,,Nasdaq OMX Group,1-357-839-7939,53.0,United States of America,15633 LANDMARK PARK,1.0,44306,0.0,WI,4.0,M,1816530.0
Mal2018,O,Maltese,Jersey City,326.0,489553.0,X,Solo Cup,1-289-872-5294,99.0,United States of America,4824 sheppard way,2.0,89505,2.0,CO,2.0,D,3011494.0
val2019,R,valliani,Newport News,684.0,350504.0,,Molex,1-817-646-0388,41.0,United States of America,12373 LOVE BIRD WAY,,T5C 1S7,6.0,CA,1.0,M,1191546.0
TYE2020,O,TYE,Fontana,745.0,386106.0,U,,1-582-008-9065,30.0,Canada,20813 LAMAR PARK,1.0,19181,9.0,Alberta,4.0,M,204058.0
Ash2021,O,Ashbee,Durham,347.0,111531.0,,C.R. Bard,1-493-236-0167,26.0,Canada,7903 westerley park,1.0,v5a 1o6,5.0,CO,5.0,M,2356438.0
sch2022,O,schauer,Charleston,393.0,106434.0,H,Southwestern Energy,1-641-175-4140,6.0,Canada,10431 market street,5.0,93846,10.0,MI,0.0,U,1447603.0
kaj2023,O,kajeejit,Allentown,498.0,,,General Motors,1-685-228-3467,78.0,United States of America,24929 dusty boulevard,3.0,98152,6.0,RI,5.0,S,680731.0
Aro2024,O,Aronovich,Wichita,736.0,373396.0,,FedEx,1-621-545-4832,66.0,United States of America,11183 wilshire avenue,1.0,33714,6.0,CT,4.0,,1384410.0
imm2025,O,imming,Berkeley,315.0,33340.0,,Lincoln National,1-869-047-9336,3.0,United States of America,1756 windsor east,1.0,M5G 1V1,10.0,TN,1.0,W,1213644.0
SCH2026,O,SCHENKEL,Victoria,707.0,293329.0,,Toll Brothers,1-656-371-0917,36.0,United States of America,10232 harris drive,0.0,M4k 1m6,0.0,KY,5.0,U,1128333.0
cha2027,O,chalifour,Hilo,439.0,37232.0,Y,National Oilwell Varco,1-187-962-2451,44.0,United States of America,291 frances rue,5.0,14223,7.0,CO,2.0,W,1565062.0
IRV2028,O,IRVIN,Lancaster,420.0,100723.0,J,MasterCard,,72.0,United States of America,6963 emmonds drive,1.0,v6l 1v1,0.0,NM,5.0,S,3529952.0
NEI2029,R,NEILSON,Ann Arbor,799.0,148128.0,,PNM Resources,1-483-959-3255,33.0,United States of America,14831 murray road,4.0,76143,7.0,WY,4.0,W,2293685.0
Tu2030,U,Tu,Salem,673.0,184098.0,,Cenveo,1-449-175-3912,66.0,United States of America,5017 pine lake way,3.0,V5C 1M4,10.0,OH,,D,422273.0
pop2031,O,popowicz,Winston-Salem,536.0,256911.0,X,Flowers Foods,1-862-716-9788,50.0,United States of America,12170 STRATMORE UPPER,1.0,93679,0.0,MS,3.0,M,3741755.0
SPE2032,R,SPECS,Irving,593.0,72242.0,L,Unisys,1-675-710-6074,16.0,United States of America,18041 donaldson east,,46221,2.0,DC,2.0,U,3891080.0
Hed2033,O,Hedrich,Santa Rosa,614.0,73999.0,G,Continental Airlines,1-092-763-1713,93.0,United States of America,22177 minot north,2.0,M5D 1W9,2.0,CT,,M,3080341.0
Wat2034,O,Waterman,Torrance,454.0,282242.0,M,Amphenol,1-540-924-2257,66.0,United States of America,16764 mcafee park,0.0,77046,1.0,LA,4.0,W,1595648.0
Wie2035,O,Wiercioch,Boston,344.0,73549.0,,Alliant Techsystems,1-788-777-9637,45.0,United States of America,11886 quentin west,0.0,H5l 1o2,8.0,AK,4.0,M,2943777.0
Muc2036,O,Mucklow,Laredo,831.0,49663.0,E,Genuine Parts,1-630-813-0280,22.0,United States of America,3731 CAPITAL COURT,5.0,r5h 1m9,0.0,LA,1.0,M,
Lin2037,O,Lind,Charlotte,594.0,43218.0,,MasterCard,1-837-030-7897,72.0,Canada,5810 sinclair park,1.0,V6r 1w8,6.0,WA,2.0,M,2475633.0
AMS2038,O,AMSTUTZ,Oklahoma City,601.0,89333.0,,United Technologies,1-333-700-7344,3.0,United States of America,15399 long avenue,0.0,90222,4.0,NE,0.0,M,2384121.0
Van2039,O,Vanderburg,Rockford,,423416.0,X,McCormick,,68.0,United States of America,821 EDEN RUE,4.0,v6u 1v7,0.0,FL,4.0,M,3854182.0
Fer2040,O,Fernando,Miami,816.0,411981.0,Y,OM Group,1-282-645-3065,98.0,United States of America,22829 pico drive,3.0,90135,9.0,GA,2.0,S,3704015.0
Mcn2041,O,Mcnamara,Burlington,315.0,227381.0,,Health Management Associates,1-803-555-0916,,United States of America,14037 JACKSON ROAD,4.0,93681,7.0,SC,0.0,M,2490432.0
DE 2042,O,DE ANDA,Hamilton,632.0,243861.0,I,Belk,1-161-209-3302,,United States of America,12491 CARROLL BOULEVARD,1.0,10067,5.0,IL,2.0,W,66955.0
lin2043,R,lindstrom,Wilmington,488.0,5462.0,D,Thor Industries,1-211-696-3346,55.0,United States of America,22014 kirkwood upper,2.0,27418,1.0,Nova Scotia,2.0,D,2137917.0
Bas2044,U,Baskaran,Salt Lake City,496.0,131134.0,T,Enersys,,14.0,Canada,10783 crestline court,0.0,91792,4.0,AK,3.0,S,1623957.0
ZIL2045,O,ZILAIE,Anchorage,561.0,113133.0,,Dun & Bradstreet,1-097-678-7937,47.0,United States of America,10666 travis west,0.0,99216,8.0,UT,2.0,M,2121024.0
Mcg2046,O,Mcgeown,Oshawa,406.0,249624.0,P,Virgin Media,1-928-592-3403,14.0,United States of America,7485 ARTHUR PARK,4.0,93312,3.0,ND,5.0,S,
FEL2047,R,FELIX,Charlotte,532.0,160718.0,Z,Children's Place Retail Stores,1-246-847-0399,37.0,United States of America,23563 STONEHILL STREET,0.0,43601,0.0,WY,3.0,U,1207434.0
BAR2048,O,BARDSLEY,Raleigh,377.0,278660.0,,Arkansas Best,1-570-448-4486,30.0,Canada,5524 FROSTWOOD COURT,4.0,V6D 1R8,6.0,ME,2.0,S,769616.0
hen2049,R,henao,Mobile,706.0,328850.0,,Mylan,,97.0,United States of America,6294 KEENE ROAD,0.0,92602,1.0,AK,3.0,S,2824304.0
APP2050,O,APPELL,Fayetteville,824.0,213989.0,G,Laclede Group,1-698-965-1215,15.0,United States of America,10541 covecreek rue,,V6Q 1U5,1.0,OR,1.0,S,1945908.0
Van2051,R,Vandevalk,Mesa,804.0,86954.0,,Publix Super Markets,1-723-090-1081,73.0,United States of America,2473 martin rue,5.0,37227,0.0,KY,4.0,U,2793619.0
O'd2052,O,O'dale,San Jose,356.0,42987.0,N,Delphi,1-141-637-6504,41.0,United States of America,6934 lamboll way,3.0,h7e 1u3,3.0,Saskatchewan,1.0,S,3166187.0
Bor2053,O,Borum,Dawson City,814.0,131774.0,,Burlington Northern Santa Fe,,91.0,United States of America,21180 trafalgar way,5.0,t5d 1u2,5.0,MO,1.0,U,773873.0
Can2054,O,Cantrell,Columbia,471.0,80682.0,,PPL,1-326-535-1524,90.0,United States of America,24843 rollingwood way,,90344,6.0,NY,,S,932545.0
fer2055,U,ferraro,Naperville,379.0,238571.0,,PNC Financial Services Group,1-262-467-9777,17.0,United States of America,16381 ledgestone boulevard,1.0,59406,5.0,MS,1.0,D,1004993.0
Dan2056,O,Danagher,Little Rock,751.0,83582.0,,Buildings Materials Corp.,1-808-497-2100,55.0,United States of America,4529 notingham crescent,4.0,06709,0.0,AL,3.0,M,1867245.0
DON2057,O,DONG,Tallahassee,712.0,,S,Group 1 Automotive,1-344-065-8355,50.0,Canada,9612 PARK STREAM UPPER,5.0,77078,8.0,OR,0.0,D,2171855.0
Gof2058,R,Gofron,Whitehorse,530.0,481532.0,J,Stanley Works,1-757-115-6713,11.0,United States of America,12373 LOVE BIRD WAY,0.0,77057,,KS,0.0,M,1333905.0
Yog2059,R,Yogeswaran,Salt Lake City,,165186.0,Z,Wynn Resorts,1-341-696-1729,39.0,United States of America,12490 penn way,4.0,M5g 1x4,4.0,TX,5.0,S,3820798.0
Abe2060,O,Abell,Hollywood,727.0,218899.0,,Eli Lilly,1-356-187-6434,76.0,Canada,4785 oakhurst rue,3.0,E7n 1g8,3.0,CT,0.0,M,2725397.0
max2061,O,maxseiner,Whitehorse,713.0,235720.0,,Kimberly-Clark,1-118-176-3886,48.0,United States of America,7223 guadalupe lower,4.0,C2b 4w7,7.0,CO,0.0,W,524881.0
Kar2062,O,Karaali,Charlottetown,753.0,340259.0,R,Blockbuster,1-188-879-9198,69.0,United States of America,12777 pembrook lower,3.0,t6c 1g2,6.0,TX,1.0,S,912054.0
KWA2063,O,KWANT,Iqaluit,665.0,493177.0,,Men's Wearhouse,1-452-192-3601,23.0,United States of America,199 SUMMIT CRESCENT,5.0,23224,6.0,CA,0.0,M,2467035.0
GOG2064,O,GOGGIN,Provo,779.0,222537.0,A,Noble Energy,1-620-778-1210,57.0,United States of America,8050 OLYMPIC COURT,0.0,30331,10.0,WA,3.0,M,2085502.0
Tow2065,R,Towsley,West Valley,447.0,412274.0,Q,Charter Communications,1-052-833-3303,42.0,United States of America,18716 greene drive,3.0,29228,,Nova Scotia,0.0,M,2306102.0
sch2066,O,schvan,Providence,612.0,,K,Advance Auto Parts,1-836-604-1438,41.0,United States of America,15470 windchime lower,1.0,80106,10.0,DE,4.0,S,3519391.0
dod2067,U,dodds,Houston,601.0,106633.0,,Cinemark Holdings,1-458-189-6298,,Canada,21639 san felipe rue,4.0,T6A 1A7,1.0,MA,2.0,W,2831141.0
Kef2068,O,Keffer,Rancho Cucamonga,356.0,35004.0,,Newmont Mining,1-640-853-2118,76.0,United States of America,8389 donaldson street,1.0,27707,,Ontario,0.0,,3651168.0
Akb2069,O,Akbas,Detroit,645.0,,,Energy Transfer Equity,1-358-564-6257,54.0,Canada,19452 bryant irvin west,0.0,m5d 1u8,0.0,HI,2.0,S,1452510.0
Con2070,U,Conde,Raleigh,355.0,209103.0,,Walt Disney,1-652-223-2917,21.0,United States of America,23606 SUMMIT WEST,4.0,55176,0.0,British Columbia,1.0,M,3215282.0
POP2071,U,POPIERAITIS,Seattle,381.0,384117.0,,Varian Medical Systems,1-868-042-4622,79.0,United States of America,19634 el monte boulevard,,T5A 1J9,2.0,VT,4.0,M,3849268.0
Mor2072,O,Morey,Tempe,590.0,301522.0,,Philip Morris International,1-694-022-9430,12.0,United States of America,22870 la cienega street,3.0,10209,0.0,FL,3.0,W,1364798.0
Meg2073,R,Meghani,Aurora,,39856.0,,Administaff,,97.0,United States of America,13483 rockdale drive,3.0,30364,1.0,Newfoundland,1.0,U,296877.0
Abb2074,O,Abbott,New Haven,654.0,1138.0,,MeadWestvaco,1-313-737-8496,45.0,United States of America,11883 concho avenue,3.0,07309,3.0,MD,2.0,S,
DOM2075,O,DOMANICO,Salinas,819.0,202240.0,,Boston Scientific,1-072-742-5464,13.0,United States of America,16701 pearl drive,0.0,06504,6.0,DE,2.0,M,2710548.0
Abe2076,O,Abernethy,Alexandria,417.0,423054.0,,Cinemark Holdings,1-281-761-3374,32.0,United States of America,8437 WITHERS DRIVE,4.0,35881,5.0,UT,5.0,M,1190003.0
BAR2077,O,BARAN,Pomona,407.0,449660.0,I,Temple-Inland,1-064-950-8013,94.0,United States of America,8428 roberts way,0.0,36682,10.0,OH,4.0,,134214.0
Roh2078,,Rohan,Detroit,728.0,5959.0,L,NewPage Holding,1-110-757-8596,50.0,United States of America,9933 inwood south,1.0,M5a 1u8,5.0,NH,4.0,U,406688.0
Rid2079,O,Riddall,Jacksonville,639.0,128625.0,,Hasbro,1-552-270-1343,4.0,United States of America,8887 holly knoll court,1.0,19032,4.0,IN,1.0,M,1710567.0
Pec2080,O,Pecic,New York,423.0,199590.0,,,1-496-413-3015,67.0,United States of America,3312 plummer street,5.0,75260,4.0,AR,3.0,U,210747.0
Doa2081,O,Doan,El Monte,686.0,110401.0,,Equifax,1-138-235-6884,,United States of America,6492 adams east,0.0,94442,8.0,IL,,M,3783852.0
BAD2082,O,BADGER,Elizabeth,810.0,435606.0,M,Massey Energy,1-158-509-6181,12.0,United States of America,14254 HUNT WEST,5.0,H7f 1u5,8.0,OR,5.0,M,2792723.0
HOE2083,O,HOELSCHER,Plano,649.0,147855.0,,Baxter International,1-010-884-3128,69.0,Canada,3906 roosevelt lower,3.0,80182,6.0,CO,2.0,M,3415412.0
Bin2084,R,Binnington,Grand Rapids,410.0,26933.0,,McClatchy,1-659-502-3229,6.0,United States of America,23923 potomac road,1.0,94648,5.0,AR,1.0,W,3358673.0
mym2085,O,mymryk,Spokane,809.0,307065.0,,Regis,1-896-163-7704,69.0,Canada,8074 euclid way,5.0,93347,9.0,AK,0.0,M,2329856.0
Uda2086,O,Udall,El Paso,849.0,431396.0,,Reliance Steel & Aluminum,1-079-121-7691,39.0,Canada,12347 valita upper,3.0,33159,10.0,WV,1.0,M,3533670.0
Nes2087,R,Nestor,Cleveland,401.0,189391.0,,Kellogg,1-088-551-1526,95.0,United States of America,24759 queensbury way,4.0,90320,10.0,Prince Edward Island,5.0,W,1179460.0
ADA2088,O,ADAMOWICZ,Toronto,453.0,280433.0,,E.W. Scripps,1-027-846-0168,65.0,United States of America,20506 ardmore street,0.0,48261,10.0,Nova Scotia,5.0,S,1271651.0
SHE2089,O,SHERRELL,Erie,468.0,54908.0,P,BMC Software,1-453-801-0009,98.0,United States of America,19171 meyers east,2.0,87504,10.0,WV,0.0,U,3556870.0
sta2090,U,staples,Las Vegas,773.0,200827.0,V,Sysco,1-053-581-0851,76.0,United States of America,21421 dexter avenue,4.0,99566,9.0,CA,5.0,M,1700411.0
ALT2091,O,ALTEEN,Gary,528.0,49514.0,,Sanderson Farms,1-068-460-7241,0.0,United States of America,18207 conley south,3.0,M1i 1r2,10.0,VT,0.0,D,146477.0
all2092,O,allaman,Montgomery,363.0,458844.0,S,Northrop Grumman,1-283-886-9805,75.0,United States of America,14004 pelan way,2.0,43208,2.0,NM,3.0,W,2718355.0
Ond2093,O,Onder,Richmond,706.0,361238.0,O,Flowers Foods,1-213-738-1684,66.0,United States of America,4423 bonneville west,2.0,95215,2.0,LA,0.0,D,2146102.0
Zap2094,O,Zapach,Fort Smith,725.0,119807.0,,NTK Holdings,,22.0,United States of America,13342 alamo court,,M5A 1U8,7.0,GA,2.0,D,2385658.0
Dug2095,U,Dugas,Victoria,740.0,309386.0,B,United Services Automobile,1-763-723-0180,90.0,United States of America,17865 chennault south,2.0,35858,3.0,SC,4.0,S,2981947.0
LUH2096,O,LUHCS,Mesa,833.0,476845.0,F,LKQ,1-967-016-7682,90.0,Canada,15655 oakmont crescent,5.0,T5B 1W1,1.0,NJ,5.0,M,3524237.0
Ito2097,O,Ito,Dallas,599.0,424509.0,,Airtran Holdings,1-685-817-7352,31.0,United States of America,13371 walnut park,2.0,V6P 1T6,8.0,ND,4.0,W,2199779.0
Hec2098,O,Heckman,Grand Prairie,808.0,258208.0,U,,1-675-269-5285,30.0,United States of America,21375 inman upper,1.0,27409,7.0,IA,4.0,U,2729726.0
per2099,O,perrella,Newark,683.0,88349.0,,Exxon Mobil,1-288-288-8130,83.0,United States of America,14805 bonneville street,1.0,98149,9.0,ME,2.0,W,3476735.0
Cum2100,O,Cumming,Fort Lauderdale,333.0,84083.0,P,Packaging Corp. of America,1-219-066-5347,16.0,United States of America,219 panther creek way,3.0,85271,7.0,Quebec,,M,1115519.0
ELI2101,R,ELIE,Casper,547.0,86501.0,R,Eastman Chemical,1-447-421-3003,78.0,United States of America,13087 jensen east,4.0,93549,5.0,Saskatchewan,0.0,M,698809.0
byk2102,U,byk,Erie,310.0,164128.0,,American Axle & Manufacturing,1-799-426-3700,95.0,United States of America,16811 mahonia street,,M9d 1u2,6.0,HI,3.0,S,3973778.0
MAC2103,U,MACCONAILL,Oshawa,517.0,327356.0,,Covance,1-725-932-4274,78.0,United States of America,3261 HENDERSON SOUTH,,m7m 1c4,3.0,NE,5.0,U,1254778.0
GOO2104,O,GOODIER,Miami,488.0,347555.0,,Sally Beauty Holdings,1-468-707-2150,5.0,United States of America,8728 selma north,3.0,V6o 1s4,2.0,HI,0.0,U,2552938.0
Jen2105,O,Jenkins,Fort Lauderdale,363.0,238482.0,J,El Paso,1-553-965-6244,27.0,Canada,17207 WYCLIFFE PARK,2.0,77165,2.0,SD,2.0,S,1307542.0
Pri2106,O,Priede,Sioux Falls,622.0,272883.0,,Marriott International,1-846-467-3924,61.0,United States of America,4141 eagle north,2.0,98131,6.0,Manitoba,2.0,M,2517482.0
Vem2107,O,Vempati,Memphis,508.0,46680.0,,Mylan,1-210-426-3060,3.0,United States of America,24749 ryan lower,5.0,04111,2.0,VT,1.0,M,1766044.0
LIN2108,O,LINN,Anchorage,313.0,376150.0,,SanDisk,,,United States of America,16511 yamato lower,0.0,97225,0.0,VA,5.0,U,
Kle2109,U,Kleynenberg,Lincoln,614.0,257358.0,,Hayes Lemmerz,1-588-029-9307,53.0,United States of America,18630 ATLANTIC ROAD,4.0,T5b 1m3,9.0,RI,2.0,M,790562.0
Che2110,O,Chester,Sioux Falls,,352354.0,,Rockwood Holdings,1-981-581-3375,28.0,United States of America,6916 SILVERADO AVENUE,4.0,79914,7.0,AL,3.0,S,2198082.0
Pas2111,O,Pastorek,Pittsburgh,389.0,37429.0,,Sanderson Farms,1-666-464-1272,0.0,Canada,6396 woodall north,5.0,v5d 1o8,5.0,WY,1.0,M,1996495.0
Wit2112,R,Witchlow,Elizabeth,427.0,,E,Conseco,1-010-319-9107,45.0,United States of America,22386 spanish river lane,,94439,3.0,FL,,,639832.0
NEA2113,O,NEAL,Madison,534.0,215304.0,,Philip Morris International,1-417-173-1136,78.0,United States of America,11926 gaylord south,5.0,43625,3.0,IN,5.0,S,2802913.0
mik2114,O,mikulka,Tacoma,640.0,,T,Hospira,1-566-339-9557,6.0,Canada,23477 vessey way,3.0,59805,7.0,Nova Scotia,4.0,U,2834537.0
Sut2115,,Suter,San Francisco,777.0,195400.0,,Ford Motor,1-409-442-7294,86.0,United States of America,15960 st. phillip boulevard,0.0,V6t 1r3,6.0,AR,0.0,M,3029877.0
Che2116,R,Cheba,Philadelphia,714.0,448262.0,,HealthSpring,1-525-477-5709,40.0,Canada,10463 WINSOME BOULEVARD,0.0,M3v 1j5,2.0,CO,4.0,S,2190927.0
