prospect_gncd,prospect_nmbrcrdtcrds,prospect_nmbrcrs,prospect_stt,prospect_frstnm,prospect_g,prospect_phn,prospect_ncm,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
oyh10107,5.0,1.0,AZ,WJZVZVUKVSRLGHJGZVDIQVNETTXET,13.0,1-713-636-1426,159432.0,1.0,U,336.0,R,Exelon,1521682.0
vnt10108,6.0,3.0,NC,ifdqftvznqdiihslkorpltywajd,7.0,1-049-791-5859,162307.0,0.0,D,839.0,O,Furniture Brands International,3175624.0
Vpo10109,1.0,3.0,CT,Nsgoul,69.0,,6811.0,5.0,D,437.0,O,Cytec Industries,178414.0
hmp10110,5.0,0.0,NC,Tlyndmcxewpwlspmdlagdhrvewokoe,,1-842-758-3485,349003.0,1.0,U,735.0,O,,255521.0
hxs10111,8.0,3.0,NY,Tcefbenjjawfbupaa,42.0,1-849-563-6753,334077.0,1.0,,665.0,O,BorgWarner,1343491.0
vns10112,8.0,4.0,Prince Edward Island,Cpckekxkodikxoovgavi,20.0,1-245-368-8212,330661.0,3.0,S,345.0,O,Oil States International,1239284.0
IFV10113,3.0,4.0,RI,Wyqtquekboo,34.0,1-726-356-7060,25885.0,0.0,D,343.0,O,Coca-Cola,922458.0
HCH10114,3.0,2.0,ND,tciwsqtxinymqrqhjebb,48.0,1-326-733-5185,313425.0,0.0,S,411.0,O,USG,1759724.0
xhn10115,9.0,0.0,KS,GEFPCTHMJDIDOFJLJSIKQ,33.0,1-513-271-1854,280795.0,1.0,M,667.0,R,Fastenal,483516.0
Rve10116,10.0,4.0,Ontario,Pbgvfjgzcuv,,1-007-182-7130,162619.0,2.0,U,348.0,U,ServiceMaster,1747944.0
FZL10117,1.0,3.0,LA,Slsfkcmvdsovkvdckgzlo,2.0,1-895-894-3084,252291.0,2.0,M,474.0,R,Capital One Financial,
FLJ10118,3.0,0.0,ID,hezhgniydogqjdpdzltmzmlf,90.0,1-739-005-4026,434527.0,0.0,U,785.0,O,News Corp.,842793.0
xla10119,2.0,3.0,VA,Ipzuukvdggdsj,79.0,1-653-803-6612,349943.0,4.0,S,633.0,O,Paccar,2772924.0
Okr10120,1.0,1.0,KS,Iplpvfbks,43.0,,320515.0,4.0,S,431.0,U,Terex,1356948.0
Qec10121,5.0,1.0,RI,Jierlefwmmjsmppsumhudgk,75.0,1-054-065-4901,188319.0,4.0,M,488.0,O,XTO Energy,1198704.0
Xrh10122,8.0,3.0,NH,Wanbbso,34.0,1-075-259-3608,160059.0,2.0,S,497.0,O,Dover,1281010.0
OKO10123,6.0,,WY,Iwyjy,38.0,1-740-261-0965,153007.0,,S,338.0,O,General Dynamics,3343019.0
Iua10124,6.0,1.0,CA,MSPYNUXJJEELDXUOAFX,23.0,1-782-000-6529,122487.0,3.0,D,713.0,U,Sanmina-SCI,3451261.0
ydr10125,9.0,3.0,UT,Okekcuetxilbzjrwjscuuvm,30.0,1-650-744-9126,276763.0,5.0,D,713.0,O,,2650727.0
ukr10126,0.0,0.0,MO,Cbkqkaeqlxdeomodq,17.0,1-329-547-2429,407817.0,2.0,S,567.0,R,KeyCorp,942320.0
Ixb10127,0.0,1.0,IA,Xssgdqsssnvx,85.0,1-356-745-0029,5944.0,5.0,S,778.0,O,Liz Claiborne,1601955.0
Qcv10128,1.0,4.0,OH,Dtkmlpcn,86.0,,260903.0,3.0,U,771.0,O,Idearc,160795.0
wsf10129,1.0,1.0,KY,DJJZBSHZ,23.0,1-778-134-2327,464164.0,5.0,U,335.0,R,Magellan Health Services,1716505.0
Sur10130,0.0,5.0,ID,Yqcrqejcfy,86.0,1-449-109-8029,327570.0,2.0,D,729.0,O,R.R. Donnelley & Sons,3947705.0
YAE10131,1.0,3.0,NH,qhmkediizreqonuddcogbxjhxhhc,57.0,1-883-152-4452,395623.0,1.0,M,540.0,O,Teradata,864372.0
Dnd10132,9.0,0.0,KS,OKPIHHW,70.0,1-280-527-1037,150204.0,0.0,D,524.0,R,Moog,3653659.0
YZJ10133,1.0,3.0,OR,GAOWBQBWLJGGNKVYRSS,49.0,1-046-702-6274,99372.0,1.0,M,583.0,U,Polo Ralph Lauren,2019102.0
Lar10134,8.0,5.0,MA,Nrezrh,97.0,1-425-295-1156,425843.0,,U,612.0,O,Amphenol,2324598.0
UIX10135,4.0,1.0,DE,NXDHIWFWXGQZMTAVJUWPCHI,,,,0.0,U,447.0,O,Darden Restaurants,2734459.0
Hpd10136,1.0,5.0,Saskatchewan,mnmgafupiahms,78.0,1-126-823-0516,171725.0,1.0,M,448.0,R,Occidental Petroleum,2601400.0
mfv10137,8.0,4.0,Nova Scotia,Gpqpucflrfd,21.0,1-331-394-4349,434930.0,5.0,D,636.0,O,Lam Research,1723343.0
Jxx10138,8.0,4.0,WV,Xzlyanhhuptivgtlsreexzxzoepj,2.0,1-250-799-6150,222276.0,0.0,M,461.0,O,Alcoa,3847768.0
Lrp10139,6.0,3.0,OR,Qeqdxqsfonatubvefozxlvhdgcteo,50.0,1-016-633-4802,169982.0,5.0,M,516.0,R,Noble Energy,2240381.0
phm10140,7.0,2.0,SD,ojfeseewxofwtvsbqnaume,83.0,1-754-608-5179,219984.0,0.0,S,422.0,O,PNM Resources,1928554.0
Fgk10141,1.0,,CT,EIJKAMNPXTZEWU,44.0,,,3.0,D,708.0,O,FM Global,1076966.0
Wzh10142,1.0,0.0,VA,Nhrnnbe,54.0,1-760-234-6513,496540.0,,W,,U,Apollo Group,26739.0
ejo10143,6.0,5.0,ND,Kkqaesuntgtzrwsjieiryfrop,88.0,1-488-565-1411,424483.0,2.0,S,395.0,U,,2954038.0
Ewh10144,4.0,0.0,Manitoba,Wrxcwahb,40.0,1-247-390-4197,431215.0,1.0,W,811.0,O,Hasbro,
tca10145,6.0,2.0,SD,Igrsh,0.0,1-636-321-1787,125831.0,,,826.0,O,Pool,831434.0
oti10146,8.0,3.0,GA,Qtdumjboqkedszlexranse,49.0,1-435-007-2518,120400.0,2.0,S,835.0,O,Guess,1163933.0
DUA10147,9.0,3.0,UT,CZVGJVZCLUJKUTEDRVQAF,59.0,1-251-463-1942,125235.0,4.0,U,499.0,R,Complete Production Services,2434408.0
Itz10148,2.0,3.0,IL,kbeeo,9.0,1-822-740-1331,431235.0,5.0,U,499.0,R,Worthington Industries,1866846.0
noe10149,0.0,,RI,HLEUSCIKGKNKKF,,1-433-729-0661,400476.0,5.0,S,382.0,O,NRG Energy,1509008.0
Flz10150,8.0,1.0,RI,Nrmulzcj,29.0,1-645-146-3065,251545.0,0.0,W,318.0,R,International Assets Holding,
HVD10151,3.0,5.0,SC,VKJFNK,3.0,1-007-629-4260,441938.0,3.0,S,558.0,O,,2946709.0
Cuy10152,3.0,5.0,DC,Ljean,14.0,1-974-586-8100,113342.0,5.0,S,745.0,R,H.J. Heinz,629196.0
Gjg10153,3.0,4.0,WY,VGQUKEANKQRX,77.0,1-546-511-0293,393449.0,0.0,D,733.0,O,Nacco Industries,2980525.0
EDX10154,2.0,0.0,NH,Uajphbqclsvlic,29.0,1-207-134-5331,,,U,485.0,O,CH2M Hill,3035952.0
Vmu10155,2.0,2.0,NE,XUFIPLNP,52.0,1-421-270-1297,400019.0,1.0,M,824.0,O,Honeywell International,1096587.0
Aaz10156,6.0,4.0,NH,nhrubcewozyf,24.0,1-102-426-3865,342530.0,0.0,W,797.0,O,Apollo Group,1197636.0
jlz10157,5.0,3.0,HI,KKSSCBP,61.0,1-256-994-7665,432760.0,3.0,M,461.0,R,General Mills,3173924.0
Vst10158,2.0,5.0,SD,mujmgdjbrikku,63.0,1-071-644-4919,279746.0,0.0,W,697.0,O,Universal American,
PPC10159,0.0,1.0,RI,LWOBHWX,86.0,1-362-886-6870,287022.0,2.0,U,685.0,,Cypress Semiconductor,1513948.0
Ugl10160,10.0,2.0,Saskatchewan,FTWAENEEJNBOKBEZGZW,89.0,1-135-126-1663,262655.0,2.0,M,538.0,R,Newfield Exploration,3485672.0
ROR10161,9.0,,Saskatchewan,Qxviuaoktmmapsbss,79.0,1-063-313-3436,251389.0,1.0,S,775.0,R,Sonic Automotive,2036104.0
Hfx10162,2.0,4.0,ID,MDPRQEPMHMPHFZVNAMCJWKI,,1-219-558-3373,33953.0,0.0,M,747.0,R,Piedmont Natural Gas,825520.0
BKC10163,8.0,1.0,WA,ijjaeqvhxrqguznngerzsyelbq,25.0,1-135-702-3449,67886.0,5.0,D,341.0,O,Hewlett-Packard,813147.0
huk10164,2.0,5.0,NJ,Yngakleqbbtvbycxqj,63.0,1-169-524-9329,110066.0,5.0,M,,O,Hershey,248053.0
ues10165,6.0,2.0,IA,NBLNDCVGQIILBWRLGICWPYVVL,24.0,1-152-491-9723,163627.0,,S,629.0,,Cameron International,1611482.0
DJD10166,5.0,5.0,KS,Mryeyd,90.0,1-990-944-2978,351954.0,0.0,U,846.0,O,Smith International,1225833.0
xxq10167,0.0,0.0,FL,Onvcfgpgdwyuvnulhhydcwa,86.0,1-330-441-2042,284329.0,4.0,S,352.0,U,HealthSouth,1189043.0
VBQ10168,2.0,4.0,British Columbia,Frqfcrok,21.0,1-872-626-4173,193545.0,2.0,W,459.0,R,Aon,3740022.0
ERY10169,5.0,0.0,NJ,Dsnmmpippqba,37.0,1-216-127-5560,181174.0,3.0,S,795.0,O,ConocoPhillips,3403041.0
Jxm10170,1.0,1.0,LA,pnqibnjgyfyfozryeowil,91.0,1-253-102-9184,116339.0,0.0,M,850.0,O,Carpenter Technology,422445.0
NCZ10171,6.0,2.0,AL,Nldronkzrjvfjrazjawayav,32.0,1-225-258-6276,377309.0,2.0,M,507.0,U,Guardian Life Ins. Co.,270100.0
IJP10172,7.0,0.0,Manitoba,Jdvktfee,15.0,1-440-277-4984,202945.0,5.0,S,458.0,O,Pinnacle West Capital,2679648.0
mxa10173,1.0,1.0,AL,Tbkakixnn,83.0,1-178-260-2177,449407.0,3.0,S,303.0,O,Equity Residential,825336.0
Rfu10174,10.0,5.0,KY,FTUATQAKKXVIGDBRCNHYSXNHJRO,6.0,1-059-386-9118,99570.0,,M,643.0,O,Hayes Lemmerz,3474905.0
Yis10175,2.0,1.0,TX,Rzkzstppqkaqhqit,18.0,1-850-756-4470,114447.0,0.0,S,484.0,O,Dick's Sporting Goods,2882119.0
foy10176,4.0,4.0,Nova Scotia,Rtnmdftwovjvngsie,91.0,1-318-548-9732,162812.0,5.0,W,474.0,R,Lam Research,2574741.0
mgj10177,5.0,1.0,FL,Shkmvfysssgtcqubdhxhxji,13.0,1-276-976-2070,,2.0,M,434.0,R,Zimmer Holdings,2115639.0
Dws10178,1.0,2.0,Prince Edward Island,Rkhxkglamikadjteofnejnp,4.0,1-791-941-3298,34491.0,3.0,M,354.0,O,Chesapeake Energy,
Ekj10179,3.0,0.0,AK,Mdzpvzobvwm,26.0,1-888-986-6148,275367.0,5.0,D,486.0,O,Jones Apparel Group,3304708.0
COK10180,4.0,2.0,ID,TVXLNHDSTKKAFXS,43.0,1-457-800-6184,394796.0,2.0,M,,,Public Storage,584491.0
Emi10181,2.0,0.0,Manitoba,Nyjpgxgbndujplh,,1-671-643-8629,492325.0,1.0,S,823.0,O,Scholastic,2162559.0
Qvx10182,5.0,3.0,GA,Bzpdeqgpctojkgklymlvkocvgnjm,35.0,1-230-938-7337,475218.0,1.0,S,552.0,O,Goodrich,2716136.0
Qvd10183,4.0,5.0,VA,hkrfugeotbbdxyqxhphvcqebdbqjn,78.0,1-189-728-1183,113415.0,5.0,,623.0,U,URS,3571884.0
Exo10184,1.0,1.0,KS,TVJFMIUTDLTOVKSEIEADGCKOC,67.0,1-078-580-5470,196979.0,0.0,M,427.0,R,Micron Technology,2309111.0
kho10185,10.0,5.0,DC,Rynvvwdbhmudwn,35.0,1-905-881-1154,316453.0,4.0,M,843.0,O,BorgWarner,3565753.0
TFZ10186,10.0,2.0,AR,ijtbqiyllzvpnapj,37.0,,262582.0,2.0,M,501.0,R,Loews,2523625.0
pss10187,9.0,4.0,British Columbia,Szsylitlnuxvpfilsuadkfib,87.0,1-626-178-3655,262739.0,5.0,M,457.0,O,Abercrombie & Fitch,2692054.0
DQX10188,2.0,2.0,NJ,Zhcermbxzznstqpjhb,64.0,1-887-302-9538,151735.0,2.0,S,714.0,U,Kroger,398734.0
HXS10189,2.0,4.0,IL,DDUKIDLIZGCHYCSSJQZJDDXTW,69.0,1-240-262-5059,242290.0,3.0,U,428.0,R,Hormel Foods,1925063.0
ysd10190,0.0,4.0,MN,qqkluyvrkilekeggcjjaekzs,23.0,1-748-381-5388,151263.0,5.0,S,389.0,O,Newfield Exploration,3808365.0
kap10191,0.0,4.0,GA,Hdiihefgrtutriyratyllsb,95.0,1-862-840-9142,377996.0,3.0,U,694.0,U,Huntington Bancshares,2072590.0
Alj10192,2.0,2.0,GA,oqrvziwpgbiyipcbcnsrqkui,11.0,1-978-846-1339,450338.0,5.0,U,610.0,U,Rockwood Holdings,2780593.0
Fcf10193,8.0,3.0,MO,Foyafdqcohvpgvs,11.0,1-774-447-7502,499532.0,3.0,,831.0,O,Washington Post,3305354.0
KLG10194,,4.0,Saskatchewan,Tvxnn,94.0,,146611.0,3.0,M,449.0,O,Sherwin-Williams,1256202.0
Isw10195,9.0,0.0,Manitoba,Dlmmoeoerirpbeimuenwmpm,36.0,1-542-058-3311,109259.0,5.0,D,500.0,R,Targa Resources,818177.0
Dqy10196,,5.0,OK,efuwcamkh,43.0,1-284-403-2435,279206.0,4.0,M,644.0,O,Molson Coors Brewing,
Cgx10197,9.0,2.0,OR,Mwxtnvvcbgp,98.0,1-864-920-5405,160038.0,0.0,M,366.0,R,Cenveo,455549.0
Olk10198,1.0,3.0,MS,Sxlhtuvqzx,,1-391-445-0964,71615.0,1.0,U,,O,Curtiss-Wright,644793.0
UAS10199,3.0,2.0,OR,Tzntgagyktzqmnsxmfpftsd,54.0,1-367-707-2825,99302.0,5.0,W,396.0,O,PPL,3756827.0
ilx10200,10.0,2.0,AR,XCKBSPUHWMFHWFPRHLROXREMEAO,12.0,1-199-191-3144,251984.0,5.0,D,357.0,O,E.W. Scripps,1364726.0
IRH10201,3.0,3.0,British Columbia,Ylukbssgpgrjxhgmcm,83.0,1-551-963-0150,395211.0,3.0,M,698.0,O,Peter Kiewit Sons',3227799.0
Jtx10202,8.0,4.0,Saskatchewan,Knittgvcx,43.0,1-849-529-8512,198933.0,4.0,W,455.0,R,Bon-Ton Stores,1287470.0
njh10203,5.0,5.0,WI,ZTHGGNODVFRKHAHAQSUM,32.0,1-560-642-1051,284462.0,2.0,M,551.0,R,Steel Dynamics,1303967.0
Uas10204,2.0,4.0,SD,Dlfnalgporsgv,90.0,1-780-692-4864,339749.0,3.0,M,374.0,,Stryker,2754663.0
uoo10205,8.0,5.0,FL,rudegqxlcfljtkdmottw,29.0,1-693-536-1979,128994.0,4.0,M,786.0,O,Ameriprise Financial,3479037.0
Wju10206,5.0,4.0,KY,Hdbmupdtuqmtdtvdxjzdpngffc,44.0,1-333-017-2553,279419.0,2.0,W,704.0,U,Liberty Global,
MJW10207,8.0,3.0,MS,Mdvtplfhyvprikwq,,1-137-841-9232,256401.0,2.0,M,371.0,R,Tenneco,2217586.0
hon10208,4.0,0.0,NH,Rbwcj,59.0,1-072-117-6982,458467.0,4.0,M,500.0,O,Oshkosh,2517242.0
BVG10209,0.0,3.0,MO,pdqomfnluhjvucmlqvxeyim,19.0,1-091-369-4943,342835.0,5.0,M,498.0,O,E*Trade Financial,2023809.0
MPB10210,4.0,5.0,HI,Tswktlcbuo,87.0,1-789-178-4962,254407.0,0.0,U,394.0,U,Phoenix,2828530.0
Xup10211,1.0,4.0,TN,FCOSEMGVJQBNSUTOGDUOHBTHFEID,35.0,1-350-031-4106,365046.0,0.0,S,493.0,O,EMC,697489.0
PIK10212,5.0,2.0,LA,RSARDAJBWIBQQMKSTGMKMPAYTUTEYO,97.0,1-485-114-6547,363919.0,5.0,U,325.0,O,EOG Resources,1943704.0
pnx10213,0.0,5.0,VA,nosjbmkkodlng,34.0,1-325-442-8359,292912.0,4.0,M,556.0,,,3577030.0
zcp10214,7.0,3.0,British Columbia,swmauemtoyqeejaetiarbnb,97.0,1-539-478-2074,11403.0,5.0,U,617.0,O,AK Steel Holding,2244329.0
fot10215,7.0,0.0,ID,Qjltwjrnvuu,64.0,1-247-770-8070,228427.0,3.0,S,507.0,O,Tupperware Brands,262316.0
twk10216,,0.0,KS,Hchahtwt,55.0,1-989-550-9428,288645.0,1.0,M,521.0,O,Microsoft,694599.0
Fvi10217,5.0,4.0,IL,KTZELHJFSSYXCLYMXMNO,73.0,1-658-176-9673,119977.0,4.0,U,465.0,O,United Refining,696957.0
Dpa10218,6.0,0.0,RI,Limdcco,66.0,1-827-703-7037,250020.0,4.0,U,617.0,O,Mirant,2614436.0
aok10219,3.0,4.0,WY,Dobqljx,32.0,,496663.0,3.0,M,332.0,,Paccar,2160612.0
Mxn10220,0.0,5.0,AZ,Vycmfaamgiyxo,51.0,1-999-914-2970,32827.0,0.0,M,597.0,R,Brown-Forman,2774914.0
oko10221,6.0,1.0,PA,Cingsmyewlxnx,90.0,,,3.0,U,600.0,O,Mettler-Toledo International,3744612.0
yzn10222,,5.0,LA,Tkwzqknejlkouwxrqwkqubvervexjk,16.0,1-807-035-1274,392216.0,3.0,M,850.0,R,,3982376.0
VXB10223,2.0,4.0,HI,LYAWQBLAIPDAHMDQRPUGCKEWORFH,91.0,1-922-803-6732,329986.0,,S,697.0,O,,1568808.0
Ovc10224,1.0,2.0,CT,Rzqtvdpjqqkmtenn,98.0,1-659-535-2851,189732.0,0.0,,543.0,R,Rite Aid,2815276.0
RDO10225,5.0,1.0,ND,PXVRANVYWXTQVZFOOCTO,64.0,1-947-929-6176,376032.0,1.0,,528.0,O,Ryder System,3469348.0
iwo10226,1.0,1.0,CA,dgpfrboto,35.0,1-202-524-9333,427290.0,0.0,U,520.0,,Interpublic Group,1582854.0
glb10227,8.0,2.0,WY,Xwymdsvjymjnghyqvlmhwkyr,86.0,1-555-717-5969,185583.0,1.0,M,809.0,R,BlackRock,1988589.0
YCW10228,5.0,1.0,IL,MEUQCAWIHSVLRJO,15.0,1-730-960-9835,37890.0,3.0,U,780.0,R,Con-way,67168.0
mwr10229,5.0,5.0,TX,JTXZJHWPUYVFINRBFP,33.0,1-616-431-6343,45881.0,4.0,U,788.0,O,National Fuel Gas,3711947.0
Hkh10230,2.0,4.0,Prince Edward Island,QLYZZFBDECA,43.0,1-757-543-2666,108797.0,0.0,S,679.0,O,Sigma-Aldrich,
Yuw10231,10.0,2.0,AL,Ptelbomfcfn,93.0,1-747-042-7061,460379.0,5.0,S,347.0,U,Allegheny Technologies,3355966.0
veh10232,0.0,3.0,British Columbia,Ajyjzjw,94.0,1-353-153-6199,475461.0,0.0,M,485.0,,Benchmark Electronics,2942345.0
DYC10233,2.0,2.0,OK,Efkxojlhrhulpclrijwarke,65.0,1-305-836-5798,96759.0,3.0,,678.0,U,Symantec,3331379.0
Tzh10234,1.0,5.0,NV,Mabiqruppmzfxkyxqtphgrb,55.0,1-888-274-4897,,,D,506.0,U,AmeriCredit,2402663.0
pem10235,0.0,4.0,NC,lprkkuwlgvgwuaruxkpclp,19.0,1-708-347-7463,312460.0,0.0,U,608.0,O,Superior Energy Services,3921984.0
SIB10236,5.0,3.0,DC,CTOCKABDFLAHFUR,6.0,1-812-655-5848,59454.0,4.0,M,608.0,O,Terex,
nba10237,2.0,2.0,WY,Sfdyyqcsqsjaiaycfuamdeaqa,36.0,1-760-083-2764,98322.0,5.0,M,374.0,O,RPM International,2448532.0
Hgp10238,6.0,0.0,KS,VFHKWDRHFUUZKYFYOOEVNVCHW,95.0,1-409-184-9309,199607.0,3.0,M,388.0,O,RadioShack,2661793.0
Daa10239,4.0,5.0,MA,lfcvcnwcqwfezqvzxnijwvsb,47.0,1-846-110-6221,229741.0,4.0,S,535.0,O,Toro,1126683.0
Rqf10240,8.0,4.0,MA,Rzydpbfjosmpgoze,1.0,1-770-886-8729,321814.0,0.0,U,787.0,O,Timken,19011.0
Rvf10241,6.0,0.0,Manitoba,XOWCSBZ,66.0,1-062-332-3497,170780.0,3.0,S,493.0,R,,2527888.0
ILS10242,6.0,4.0,WY,MZXWCEVEQOLYBILPGGNBCHAURPHU,58.0,1-918-803-3349,177028.0,0.0,M,442.0,,Gannett,594174.0
TIW10243,3.0,2.0,MI,FTBVKPVTNDAOHDXGLSRYIHTYKQA,22.0,1-192-632-7346,426889.0,5.0,M,768.0,R,Charter Communications,798470.0
Uhj10244,10.0,3.0,GA,ytdcdiicxhyeupnyws,86.0,,491342.0,0.0,,317.0,O,NTK Holdings,934449.0
AFX10245,8.0,0.0,OH,Fmsgkgmjzbljbfhy,93.0,1-004-219-7946,268530.0,5.0,U,698.0,U,Molex,178195.0
ysy10246,8.0,4.0,Nova Scotia,Gbapcdof,,1-258-304-3561,149840.0,4.0,M,345.0,O,Seaboard,3334740.0
Lbh10247,9.0,2.0,IA,Lmvnthjc,14.0,1-541-950-1149,212549.0,1.0,S,712.0,R,AMC Entertainment,210735.0
Byu10248,8.0,0.0,IA,HJYTFLJ,82.0,1-932-286-9093,494257.0,2.0,M,,O,Landstar System,1605213.0
Tnm10249,8.0,5.0,MO,Hwgavqhqamikzowntrgcqdbkwhi,,1-955-396-2292,106601.0,0.0,S,640.0,O,Bank of America Corp.,2201179.0
hbz10250,6.0,4.0,CA,Ovyrszdztautzaehut,27.0,1-823-192-3915,457880.0,1.0,M,312.0,O,BJ Services,
opb10251,,,VT,NBASXOQSQMNLZAOIRXPEMEDHBHPK,11.0,1-892-451-5243,,3.0,M,696.0,O,Frontier Oil,2375551.0
Sij10252,10.0,0.0,UT,LABOGYHJFSLWYPWJCIBROMHPZ,81.0,1-061-406-0912,385159.0,3.0,M,,O,C.H. Robinson Worldwide,279304.0
Ytf10253,10.0,0.0,KY,yowzztqyxbmvwzfphrinaat,3.0,1-925-436-0564,320768.0,1.0,,822.0,O,,2481251.0
bmf10254,10.0,4.0,MI,WTHDGLOF,29.0,1-466-359-7782,30692.0,2.0,,652.0,O,,254553.0
NKT10255,9.0,4.0,AK,Estjltsgmspkypsulzbbnwsicqtx,87.0,1-079-252-0572,147976.0,1.0,M,690.0,O,Jabil Circuit,3909587.0
xnq10256,6.0,5.0,WY,Jpuleuat,31.0,1-100-016-2474,221280.0,,U,376.0,O,Levi Strauss,1704657.0
Ryw10257,10.0,4.0,DE,Ynkdnqcmrwhgbxubcouaowfjiqscvt,58.0,1-838-513-1924,,,U,322.0,O,Dean Foods,920915.0
Dxl10258,9.0,4.0,NH,fubvwclizjn,98.0,1-679-831-8308,127760.0,2.0,M,655.0,O,Sempra Energy,1970746.0
WUI10259,4.0,5.0,MA,Lihkfrrkticxmk,73.0,1-058-163-8190,362611.0,5.0,D,545.0,O,Host Hotels & Resorts,210975.0
gxe10260,3.0,5.0,MT,mvphqgmbvalawizryvyyhdjcsvz,69.0,1-232-635-2314,173127.0,4.0,D,702.0,O,Wisconsin Energy,3111051.0
Tab10261,,2.0,British Columbia,Fnrvndmlrmwiuuwadkhx,37.0,1-232-065-9481,400274.0,1.0,M,549.0,O,AptarGroup,1066331.0
Mfn10262,,0.0,British Columbia,Sqtkxseiuzpqqbsuahekjmxtxagy,40.0,1-940-115-5277,283225.0,0.0,W,601.0,R,SanDisk,2072522.0
DXP10263,6.0,0.0,MN,Tfjwisigwkvnhhlajpuiinart,35.0,1-564-271-6885,159061.0,0.0,W,572.0,R,Atlas America,1728775.0
dao10264,0.0,1.0,WI,Rpxok,92.0,1-617-385-6314,272430.0,3.0,U,596.0,U,Dow Chemical,
vyt10265,3.0,3.0,OR,VBMEXSTXYFJCYBNFQJMKCGPX,38.0,1-507-554-0043,273825.0,0.0,U,,O,Lexmark International,1398203.0
zqa10266,10.0,2.0,Nova Scotia,Fomrrhpnvzjqvqpdplzivdt,,1-183-586-2548,1229.0,4.0,U,758.0,O,SPX,786651.0
Blf10267,7.0,4.0,MA,dfblrnpqfaibr,53.0,1-839-574-7060,118174.0,1.0,M,412.0,O,PolyOne,2735939.0
DQK10268,4.0,1.0,TX,MZYPOKKSAROMMOUMTFCUIGSJLQ,,1-877-661-9775,437566.0,1.0,U,349.0,U,Pitney Bowes,3486831.0
nyk10269,10.0,0.0,CT,ygyotlyceampsscsfk,,1-140-898-1845,42981.0,4.0,S,423.0,O,DTE Energy,201411.0
Taf10270,5.0,5.0,MT,KNUBKBIHNCGBC,6.0,1-094-414-5927,424330.0,1.0,S,677.0,O,Maxim Integrated Products,469962.0
FSI10271,1.0,0.0,LA,fqetvbmawwqksihhkmdy,24.0,1-889-055-3149,,0.0,M,407.0,O,Ferro,2430725.0
XNE10272,4.0,4.0,AK,WVIZFEMZFNCDGKYELTEYXDXG,91.0,1-491-996-1761,3906.0,0.0,M,547.0,O,American Electric Power,310569.0
qnu10273,5.0,5.0,DE,KYLERIIREMQZUJ,78.0,1-867-569-4206,33106.0,1.0,W,586.0,O,Convergys,3983979.0
Xvu10274,5.0,0.0,KS,Wqegrvnutjytqhenuhvdbxr,63.0,1-218-042-5808,246653.0,1.0,M,850.0,O,Juniper Networks,965710.0
Icz10275,9.0,1.0,IN,IELCKCKHTGODYCBVNNC,33.0,1-027-347-2963,20483.0,1.0,W,801.0,U,Boise,1299395.0
Olb10276,4.0,4.0,CA,Rhvmlqthiuqge,99.0,1-855-521-9038,228863.0,1.0,,569.0,O,Snap-On,
GWU10277,10.0,3.0,NJ,gasrrutlqwryqnuqqsai,3.0,1-857-525-3314,,2.0,M,458.0,U,Pilgrim's Pride,2207030.0
Fiq10278,6.0,5.0,WY,Btxrzgsfponqqtpnrt,27.0,1-565-181-1431,344353.0,4.0,M,577.0,R,Imation,2894351.0
Rey10279,1.0,0.0,NM,MSLWYFMRPYPONTFJNPEWDRXM,0.0,1-305-586-8338,484426.0,4.0,M,581.0,O,Universal Forest Products,1708443.0
myu10280,0.0,5.0,HI,Kpiugbzziqdmasqxmhdrqbiqnvdy,11.0,1-810-348-5764,395647.0,0.0,D,431.0,U,FirstEnergy,1832193.0
Xpg10281,1.0,0.0,MN,ELJEHUYJJUEDQZWD,30.0,1-777-511-0980,110019.0,5.0,W,405.0,O,Holly,513921.0
Pkb10282,9.0,3.0,MI,Jzdme,42.0,1-529-211-2980,490258.0,5.0,U,457.0,O,Adobe Systems,1109654.0
hpb10283,0.0,3.0,MT,xuelxopwqoyxnywxujrityqr,6.0,1-047-373-3076,232130.0,2.0,W,839.0,R,FedEx,1289753.0
Mdq10284,5.0,3.0,WY,Lffnaytytrvitgrwfsnojj,29.0,1-184-649-3305,308241.0,0.0,S,353.0,O,Tiffany & Co,2399606.0
NBJ10285,4.0,4.0,NV,oqatffruqifsszajtv,32.0,1-095-358-1391,9942.0,3.0,M,322.0,U,Equifax,2092453.0
Fle10286,1.0,5.0,RI,Jzeoawphjduxjivhakezkjymirgmvx,56.0,1-896-125-6539,461275.0,5.0,M,505.0,O,PerkinElmer,1049752.0
Fvn10287,1.0,3.0,AK,OEYKHW,18.0,1-256-114-7838,145866.0,1.0,W,497.0,O,Western Digital,1444394.0
Dzp10288,0.0,,HI,Xytenxtgcuiu,45.0,1-283-890-2321,257215.0,2.0,M,630.0,O,Texas Instruments,1568361.0
Mze10289,4.0,0.0,MD,Bvxdubpkfxjgkwobi,83.0,1-302-248-5066,372351.0,5.0,M,653.0,O,Rohm & Haas,3580542.0
Lgo10290,3.0,0.0,NV,NFSJYVDXGRMPBHQCXDQBYJFCKHWO,97.0,1-311-208-6801,295216.0,5.0,M,849.0,O,MetroPCS Communications,3342628.0
