gncd,nmbrcrs,crdtrtng,phn,nmbrcrdtcrds,mrtlstts,ddrssln1,wnrrntflg,ct,ntwrth,mddlntl,stt,cntr,ncm,nmbrchldrn,g,mplr
INT2435,4.0,510.0,1-926-479-0855,7.0,U,20870 charthouse lane,O,Escondido,3929518.0,,TX,United States of America,358100.0,1.0,52.0,
kle2436,4.0,426.0,1-853-381-3731,3.0,M,20826 BELLWOOD CRESCENT,O,Pittsburgh,1980437.0,,ID,United States of America,25264.0,0.0,37.0,Apollo Group
MAT2437,0.0,380.0,1-145-463-1976,7.0,M,19199 keene park,,Newport News,2245529.0,,NE,United States of America,84912.0,4.0,94.0,NCR
Mac2438,5.0,829.0,1-417-646-5605,6.0,U,16235 wolcrest road,U,Tampa,3232054.0,F,NY,United States of America,76255.0,0.0,2.0,Newmont Mining
Str2439,1.0,756.0,1-254-792-5172,3.0,M,17334 LAVENDER STREET,R,Salem,1104508.0,,Prince Edward Island,United States of America,2520.0,0.0,80.0,Hexion Specialty Chemicals
GUL2440,1.0,844.0,1-554-981-8742,0.0,M,12985 camp bowie south,,Baton Rouge,770915.0,,NV,United States of America,9593.0,,39.0,Sunrise Senior Living
nug2441,3.0,343.0,1-811-583-7791,4.0,D,19744 taylor crest street,O,Evansville,3905168.0,V,Nova Scotia,Canada,241573.0,5.0,83.0,New Jersey Resources
BOS2442,4.0,722.0,1-948-516-2141,5.0,U,3504 regency avenue,O,Irving,,,OK,Canada,126785.0,1.0,96.0,Symantec
Tho2443,3.0,748.0,1-710-447-3720,3.0,S,24996 robbins east,U,Gary,2516706.0,,CT,United States of America,205466.0,2.0,17.0,General Dynamics
Bou2444,0.0,695.0,1-742-084-9911,5.0,M,15883 baltic south,R,Denver,3160249.0,,DE,United States of America,468873.0,2.0,94.0,PetSmart
Jac2445,0.0,745.0,,5.0,,21414 pasadena road,O,Oceanside,2510352.0,D,SD,United States of America,258482.0,3.0,33.0,Penske Automotive Group
cze2446,,847.0,1-195-728-0020,4.0,M,3549 ANSLEY WEST,O,Provo,36525.0,,MA,Canada,7356.0,1.0,,Centex
Ger2447,3.0,381.0,1-228-969-9945,5.0,D,14422 morning rue,O,West Covina,3461749.0,,AR,United States of America,104883.0,1.0,65.0,Nicor
tot2448,4.0,619.0,1-937-757-4887,4.0,U,17676 rusk street,O,Eugene,2301563.0,L,AK,United States of America,254897.0,5.0,29.0,Bed Bath & Beyond
Die2449,4.0,776.0,1-223-475-2215,5.0,M,24890 LAKE DRIVE,O,Mesquite,470186.0,L,New Brunswick,Canada,155066.0,0.0,86.0,Fannie Mae
Al 2450,1.0,676.0,1-932-796-3639,5.0,S,232 LYLE PARK,O,Santa Rosa,2484226.0,T,WA,United States of America,274050.0,2.0,77.0,Exelon
De 2451,4.0,486.0,1-754-693-6021,6.0,M,18675 CALHOUN LANE,O,Moncton,1175022.0,,WY,United States of America,296397.0,1.0,69.0,Peter Kiewit Sons'
Dow2452,1.0,653.0,1-445-987-0277,8.0,M,6464 bonnie brae street,R,Toledo,544166.0,U,Quebec,United States of America,410542.0,0.0,95.0,PG&E Corp.
Hol2453,3.0,832.0,1-392-226-6806,8.0,S,24178 turtle creek street,O,Glendale,,,AK,United States of America,359562.0,0.0,49.0,Alliance Data Systems
D'i2454,1.0,836.0,1-827-713-7304,1.0,U,12009 pharr south,R,Huntsville,508955.0,,ID,United States of America,277112.0,2.0,36.0,Agilent Technologies
OFC2455,4.0,360.0,1-190-997-5376,6.0,S,20109 alexis lane,O,Rochester,1076885.0,,MO,United States of America,330077.0,2.0,45.0,Eastman Kodak
Rfa2456,5.0,,1-102-439-7343,8.0,M,19435 montfort road,O,Montreal,109839.0,,WY,United States of America,173452.0,3.0,41.0,Unitrin
cod2457,0.0,365.0,1-404-924-2652,9.0,W,10448 DAIRY ASHFORD COURT,O,Coral Springs,3742925.0,R,MT,United States of America,204918.0,0.0,12.0,Itron
SET2458,4.0,496.0,1-379-416-7367,0.0,S,18966 BELT LINE UPPER,U,Sunnyvale,2279424.0,,ND,United States of America,433610.0,0.0,68.0,Consolidated Edison
rid2459,5.0,553.0,1-932-040-3179,9.0,M,11640 baltic upper,O,New Orleans,2135093.0,,PA,United States of America,462885.0,0.0,44.0,Northeast Utilities
Gol2460,3.0,831.0,1-151-971-1770,7.0,U,16550 9th boulevard,,Mount Pearl,3940943.0,,AR,United States of America,170107.0,2.0,67.0,Pacific Life
ROT2461,5.0,494.0,1-170-884-1784,7.0,U,15916 royalton street,O,Providence,2419844.0,I,New Brunswick,United States of America,408859.0,4.0,21.0,New York Times
KAW2462,4.0,560.0,1-304-057-8530,5.0,U,2590 crestmere park,R,Birmingham,26959.0,,Nova Scotia,United States of America,346683.0,1.0,31.0,LKQ
BAR2463,,434.0,1-995-573-3882,1.0,D,18304 furth north,O,Phoenix,2785186.0,,KY,United States of America,233226.0,0.0,78.0,Precision Castparts
Des2464,1.0,474.0,1-892-727-9840,1.0,M,5822 edwin boulevard,O,Lincoln,999562.0,,WI,United States of America,22913.0,3.0,97.0,Western Union
Gil2465,5.0,396.0,1-859-931-7262,5.0,W,6492 adams east,O,Plano,313806.0,,WI,Canada,69632.0,5.0,81.0,Dick's Sporting Goods
hei2466,2.0,557.0,1-492-043-3560,3.0,S,6963 EMMONDS DRIVE,O,Brownsville,1517573.0,,WA,United States of America,86909.0,5.0,64.0,Collective Brands
Mca2467,5.0,536.0,1-343-215-5891,0.0,U,10411 apple tree lane,R,Boston,2139474.0,J,SD,United States of America,136524.0,3.0,33.0,OGE Energy
KEL2468,1.0,748.0,1-775-256-9375,0.0,M,19336 boll drive,R,New York,512766.0,,IA,United States of America,94940.0,1.0,22.0,Phoenix
Mcn2469,5.0,558.0,1-976-194-0028,8.0,M,13971 MILBURY COURT,,Portland,3027159.0,A,SC,United States of America,456063.0,4.0,61.0,Exxon Mobil
BOS2470,2.0,585.0,1-913-962-4926,4.0,M,1464 green ash avenue,R,Orange,1016557.0,O,DE,United States of America,210135.0,5.0,12.0,
THE2471,3.0,671.0,1-259-721-2039,0.0,M,6396 woodall north,U,Buffalo,2556760.0,T,WI,United States of America,478948.0,3.0,74.0,Acuity Brands
tag2472,5.0,810.0,1-169-725-9097,7.0,M,18630 ATLANTIC ROAD,U,Santa Rosa,3942439.0,,ID,United States of America,240372.0,4.0,58.0,Xilinx
gay2473,3.0,454.0,1-042-388-7088,2.0,U,1037 bonneville lane,O,Sacramento,1758840.0,,WY,United States of America,300694.0,3.0,47.0,Cracker Barrel Old Country
mcb2474,3.0,307.0,1-125-792-7050,9.0,S,12566 MISTY UPPER,O,Berkeley,2135551.0,,Saskatchewan,United States of America,,0.0,90.0,Fleetwood Enterprises
Svm2475,5.0,436.0,1-249-112-2924,7.0,D,9907 upton south,O,Charleston,863411.0,N,AL,United States of America,329533.0,5.0,77.0,Enterprise GP Holdings
Kam2476,4.0,707.0,1-031-961-4068,2.0,D,22959 charlestown rue,U,Lubbock,3770262.0,O,OR,United States of America,319929.0,0.0,4.0,
mci2477,2.0,,1-185-235-7364,0.0,U,16655 ventura north,R,Columbus,2885731.0,,OH,United States of America,429532.0,4.0,6.0,International Assets Holding
Lab2478,2.0,738.0,1-365-881-1386,1.0,D,12292 flynn park,O,Mesa,798971.0,,FL,United States of America,435289.0,0.0,22.0,KeyCorp
nix2479,5.0,313.0,1-198-294-2510,1.0,U,4482 eden avenue,R,Oakland,2286073.0,U,MS,United States of America,89570.0,,96.0,Jones Apparel Group
Ebe2480,,688.0,1-781-439-8481,5.0,M,14717 rutledge lower,O,Boise,732759.0,V,MA,United States of America,498145.0,3.0,100.0,Helmerich & Payne
UNK2481,3.0,690.0,1-794-212-5205,9.0,D,10014 MERCER LOWER,O,Philadelphia,3537992.0,M,Saskatchewan,United States of America,283529.0,0.0,33.0,Celgene
SEN2482,,677.0,1-223-420-4235,7.0,S,7255 berry way,R,Tempe,3034411.0,P,AR,United States of America,125571.0,4.0,96.0,Monsanto
MCK2483,3.0,547.0,1-268-834-7601,3.0,M,16557 howser rue,O,Greensboro,2349487.0,Y,Quebec,Canada,480675.0,0.0,73.0,New York Life Insurance
Ant2484,2.0,440.0,1-186-893-8186,8.0,U,12566 misty upper,O,Fullerton,1494499.0,,PA,Canada,384603.0,1.0,78.0,Valmont Industries
lei2485,2.0,386.0,1-491-982-4806,8.0,M,3574 pemberton west,O,Wichita,2638849.0,,VA,United States of America,335401.0,2.0,5.0,Exide Technologies
gue2486,3.0,569.0,1-717-586-5351,7.0,W,703 COMMERCE PARK,O,Laredo,2571524.0,,ME,Canada,,,23.0,Nordstrom
TIP2487,5.0,822.0,1-315-662-3581,9.0,S,16480 cliffbrook upper,O,Mesquite,766990.0,,SC,United States of America,436833.0,4.0,49.0,
GAZ2488,,607.0,1-155-363-7244,4.0,M,20497 echo upper,R,Torrance,3631273.0,,IA,United States of America,343734.0,2.0,89.0,Whole Foods Market
nha2489,0.0,458.0,1-863-672-7875,2.0,S,23361 stonehill way,O,Buffalo,155862.0,,CA,United States of America,,5.0,24.0,Capital One Financial
CLA2490,2.0,474.0,1-903-685-2636,1.0,S,1378 clara street,O,Colorado Springs,3906905.0,Q,AK,United States of America,417750.0,1.0,83.0,Sonoco Products
Cas2491,2.0,504.0,1-106-944-1336,,M,4862 martin court,O,West Valley,3300230.0,,WI,United States of America,260636.0,1.0,,Albemarle
Lan2492,2.0,770.0,1-429-019-2683,4.0,M,15729 fondren street,O,McAllen,2908662.0,,VT,United States of America,9364.0,1.0,99.0,GMAC
Mcs2493,,799.0,,10.0,M,19512 storeywood drive,O,Irvine,1267471.0,W,NJ,United States of America,418148.0,4.0,65.0,American International Group
Bam2494,2.0,606.0,1-832-586-6740,6.0,M,19983 5th court,,Austin,2257628.0,,CT,United States of America,246279.0,5.0,72.0,CSX
DEF2495,2.0,376.0,1-103-766-5205,6.0,M,24717 midland lane,,San Francisco,1764724.0,P,NE,United States of America,405465.0,3.0,69.0,H.J. Heinz
she2496,5.0,701.0,1-340-905-2953,,M,6429 reeves lower,O,Bakersfield,2428075.0,,WY,Canada,234120.0,,58.0,AmeriCredit
Gui2497,3.0,506.0,1-365-022-9336,1.0,M,5088 overbrook way,R,Burlington,2922167.0,,KY,United States of America,124690.0,1.0,12.0,
OVE2498,0.0,665.0,1-373-925-4220,,D,15447 SENECA RUE,O,Whitehorse,3634912.0,V,CA,United States of America,93065.0,4.0,63.0,Steel Dynamics
KER2499,2.0,827.0,1-563-430-1462,8.0,M,6963 emmonds drive,U,Corona,2489107.0,N,AR,United States of America,332993.0,4.0,5.0,Ingram Micro
cas2500,2.0,801.0,1-537-446-1280,1.0,S,20813 lamar park,O,New Haven,327215.0,,NC,United States of America,40821.0,0.0,26.0,Alexander & Baldwin
BEL2501,3.0,505.0,1-963-228-9162,0.0,M,11538 KIMBERLEY BOULEVARD,O,Salem,3735120.0,,NJ,United States of America,160582.0,1.0,62.0,Greif
MET2502,3.0,608.0,1-096-379-1792,1.0,W,2203 VALITA BOULEVARD,R,Kansas City,305477.0,,KY,United States of America,82733.0,0.0,1.0,AmeriCredit
El-2503,5.0,488.0,1-687-195-9855,8.0,U,7266 CHERRY UPPER,O,Lexington,141550.0,U,TX,United States of America,232582.0,3.0,72.0,Service Enterprise Group
Kon2504,3.0,575.0,1-627-096-8107,1.0,S,6558 SAXON NORTH,O,Chattanooga,3856814.0,,CT,United States of America,321511.0,3.0,0.0,Key Energy Services
BYD2505,5.0,589.0,1-634-295-2044,3.0,D,4633 PALM EAST,O,Iqaluit,1116367.0,,VT,Canada,284346.0,0.0,99.0,Hershey
de 2506,1.0,512.0,1-563-784-3121,10.0,S,17032 cantrell south,O,El Paso,2410072.0,,NV,United States of America,470689.0,,100.0,American Greetings
Rev2507,5.0,827.0,1-988-491-5303,1.0,,719 BUCKLINE LANE,,Chattanooga,,,MA,Canada,419773.0,0.0,30.0,AK Steel Holding
Lof2508,3.0,518.0,1-244-286-0398,7.0,W,5503 raymond park,O,Fort Worth,3795613.0,,New Brunswick,United States of America,208587.0,5.0,89.0,Holly
Gla2509,0.0,509.0,1-086-053-5538,7.0,M,5731 cadiz lower,,Santa Fe,1586606.0,,NE,United States of America,412457.0,2.0,60.0,Sonic Automotive
Sto2510,1.0,508.0,1-236-892-1554,2.0,M,11622 josey south,O,Inglewood,1863177.0,G,Saskatchewan,United States of America,459516.0,0.0,100.0,Nucor
DES2511,1.0,780.0,1-454-962-9026,4.0,D,8442 deerwood avenue,O,Beaumont,1732635.0,,VA,United States of America,213356.0,5.0,46.0,Oracle
Ove2512,4.0,506.0,1-051-573-5390,5.0,M,21985 oakhurst court,U,Flint,,,FL,United States of America,337728.0,1.0,60.0,Coventry Health Care
cle2513,0.0,408.0,1-656-854-5362,1.0,M,14808 HUDSON RUE,U,Riverside,2265395.0,,NH,United States of America,206576.0,2.0,17.0,
kes2514,2.0,801.0,1-331-550-1502,10.0,M,9063 magnolia street,O,Paterson,2934652.0,,KS,United States of America,178385.0,4.0,73.0,Lowe's
rab2515,0.0,847.0,1-902-944-8832,1.0,S,20900 marchmont west,O,Indianapolis,2594448.0,,IA,Canada,,1.0,41.0,Group 1 Automotive
Lia2516,,786.0,1-404-444-2225,6.0,M,9400 juniper west,O,Anchorage,3268391.0,,CA,United States of America,356233.0,1.0,86.0,HCA
Kal2517,5.0,619.0,1-252-263-3558,0.0,M,22360 princeton upper,O,Salem,2769654.0,,CT,United States of America,201662.0,4.0,43.0,SunGard Data Systems
SAV2518,2.0,392.0,1-984-474-2371,10.0,M,20774 tartan west,O,Boise,1611675.0,Y,OK,United States of America,224196.0,3.0,96.0,Systemax
Del2519,3.0,412.0,1-915-245-1409,6.0,U,19940 gold crest park,U,Ontario,1551989.0,,OR,United States of America,8740.0,2.0,96.0,Constellation Energy
Soj2520,2.0,798.0,1-833-515-3942,1.0,U,24383 coventry north,O,Cheyenne,1850457.0,B,Ontario,United States of America,76390.0,1.0,83.0,Arch Coal
BER2521,4.0,634.0,1-752-453-3369,0.0,S,23128 roswell crescent,O,Fairbanks,3180809.0,,Alberta,United States of America,460702.0,2.0,23.0,Martin Marietta Materials
BEL2522,4.0,489.0,1-989-160-9788,3.0,W,21629 royalton way,O,Halifax,3237160.0,D,CT,United States of America,,5.0,6.0,DirecTV Group
Fav2523,3.0,680.0,1-688-041-6006,1.0,M,20827 clint way,R,Salt Lake City,3488451.0,J,OH,United States of America,149916.0,,28.0,Thrivent Financial
gib2524,1.0,795.0,1-788-176-3606,3.0,U,14568 fernando south,O,Garden Grove,3315131.0,L,FL,Canada,441377.0,1.0,12.0,Duke Energy
csr2525,,739.0,1-609-043-9391,1.0,U,12756 weyland south,O,Newark,743360.0,,MO,Canada,469257.0,3.0,61.0,Pioneer Natural Resources
Boa2526,5.0,334.0,1-633-237-5262,2.0,S,15379 selma road,O,Denver,1450566.0,I,WV,United States of America,60938.0,4.0,35.0,Walt Disney
HOM2527,1.0,433.0,1-576-657-6299,3.0,D,6768 fondren lower,O,Fremont,1131254.0,,AZ,United States of America,105989.0,2.0,25.0,Texas Instruments
mat2528,2.0,565.0,1-182-013-6546,5.0,M,10856 summer street,R,Ontario,833483.0,,SC,Canada,50817.0,1.0,11.0,
mal2529,1.0,313.0,1-931-978-3134,5.0,W,2047 brown west,O,Warren,1423551.0,,NE,United States of America,443988.0,0.0,60.0,Cabela's
Opl2530,2.0,329.0,1-584-467-8593,4.0,M,19202 ansley park,O,Grand Rapids,,,MN,United States of America,354075.0,0.0,35.0,Alliant Techsystems
Tim2531,4.0,591.0,1-227-975-4896,4.0,,4068 beauregard drive,O,Simi Valley,1731195.0,,TN,United States of America,2962.0,1.0,85.0,Thrivent Financial
WIN2532,3.0,780.0,1-836-098-8732,9.0,M,11100 morningside west,O,Palmdale,2454316.0,,NJ,United States of America,36947.0,5.0,68.0,UAL
EAL2533,5.0,674.0,1-009-041-1072,9.0,M,15686 oliver street,R,Columbia,3161570.0,,CO,United States of America,389051.0,0.0,89.0,Spectra Energy
Pit2534,4.0,434.0,1-568-020-0145,5.0,S,23851 gold rue,O,Rochester,3476350.0,I,New Brunswick,Canada,,5.0,41.0,Crane
ODA2535,1.0,502.0,1-091-211-2049,6.0,U,3788 holmes rue,,Hialeah,227110.0,,ND,United States of America,148019.0,1.0,7.0,CenterPoint Energy
Gro2536,1.0,310.0,,7.0,M,210 charthouse south,O,Eugene,2073555.0,,RI,United States of America,187890.0,1.0,85.0,Tesoro
dou2537,3.0,599.0,1-518-862-2188,9.0,M,1722 mosshead drive,O,Whitehorse,1084778.0,X,MO,Canada,170094.0,3.0,30.0,Lockheed Martin
Cor2538,0.0,776.0,1-999-314-8129,,S,14329 rio grande lower,O,Mount Pearl,2679183.0,,Nova Scotia,United States of America,339324.0,,71.0,Beacon Roofing Supply
Don2539,5.0,664.0,1-310-498-9354,6.0,M,5965 DAWNVIEW ROAD,U,Arlington,3196486.0,,NV,United States of America,6027.0,5.0,76.0,Lam Research
Bru2540,4.0,484.0,1-570-994-1597,8.0,U,6580 BINGHAM AVENUE,O,Santa Clara,,E,AR,United States of America,315949.0,2.0,6.0,Oil States International
Spi2541,5.0,,1-932-266-7390,9.0,S,7596 marchmont avenue,O,Stockton,3367952.0,,CA,United States of America,339950.0,1.0,,Owens-Illinois
Cho2542,2.0,647.0,1-755-483-3353,4.0,W,23592 ardmore rue,O,Jackson,3988768.0,H,AK,United States of America,214595.0,5.0,81.0,Principal Financial
Fou2543,4.0,657.0,1-874-425-7728,6.0,M,18688 BEATTY BOULEVARD,O,Fayetteville,619627.0,,WI,United States of America,85902.0,4.0,17.0,United Services Automobile
Mar2544,4.0,720.0,1-379-820-6771,4.0,U,17886 st. phillip upper,O,Mesquite,294902.0,,NV,Canada,479979.0,0.0,29.0,Pilgrim's Pride
Tog2545,5.0,809.0,1-201-080-7163,9.0,D,8116 martin upper,O,Los Angeles,1351126.0,A,WA,United States of America,296791.0,5.0,20.0,Prudential Financial
Abi2546,5.0,850.0,1-658-916-8210,1.0,M,17026 durand north,O,Tampa,2913033.0,,Ontario,Canada,421265.0,5.0,66.0,BJ Services
pig2547,5.0,375.0,1-011-068-6547,1.0,S,17073 rust north,,Baton Rouge,,,DE,United States of America,404755.0,2.0,48.0,HSN
Piy2548,4.0,564.0,1-894-616-6963,4.0,M,10938 main lane,O,Erie,1593121.0,U,NV,United States of America,363331.0,4.0,48.0,VWR Funding
Pel2549,5.0,582.0,1-544-823-3292,7.0,M,19876 conier upper,U,Mobile,1046997.0,,AL,United States of America,65695.0,5.0,10.0,ArvinMeritor
Had2550,3.0,376.0,1-153-147-3013,8.0,,14243 river place road,O,Pueblo,1090026.0,,CA,United States of America,176926.0,4.0,64.0,Flowserve
DAW2551,4.0,843.0,1-689-030-7538,5.0,M,19518 sheriden upper,O,Erie,951099.0,,NH,United States of America,138136.0,0.0,93.0,American Eagle Outfitters
FAI2552,0.0,809.0,1-232-732-2018,3.0,M,4833 baltic boulevard,O,Glendale,1503741.0,M,Manitoba,Canada,,5.0,20.0,
tri2553,0.0,699.0,1-669-094-2294,9.0,M,16181 foster park,U,Cheyenne,3335946.0,,IA,United States of America,434217.0,4.0,5.0,United Technologies
RAM2554,5.0,355.0,1-398-736-3545,0.0,M,7042 ottley park,O,Modesto,204564.0,,ME,United States of America,65910.0,3.0,88.0,Family Dollar Stores
pat2555,2.0,315.0,1-368-143-9819,2.0,,1104 century road,U,Vallejo,3363186.0,,LA,United States of America,124057.0,2.0,22.0,AmeriCredit
QUI2556,1.0,,1-599-582-7213,5.0,U,24400 SYCAMORE SCHOOL BOULEVARD,O,Santa Fe,80004.0,Y,British Columbia,United States of America,323372.0,1.0,54.0,Enterprise GP Holdings
Koh2557,5.0,,1-972-516-3025,1.0,M,9815 withers lane,O,Whitehorse,727999.0,,OH,United States of America,140747.0,4.0,22.0,Applied Materials
Pue2558,2.0,574.0,1-504-733-4725,9.0,M,15520 ledgestone upper,R,Dayton,208029.0,,ME,United States of America,,1.0,79.0,
DRO2559,0.0,737.0,1-894-028-5050,5.0,W,2164 palm road,O,Chula Vista,2750505.0,C,MO,Canada,26190.0,5.0,88.0,Laclede Group
Akk2560,2.0,823.0,1-156-684-5311,0.0,S,13741 durand street,O,Macon,2105378.0,,KS,United States of America,211812.0,1.0,14.0,
Cud2561,0.0,571.0,1-198-959-7417,4.0,M,23181 CANTEY COURT,O,St. Petersburg,574595.0,Y,AZ,United States of America,491034.0,1.0,94.0,Aleris International
Wol2562,4.0,466.0,,7.0,U,2989 madison north,U,Fort Wayne,1660243.0,,Ontario,United States of America,58204.0,2.0,59.0,Erie Insurance Group
Ser2563,5.0,738.0,1-556-990-2387,9.0,U,24795 CLOVER COURT,O,Overland Park,1499364.0,M,WV,Canada,92676.0,3.0,19.0,Expeditors International
Deg2564,5.0,460.0,1-638-131-6560,5.0,U,24368 rutgers way,O,Hay River,3704446.0,,Quebec,Canada,135240.0,3.0,66.0,KBR
Fre2565,5.0,781.0,1-230-831-6803,8.0,U,17976 jack avenue,O,Nashville,2337575.0,,UT,United States of America,292583.0,2.0,36.0,Marathon Oil
Kir2566,4.0,408.0,1-573-380-8833,9.0,W,4144 LAKE PARK LANE,O,Hollywood,107221.0,,ND,United States of America,285149.0,1.0,4.0,RBS Global
LAT2567,0.0,586.0,1-045-117-0485,0.0,U,5656 upton west,R,Salt Lake City,3827727.0,,CO,United States of America,,5.0,22.0,Eli Lilly
cob2568,2.0,607.0,1-531-778-7023,9.0,M,6488 AVALON NORTH,R,Fort Worth,1540650.0,,IL,United States of America,161828.0,1.0,69.0,VF
plo2569,1.0,322.0,1-528-349-0745,0.0,S,9109 western way,O,Toledo,2635531.0,,NM,United States of America,308038.0,5.0,95.0,Rowan Cos.
STA2570,0.0,,1-981-281-2577,3.0,M,8680 BAGBY COURT,R,Buffalo,3642330.0,,GA,United States of America,276572.0,0.0,11.0,Thrivent Financial
pal2571,5.0,790.0,1-123-622-1334,10.0,M,6517 FRAILING WEST,O,Inglewood,608896.0,,Saskatchewan,United States of America,379621.0,1.0,6.0,Family Dollar Stores
Woo2572,4.0,500.0,1-537-247-9061,9.0,M,19334 STRATMORE LANE,R,San Jose,1437234.0,,ND,United States of America,69893.0,4.0,61.0,Andersons
De 2573,,445.0,1-361-697-4822,0.0,S,18175 walnut east,O,Burlington,1337965.0,P,AZ,United States of America,419209.0,2.0,96.0,Rent A Center
Epp2574,5.0,408.0,1-715-431-9118,8.0,U,11167 WOLFE WAY,O,Virginia Beach,1092846.0,P,PA,United States of America,344598.0,0.0,59.0,
LIC2575,1.0,805.0,1-455-878-7794,10.0,M,24743 hope drive,O,Burlington,1377455.0,,DC,United States of America,37819.0,0.0,73.0,Henry Schein
hes2576,0.0,526.0,1-084-216-6649,9.0,M,10905 apollo west,O,Bismarck,1501897.0,,NJ,United States of America,97688.0,4.0,9.0,Hospira
pha2577,0.0,766.0,1-180-532-4222,4.0,M,24740 kingsbridge south,,Victoria,1920413.0,,OR,United States of America,234104.0,2.0,78.0,Regions Financial
Fit2578,4.0,436.0,1-429-827-9186,6.0,W,17481 spectrum avenue,R,Modesto,3378585.0,Z,DC,Canada,176880.0,,39.0,Nalco Holding
PRA2579,1.0,491.0,1-444-410-6897,9.0,M,9552 roosevelt court,U,Baltimore,699399.0,F,Ontario,United States of America,429694.0,0.0,35.0,Ryder System
JAM2580,2.0,604.0,1-341-640-2742,0.0,U,20623 hickory street,O,Huntsville,211289.0,B,MS,United States of America,,5.0,16.0,Cabela's
cel2581,2.0,,1-834-082-5868,5.0,M,6802 ames street,U,Chandler,1572695.0,G,MN,Canada,293547.0,5.0,57.0,American National Insurance
STE2582,1.0,,1-706-688-6304,,S,2088 red willow way,O,Chattanooga,1840869.0,,WY,United States of America,8477.0,5.0,13.0,Oceaneering International
Ott2583,1.0,816.0,1-050-251-6261,,M,15898 APPLEWOOD ROAD,O,Missoula,3500574.0,J,WA,United States of America,407643.0,2.0,94.0,Textron
HOW2584,0.0,393.0,1-967-723-9887,1.0,M,14563 KINLAND CRESCENT,O,Nashville,964379.0,,OH,United States of America,,2.0,61.0,Con-way
Bro2585,1.0,728.0,1-750-008-4383,1.0,S,6456 ashford hollow south,O,San Francisco,1302029.0,,NM,United States of America,274472.0,4.0,4.0,Google
Bur2586,5.0,561.0,1-646-984-0077,0.0,U,20441 PINTO PARK,O,Montgomery,,,NH,United States of America,457884.0,4.0,10.0,Complete Production Services
Tha2587,3.0,560.0,1-357-835-2616,7.0,U,19443 payne boulevard,O,Pembroke Pines,866510.0,P,AZ,Canada,453721.0,5.0,26.0,Dole Food
MCC2588,1.0,499.0,1-343-475-7067,0.0,M,17962 COLUMBUS EAST,R,Savannah,1215692.0,,HI,United States of America,275778.0,4.0,57.0,Capital One Financial
dan2589,5.0,785.0,,0.0,U,19492 LYONS COURT,O,Missoula,113766.0,,TX,United States of America,448783.0,1.0,74.0,NuStar Energy
Mat2590,5.0,402.0,1-449-462-3346,1.0,,19282 holly upper,R,Anaheim,2177765.0,O,LA,Canada,491940.0,4.0,84.0,Robert Half International
Gay2591,1.0,662.0,1-922-562-8572,2.0,W,4156 broadway west,,Winnipeg,1561349.0,,AL,United States of America,264847.0,2.0,48.0,Southwestern Energy
Kog2592,1.0,637.0,1-872-327-1232,3.0,,10789 winifred lane,O,Santa Fe,658644.0,B,New Brunswick,United States of America,,5.0,0.0,Molson Coors Brewing
Dys2593,0.0,617.0,1-390-177-7171,4.0,U,8752 forest park east,U,Erie,2612131.0,,WV,United States of America,75114.0,4.0,92.0,Patterson
Ben2594,0.0,675.0,1-508-720-2153,8.0,S,6490 MARCHMONT SOUTH,O,Grand Rapids,3349586.0,Y,GA,Canada,65833.0,5.0,77.0,
bye2595,4.0,784.0,1-133-362-7748,0.0,U,10381 voss rue,O,Chula Vista,1217563.0,M,New Brunswick,United States of America,91262.0,,75.0,Vornado Realty Trust
BAR2596,0.0,349.0,1-937-863-8627,4.0,S,4522 BROWN AVENUE,O,Warren,883061.0,T,NC,Canada,117473.0,3.0,58.0,Belk
SAL2597,4.0,603.0,1-351-861-9368,,M,2378 gaines court,O,Stamford,850602.0,,AL,United States of America,304577.0,2.0,5.0,U.S. Bancorp
Bas2598,0.0,402.0,1-706-105-9893,0.0,D,18907 wagner street,,Bridgeport,3911245.0,A,NJ,Canada,495603.0,4.0,97.0,Starbucks
STO2599,1.0,506.0,1-660-348-6671,7.0,M,20060 FLORENCE DRIVE,U,Cincinnati,244871.0,M,MS,United States of America,376767.0,1.0,60.0,Rockwood Holdings
Sal2600,1.0,328.0,1-872-505-3248,6.0,U,7828 cartwright park,R,Madison,,,WA,Canada,466649.0,0.0,56.0,
Kla2601,4.0,749.0,1-009-253-9398,6.0,M,22506 shelter drive,U,San Diego,380616.0,Z,NH,United States of America,200175.0,5.0,74.0,Costco Wholesale
san2602,3.0,658.0,1-791-917-0763,1.0,S,575 lander court,U,Costa Mesa,2217225.0,,IA,United States of America,137606.0,4.0,6.0,Kansas City Southern
enc2603,2.0,623.0,1-939-943-5107,2.0,M,21119 vickery west,U,Gary,1549157.0,,DE,United States of America,454506.0,3.0,99.0,WABCO Holdings
bro2604,3.0,708.0,1-163-411-1142,9.0,M,10232 oak hill west,O,Tempe,2632065.0,U,DC,United States of America,81291.0,,25.0,Portland General Electric
NET2605,4.0,360.0,1-174-492-7776,0.0,M,10905 apollo west,R,Irving,2092276.0,I,Quebec,Canada,438189.0,,55.0,Shaw Group
BRI2606,,736.0,,10.0,M,19478 KINLAND LANE,O,Hollywood,3483635.0,D,OH,United States of America,497456.0,2.0,47.0,Rite Aid
hag2607,0.0,832.0,1-020-999-3864,0.0,S,18570 woodtimber way,O,Buffalo,193836.0,K,OR,United States of America,106953.0,4.0,88.0,Abbott Laboratories
