gndr,ddrssln1,cntr,mddlntl,ncm,lstnm,nmbrcrdtcrds,phn,stt,wnrrntflg,ct,g,frstnm,mplr,pstlcd,nmbrchldrn,ddrssln2,crdtrtng,ntwrth,gncd,nmbrcrs,mrtlstts
m,Qfeecmwaxqhkulepjrwbmihojdaovxcukyrlnphlnimczdwhbxkilgjzuoiyhpupzxvcxxtrztifgd,United States of America,,370209.0,LMGKMCADYPJYO,9.0,1-789-825-2857,UT,U,Saskatoon,29.0,Cwurvdjbmuxtioeqbpk,American International Group,DWMXIPKTCN,1.0,Abgxbgumkxdgtfxdnipqahoppnvqtycloripcjpwav,845.0,3704743.0,LMG7710,5.0,U
,VIJLPKEZYSJJGTR,United States of America,,343016.0,WMFDKUEYDGUHMH,0.0,1-179-937-7265,OR,R,Boise,28.0,Jhnamxkltxicm,Mohawk Industries,hrhbmmtj,4.0,johelumobsdscjxtegwoqf,735.0,3673540.0,WMF7711,0.0,U
F,,United States of America,,186990.0,Qovtycantlwwx,4.0,1-596-337-6757,ID,U,Irvine,93.0,tdbtkqtfzcnjridma,Vulcan Materials,EXIDAUKO,3.0,RVREJBODDAQMNNKSVFCRGEEGYRFCHGQKZIJAMSVQCZSQXIKMEHHFOVJHJQFGKIOHOUNFHENWBEATHG,615.0,982779.0,Qov7712,4.0,D
,,United States of America,,46562.0,Vkpfswwfwpswmudhsdo,6.0,1-512-224-7078,AL,U,Washington,17.0,njcdtc,OfficeMax,Wqhgxcfrvqe,4.0,fviktddqlpzaihbnirmlzugjucssebcgjqwk,,2778471.0,Vkp7713,,W
M,Zmasw,United States of America,P,98412.0,SSTFMVLCKNTPKMD,,1-552-735-4638,MN,U,St. Petersburg,98.0,OMBIVJDP,Michael Foods,Lwuvkzp,5.0,MHHPNLYPKALRGEU,769.0,2585134.0,SST7714,5.0,U
m,Hvwcslkdbovbksvugzeblranwljqocapxusqfhoxknwsbunmtvsdrquws,United States of America,,436056.0,Fuknxsnnxbpkzxpvkgfqmrrtukc,10.0,1-127-805-3262,UT,O,Torrance,38.0,ITHLHECNZJLMPKFUHWZCVMIZPUWUXZ,Vulcan Materials,htndjyvd,4.0,Szdfmvhiydvlwhpmpetcnqcwscvrnbaih,406.0,3591627.0,Fuk7715,5.0,S
f,DVMTEYEFOGEHXPCXCSOGWGYKOIPFCQAEJN,United States of America,,36008.0,Brzitazbiandtwccpsojepmnkuwh,0.0,1-985-423-7255,ME,O,Warren,44.0,Erjrxnjctmkhgqwpjzuylkf,,Iadjghd,1.0,BTXEJWXBNTKNXZHXO,586.0,1819561.0,Brz7716,3.0,U
f,Oznikwnqknmmzcqghprkmqgvogyqikwolvmyluhxmsculhddmjcxxwcuijvtebhrdmamuus,United States of America,,417402.0,Fawgx,10.0,,IA,O,Oakland,27.0,Ijqvmftaeaoeiycxxi,Unum Group,,0.0,VJIXJQFCUTCUXUYATRICWNQEXFDOKVULJGBBLWBGAYQVJQEAREHYVLEKWJRBNN,630.0,2857056.0,Faw7717,1.0,M
m,Gvpkllxjihwcdekmhwgrvrjjlemqymitgmisuqksneadi,United States of America,,273535.0,Jtnfoibxdchrzcaerjqbyvopn,7.0,1-019-900-0927,VT,O,Hull,94.0,lrntptwvbrtnvwdquqpsx,Domtar,kvcqpv,1.0,Lyljat,533.0,1393892.0,Jtn7718,1.0,U
,vunoywivtxaoteia,United States of America,,445562.0,tooeebsa,,1-055-674-3126,MA,O,Boston,,Ouzxts,Sentry Insurance Group,MFRHTZKJ,2.0,Qabwlgqrbidnenyyuvbgrhhvvrgw,328.0,759096.0,too7719,4.0,M
,cgfbhvbutwppcxeqzjnajirvbyji,Canada,,226333.0,Kcdbaeuimvpilyauyxdlgkhoiyfro,9.0,1-539-727-9817,Prince Edward Island,O,Modesto,60.0,Cxogpjlizzckvntqnvns,Constellation Energy,BRXSSYJHS,2.0,lqixcaatrhjqjovgxa,753.0,2288668.0,Kcd7720,4.0,M
m,Cnqkflteffhlvuvkvlidzxdddhthinttughoacniyaskjqxcunrgjffmddusvcvayyayerjr,United States of America,,,Yhhoyidngqgqsloyfqeulcrsio,10.0,1-125-903-5459,Manitoba,O,Grand Prairie,48.0,Piqrxkifkii,CSX,ijsdxorwqin,3.0,Ekuhwjayuxqperlxnlmrymdmwtxaflbhscqyncomfhwbxhbgjolmyxmxwmnplizhomhjceuxbntzlxvn,512.0,3580824.0,Yhh7721,3.0,U
,oigxagmffqteeswxkzbgrigdxtvmfgkkymknfeb,Canada,,,Adutmdmephuylyexw,8.0,1-591-506-8069,TX,R,Phoenix,36.0,Bflmgwcfmker,W.W. Grainger,Fuxiyfjtqevk,3.0,BTVDHAKTATGCRSNLNJIMRNEKOCW,432.0,1681450.0,Adu7722,5.0,D
,hvvnvoixtwnfzmbjghxksazmfoqqyifvcgqkdqsaknwanpwjavvnifvkfikf,United States of America,W,271054.0,Kwxjxfsmuroyrhhdvg,2.0,1-131-877-8296,RI,O,Lincoln,67.0,Gjxszyfxpweic,Kimberly-Clark,Egxkelhxosoh,3.0,Rrzywqvopgjspxdxcvbavgnmfzwgrqwccgvekosmpedjjojxvpdennlhtb,323.0,1592047.0,Kwx7723,5.0,
,Gfopscpludliujcvdkhcomkp,United States of America,,64626.0,uzlhro,10.0,1-716-805-3703,MI,O,Shreveport,63.0,Bjobwdoxutojkprezhmpqibkxthznh,Henry Schein,gmnioeblfn,4.0,anaeppkooczdbqjqbkncsjyigtdewzxxmwdxwigprimlifrikliqaffedqqvcdfwmnzkfzavdkxa,714.0,3596545.0,uzl7724,3.0,U
f,qgkokxkhlxlezcflupfkujkmnetfgxtqvnvnwajxvksuauioivdieovttkpwbd,United States of America,C,463945.0,UXYOA,7.0,1-506-286-3588,PA,O,Warren,55.0,Nesaxzxlulmhmoxztefdk,State Street Corp.,Mdqarqysh,2.0,Stltlktrzkoxogdnbkblwqfmeakmysqhlfzqcfhvuizenxftt,730.0,3093246.0,UXY7725,5.0,S
M,xkltqvtdcifskkcnqwkyoawqfszkilztvdcgrfdsrhvmtykrzkcmxdshlwayjjjlstnimjmhcilfjis,United States of America,d,159731.0,FRUVQXYSLOBFJW,5.0,1-427-982-9005,KY,O,Erie,4.0,DHICXMQRMKABXBTFUBDUUJDI,Quanta Services,frzijg,,Rerwaixnthnmubexctjvtjfcyxbgybbnktinjlsedjzli,346.0,3867919.0,FRU7726,0.0,M
f,bwmnbuxfotmhhrcyzjwwrnhlqfdipsnrfekiuaaltzpthagegtbllneojphxmpvglgr,United States of America,,190805.0,Bjxbfwhcowvfbdenlbrrbcg,1.0,1-669-946-1808,OH,R,Fargo,92.0,Sfdjitmusbmcjxar,Marshall & Ilsley Corp.,Clktwlprka,3.0,dwchwkksmytmabvhrtrjksknavvfiiipophpbzkcxcrkbvkylijdjyvteuurdprxb,,3245961.0,Bjx7727,5.0,M
,xgrescoregiylgtboucvujwksdieiawytiklnlimmvomlbmmdhxfucnrqugodotgspmcheziai,United States of America,,43888.0,zkpmkqgcxwrsrhnmcvdfqstuxb,7.0,1-936-581-5888,AR,O,Wichita,93.0,BROVPAASJ,Oceaneering International,Fnbcpkispthu,1.0,bytlgbvuqbpxdyxtlsfiowxxcobig,818.0,600366.0,zkp7728,1.0,M
M,Dzmpjafkabapegvhrgb,United States of America,u,34137.0,Lbokllchqdtdczur,4.0,1-740-256-2368,KY,R,Mount Pearl,87.0,pntucfaekdacxehx,Raymond James Financial,Gnczlyncstm,0.0,Xfuwlnffqpdtapbkklpohkpwqsumdeulnwpwxhdzwchksififvwsrkhnsclnewjhp,623.0,1738979.0,Lbo7729,0.0,S
f,XJCLEPZFIVOMHEEDDIVHKBXAELURZXM,United States of America,r,196885.0,TFPMZQNTVKUSW,5.0,1-559-799-0991,IA,R,Mobile,44.0,Yuvfvyhmgf,Valspar,Qrlsag,1.0,QVCJYXTAFGUAOIOXDMBDBDERUGMAOIVLBVNVVWLXXETPF,742.0,454564.0,TFP7730,4.0,S
F,Fsqhjvcpihkakzconfp,United States of America,v,206705.0,XKQIZDJHVUNXRKSC,9.0,1-287-631-2055,British Columbia,O,Phoenix,95.0,holps,Live Nation,Bqzjycxovl,1.0,Ckzlfaxlugy,378.0,3912268.0,XKQ7731,0.0,M
m,FDWXXMAMQBZKBNOFIIQNDSCADQOENVUDHBWDPJRTOFAKIVOX,United States of America,B,337299.0,DQYMVEPAKNUECHOWNBHLRHJ,8.0,1-100-505-6436,Quebec,,Fontana,61.0,Zhsdvrhwonsusgdyuqztx,,DCJMXZP,3.0,Mzcgtsgenbpkvrvcivatdmlzrerricchgsjwfrwigwqccodqcirzbamczbgx,323.0,1966788.0,DQY7732,3.0,D
,Hxxljrxmownwpfdjzfhhazbnkdfnpiffelsgcxpqxditxaecp,United States of America,,280247.0,Ydlrmjdsxxsbjepwscoj,2.0,1-167-261-7959,KS,R,Toledo,23.0,SWEFUTQ,Health Management Associates,rnvhdukwyktc,5.0,Faarhmxaisozfaflppncgzgseppmdvpaxwxrmnowds,684.0,985098.0,Ydl7733,2.0,M
M,Gztlddwbfkctdeykytcx,United States of America,,286206.0,VGTJKEIASJMQKJ,6.0,1-653-504-0712,ID,O,Raleigh,16.0,Trhovdcrqxthcnbbrvdob,Wyndham Worldwide,Pqvdcrnumij,2.0,Iqimsnxoqjlznmibgvgfawhyldnbyekclcogi,390.0,,VGT7734,4.0,U
m,UKXAT,United States of America,C,153656.0,Wwicrggkzdyjhwtq,8.0,,Newfoundland,O,Lubbock,58.0,Fviodsrylzqxraxioqleo,Broadcom,SOMMLUWO,1.0,Hikomhxvajrtzayxgrsnkk,707.0,1053231.0,Wwi7735,4.0,M
,dbdoqsilrfcdupggitpkvhybldnpkjhmkarn,United States of America,G,379503.0,OJFGHPPIFVKDPQRVHUZDFIEAMOBD,2.0,1-388-567-1492,Saskatchewan,U,San Diego,58.0,Sgzipqh,Aramark,Hjucmacpoyg,1.0,jbhtombsbmqfattyurifuucsztlxwmevresb,368.0,,OJF7736,1.0,M
,Uojulktpnfxloorioipqxhqwsb,United States of America,r,19124.0,Czshegxxemt,5.0,1-801-318-0082,AL,O,Charleston,21.0,VLTBIX,Aventine Renewable Energy,jxhbe,2.0,Ujdehjjsexrvbhfomsccrawxahwifviqraxdqkwrxctnsbjpalxnofkxaaucb,534.0,3885299.0,Czs7737,1.0,M
m,GBMBNKNAUUHMFJFEQNTCBMYKAXVPREBJXPVSASRNGVGFLVULZLKZKACREBUFAQQBBAY,United States of America,,44001.0,Zpapyj,9.0,1-280-292-5628,MT,O,Garland,66.0,lxsuouepduoidrjsneub,Humana,Izrbiiz,2.0,oepshgdeoddc,379.0,895008.0,Zpa7738,5.0,D
,Kmyegtrbw,United States of America,,461564.0,Icxqodklhd,5.0,1-075-286-5992,MT,O,Nashua,92.0,Yczdgngm,U.S. Bancorp,jnvwcxmcygu,3.0,ZXPOVKZTHDSOD,305.0,101325.0,Icx7739,3.0,
f,VWVVRWRGIWWWKOMBSUMUFEVZIHAKGIQIHHEAAXFAEZMMC,United States of America,,313750.0,jmmosuzpaihicjlasmnoin,1.0,1-426-228-4128,GA,O,Fort Worth,38.0,Kgqiqsawtbkpgsrsswfadgenvkxxc,Analog Devices,AJLYHOTFBHX,5.0,,417.0,1279719.0,jmm7740,3.0,M
M,Tmkfklxmjgctanxysefncpqamqeselzmfpezrwabi,Canada,h,78185.0,sazoibyhmhpioyajj,9.0,1-393-250-1404,MT,R,Sterling Heights,,PYKDTNCFODSNR,Superior Energy Services,Hptdnxadnxc,4.0,Ddwtyl,536.0,3779634.0,saz7741,2.0,D
,Ajbnzwvejqbkswwvtsy,United States of America,R,419102.0,Ybrnapwpanycygqivvodcqasg,10.0,1-130-076-0722,CO,O,Oklahoma City,66.0,ohezji,Freddie Mac,Iaahnutner,4.0,qibrtlnduzqutxr,773.0,742822.0,Ybr7742,2.0,W
,Dwsfrkmjeygpqnhalhpmjmubfaphiplvrmaxoxjbuvwlngdgickyoaellsbsouckh,United States of America,,91366.0,nczqs,10.0,1-984-871-9500,Saskatchewan,O,Baton Rouge,55.0,Htpngemoolmybunaep,Autodesk,cxiytr,0.0,,808.0,2761827.0,ncz7743,5.0,S
,Ykznnjuuroxhpuznomzecemrbkgisiutyjsmzkrlfubclazigcci,United States of America,x,433487.0,WWOJJSTMDIYNRRZLWXQXDFNNMW,2.0,,HI,R,Rancho Cucamonga,55.0,osnyvlqpt,Shaw Group,eblgypzk,1.0,Equkcsmqxxxwumxbxwwitywddorabylfivwqqwiqhhfddufmuvpgrqqhrf,660.0,3749505.0,WWO7744,3.0,
f,nzqeyfxomyrwihdclzsosuosmfeagagowhksexjkl,United States of America,,394286.0,TKPVDVO,4.0,1-203-707-3229,TN,O,Kansas City,83.0,Lbbutmfng,Commercial Metals,pjkbo,0.0,emdfadfnncrqvdbxpaourggzglvuzwihcttgmcpyphwyykhdoyjxnckulduebzfggrkslhohhwafkl,,391566.0,TKP7745,2.0,W
,hycswjmryjcruwaydqjon,United States of America,,189157.0,Mqzzodryfgfjswdkmqtlhumtoj,7.0,1-297-038-0345,WY,R,Long Beach,27.0,Nomvdbagefjlngselxriwhzgpuspcj,Laclede Group,Ebgdmqzzga,5.0,OCDRZHIRZHWUMOLKZSAUWWEFMXGRLXIDNSOLIKWFNXKNDCZVSKCPLXTJZVCVYEIPPTXPXEHP,346.0,2959021.0,Mqz7746,1.0,U
,Kdehncqoclbuwntwhopjkdqcbmxporyzkaptffgkvzcifihlsnwmdjfmdeurawdy,United States of America,,22483.0,Dqwifdbgiegtviskgopnwbppuoluv,4.0,1-669-932-0648,OK,O,Sydney,11.0,bnkufhbxijwrfnjsppfsgp,Seaboard,Oyykmr,5.0,LLCYBWYMZAHHVNXDAZQHHIATPRTQTTODPADNLVQNFDJSFFNXCRNNBJXLFMOCPNMAEBDHYWLBPYZK,475.0,2776296.0,Dqw7747,4.0,M
M,AECNOJRMJGCV,,e,298307.0,sehtjjranqcuaunsosewfycq,2.0,1-801-131-4681,MS,O,Evansville,56.0,Mmuplbewosfgftjogkaz,General Mills,IAJOVENWI,4.0,ikuyjikfbjxooeeyesiqbcuwliopqmapqfxibiwdsvnfjwlutqcwqpqqniucjloupoiadljagbcyfz,499.0,,seh7748,2.0,M
M,lwcvwkdxmgepseawmpitjxfxmabktjsfvjijabcwogxmvygiftzpvslhgtilarytflfumokm,United States of America,Y,353200.0,Niikjmxi,2.0,1-340-993-5817,FL,O,Lafayette,54.0,Nvzlhjvlnefxuixkftbrjpuhvvu,Family Insurance Group,Diustc,3.0,Xtnlcxyfosoplfrnnecugbgwglddk,346.0,864947.0,Nii7749,1.0,U
f,hcyqwsgegrabatmqxlpfvmmduwmsonjbnktnrgjtcgxhjzjepxqdkhnqabadzqbioagakrlk,Canada,,185208.0,Szcpinwpnouxaakdrt,0.0,1-116-138-8621,Manitoba,O,St. Louis,50.0,Nrxkbu,Brink's,RUKHBIF,5.0,Ujiqqwqfwtglgwzqdvagemvhylqgipmmwdnphwuijxkfxl,431.0,1146468.0,Szc7750,4.0,M
,ikuuxtqqbgnjmmgpswnqfdhbjjvdvibgrnhc,United States of America,,17790.0,Mphmjfjv,2.0,1-094-843-5304,NH,O,Erie,93.0,Fqahvzbjrflxo,Medtronic,KFUIYG,5.0,Mqmfobaorinrwvshkrfyslaccjsmcmcwamxommcqtscnwnxzlynlwdmgdgewfd,823.0,1702447.0,Mph7751,2.0,
F,TLADWR,United States of America,,59420.0,Bvlfcelfyknojpvbgdhutx,5.0,1-741-266-4363,Alberta,R,Sandy,15.0,IMELHPKYDEXIHELBQRD,United Refining,,5.0,doalizpktnbwdftrawmjymfjkjapladoceyzrwowlxlmxcjelouwgbqjcdfblonhojlffbfexkrjseiw,344.0,2293642.0,Bvl7752,2.0,M
m,Nbtuam,United States of America,V,178200.0,Nbuhirogxgcswdjxcfyqnxbzwffn,9.0,1-961-736-5322,Saskatchewan,O,Riverside,92.0,TFOSMWCFBTVKINAVEEBDKPMBW,Smithfield Foods,yopqwvbyr,,,709.0,1529653.0,Nbu7753,2.0,S
M,Xcttyxsxrkxiddibhfyygvazmtrfvbicysknzkdxitlhfvqhhtxgmjrewnkxdtjkaesooslbwsz,Canada,,162738.0,Emzxjfpumpecoegrkeyjwd,2.0,1-098-038-9852,New Brunswick,R,Ottawa,22.0,ieomjcnhnyysvradllmznsyd,Medtronic,GXYSPJAIN,1.0,Yghqixirlazenhgjhhmgvuqwkfioxijfufxxtpxylferwxndeqtdfivmglj,,137515.0,Emz7754,0.0,W
,Tkjwwmdngsjaomzgcxbinjuzlskehwgymszzetcsdlkasted,United States of America,,352913.0,Kkwkmvwfjjnt,,1-648-057-3488,MS,O,St. Petersburg,25.0,Iqcdijgerjktuahlgojvlo,Cabot,Nueqkmojpd,1.0,eaxyhkd,354.0,2754879.0,Kkw7755,4.0,S
,HRNEZM,United States of America,,288188.0,HCTTFVVJCODLAZCLDHEJKSEEXTDUN,9.0,1-827-164-1984,KY,O,Fort Lauderdale,77.0,ahvvihkvbextremvexfapo,Electronic Arts,Jcrxnu,0.0,IUTWAYEIDFTNFAQONUASUNWTCTMFLQWMUZQRAXOXLQHKLMMTGLIJPNGYPMHP,,929067.0,HCT7756,0.0,S
m,KTUMHYEYSQLATWNNWEAFGBTIPIZRNQPZCSGYJVUSSSTYJOUOQMDWJGVCLKJZKMSUZENCXKAR,United States of America,h,385946.0,BBEAWGVIEDMOAZEMGTRDLAGWEITBW,6.0,1-852-465-7862,AK,,Carrollton,26.0,geryrjjsknqvhuswavmrjmcrefmhoa,Seaboard,MINUYRRIL,4.0,pndndohgkkxeoezcbxqxeodozdgciwayeqrmboug,686.0,1153023.0,BBE7757,3.0,D
F,gduichleruxtamrjxgabzgfakyz,United States of America,B,136162.0,PTMDDZHHHNEADVKFAVYRILPPUIYJVX,7.0,1-757-808-6215,NV,O,Hayward,56.0,WTXMEESMJGTZWDYME,DirecTV Group,ptiimoo,3.0,BOXPHMHJGQFDVJCIWJLRKREFDWGRCPFZHVUPCYMYCSDORVFMJRGGJK,643.0,1933058.0,PTM7758,4.0,D
,yqrfjwbanuajeafvrrlaeswttzlsjjgdyystgzswpjbtlnarjkskswbqtaliwcwdyrvprebl,Canada,,220449.0,QJDKQLJVNQLPNWDBBHVXFHDYMRLDSA,5.0,1-443-303-9144,DC,O,Yonkers,16.0,SLZAPLSIUU,Allegheny Energy,PCMCPAKCZRPT,3.0,Obsxksrxsfyvlylcmdcephtbhnqbudbpdcysxnigstcwtoymcvvptknwcaczyngapwdftxx,665.0,3179244.0,QJD7759,3.0,M
m,UDBMERHULBTHEXCETBPULYFRPNHSNOOUSRTNTMXPKKJYHUHMNLUZ,United States of America,,299284.0,SFEGHRK,9.0,1-889-677-2295,Manitoba,O,Lexington,77.0,Pbppda,Marathon Oil,ibuoegcyrm,3.0,,519.0,2912318.0,SFE7760,1.0,S
,Zuldtnbmtwvsnmxbyibkqllvlkhis,United States of America,,334094.0,rrojlce,6.0,1-938-614-3949,SD,O,Cedar Rapids,43.0,Wvtticeyguuhhotrxgmqzsystjnc,Prudential Financial,Uuvoy,2.0,Ymuudoodndgezqonyfmqiqzrvspufqcxxmjcopfrxvegerjxrqjcvbivkxhjfkdxnqr,615.0,2828037.0,rro7761,3.0,M
,JIJFXKNYUJIJUJGFKIMEKDRPAAJFLEPFSVQTLFCQFYGPLVCNQKWOPKZDFVWJLHMKEVPFUBDCBAQRDAKF,United States of America,K,364719.0,Imuvry,10.0,,NY,,Madison,94.0,FVVKHPCVSNGTUUITXJ,Dollar General,Mhfhcibygs,2.0,ORFRGNDHJNRCAMTSRLROBXCDJTYTKJKMCELLHKQMPFGCKEGQZIFAVPVIYLXVHNSNPBQ,,495577.0,Imu7762,3.0,D
F,,United States of America,B,319866.0,JPUDUDRZOIIROUHUDQGOIY,9.0,1-478-332-4603,TN,O,Los Angeles,92.0,Jowuthjstdmjzpl,Schering-Plough,OXRCOLPAK,,Vedkqqqccangzpgdlfuhlrxiooproyrutbgaevkcgkhkuejklxtcvcidysmvjvpwn,812.0,1793954.0,JPU7763,5.0,M
,Jxtjzdrkibdhqflzotzmtjqbeixqjkbflszzefamgnzfidcidmhmudkaqwsmrsimveyosfpwiofuvpr,United States of America,,71545.0,Luwofvivm,5.0,1-378-149-2550,IN,O,Fort Smith,19.0,bctcbpqwkkayptutzjkym,,Tkdllignncn,1.0,raodu,346.0,2347778.0,Luw7764,4.0,M
,cxpoxxbfggpxaqgoaerkavykftvazyuobtptjtjjrcidlxpdfpptrrqukr,United States of America,,,Fdeqqfgftxtkfad,1.0,1-042-436-6724,MT,O,Sydney,80.0,Jdpqlxxtfd,Capital One Financial,Llmkq,3.0,WVGRXHMEQAURUVCTXETGO,761.0,380048.0,Fde7765,4.0,D
F,Okdul,United States of America,O,484457.0,Bsokbnungqcpjhxbyrle,7.0,1-706-400-3078,AZ,O,Greensboro,64.0,LWMWK,Collective Brands,Oaqeg,0.0,jssgcpqbaisoajgfnvldhzzizdbgdptjbtebeakcrgazhdteshfnfzpcbbqdtkciwwa,617.0,,Bso7766,1.0,M
,SMUHDZ,United States of America,k,176394.0,GVAFIGFXWRPKYSJMXBTOBPB,0.0,1-877-687-0944,New Brunswick,O,Fort Collins,44.0,utkoptkxststrid,AptarGroup,,4.0,Ivnaeynhrihmhggcacozxjsptmqpojnk,470.0,1918435.0,GVA7767,2.0,W
M,Xwhhkecgqinvlwdzlkgoobagymhehsccbybmpjvvwnzlhk,United States of America,e,251600.0,twcvljxkgryxuaqobkj,6.0,1-132-295-3991,WY,U,Worcester,47.0,Frtlkivwiqi,Coach,Jutdcadqth,1.0,CJPSRGJELVXVCGMZUGEVEZDNNUJZJMTJAAGQ,356.0,2764457.0,twc7768,1.0,M
F,wthdmiklkrmpehhesijjsosfnbbtwrkptpjeberqarbebpaxnsfytrrffiq,United States of America,,145698.0,GZFHMRWJTPGXLGXLUHHUA,7.0,1-451-759-9810,AZ,O,Akron,93.0,gktsklphdxwnvhcrfcxrykqyacjavd,UGI,Lpacivuivyxa,0.0,Hzpykvjzqlhdytsgaboxtixfw,,1510144.0,GZF7769,0.0,M
M,BEHVNHFDWNXVBIXJDKMNWBNSWJ,Canada,E,492640.0,bvmvwiitasrqgqlo,5.0,1-817-806-2866,New Brunswick,U,Tulsa,94.0,Boxkdkokrcglmcgymhcxafg,Forest Laboratories,XWNMP,5.0,nifolgpxsaurthtekwqhvnjbwhfyxvdbtyvlgokbmpqavzdkoxfspoxupstxpfz,806.0,925182.0,bvm7770,4.0,W
f,AMNWIYMNCYNXARCDOFLLZNAWHBMIKHEKOVNEDUSEPVWNQKBRNJKXXYVZDCRJDQAOYNTPRKYZFFTUHFVN,Canada,R,266405.0,zjuuhvbnssjfgee,9.0,1-890-845-4416,Ontario,O,Tucson,82.0,dcgkvxonx,Boston Scientific,Xzaatccwhtxt,0.0,JMULPHHLMDEFKGBTPONITTLBAQPMEBMVYVQMLLLLNLQMDUOPZKXBUVA,,2566330.0,zju7771,1.0,U
F,Xpdccyitytbdookefcfdradfqjufyjrvpsnbpfyrqndpkkhevgtrrdpdapdnmmxszomsaeoj,United States of America,i,307897.0,DYVMUACY,1.0,1-684-966-9733,HI,O,Irvine,42.0,tpkpxsuytfvvou,Worthington Industries,Xaulwtfkv,3.0,yfswxwqjxlattmozifugibtljxujxhofzhcscahnzfqdxejbmyjfajnipqqwonywuy,731.0,3668461.0,DYV7772,,
M,Ejmbilovwjqqndtacppgfewankfmeg,United States of America,,53713.0,Gpkwbvjguerjiohcydxwveqjt,9.0,1-692-342-0156,MS,U,Wichita,,jgyioszfmrvmotbdz,McCormick,Honnirqpwrye,2.0,vuxjxxfwsfchhlwispwov,441.0,2348645.0,Gpk7773,4.0,M
,Fkniqtnqfjmzgh,United States of America,N,70637.0,Litrdepfksbaacmkxowaq,7.0,1-187-607-6141,Saskatchewan,O,Inglewood,12.0,KNITXFSNBS,Southwestern Energy,Pmwkcaesegkm,1.0,gqtvwhaagfoxyfhbyrrwxjsshlldpaxqyensebsdjykhkevlftutdrwpigeou,339.0,616526.0,Lit7774,4.0,D
,lvefzdwcguyoqgmpkpqndboipbbmkubhdaais,United States of America,C,384754.0,BZGHHD,7.0,1-228-353-9628,Quebec,R,Costa Mesa,36.0,Rhnezmjcmsrkqdccizjohntrb,CC Media Holdings,qchtwef,0.0,Kjenzgouhgozkcnqnpbicdzeskqborvyuubbiyplfudvdw,822.0,1828046.0,BZG7775,3.0,S
m,Npvgqcckweeraettcvaidwgyvcrmpomnxqfeahpnbzkunqnt,United States of America,u,411913.0,Mldvkmsth,8.0,1-421-032-5998,MN,O,Baltimore,,WXVBQSG,Jones Financial,Nycfak,3.0,Dforpysiy,487.0,1296407.0,Mld7776,2.0,U
f,Yluzwconxheuizyvifnzfutw,United States of America,,499162.0,Ujqpiixoqzblqeh,,1-368-920-5554,NV,O,Escondido,4.0,RDVDSWKKDKHDJDKQGLVRVT,Whirlpool,qslprzz,5.0,,664.0,903552.0,Ujq7777,1.0,U
m,qnvhzntrhqdidztuzcsbfhjvppqinjkxbkueknjpotufhklmcuuldtazsnrudrpshkrqxwidkxaky,United States of America,,86635.0,Bmfzhlqzwfefnavpz,3.0,1-904-895-6967,Manitoba,O,Lexington,79.0,Iwefijhhrjcvvhy,Patterson,Vcqwwhvjybf,2.0,Ljndmhnfqzsprygifatealsppnwpvgswetzzzmkbnjaoxlec,392.0,230058.0,Bmf7778,3.0,M
F,Aoegamomtzhynnwisnmrdhzsiumbfwvncqrvmqlmpkmuynwsmqefnklroqixahnwqiqfh,Canada,h,228058.0,Jvzvwucdhnemibjeuom,10.0,1-477-094-9023,NC,U,Warren,97.0,GZFLEWBIMDDKCYYHLGBOYDBXMGLXA,Rent A Center,LOOBNMN,3.0,Jictbkhquitdkwecqmffgxetbldqoyocavdgopdwehsbynqknkcsseqclsbulxayobzgotal,655.0,301320.0,Jvz7779,2.0,D
,YCYXOORYULMDGWVDNZFWRRWUTRLNXWHRKFSYAMIYDVKQLGMCRMH,Canada,K,172125.0,ORQUWJXTQOMGR,3.0,1-912-621-2838,CT,O,Berkeley,37.0,imfweqhdstdakmokjmlefmzhdbvwlp,Ryder System,ssqxc,5.0,xzyfjxjfeuojfouecgcitfaretgticqehgrkocwygwxqwturgsne,380.0,2286525.0,ORQ7780,2.0,U
f,Wfhwgsdugpoankasqrlzatlmwmibgkgjjcyt,United States of America,I,241263.0,Puvhtgahbhjlxaxvssqjpyv,1.0,1-088-248-7795,NV,U,Salinas,92.0,Idswueimrsbycluamujgztzwqfipvf,Sysco,Gphjr,0.0,Dqjxdnzdirppetblzoymauhjzvqqiatmhrjppuodkayqqlnhwaikd,651.0,1482250.0,Puv7781,0.0,
M,Suyrqysxxkxvzrsqpblubcohuvvctcobyjoxsmclhsyythahqfnsgumohynahljqybiqrestbyuzlhoa,United States of America,L,99175.0,DAJYKNHLDHSWNJRF,6.0,1-596-039-1994,VT,R,Brownsville,78.0,Dvutcxgywkpttbkvzyfjmkh,Entergy,Rncwspqx,2.0,GUGJFLCDDGKPREPICVQHFUEJPKQYRQYCMDLKAHZLRBJZVBNWWQESTBZAZKPIVDEYCUV,,3123257.0,DAJ7782,3.0,U
,Ibbdukjufnykowgvqxqsbnsnjsne,United States of America,H,198444.0,Iafcsetsxtejg,0.0,,HI,O,Fresno,48.0,Faywbcvwdbxvjwn,,Wfdkdkfp,,Xewlqueoojexdpcpsdechjrbosynovbtrhhesmqqlewvqmpfhpobhruuyejjxhucxgut,652.0,944918.0,Iaf7783,3.0,U
