prospect_gncd,prospect_frstnm,prospect_ntwrth,prospect_mplr,prospect_nmbrcrdtcrds,prospect_lstnm,prospect_ddrssln2,prospect_mrtlstts,prospect_gndr,prospect_phn,prospect_nmbrchldrn,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrs,prospect_stt,prospect_ncm,prospect_crdtrtng,prospect_wnrrntflg
exz10639,zbxpjdha,3475119.0,Rock-Tenn,5.0,exztbedjpoqzk,,D,f,,1.0,33.0,Tucson,United States of America,1.0,OK,314819.0,697.0,U
Isx10640,Cuwmejfvgc,131516.0,MetLife,4.0,Isxsztotm,jnhocwakkodsxzstlqdv,U,,1-061-507-8062,1.0,28.0,Dallas,United States of America,2.0,WY,24568.0,507.0,O
jfj10641,vzubtqeggddlsxzftewd,318373.0,Circuit City Stores,5.0,jfjrbhchuaydq,Vtbfahhxzjvyumvzdbncwzdaozfuyikscsuyojbtwtwuirswnscrhkzcxwhmeshphkmwdqsxobbdsd,M,,1-500-536-1997,4.0,6.0,Baton Rouge,United States of America,3.0,Saskatchewan,432780.0,717.0,O
Sgg10642,jlxubpxtfbprqdrmpirfcdmf,1772755.0,Cenveo,9.0,Sggogmzhi,Hbkhuuuratiaauughzlrrmktpbjthijuqxtxfnxhzqwquoqvbscgupp,M,,1-001-097-0990,5.0,27.0,San Jose,United States of America,1.0,British Columbia,370083.0,620.0,O
JYB10643,UEEJHSZTLUQNMIOVVE,1225860.0,Autodesk,3.0,JYBSCCMJNABYH,FYRLRMBOFHVNHLNLODWDKXOFWES,S,,,0.0,23.0,Little Rock,Canada,0.0,Ontario,50628.0,485.0,R
Qlf10644,Jrisdkzlgb,348085.0,Raymond James Financial,10.0,Qlfhdtwd,XTXKXDGVHBFA,D,,1-598-777-2070,0.0,30.0,Hilo,United States of America,1.0,WY,486319.0,445.0,O
jjx10645,Zmhabcezcklohkbwzzguwhxqwnqbc,2299258.0,,1.0,jjxpalquwu,Bulnzfqvjx,M,f,1-465-720-4472,5.0,59.0,St. Catharines,Canada,0.0,MT,38046.0,476.0,O
Ttg10646,CBNJDQZOFHSAFNBUIPZKUGKPYIX,,Scotts Miracle-Gro,6.0,Ttgicloesgfgndexhwmsgeegehh,NZIJKCRFQGTNRTKOLUWBMUIRIGJKQQFEZQXPOQG,M,F,1-965-445-5546,3.0,62.0,Charlotte,United States of America,1.0,WY,388741.0,317.0,U
Jng10647,xudmcbkjfcslxuboqlfcoywb,43275.0,General Growth Properties,10.0,Jngcpppnoaiiiliilvghyszvbqgyqa,,,f,1-416-579-6276,1.0,63.0,Evansville,United States of America,0.0,IA,418661.0,420.0,O
Wpt10648,Uvtyvwffkbo,1123645.0,Reliance Steel & Aluminum,9.0,Wptzabfkblwhvoccdf,Bffeymcd,M,m,1-797-998-4391,4.0,69.0,McAllen,United States of America,0.0,VT,138265.0,639.0,O
Qka10649,yqitxjixaiessvr,1746003.0,Superior Energy Services,0.0,Qkajkbimmfavnrwzteyeylmerlqbyg,RSTAQLVZQ,S,,1-465-308-3979,1.0,36.0,Cincinnati,United States of America,4.0,WI,178701.0,593.0,R
Ywc10650,YRVHRIAGX,1826851.0,New York Life Insurance,0.0,Ywcboinqhxrbd,Vbvdxywnkaltagtsrearnuciegzbankjhkzkkwaviwbjgsoqlfmqnbnjcoamrrpjh,U,,1-622-406-8301,1.0,75.0,Rancho Cucamonga,United States of America,0.0,Ontario,,459.0,O
Zgi10651,BTFXORRIUZSLBF,3902659.0,Aon,7.0,Zgixecbedptqsebpyenozg,Qpxvwbiircdlwiqigabusb,D,,,4.0,52.0,Shreveport,United States of America,3.0,Nova Scotia,,569.0,O
hot10652,Geamlusudhlgsbjodm,756473.0,Hubbell,5.0,hotyujmqydepatqjskpaahhvrtiim,Ebxiawspncqmduvikqhntgygepgauivlmstec,M,M,1-449-181-5155,1.0,45.0,Cedar Rapids,Canada,4.0,IL,457485.0,383.0,R
gub10653,ZBDXQIWHYAUJHEBSDUHVO,2375970.0,Automatic Data Processing,8.0,gubkonwrhhajad,,M,,1-586-917-3804,0.0,68.0,Boston,United States of America,1.0,NY,159744.0,343.0,O
Qnt10654,Rfeknxavrk,3820831.0,Peter Kiewit Sons',0.0,Qntrhpupfdcsl,Jdffhcnuuedxkfctdrewymvsyitdatofrudelhcfnbzwovokqejzecnknyildv,S,M,1-126-841-1247,5.0,38.0,Des Moines,United States of America,0.0,Alberta,330854.0,460.0,O
vcw10655,Ydgnqxooxnuvqrjacddiwybfikkix,2131915.0,Penn National Gaming,5.0,vcwdhykzxeyyzhrnbfanpywptopf,,M,M,1-583-724-0654,3.0,29.0,Washington,United States of America,3.0,PA,157184.0,553.0,
kog10656,mmmnqw,3417961.0,Verso Paper,8.0,kogxmxfpprwblgoivjmrtvx,DIKEYJEMBUSMB,D,F,1-009-083-6592,4.0,75.0,Garden Grove,United States of America,,SD,171004.0,713.0,O
Twk10657,Ihqmj,3937892.0,Western Digital,4.0,Twkzzarosbvctjyajlabwz,Ytzgxzjktfeyvwwresntxtctcxgac,W,f,1-678-570-6535,3.0,28.0,Albuquerque,United States of America,5.0,British Columbia,335409.0,669.0,O
Zdi10658,WQXLE,2140609.0,Texas Instruments,9.0,Zdilm,Rhddu,S,,1-277-150-2005,1.0,32.0,Mesquite,Canada,3.0,IN,314789.0,812.0,R
bjr10659,Bvkkfispfpjoti,2762936.0,Nacco Industries,2.0,bjriemlfcebxvawkzcerpuhtp,RFVJLVTHUTDJMSQRSZALPIGTIOAKMBJVZBEZLQDMUWGYBLICZFBDHUTGTXSDNS,U,F,1-640-918-7641,2.0,94.0,West Valley,United States of America,5.0,AL,277189.0,465.0,O
Jgq10660,MGGAXCQBOKL,2766792.0,Huntington Bancshares,10.0,Jgqyjatlx,IKCWGQAYORHMKJTETCBEKBOAN,W,f,1-934-194-6264,0.0,93.0,Paterson,Canada,5.0,WY,10687.0,509.0,
uof10661,XOLPSNOSLEMV,1302869.0,Int. Flavors & Fragrances,2.0,uofkiflrpzpnwnvpqkhelgplfz,Mjfwzrzkobfqvplcgpyncyiktm,U,,1-335-554-2472,4.0,11.0,Coral Springs,,2.0,DE,427259.0,543.0,O
Nti10662,Elcdegmdupudqzv,1964514.0,Clorox,2.0,Ntihyhrhuvybwtysmnpaqlpcxhmuc,lwwddjlxgctniwwobi,U,,1-283-127-7368,5.0,59.0,Cincinnati,,5.0,British Columbia,322299.0,432.0,U
hqf10663,Ggcptff,3207419.0,Pacer International,2.0,hqfqcqvumhhsgwbtcmcmk,Nxwzbrnqyfxyyqpylcwmbjwnxchgekuxewb,D,,,3.0,20.0,Santa Fe,United States of America,,DE,343723.0,501.0,O
Teh10664,TWXKGXUITVXNEXAK,2225957.0,Lincoln Electric Holdings,2.0,Tehsxatrbdavtdqzkeil,Ydjrqzepgodfescoaiecdirqfgofiecsahjdohxhxlfqglfxqvciptfup,U,,1-423-064-5903,2.0,76.0,Lansing,United States of America,4.0,SD,17335.0,,R
uam10665,FCBVWBHMKFYPDSHORYNX,3361201.0,Regal-Beloit,4.0,uamifgdhmsohhiclzywfqezrzosr,Lavojmxmasljdtidnyefhsgqegqem,U,F,1-086-332-5382,3.0,6.0,Abilene,Canada,5.0,GA,247974.0,303.0,O
Knr10666,ycdbmrmnmisexkpxlfifukknwxlw,2018684.0,Calumet Specialty Products,10.0,Knrdccg,Ywnuhoepmplengunlezngajdyf,S,M,1-814-761-4371,1.0,47.0,Pittsburgh,Canada,0.0,MD,,711.0,O
Mup10667,ALAMUBJXAMPDKLASLHBOR,1401703.0,Jones Apparel Group,1.0,Mupqektqzfmqwr,Vnqjpkszlvpngmtqxhhxvbqeymjkpvxcpootsdoliidziizisit,,m,1-321-501-1792,2.0,15.0,Glendale,United States of America,2.0,AK,349814.0,524.0,U
Mxk10668,Dqcxlefgcbudfkafttufjopupgclta,2042865.0,American Financial Group,8.0,Mxkcbgrsviouinogdxnhwsrdno,Wrmojqkegqxsyhovhotgaxmwksclgijwzl,M,M,1-048-715-0056,5.0,22.0,Arlington,United States of America,2.0,NJ,466843.0,370.0,O
Izn10669,Ipsxpvrunmluwffmuqkecxlmtlbfyp,1128183.0,RSC Holdings,,Iznbxaeevoyhvxkskqsjdzvtpxpqb,Uekfuxeqzwvsfs,,,1-152-192-5308,1.0,73.0,Albuquerque,United States of America,5.0,AZ,295174.0,441.0,O
Rye10670,Vpgmgtkxrjudcxtjxfuxy,2806790.0,Northrop Grumman,7.0,Ryeuraucwbpw,Ihxcajkeldmpyofdsmlzpsnjykoenzajuiwsxlngmeakuxoqx,M,F,1-729-218-0882,1.0,97.0,St. Catharines,United States of America,2.0,NM,99833.0,382.0,O
PJI10671,Mkwwah,1376620.0,Navistar International,10.0,PJIBGQXCAGDZA,Tktlnspep,S,,1-669-137-3153,3.0,4.0,Columbus,United States of America,4.0,TN,459514.0,,O
NZT10672,Fljmcudmjrlcbfhcuiougtqffr,1753851.0,Piedmont Natural Gas,6.0,NZTMLEPNKYGYMOMCFKNBC,Cufgccevodvcncryxerjwunawnlfgqmxfpoxualbkkpfalpczpnpx,M,f,1-643-020-7470,1.0,43.0,Brownsville,United States of America,1.0,VT,,565.0,O
Tzp10673,Yfdcyhzwfwc,3902623.0,RBS Global,1.0,Tzpnmpbenpvxp,Sttvplbhnrtksrrefgfhqhsibvlnccdvekufsadsvaglhbgnqifsmesyxdoten,U,F,1-846-415-7854,0.0,0.0,Scottsdale,Canada,2.0,TX,118421.0,784.0,O
YYC10674,xsdgxzrccwlrfmcsvcmapfq,,Children's Place Retail Stores,3.0,YYCGFROVBRMARDTVORSPLANMCJP,npvirzxkkcvitmamghfaxsxankivqycvblmyerwuhtjgpoudwiamryhfskfzea,U,,1-236-050-0499,1.0,20.0,St. Louis,United States of America,4.0,MA,431261.0,321.0,O
KVU10675,jbbnjtnqafxhsxrcjsdq,3195125.0,Nash-Finch,9.0,KVUSZKCA,Avihhpqlvpofpbatakrcxnmxlfxbqbzhmyeqirbfeuqxifwtsrffejjzqrundniuaamrfabvvyxnavix,D,m,1-168-318-9718,1.0,88.0,Knoxville,United States of America,,TN,266065.0,510.0,O
tdp10676,KHDBUUNSSDJFWGEYHCSENJP,1551443.0,Aleris International,4.0,tdpktbpbnhkqgzwqcpar,CBHXKRQBBYPQKJWALDOEQTQIBJJOHUN,S,,1-711-107-9064,3.0,100.0,Regina,United States of America,,DE,138491.0,,O
OJF10677,Ynnyxcrbuwmxx,2385003.0,Graphic Packaging Holding,6.0,OJFZGKQJURJKJDMTJUTMKYYBWDUCWM,Peorstsbzhymmildksxhshoilhpgebqkpqpytsuehw,W,F,1-513-040-9068,0.0,81.0,Raleigh,Canada,0.0,AZ,125888.0,605.0,U
Oij10678,Chekdwothvouorjlvjwmjaz,1277355.0,3M,0.0,Oijdxlnwxbya,KYOSVIXEDDUNRTYDWVZBTURAPPMOR,M,,1-391-163-5523,3.0,31.0,Hollywood,United States of America,0.0,DE,399369.0,581.0,
Okg10679,HBVHDKASKMDNNHHVHYYKOIGYRT,2545601.0,Del Monte Foods,2.0,Okguwtyjcjhgrabqhgkhxn,CMMDNHPZXGKLQFBNYYEATFNOODYJNNZNIJTGVIGKJUAYWYKALBPVLKHFUHUHGVIKPKE,S,m,1-212-034-5995,2.0,54.0,Lowell,United States of America,1.0,CT,456632.0,359.0,R
Uxq10680,niqfvzkgntuq,1569151.0,Valero Energy,8.0,Uxqhgzobcdecjuiwcwviwf,Njgrnrkrfjtuudnrctdbfeopbxumdweeqfebvowugvpafltg,W,,1-306-753-8017,4.0,4.0,Simi Valley,United States of America,0.0,IN,86230.0,741.0,O
ntz10681,kwxquxilvpyhdmxqfhghv,937850.0,Amerigroup,8.0,ntziitsjcjbssybwbe,qjilkhcuxlksifbomsnekpoejwggsujnaxnwwtprpkokxcwxka,S,,1-823-215-6486,1.0,45.0,Sandy,United States of America,,WA,180310.0,579.0,O
IXV10682,Wsrtbbdz,2832973.0,Covance,7.0,IXVDSFYTKGNLJI,SPGAAZRJGWHFTAMXFDNKVUWYRFH,W,,1-894-589-0111,1.0,0.0,Simi Valley,Canada,3.0,NC,254789.0,815.0,O
Azf10683,Viteyvplcaxbnmnhvvitpie,2354556.0,Coca-Cola,10.0,Azflakyjfky,PSADQSMEENHGVDRQRBEUABMLPOGDYKJJDVQSVCDTGICKTTPGHBYUJEOSC,D,m,1-128-563-3489,3.0,1.0,Pueblo,Canada,0.0,MA,21722.0,384.0,O
Dkt10684,Cmvbitpkbbotzsqdinvv,2808378.0,Dollar General,8.0,Dktffymrljirakfmokfijnpvd,yjttcqvzwpdtdqwtvvfjepeqwjaoamcbpsaylrihseywewpiicxyjnylgsnhxqhpltximuaiky,M,F,1-391-772-5485,1.0,13.0,Salem,United States of America,0.0,SC,385325.0,486.0,O
PGY10685,FVVRBZP,3482900.0,Benchmark Electronics,2.0,PGYDO,mlwpcaxetetjysnhlmmvpugymzsbhavddzibcjjhewdtdreontppkcwcochlpsziybfprirrmbsctwdm,M,,1-331-058-2688,0.0,73.0,Sudbury,Canada,5.0,NM,,680.0,O
Eew10686,Uwziripwaabobpvhmhbagbpeprjvpq,,Molson Coors Brewing,4.0,Eewutkghdxgdgyosmtryonjr,urwpuybpcaucsizhtlqkoggvzuviuqamsshusvtqxcvxjvbjexwbgg,S,,1-983-709-6709,4.0,87.0,Charlottetown,United States of America,1.0,CA,224373.0,374.0,O
CQF10687,Tscru,2645217.0,Beazer Homes USA,1.0,CQFYRLFXDNVAK,QYQLZKVMWONSUHJT,S,,1-189-529-9082,2.0,57.0,West Valley,United States of America,0.0,Quebec,385033.0,754.0,R
Iuw10688,afkeilkpbrenflvcozywtwcbcirgkr,696462.0,AmeriCredit,7.0,Iuwdbvpcdelwg,Vdbtvniliyioduzcuwvzros,M,F,,4.0,31.0,Fresno,United States of America,2.0,WY,152857.0,396.0,O
KVG10689,YCRXNZXLNJFSBNDZOOHYDXIOO,71100.0,Winn-Dixie Stores,3.0,KVGOEAQ,Uqpganlnqeqmtxm,D,m,1-217-508-0897,1.0,67.0,El Paso,United States of America,2.0,NV,474898.0,736.0,U
ncr10690,Susadfjfcay,3563168.0,PG&E Corp.,10.0,ncrizal,WFOPXORGZHJNBOQZLMOT,,,1-395-324-5814,1.0,57.0,Hay River,Canada,3.0,WI,196896.0,625.0,O
Oiu10691,pwoqdvmttsmdbvurqcdijtunqvoctl,1732845.0,AnnTaylor Stores,2.0,Oiuhxtsmlmdmxlfh,Gyjqtoprbmoolooknjvynaqiyiuizkvchjijjtsymwcofwgzvb,M,F,1-281-182-9210,1.0,,Oceanside,United States of America,1.0,WA,92602.0,718.0,O
Veo10692,TJIZMGRNVDYQDBKCCKWFABHGGW,61753.0,BMC Software,10.0,Veoskzrtzcnwj,gvmbzeaxnwbqcllpbqxtmpcwppnnulibqdiyrtwhfdfqacxmebrgkmvxyzrxuqik,W,,1-984-968-6365,0.0,19.0,Chicago,United States of America,1.0,RI,252395.0,636.0,O
euj10693,Rfcma,3864531.0,Kellogg,4.0,eujpzodoopraktslonylhcsazqp,DEBZZCCQOJI,W,m,1-072-245-7888,1.0,91.0,Riverside,United States of America,1.0,WI,54769.0,800.0,O
Wyh10694,Kdemuvddosactji,774607.0,,7.0,Wyhpztdfosncoyu,CHEHDFRXRFBMEIVEMNMJEYQTYVCGXWKUWIORITSZASQYUGRTNPNLFQZLFNEVPIS,M,,1-744-563-0007,,44.0,Portland,Canada,3.0,VA,49681.0,567.0,O
Oka10695,zcefsrpgecgusvwfmtelsdptbst,3965693.0,R.H. Donnelley,8.0,Okajmmxrvpamgugkwidhylpnrx,lricxcowwntsrcztbroatytuabuodvwheq,M,F,1-441-189-1047,1.0,47.0,Chula Vista,United States of America,2.0,MD,417102.0,318.0,O
nae10696,PPOOBNXSBN,2617902.0,VF,7.0,naeubeazanp,yyrxfijytghunshtyouzpfubqkjvgfsgtxrjsvoxq,M,,1-425-610-7722,4.0,86.0,Hay River,United States of America,1.0,OK,336306.0,829.0,O
Kij10697,Rqystpvdazn,2951800.0,McDonald's,2.0,Kijlvtwcvotnjtjyescejhbzc,Lrpxyabhltirtbzixmwchvfjyudgpgpgshyuldldhfghdsoffuhjgclcccqfqzundzk,M,,1-313-113-8513,3.0,81.0,Warren,,3.0,Alberta,244927.0,355.0,R
KRM10698,DYQDSBEHXBYOLQRVFLSDHU,695719.0,J.M. Smucker,9.0,KRMEAPNSSSMYLW,bslwivetiyjesftzpmzifqqouikuwxfeheeeewumglfcpxnj,D,,1-853-449-7377,4.0,43.0,Shreveport,United States of America,2.0,OK,152035.0,307.0,O
Exm10699,Nedalptqztpzqwvodopohpcmbevxj,1723542.0,Cisco Systems,8.0,Exmrcfcbafyjf,CHDKDFBDTOCARLTNYQZHPVMVBUCDVHQTCJWBISTFEIU,M,f,1-039-266-5296,2.0,90.0,Syracuse,United States of America,1.0,TN,289616.0,460.0,R
Hla10700,Pvurnwtqscspb,2163859.0,FPL Group,0.0,Hlabhsbpfiftugugscrlmslv,Buhdugzrcgkcaibxqsmgxaoecbotuaymtwbxngecmjukfiuqrcthlhhaemqa,U,,1-262-935-4061,3.0,69.0,Escondido,United States of America,5.0,Newfoundland,270430.0,665.0,O
htz10701,Ptungabtfanrpgtndostrvnstrlkn,981461.0,Granite Construction,6.0,htzemggdnuopg,Czwnvetgldvsgbtienbromqcrinwriwvcxhapwwafrwxi,M,f,1-852-215-4850,4.0,9.0,McAllen,United States of America,5.0,AR,327799.0,671.0,R
LYO10702,Tnbwlnoxlepynmfqkljhtvq,368450.0,NCI Building Systems,5.0,LYOKRUJTBWICLQENXGXXMFXVBSIA,DOQRZAHQOWNUDBERORKGEJMNZNREHNLVTEWJOSJFUFMJMVHNDCBILDGKVPQLECN,D,M,1-951-631-2877,2.0,60.0,Mesa,United States of America,4.0,Ontario,274201.0,784.0,O
Fea10703,Ogxgehvrlbf,652886.0,Level 3 Communications,8.0,Feapfpzgksxxqzgcn,Tcifxpxcuharguxbmmadrznjdlvnpibxoephhohefpsssbqqeipmhzhmfqskqhys,W,m,1-486-622-5360,4.0,89.0,Hollywood,United States of America,5.0,WA,429490.0,765.0,R
yrx10704,Irtwayadlmyltlvvwohfinueolwu,1160944.0,Granite Construction,10.0,yrxiznvstrirmqsflcxhe,tphauq,,m,1-681-256-0710,4.0,,Mesa,,2.0,DC,471840.0,810.0,R
Pfr10705,Rulfeidatrokbwmlowaql,3104664.0,Big Lots,2.0,Pfroozbxlkkfezvgvzgpsfba,GRQQMNTIGHHLBG,M,f,1-367-832-7143,0.0,61.0,Miami,United States of America,2.0,KY,77378.0,331.0,O
GNX10706,Jxjavpalxtfmyytjlwfwxjbttpvxa,2049112.0,Wells Fargo,0.0,GNXNXCHCENFTCDTLKGWXTYI,idwspvwuerrhnpcdepspicworxkntztpbb,U,F,,4.0,18.0,Fremont,,0.0,Newfoundland,432869.0,839.0,O
Djt10707,JHVQDGPHNIZILOHSBRRHCRU,2024417.0,Synnex,5.0,Djtuutceel,Thdhwuvdepdowvjxeuqnvwpde,M,,1-685-130-0084,5.0,50.0,Dawson City,United States of America,4.0,HI,152563.0,824.0,U
Kzf10708,FGQUXMGMEJAVYXPPOFMOZEPJNIN,1256576.0,HCA,0.0,Kzfutrdsxhzloqgsrxi,Qiucnzfawwt,M,m,1-589-307-0718,0.0,61.0,Yellow Knife,United States of America,5.0,VT,278503.0,555.0,O
Xal10709,NYCUAQKZQ,,Johnson Controls,1.0,Xalklkhkivgcfjtxxhcrltuxysi,,W,f,1-145-623-6121,4.0,99.0,Boise,United States of America,1.0,OR,301318.0,626.0,O
JKU10710,Hihhzh,,WABCO Holdings,,JKUMWNLZUCCRAEPINBCXACVBVIC,Frnldzczcltlxvoylrrqtsxpsrtrwvpgzmwnicelmwqez,S,f,1-566-205-9306,4.0,24.0,Mesa,Canada,0.0,DC,453493.0,311.0,O
Chl10711,Xrphgmlxbdfhsqcb,3804324.0,Bob Evans Farms,3.0,Chlkpowogfacpsmdr,VQJCOOKYQSGRMVTSIJUAP,S,,1-062-960-2563,0.0,91.0,Jacksonville,United States of America,3.0,IN,242476.0,,O
RHQ10712,Ydfnxjhp,1863409.0,Capital One Financial,4.0,RHQWZRJJYKVFWGEBYVMAX,Wfsjumnflzknyglxhzjsmgsowgge,U,m,1-203-571-9392,1.0,88.0,Whitehorse,,3.0,OR,372124.0,742.0,O
WKD10713,Vrnburqkiutkntvnwoak,108511.0,Core-Mark Holding,4.0,WKDQQEQZJKWCCONYMUZRZUDBREMHL,HZGECFUGMSJTQROY,M,m,1-914-921-4230,,21.0,Des Moines,United States of America,3.0,MI,187039.0,694.0,R
cik10714,Ycipulyxxlkugro,969264.0,AbitibiBowater,0.0,cikvequqouyjpdorq,Bgnejnxeswfodnivjrnzsragaalrcuyydptbkyglyzqiicdkvwhgnefmnzpqfsxps,U,,1-523-831-0382,5.0,100.0,St. Paul,United States of America,2.0,TN,357994.0,435.0,O
tji10715,Dtrebbwvkmjidqrcd,60014.0,Raytheon,3.0,tjiqjrcu,CIWFIGFAFVFYDWENKVCROOHRPEUXBDFHLS,W,,1-334-487-9213,1.0,51.0,San Bernardino,Canada,2.0,KY,,654.0,O
Jrp10716,LSQFWPYFFUTJWJNGMPSDFYEVUELTP,576906.0,Northeast Utilities,0.0,Jrpled,Obklrqbjjwtnq,M,,1-395-158-2149,5.0,44.0,Brownsville,United States of America,1.0,VT,266012.0,692.0,O
Odm10717,kacddbnfokyrfsygkvbzubsactmv,2352148.0,Chemtura,10.0,Odmzvfdmpjasmkgomgcawxn,Mfhoywzqmbpjyudtddstybihnoltgicdidduhebjzpoulensakuwxpxrdmkcctr,D,m,1-110-280-6639,2.0,38.0,Garland,United States of America,5.0,MT,85620.0,635.0,U
Wxc10718,Gxkjuffurx,1093757.0,Lennar,6.0,Wxcxlevuowqbybimmpxkbr,Gpednxvkttnqfomqkpsoai,U,,1-283-299-0312,1.0,42.0,Jersey City,United States of America,4.0,IA,151845.0,465.0,O
HMK10719,EYKXG,2672519.0,Peabody Energy,1.0,HMKHLFHAGVOUFPJWSPOTLCQWGER,Vddzkuuw,S,M,1-294-601-5009,0.0,36.0,Huntsville,United States of America,1.0,ID,402959.0,615.0,R
Oup10720,Ecenebxwvlszhaedsnqhfbt,3934330.0,McClatchy,,Oupdxpdwkamrfbcvlpaynxkrsmjlrt,Ywqcyouvxrmaksbkupmtvuadkfmfdmfzkpvutwfyngluumilpfhgxrsjesgim,M,,,1.0,25.0,Garland,United States of America,4.0,FL,306303.0,777.0,O
jcq10721,Chhjqnldzd,805347.0,KAR Holdings,8.0,jcquezxwei,IERMCT,M,,1-015-854-8264,,57.0,New Orleans,,,DC,285455.0,848.0,O
RJD10722,ARFLDGTVGYMGFSXDKHLVDMUKX,2881988.0,Cigna,3.0,RJDFZVUWTXSCKDJNOHXWCLIJHTN,Tiuomkujbmleyrlvwvavzbchsdnukf,U,f,1-877-809-6666,0.0,75.0,Independence,United States of America,5.0,Saskatchewan,437267.0,363.0,R
Uul10723,Ylhjvkywhltbcfc,3208641.0,Macy's,1.0,Uulhrgkcjcnmamdresvlivwr,GUBQKOQPDIWGFJXKFSWPTUBUTSITCFBCWFRJLFWFPXWUJKMVSBXCBUYPVNTSTTJCQAXPU,S,,1-330-654-9510,2.0,77.0,Baton Rouge,Canada,1.0,ND,127466.0,772.0,O
Dks10724,Hkmsfduug,503064.0,General Growth Properties,8.0,Dksuakkqvhxwdojubmd,Ogoduzjjtkowrwphdrouqdhaqenvsnqfwerqj,M,M,1-663-132-8861,1.0,45.0,Cleveland,United States of America,2.0,Prince Edward Island,374018.0,530.0,O
MHQ10725,limudwi,3195180.0,Sonic Automotive,8.0,MHQGBEBEQQNIKUOGKIPHRQXHYJMLA,,M,,1-249-953-8341,2.0,15.0,Macon,United States of America,1.0,ID,1468.0,534.0,O
OZM10726,Zlmtyhsodw,1044054.0,Southwest Gas,9.0,OZMWPTDERG,Vximficcgjawstyjdlhttsbkizbkmqnkzqclrxasxjtvceegdd,M,,,2.0,3.0,Charlotte,United States of America,2.0,AZ,450040.0,717.0,O
dhc10727,Qaajjvtpgdkx,881584.0,MeadWestvaco,6.0,dhcsjmvaeedkwjjxcf,kccssevyztvilrspwhqxalpqzpywfvovgxfbubimhbievclrsxd,M,,1-584-645-0903,3.0,14.0,Charlottetown,United States of America,2.0,MD,351830.0,493.0,O
Yvf10728,ppoug,1849521.0,Baxter International,9.0,Yvfdkzfblrsjhwbyn,Btiibpepokjillmbwmblngwgpqouzjgcilewskynkdr,M,m,1-089-686-7300,2.0,12.0,Oceanside,United States of America,0.0,WA,365119.0,789.0,O
Vlb10729,bswbf,3625828.0,Pactiv,3.0,Vlbokmoxgbaxabvidvn,Kqmveuwwsjheewhzbpbajtlzramatfcnwmiuxyylkkhoqgkjnklfvywevgvuhnpalbwkmpc,M,,1-273-877-8284,4.0,23.0,Santa Fe,United States of America,2.0,VT,239852.0,440.0,O
nbf10730,Oimmcmssmumghuajg,2943929.0,GMAC,10.0,nbfixlkvxgwrfsvpllsxhuft,TBRXWZOPJSVDDQAVMYDTGONPQBJDKECXLJBEVYENNFUDCIF,M,,1-727-261-2642,0.0,46.0,Rancho Cucamonga,United States of America,5.0,TN,22805.0,568.0,O
BXH10731,Duwsyustszephzrspihmtugkja,659284.0,BlueLinx Holdings,0.0,BXHDVTJTIVR,EFUZSLQOGAJOVOXHGTIPXJBCTFXQXRFHIETPNPGZXOZEFJNIEGYNEUGATLZT,U,,1-931-146-3503,1.0,87.0,Santa Rosa,Canada,4.0,MA,344647.0,424.0,O
NND10732,Xqolnorrhjnwqrwfm,2203511.0,NII Holdings,3.0,NNDVW,Xkunuagrjhtbqvazuaonzgratzkajgvymgbloddoffciltsmumkjvmcpvn,U,,1-148-846-2578,3.0,29.0,Mesquite,United States of America,2.0,ME,79461.0,582.0,U
dui10733,yyhhdnnsxuenqwqspqvjwmcbbcoukx,1773544.0,Owens & Minor,9.0,duieqpgmbmpsprcqjitkyhar,ajgsaayhvszrfijqacjlrxukuq,U,f,,,78.0,Yellow Knife,United States of America,0.0,WV,481235.0,821.0,O
pdo10734,Ghwhelkbruz,2253227.0,Alcoa,0.0,pdodoc,Fgwhpv,M,F,1-191-710-2437,3.0,96.0,Philadelphia,United States of America,3.0,ME,72336.0,763.0,O
sha10735,idyfuqgtvbwdqcliukxuq,2139352.0,Hexion Specialty Chemicals,9.0,shazjdnfpo,TDITAHFNWUUTHVMSZDSOOLZDIRHABRLOXCWHXWKKEVUTTQZUHGGXJFKHOPLCFD,M,M,1-844-591-9133,3.0,37.0,Salinas,United States of America,0.0,NM,395245.0,448.0,O
jpw10736,ucewmwwblnsyjctzbp,1001997.0,ConAgra Foods,4.0,jpwxqwafqccxwcdbartieaf,ibisejodnuodhutmkxuwpujgfoqgomhcanrsqvjuzuwkqrvivixpxcvxvmvsaiqneeoffjjivxmcaxq,U,,1-332-992-0161,3.0,,London,Canada,,Manitoba,156674.0,451.0,O
Wpn10737,Mmulvgwcuxuqxcopopugtkxa,1550816.0,MPS Group,4.0,Wpnrqlpbsnprwsmih,lyukwkgwkjixdpwnxubycvzahvikegjwuwoscrzuuuart,M,f,1-699-301-7674,1.0,25.0,Fayetteville,Canada,4.0,AK,498757.0,352.0,R
cbk10738,njahg,3843181.0,Precision Castparts,0.0,cbkkwwpkakehndcsehzoditydm,JCNEXTMAMKBGAAFZKDSRPAZGVEHBDQJWRAHTZMUECQQGMPBPBLLRSFOBOTAHX,M,F,1-769-310-8210,5.0,28.0,Mesa,Canada,2.0,TN,238026.0,558.0,O
