prospect_gncd,prospect_ddrssln2,prospect_ct,prospect_nmbrcrs,prospect_pstlcd,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_ddrssln1,prospect_frstnm,prospect_g,prospect_cntr,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
Hfq8004,SRHEEXPTBPCDUHNPYMNYXRUEFRHUSYVIIKDNITQWIRRAV,Frederick,3.0,Uftcvrqx,z,7.0,Vwwoxjjlepwphmukdqtnursisnqqylpopvixaealmwzteznkkcrdjrsniumzxhidxbo,patspkzhrbmjbfssros,83.0,United States of America,0.0,M,713.0,O,Armstrong World Industries,299040.0
Lft8005,qervrizdmhivkvdpvdrbzawdylsebmcmsbytwzaqqbqjtocnhzxhrlputmkdhu,Allentown,3.0,htntdnzitiq,,7.0,Uwgaszpxdcztakzwaeriddbyhrnaqywsbdzqbmt,Rtgvqz,17.0,United States of America,2.0,M,708.0,O,Parker Hannifin,3377834.0
VEQ8006,Zmxialdvbgtonanuvtohbmizq,Washington,1.0,Akcjndwkj,,5.0,EQSGTKZTFMRBNCWPNWUJPYCVNYZNWOVUCPNCKMHIEMBXJJWKSNSXGNHHRROGURAFCBIJENHWQFAMRZES,Ltyfwtrxrciisqksgqqmnkbvddpmfo,11.0,United States of America,1.0,U,732.0,O,Northrop Grumman,1999428.0
Ljg8007,ludivnwidprlosdoldibsxleoonkjnhelagg,Saskatoon,1.0,ltscpmmvnj,L,5.0,,Fwlrulyjxvuxqdgasmstrocdw,74.0,United States of America,1.0,D,794.0,O,,770368.0
Qvc8008,Xpgxirhcugugctohmmckj,Lewiston,1.0,Cohchkoibzg,u,2.0,xshzsgbdxmppgopcancqnp,euoeohunoszahgngnvxz,96.0,United States of America,,S,418.0,U,Computer Sciences,3684933.0
XPF8009,eknbdrxefjojqtmzelgyllezldxyyevoqoipnawmvsnkvixlqculdhbmpgdwfokstytgq,Peoria,4.0,Iueso,,3.0,Ksjkbnxavfnxtqymmksoyhxiodheuqvadmjolxblrvrexkpkegpqognfaslagosnnggfjdnbnf,LPJWUFMXMDUIWXJFNVZH,4.0,Canada,0.0,W,706.0,O,Polo Ralph Lauren,501398.0
LDQ8010,Olxzgfvmofgzzvsbpgtufbpcuznymakfrgtviuzwiindozvjtcjgbpzntubckmdxvfxsnugkxssm,Mobile,3.0,auixuc,E,1.0,rbyhesxxymtuzmqelgx,Lgqahnloeniumenwg,0.0,United States of America,2.0,M,767.0,O,Toro,1868660.0
Frh8011,rudamugfcrvhifccwzwbezumasva,Jersey City,4.0,Mepujqbcv,A,7.0,Acglytjlwovwzqdqxluduoyzvvdfdzzaghyj,IFSDSGJSXQKVKBUJOZUPJLNJBTCO,2.0,,1.0,M,698.0,R,Regions Financial,1613282.0
Mvu8012,Aoooeljhokmssxwazjghfxkymingtknnkbkymgyiqhwkkybcxsftttnpqdsvr,Worcester,2.0,Qfqsshuufkum,w,2.0,Ujsvbcaiczlsnffbesgwgsuwp,Ucpqth,14.0,United States of America,3.0,M,397.0,R,Pep Boys,850716.0
Uqo8013,Tqxlvtjlabawqheihkcdgjcaefntjwyhlsmwhkta,Provo,1.0,Bdnhnb,,0.0,XAXMBPKZOYRXDTBMXSONOVKSGYBDAUVIVMKLSLGRLHTITSYZVLWDNINOEM,gvzvwrpborcsypcduifkqhu,26.0,United States of America,1.0,M,413.0,O,Calpine,2056567.0
SJB8014,UVQYCJVZAXEVHE,Toledo,4.0,Lvbkf,,10.0,vcfegiukvaxwaglbntnirflx,Nuevhhfqmiirnowiimqddkdfifgb,58.0,United States of America,5.0,S,787.0,O,KAR Holdings,866588.0
cpe8015,BTKTFX,Portland,0.0,BTGIVSUGWOGZ,g,10.0,Zomyrakanlgzcoztcwlbyqcxnch,Axiwievpevhoywactywv,76.0,United States of America,4.0,,399.0,O,,1062891.0
osl8016,ldeqixufpwbpycwywhkrqdwwe,Arlington,3.0,Yfhda,,1.0,gaziurgjlpxicwzlqgncfmvbagincls,ujnzwc,43.0,United States of America,4.0,U,675.0,O,Merck,630650.0
Rto8017,Mqnkdngntbhqikvxzdgqrscuqcrehqaksorjgqanfcdihhxycl,Washington,0.0,,,0.0,Xcfuonafgocqm,qnqnk,37.0,Canada,2.0,U,556.0,O,AMR,2417102.0
Rkt8018,jfxmngcxzpnifytakuyinbgbzvutsblriohfvqbtvabdbwmfghiqbrbrpznyhcrkwp,Inglewood,0.0,uhbalo,,7.0,Mudmkwwhwhbqazdmkaglxlqhbxntkjhhyiostoj,Wfgpkudwoextkeeghcpahw,50.0,United States of America,2.0,M,357.0,R,J.B. Hunt Transport Services,
EBS8019,wvtmwwxshsrzkqeuoqbjarnroiigkiusqjty,Mobile,3.0,GRHHQGWDJHUZ,q,7.0,Plzqclrwadqcenwtoirsrvn,Zbfxtnvyexrrudmkaxjrww,69.0,United States of America,3.0,M,303.0,O,Sysco,3556093.0
RAH8020,Kdkhdzrwiqoeemwdfgmpweyp,Chattanooga,1.0,rbaszclsyz,,1.0,,Kszouhmp,48.0,United States of America,5.0,W,645.0,O,Northeast Utilities,481360.0
gpf8021,BTKKVPYGCUOUHEQBZMDKQJCAEUCGNSNBHRHCSGHMSTMBJWZU,Aurora,3.0,ZDUNOVPC,,4.0,Javyurlqlw,Wqkujuxopjuioxrhwyegbojtut,33.0,United States of America,0.0,S,,O,Mattel,2121994.0
Uzp8022,tmhozgenkbxneihwedbmhjliqdewgapydddpaadiaupyusfgzgnaskkjbeohmazdrro,Austin,5.0,QWDJCK,w,1.0,Pkvxhpdsomjelmswqjupiedirvdocfrasjdmgwhswczthlsjpewsonoswkewxbcyl,Oklmymec,1.0,,5.0,M,728.0,O,Universal Forest Products,1206934.0
LNI8023,essrkfnkztneu,Jacksonville,4.0,Nkqaaxgilyu,u,8.0,Mwyqleggcrjksjvqkhnnrmoqndtyxizkpdxfkgqsrakmttwbowqgcdbpb,Ukjikxzjlupncpyawtylr,1.0,United States of America,2.0,,665.0,O,PSS World Medical,1045226.0
PPT8024,Zjsgdgujsyzrkoozfhwpjvinpwrbbnunvjpiuanfnnxzsssvebhedyawnfmwvoxcvcpsy,Pueblo,2.0,hlaxlbdn,Z,,DSDJXNVYCCXCLRUIFVMTKZIWSMBVMZCMHAAVWTBQKHXPSIFNLKAYTJCIBFWNEGPVHTTLBVTHWASYMVKR,Xrxsnpojnbwylhwwbjfinkaeimu,14.0,United States of America,3.0,M,833.0,,ConAgra Foods,697590.0
Ula8025,Oharrlbgvigsfozuwxzjbpcrtcplaxsmorrgosuotsitrzftsivlc,Chandler,4.0,ANGYJXXDXR,g,2.0,Kvbhoprjzsdclvlugerskxckmjs,Onbqauvefoigtlq,13.0,Canada,4.0,S,579.0,O,,1411687.0
Kgc8026,Lvrjmhasupstbncpkgqgpcjstndcxrqyyktdxwlmsuwuflwvsvllyqwyvjhfi,Columbia,3.0,Khiyhpwtvttc,A,1.0,UQBKITDIXNYPJIKVPQCNWDNOHUWHNWRBEKGATTYLZYHBKAURALUTSUOGNFIPPFKKGETMAYCALMWDPSR,nankoeffzqilvhkyxd,19.0,Canada,0.0,U,410.0,O,W.R. Grace,3413890.0
Wfd8027,Grxofdsrbntglvlsuaslseep,Little Rock,5.0,Dwdlsttwakvs,,3.0,vvgjmjdomalgvdfbyachdrgqmterfbuihhidxaboiftqfhqxhrutzwseoadpkolyhn,Lapsgapriqybymmwzkiyxdv,88.0,United States of America,1.0,M,,R,Thor Industries,3940811.0
Lyh8028,NOAWMSPCNKALFGWUSAEKBAFPWWCKNWTNTIRAADAPXGRBHFVBXBEZSQFHJZMLAFXPQJPMKXB,St. Johns,4.0,Xgiglw,,6.0,tplvqeadmfrvkarlhcihlkitswcslxjzplukssypvshralkqrvisxjcjruileepmoaejf,Vfmgtbkxjdrr,44.0,Canada,0.0,U,846.0,R,Enbridge Energy Partners,1181657.0
Aep8029,nqjunrlccyhtmarhiyrilbommyolyetitotpskwwtbknwrnjp,Cedar Rapids,5.0,WWHJUNK,,2.0,ACEWPKADFDQRXWGSEKAIEWTMXDGUYELOORUYXY,FEKRVB,3.0,United States of America,5.0,M,488.0,U,Key Energy Services,2410721.0
hdz8030,Hyhfyhpbezh,Salinas,0.0,Ntyfadnbw,E,,Bdezwojiqwvouvazvtchfcxiupjpomjpnsoszttzaypdeflo,llreycsbmfvklhvajnuwfh,45.0,United States of America,2.0,M,815.0,O,Albemarle,2181486.0
Rmk8032,ykxxixbfhsmdatzjxizwo,San Bernardino,5.0,Tmgwtdoshze,o,5.0,Svqsajjefvaoyjpgntpbhcasjmizijyzcuva,TDUQPIRVOKMBYHJWOQBVPIC,10.0,,1.0,S,474.0,R,Cummins,408166.0
HGJ8033,NTEBDRDDCHXHAWZSPDAWFNFWU,San Bernardino,1.0,xydzfqha,A,3.0,Kxdggbfjjkwmivdkachvlbqejzvptsdmuxkoswcyfbdncfsqkk,bxrwchpxuxoombjhqjeoj,11.0,,1.0,S,693.0,O,Arkansas Best,1433641.0
HDJ8034,,San Diego,1.0,xiopx,,10.0,Uqrswnwnizeqbieh,tbskghfwocsfbihecigwavo,48.0,,5.0,U,644.0,O,Mutual Life Insurance,2954062.0
BRQ8035,XQXPTHMMQQRV,Escondido,1.0,Jdtabccfw,,,JJCTFAAIYTOTAOM,pcaewuhbvitxdwnvoqsrh,35.0,United States of America,0.0,M,742.0,O,Oil States International,660532.0
Nhc8036,Spfxdjqmrdntplo,Hilo,2.0,Ccfeimwbpgca,,8.0,Ycavepoovatf,dlydjs,30.0,United States of America,1.0,M,583.0,O,International Paper,1555614.0
rgx8037,Ybknlslbueknicmhliqbcvnficqocapllezteczreruqidwmhdxbribbjr,Pittsburgh,4.0,axhgle,,2.0,Wkpakulobacdhvjauxtynmvcgbjpphog,LBXVWSKMAAKBMCSONNOSMKWSYD,37.0,United States of America,1.0,W,545.0,O,BE Aerospace,2563447.0
CAZ8038,,Columbia,3.0,CQTEIEAVFMM,,0.0,DWVUVHEFJIIHPXTTERZHYIEIEJMWHRRIIVTDUVMJFHYZQ,NNKVJG,74.0,United States of America,3.0,U,302.0,O,IDT,1223944.0
tcx8039,Wzuxagdhklldayuevhsiufmsbbetdxonrepoxjtnueasqdwcsowdjwwnfluxtfje,Pueblo,4.0,Irxgbxqkt,I,,Aohatccwvmttubxytqscyiyhqwiugigtannbyjkavsrdvpdgfpbkattgunkudoevp,Badtgesdjwacmicaafq,89.0,United States of America,1.0,S,646.0,R,Schering-Plough,1353587.0
Uzq8040,Jzdnipcjudrmdzjtroieqqmzuxqsbhjndlqfybumsdvymllbotcujygqhlclwvhk,Great Falls,4.0,gdurxstel,,10.0,HZXIGTJXAWGMPQLOZILGURDVDXM,Htakxkmqorjritvnwq,70.0,United States of America,3.0,U,514.0,R,Chemtura,2571277.0
Qpo8041,Pewndwkkcoqmkmghqzcbjvizbhc,North Las Vegas,,Wfajoyet,S,8.0,CCLBPTPNPJCXOEFZJKHDNCLPSHTWZANLIFDYXMHHWZGBAGBHNNZTIRAYJJNSHGLPGFHXBQWMGIS,EKOJWDITBPSTELTDPXITKFKE,32.0,Canada,0.0,M,387.0,,ArvinMeritor,928430.0
ZOT8042,Jsevemcfwxbdplvevzanwoshitmqifjc,Fargo,5.0,DQORFSZPJ,,2.0,,CJTVFJTXYQHCDHSIUXHMMCBXSTC,67.0,United States of America,1.0,M,564.0,O,Laboratory Corp. of America,1674038.0
Zat8043,yablvqlfzmpznumiuwhsentg,Hollywood,5.0,kgzgv,,6.0,,KORQISQXHSDABHOEWAKCPNX,10.0,United States of America,1.0,D,697.0,U,Hershey,1515033.0
Owo8044,Ckxcblwa,Louisville,2.0,xtmupjjxbvv,U,10.0,Spgoukxquxhxcebxlhmbjifgnghylvehebqkhadpmgvmdizvwldldhijeikrunjluhmrbcxvby,Clghol,18.0,United States of America,2.0,D,398.0,O,O'Reilly Automotive,3710958.0
Xmn8045,Surelhbhjovkaojxnudrvvgmsgcgbhldxaqzggkntssqevvddryunnizquklcgzatdmg,Irving,2.0,TXYAH,,5.0,MSTXLAGHHNYAATDJLBXHVUXMBUXMWCCKQCXZVIXIMKWNROSXHIKGEXTRSAO,ljdmdggdxoemoncutyghfkh,58.0,United States of America,1.0,U,812.0,U,Nasdaq OMX Group,640918.0
Czn8046,,Hayward,1.0,Vqxqyh,q,2.0,Tfcitrjtubjlgrrunhweronflkiqgckvszpvbbahohhonwztnnygofogvq,vypqjwlfhjisaxj,2.0,United States of America,2.0,U,442.0,,UAL,2856426.0
Vri8047,xcusmlidazipwwhxohsoerrpyjsqtieatlaabqavo,Detroit,0.0,,s,2.0,XIZYBGSCWPGKZKSSVQEUOAGGLFUGOGBPQKDNZFETPAAZQDRBUG,Sfurayjxedmskthi,80.0,United States of America,5.0,S,610.0,R,Lam Research,27261.0
Leo8048,Ighbinplegmxrbygpqdbibufqtheodnelgwuvglmoezqrbpajpgbdgbfgznitdasttjmhho,Garland,5.0,Rxgtokktkant,,2.0,Qfmszwiodmuulwspnttwrjkbwhqgoslwapkxgxsilxqrtmg,jwagfxizpzbkf,61.0,United States of America,0.0,M,542.0,O,Eagle Rock Energy Partners,2034896.0
qip8049,ktqkvfiofqocgayuwahvfbqioqsixqfdsqdqhvqibpplnkshwhehhswxgopsiuvlffagjqepfwauhmh,Minneapolis,3.0,Tzibmk,,7.0,Qvkqzohzrqbrxrhljtrxoouwpjaxfsazowdrrnhlynpvhgamogxqmmdyhwlfktbcbfa,Sjaigbathvqsercvbndaarfc,12.0,United States of America,0.0,M,621.0,R,United Technologies,1101937.0
Ffr8050,XOAURGGHMRLVNRA,Elizabeth,4.0,atujtqg,,3.0,KIYNNIBEUACGVTYFYXSLCPCRXDYADTJKEHUKDLVMYFBXHGNOS,Bselahtaae,85.0,United States of America,0.0,M,498.0,O,GMAC,2539495.0
Ymw8051,ASIDJSPBNVMSTEHXGNFWKZJLKSYMDCBXMFRGJWBOJ,St. Johns,5.0,MEAOHNBNGX,,9.0,lwnxkmjoeqfjbjflqk,Qqixbqmrvroamjteoqxtnaps,99.0,United States of America,,M,334.0,O,Textron,3725194.0
Fhr8052,,Stockton,2.0,Hxsixf,,3.0,,Xgeoqwrdztcpvg,17.0,United States of America,1.0,M,681.0,R,Pantry,343347.0
Ooh8053,jtobiharglsochderaexmoriqwnnws,Knoxville,0.0,,S,4.0,Lemueyixhlrleeeramfsqvyqi,Zmmmzxjqgdimxxugkimdhj,96.0,United States of America,0.0,M,821.0,O,IAC/InterActiveCorp,2146476.0
Jek8054,ztlcfkcrsjedfnicpxryqoagbvwsgadwoolqgwbfuldmoknnft,Los Angeles,2.0,Whzyfqqt,y,8.0,Rghczewtvxglfpzqinethxqofywiaq,Mtassf,32.0,,5.0,M,512.0,O,BearingPoint,73734.0
mbc8055,jbogudiieqbfsiedznfrgtdzmybjjqdqncajisicodwwauejxztuzmtws,Phoenix,4.0,Wpfxht,,8.0,Orlhankhodajtynyzqhwtkspiujggcf,AMQLOPEEOUJJGTBCU,52.0,Canada,4.0,U,717.0,O,Tech Data,1380687.0
Aqs8056,Kgcgvbxp,Bellevue,1.0,Aqmxsfzn,Z,3.0,wsqjfkifrrpobhlesmvdnlevdcwdctrrakfxtdscnfrnkehseghawckvjaruecjuzl,Vdbfbgqtj,64.0,,5.0,W,553.0,O,Asbury Automotive Group,3262152.0
Shy8057,QHEJKMRZIOJQCVORBHZWFDBMCXVNFKAFCUXFRVQUTEODKNDLVIMSJDTKHZDNML,London,5.0,AOZCIDJNHVH,I,9.0,Dhdxdhnnrdlpczcakgjzsaqfx,Nhmjdlcwicszgjqirgtrtvnx,89.0,United States of America,3.0,M,545.0,O,PPG Industries,2732465.0
Pzc8058,Uoffuhojoaavovwcvhskbmlquraxrgkcwebhouojw,Rockford,4.0,Dhvbpcmq,,9.0,Mpuoftxnrrfsazula,Amfgkikmxteouupqb,38.0,United States of America,5.0,M,819.0,O,Administaff,
Xim8059,MDYJOWBDUVWUBCGWCSGZKJBSWKCKMLPLFHMGFQNJTR,Fairbanks,3.0,Ugyjghf,,6.0,Xtnnpwtmhaccxkwpmyqmhmcfdgaxxdrwlghjhzkwdkjanbpwknzvfjtnomy,VNPWMEOGEQZHPPJNB,8.0,United States of America,2.0,S,555.0,O,Kla-Tencor,657603.0
Otu8060,QEELGQPLRWDRXAXWOGJDECMCQGNXYATUQSEKJYXLTOUHXORHSKULCAPKZODZ,Fullerton,4.0,uailthwtcf,,1.0,Wnbktcg,Qtbwudexxegjmaejmdztvrqy,23.0,United States of America,,,343.0,R,Penn National Gaming,463379.0
Xql8061,Eqwdxnwxrpxddlyjnwxxvvsxukijgci,Arlington,4.0,opmswsi,o,1.0,dqzroch,Upwxohxfyirmhzxousuapjzyqedklu,55.0,United States of America,5.0,S,669.0,O,Chesapeake Energy,1498562.0
HKX8062,Sbsdhnwfxhtumxmlilkysfudurmftinfbvd,Denver,2.0,uvslf,,,smdgbhagttauoxjemtrtyrifdmdxeov,SNRCPSWUCIPUGXBDZDIHSZRC,23.0,United States of America,4.0,M,814.0,O,,2961070.0
Rif8063,Otgzxduuqrtfobnnqlhkaqenzmspeo,Overland Park,1.0,,,7.0,,Jprfz,38.0,Canada,0.0,U,689.0,O,Alexander & Baldwin,1378874.0
EFY8064,Ivgnxhnbwdglkmkbqeslyabbxkidmcyeuibddtejqlyqaphloqmggbnzveqigvyhmyeavyhmqph,Oklahoma City,1.0,owyfkbmk,,5.0,Fowyuxtqssgiiswacyxevoifritflobqaxksyrkgbewddgjzwfonighjxhalbdbujdeczqbfprzfn,zchbrlcskqoyncarudviznuugixag,91.0,,0.0,U,790.0,O,AmerisourceBergen,1564963.0
Jkc8065,,Overland Park,4.0,Ypnso,R,4.0,JAMTKTOHRCFZNEUKNNZZFOMWQBANYEQAC,Lrhwckqkgtyrefuphhdwflocqmud,34.0,United States of America,5.0,U,423.0,R,Pantry,1517724.0
tke8066,,San Diego,5.0,TIDCIBFGDGK,,10.0,crqrniaulnmbbiscxopusfoskbnoldaxevlcbwbwagudxzfyr,Nburpqsowje,90.0,Canada,5.0,M,538.0,U,Buckeye GP Holdings,3297172.0
HQN8067,TFUWJWSEDRFNO,Chicago,1.0,DXEAUV,W,2.0,wrxyjcodfhtvcfqargshxglqodbtyuzdfgigfbex,eeicw,33.0,United States of America,0.0,M,309.0,O,Briggs & Stratton,917182.0
Nik8068,Mqadrrurbgcykdjimhzotmcjncnbmflpjhqbgsuobwhovdsykafekkxkzpc,Indianapolis,3.0,HHBAY,X,3.0,xwoluwiubvjcywlivcjfdoeuktbyncgctsrpkzyweadikhcfgakljqdfegqzbkqclkbexfghdaz,klqeympz,21.0,United States of America,1.0,M,470.0,O,,2498089.0
Orb8069,Bxmgakjfeqfpvuncafyovxbjgqcsll,El Monte,5.0,ZMWXHFJHG,,10.0,WLNLNBTVTRLGHQZNCUWDLSDDOSK,utxxcgfqbgpxzk,78.0,,3.0,D,762.0,R,Cimarex Energy,2566713.0
PPK8070,kxjszcgchfgdfyahssmzxtrhjvcutqtcsovsglltoklrbypjlzdjpldbvfjgs,San Antonio,5.0,Hwqndtkq,K,9.0,Omloqtmcvawcfhbekqlazbbftlzbjdtmlnfojzrhvhciexgfhvqlvpkcgphjmigzhd,gfmatmxzvtj,45.0,United States of America,1.0,M,330.0,R,Republic Services,3661813.0
Kyl8071,Imdieymqedhihzygttorittfsbmfmgemj,Cedar Rapids,0.0,,,7.0,Canvlhcxxupwpqjfpsntyfrteqfircrysenrqtmkbhs,ientkglurjvtvnfxy,11.0,United States of America,4.0,W,569.0,O,Omnicare,576097.0
tnz8072,DWUPIBLRMMISXSG,Beaumont,0.0,CCDTXFAPOP,,3.0,Vbmkpz,Evsonsebsxxhvdfmnxubvhtxu,63.0,Canada,1.0,D,794.0,O,Fortune Brands,1537561.0
ANY8073,rjqbswbusgalhjgabkcsuxdzfqtsssxdjbuhxiomwjkvxeqaseqnnufwdiwe,Kansas City,2.0,Gholhta,y,6.0,Pwmrnzuaosfwrhm,Cklpctcmnftkwjluh,68.0,Canada,3.0,W,666.0,O,Donaldson,2875194.0
Npb8074,Tbkjwtgzvfqxplfcdc,Oakland,2.0,NNYBKK,b,9.0,Addhjedabfflgokkmebdnfnaosaahmsdwvcwfxerdtyu,Lwzww,0.0,United States of America,1.0,U,366.0,U,FPL Group,3846756.0
Hhg8075,xxecwtqzzteixniulzwplbbpiovfqvmwhgxswtjfxeeclcunigezmhpghpwkraoudkr,Santa Clarita,4.0,tdlzndgakk,,3.0,wrmtqqxeyauvanumneihxjvlxracwnocpvdjszdqouaixmnf,Bjejsrhnhvqehzxzaijyhifbu,74.0,,2.0,S,668.0,O,Berry Plastics,1535308.0
LEY8076,Ronzbsceuhpzmcahqlbayvjvxjroeostdxxiumnabfgziqbolntsv,Pembroke Pines,2.0,Lxgjkted,,7.0,wnbdcohspmiexvjkgezeqlhweaodolaccxvzjtwrvquds,HHKZFKSILER,13.0,United States of America,4.0,M,415.0,O,Sealed Air,2520114.0
exj8077,GNQAOWGITIFQRHKMURSLWMNMORYFQORXSGLYWEZMNPQWIDIDSNZBBMMTUSDBM,Omaha,2.0,Sadwfpywnh,O,0.0,IIIPNKFNLIAUUVVMVVWGO,Kfavlpnzwfv,62.0,Canada,5.0,,544.0,O,Republic Services,1263068.0
Wqo8078,Llfsnahwswzoti,San Antonio,3.0,AHQZWSLMCHGX,,4.0,VXAYLDYWTKPLITOXRWFQJSHTPMTFPSVRTPTLSAHGSSNICTVFNQZFL,qglyylesvqd,6.0,Canada,2.0,M,514.0,U,National Fuel Gas,576860.0
wcx8079,knxktoxhhisvdwagdy,Elizabeth,5.0,Thaablgdxom,M,10.0,vmhegpdesabvykilruhb,Lhwzpllsu,38.0,United States of America,3.0,D,617.0,O,United Rentals,
vhh8080,UARTGNUDBETBUULSNXRILRJVHIAGCJVMQWJWKKXKCVKIVNLOPNFUHUKIFQNJ,Yonkers,2.0,Mqbiimlvtdnn,n,3.0,Niznjvysmxmlnsztscwrjnh,Odqwyeqgpahjeqzhirbwpfcbdybum,64.0,United States of America,,S,602.0,U,Lithia Motors,867762.0
Jfu8081,tojwjblxlquhhnflichuiumctpujtrkiefv,Worcester,0.0,Mfjvgzse,,7.0,Uawgnesrkpystpyfrfrqenzsbnyndwsfdmeuzqzcacboaurbbgmvmaorwndudxmslxgyk,civdxirqxslhercuxmebcfltwnsgfx,27.0,Canada,1.0,S,434.0,U,Liberty Media,3517709.0
BRA8082,xnmwpwlfcwulsbmcsphfppgdzmqwfitkihgevvbscerahphqxlgvpsqxfm,Charlotte,2.0,vozda,,10.0,akddolaesbasdxxsrcolxanylrjoymi,joalkcscmrvdaywamxlrzypolgziou,,United States of America,3.0,S,410.0,R,Crane,789993.0
eam8083,Atvqppoikmjfxsjppgauhhtqmibdzlehodsrqmpjodovggibjcqnuoyfwobypdrpryvoauxfmbte,Huntington Beach,3.0,Fxhsesgusk,s,0.0,,zcakpkdhwgdmcvwilhmiwrkvqk,49.0,United States of America,2.0,W,495.0,O,Auto-Owners Insurance,2573032.0
AEW8084,wwzflrbbluejonuhmqcrbfqrlhfc,San Jose,3.0,yzgjlsq,H,1.0,Jarojouxsgfbdvddbcpptxhnesdvadwudzofbjergbmvyltcizwgjnggmfnjzgbfrzwj,OJNTIWBUFCEMYDXMOFCFPVKQFWTH,37.0,United States of America,,M,429.0,R,Cliffs Natural Resources,74624.0
Wvj8085,Aggrurmxfjdjmeamwypafobvaujza,Edmonton,0.0,iijngooprne,v,3.0,Joxsmufkegbkxuocvrhybticzugcvgxwvhwhomdaqrctraby,vhwprzrfkegioafjxrhicxclolmlf,100.0,United States of America,4.0,M,382.0,O,Biomet,1331048.0
Ajq8086,orsotk,Santa Rosa,3.0,NTDMXNUQUENW,,9.0,Xnxucjbxfofslijmsvxmdosqmjblrvkcmteevqidjdcrkvrrjzuxbpqsyjjheilwaugxjmn,xyfcuxzmrkapwnxxlmskgk,77.0,United States of America,3.0,M,458.0,O,Penske Automotive Group,2961777.0
Npg8087,epppsisshwtftmnpyjawhoxoppiptwadiwirmacbslstxmjygakpdgfubll,Winnipeg,5.0,Kedcvea,B,10.0,Xzuckuoxcwlsmucbikomgrqpyjtrecympmflwamimtbxibcltmnltecoafssjjfrdznpynv,Bzsfxletcnudob,77.0,United States of America,1.0,M,395.0,R,Unisys,1014724.0
Wyc8088,Cugxezgrndwqnqdlc,Chandler,3.0,VDTTGSFEY,,1.0,wprdkmdvsuaznscmvtcihccu,Lffmzswjabkgtnimylinglrkxbep,9.0,Canada,5.0,S,393.0,,Beacon Roofing Supply,175998.0
Ddj8089,AJGJP,Nashua,2.0,Brxwv,K,3.0,dyodgfzoqrbgkwqzipnxhoejeetanrbwjqsrkxolrajdwnejsxenlkkioterracopirehnkgwqgjxpua,Wgzwnh,14.0,United States of America,3.0,U,569.0,O,Kraft Foods,1603482.0
pgw8090,sbjoksfwbygdkiiwpavnfx,Norfolk,5.0,MTPQFRIEFQ,,7.0,dmjcgftmwgkqslriaxvcwlsquyacvpcotanvpeuoeiaebuxamgwsncwashlpknuirtmactvxip,Jzesaewkeaevsdf,38.0,,0.0,D,768.0,O,Belden,2940685.0
sic8091,ljwuswttuomlgbhlpsfthojcirhrvyeemkktcvkguitlpnpcdrljkaydjlkxtmcsufyomd,Fresno,3.0,uiybcoxgz,T,5.0,QBPGVSYQGNDRUEPKCQYOFUTRCQAQULOKLGTYQJVYBLCJYLOQCYBZPELBBANWLWNJAPMT,Gqmyjtgzqnwctpgcgsi,55.0,United States of America,3.0,M,585.0,R,Oneok,997874.0
AFP8092,Zufopflpajwobstetjchjkdfkzxcnqllhqgfikbpgwmmdqybxxhcnoivensdh,San Antonio,1.0,TRDZCURGC,,5.0,Vhaedpgbnkisdanvqevnhlwtwlaxystbspykkg,Ocfkil,23.0,United States of America,2.0,M,695.0,R,Cummins,1210663.0
ABE8093,,Savannah,3.0,nuzehnzufy,d,5.0,Emtycdmgddkbyfissckibwntzotslwqbgtcdusftnxgrmvfksljostqsvtxrjgpgyl,Hhzlbgydkvfhpjwwlwzlrptsn,38.0,United States of America,0.0,S,560.0,O,Whirlpool,2550067.0
Egy8094,Izzgrkqtowioqholrlvgvdojkmsqqn,Montpelier,3.0,Kathhixrn,Z,6.0,ERJWXQYXMMWAHEKM,Nlurbghcteceblhakep,73.0,United States of America,,U,574.0,R,National Semiconductor,2539291.0
JPQ8095,tbwlgitsgecrkueihcqtmasbe,Peoria,5.0,Bvuqsj,,0.0,DQZSWL,kbnrlyadqcoa,40.0,United States of America,4.0,U,376.0,O,Belden,2469405.0
end8096,vvrmdjpubppehovosdzwfqzyunkegmxthwufbsojkgiigbdolfjlgonasqlptljinoccvbvc,Santa Clara,2.0,bobrea,,8.0,Fpqzdvzxqqdpuzelnpfguxdoorzhxbgeozjwbdgxccvrwbxnrntwjwacodr,Bzekn,42.0,United States of America,5.0,S,797.0,O,CIT Group,1975282.0
MXE8097,Olinfcptrebmrzuvehauxptxuzlijedwubt,St. Catharines,1.0,rjutwdpzbnhv,P,0.0,Prfrtbnsvprxspxvjwgmrjdg,Dzyzwuisjdd,50.0,United States of America,4.0,W,337.0,O,Cisco Systems,3414193.0
Amy8098,,Fullerton,4.0,gmowmrbg,,2.0,fwaggytpljvwwmadureror,Vxkrgxvhgdbkynqontjtztdu,36.0,United States of America,1.0,M,500.0,O,DynCorp International,716072.0
THW8099,Gxsfnyvooniopvm,San Diego,3.0,Fdopbgodnv,L,1.0,,Nwgiuocvaqbzbnvzkpyblicfqf,1.0,United States of America,1.0,M,441.0,O,AmerisourceBergen,1939896.0
