nmbrchldrn,ddrssln1,mrtlstts,gndr,ncm,g,lstnm,wnrrntflg,ntwrth,nmbrcrdtcrds,ddrssln2,mddlntl,crdtrtng,pstlcd,ct,nmbrcrs,phn,cntr,gncd,stt,mplr,frstnm
1.0,,M,M,382145.0,67.0,ZOTCPAWWUQSYBSKHSYXIEXDAEVCXSG,O,1674038.0,2.0,Jsevemcfwxbdplvevzanwoshitmqifjc,,564.0,DQORFSZPJ,Fargo,5.0,1-829-248-5554,United States of America,ZOT8042,NJ,Laboratory Corp. of America,CJTVFJTXYQHCDHSIUXHMMCBXSTC
1.0,,D,M,145398.0,10.0,Zatilrxauxfxcwfoblyem,U,1515033.0,6.0,yablvqlfzmpznumiuwhsentg,,697.0,kgzgv,Hollywood,5.0,1-042-788-7719,United States of America,Zat8043,CO,Hershey,KORQISQXHSDABHOEWAKCPNX
2.0,Spgoukxquxhxcebxlhmbjifgnghylvehebqkhadpmgvmdizvwldldhijeikrunjluhmrbcxvby,D,M,760.0,18.0,Owoycczzg,O,3710958.0,10.0,Ckxcblwa,U,398.0,xtmupjjxbvv,Louisville,2.0,1-925-737-7759,United States of America,Owo8044,Alberta,O'Reilly Automotive,Clghol
1.0,MSTXLAGHHNYAATDJLBXHVUXMBUXMWCCKQCXZVIXIMKWNROSXHIKGEXTRSAO,U,f,234083.0,58.0,Xmnqpryftvpoqkguaeiiebes,U,640918.0,5.0,Surelhbhjovkaojxnudrvvgmsgcgbhldxaqzggkntssqevvddryunnizquklcgzatdmg,,812.0,TXYAH,Irving,2.0,1-751-937-4871,United States of America,Xmn8045,WI,Nasdaq OMX Group,ljdmdggdxoemoncutyghfkh
2.0,Tfcitrjtubjlgrrunhweronflkiqgckvszpvbbahohhonwztnnygofogvq,U,f,368734.0,2.0,Cznvrhlupdpqbtrp,,2856426.0,2.0,,q,442.0,Vqxqyh,Hayward,1.0,1-811-592-5327,United States of America,Czn8046,DC,UAL,vypqjwlfhjisaxj
5.0,XIZYBGSCWPGKZKSSVQEUOAGGLFUGOGBPQKDNZFETPAAZQDRBUG,S,,153370.0,80.0,Vrixfjpxhicvasvbe,R,27261.0,2.0,xcusmlidazipwwhxohsoerrpyjsqtieatlaabqavo,s,610.0,,Detroit,0.0,1-801-759-2877,United States of America,Vri8047,LA,Lam Research,Sfurayjxedmskthi
0.0,Qfmszwiodmuulwspnttwrjkbwhqgoslwapkxgxsilxqrtmg,M,,421899.0,61.0,Leountyxsesx,O,2034896.0,2.0,Ighbinplegmxrbygpqdbibufqtheodnelgwuvglmoezqrbpajpgbdgbfgznitdasttjmhho,,542.0,Rxgtokktkant,Garland,5.0,1-852-644-7809,United States of America,Leo8048,IN,Eagle Rock Energy Partners,jwagfxizpzbkf
0.0,Qvkqzohzrqbrxrhljtrxoouwpjaxfsazowdrrnhlynpvhgamogxqmmdyhwlfktbcbfa,M,,497123.0,12.0,qipdgngdlehu,R,1101937.0,7.0,ktqkvfiofqocgayuwahvfbqioqsixqfdsqdqhvqibpplnkshwhehhswxgopsiuvlffagjqepfwauhmh,,621.0,Tzibmk,Minneapolis,3.0,1-280-689-5854,United States of America,qip8049,WV,United Technologies,Sjaigbathvqsercvbndaarfc
0.0,KIYNNIBEUACGVTYFYXSLCPCRXDYADTJKEHUKDLVMYFBXHGNOS,M,,282798.0,85.0,Ffrusigygzildvhgevw,O,2539495.0,3.0,XOAURGGHMRLVNRA,,498.0,atujtqg,Elizabeth,4.0,1-808-896-3924,United States of America,Ffr8050,VA,GMAC,Bselahtaae
,lwnxkmjoeqfjbjflqk,M,W,457615.0,99.0,Ymwznnlmazqdjcyouzzpqkajfmk,O,3725194.0,9.0,ASIDJSPBNVMSTEHXGNFWKZJLKSYMDCBXMFRGJWBOJ,,334.0,MEAOHNBNGX,St. Johns,5.0,1-681-432-5475,United States of America,Ymw8051,WY,Textron,Qqixbqmrvroamjteoqxtnaps
1.0,,M,M,153419.0,17.0,Fhrtlg,R,343347.0,3.0,,,681.0,Hxsixf,Stockton,2.0,1-623-511-8227,United States of America,Fhr8052,MA,Pantry,Xgeoqwrdztcpvg
0.0,Lemueyixhlrleeeramfsqvyqi,M,,,96.0,Oohpghzcfdsawgqqficbobflnd,O,2146476.0,4.0,jtobiharglsochderaexmoriqwnnws,S,821.0,,Knoxville,0.0,1-762-498-5143,United States of America,Ooh8053,SC,IAC/InterActiveCorp,Zmmmzxjqgdimxxugkimdhj
5.0,Rghczewtvxglfpzqinethxqofywiaq,M,f,204349.0,32.0,Jekswwujboq,O,73734.0,8.0,ztlcfkcrsjedfnicpxryqoagbvwsgadwoolqgwbfuldmoknnft,y,512.0,Whzyfqqt,Los Angeles,2.0,1-220-496-6695,,Jek8054,MD,BearingPoint,Mtassf
4.0,Orlhankhodajtynyzqhwtkspiujggcf,U,F,466988.0,52.0,mbcfxdjl,O,1380687.0,8.0,jbogudiieqbfsiedznfrgtdzmybjjqdqncajisicodwwauejxztuzmtws,,717.0,Wpfxht,Phoenix,4.0,1-674-945-7585,Canada,mbc8055,TX,Tech Data,AMQLOPEEOUJJGTBCU
5.0,wsqjfkifrrpobhlesmvdnlevdcwdctrrakfxtdscnfrnkehseghawckvjaruecjuzl,W,M,340591.0,64.0,Aqsuiuepdsgpnnfcugxhod,O,3262152.0,3.0,Kgcgvbxp,Z,553.0,Aqmxsfzn,Bellevue,1.0,1-791-921-3989,,Aqs8056,FL,Asbury Automotive Group,Vdbfbgqtj
3.0,Dhdxdhnnrdlpczcakgjzsaqfx,M,,76426.0,89.0,Shyicmxzvlnufumbajs,O,2732465.0,9.0,QHEJKMRZIOJQCVORBHZWFDBMCXVNFKAFCUXFRVQUTEODKNDLVIMSJDTKHZDNML,I,545.0,AOZCIDJNHVH,London,5.0,1-963-009-3594,United States of America,Shy8057,WI,PPG Industries,Nhmjdlcwicszgjqirgtrtvnx
5.0,Mpuoftxnrrfsazula,M,,363857.0,38.0,Pzcificsejeiupjrbwcy,O,,9.0,Uoffuhojoaavovwcvhskbmlquraxrgkcwebhouojw,,819.0,Dhvbpcmq,Rockford,4.0,1-602-991-0719,United States of America,Pzc8058,MO,Administaff,Amfgkikmxteouupqb
2.0,Xtnnpwtmhaccxkwpmyqmhmcfdgaxxdrwlghjhzkwdkjanbpwknzvfjtnomy,S,f,294054.0,8.0,Ximyjoakesvfdxevxjqdt,O,657603.0,6.0,MDYJOWBDUVWUBCGWCSGZKJBSWKCKMLPLFHMGFQNJTR,,555.0,Ugyjghf,Fairbanks,3.0,1-546-507-2743,United States of America,Xim8059,VT,Kla-Tencor,VNPWMEOGEQZHPPJNB
,Wnbktcg,,,124933.0,23.0,Otuegrmurwfstjayphmvdrwkrx,R,463379.0,1.0,QEELGQPLRWDRXAXWOGJDECMCQGNXYATUQSEKJYXLTOUHXORHSKULCAPKZODZ,,343.0,uailthwtcf,Fullerton,4.0,1-647-433-7355,United States of America,Otu8060,WA,Penn National Gaming,Qtbwudexxegjmaejmdztvrqy
5.0,dqzroch,S,f,139343.0,55.0,Xqlepgtmunsmokqowvptxtzd,O,1498562.0,1.0,Eqwdxnwxrpxddlyjnwxxvvsxukijgci,o,669.0,opmswsi,Arlington,4.0,1-995-786-4727,United States of America,Xql8061,Saskatchewan,Chesapeake Energy,Upwxohxfyirmhzxousuapjzyqedklu
4.0,smdgbhagttauoxjemtrtyrifdmdxeov,M,F,387803.0,23.0,HKXXS,O,2961070.0,,Sbsdhnwfxhtumxmlilkysfudurmftinfbvd,,814.0,uvslf,Denver,2.0,1-223-972-6600,United States of America,HKX8062,OH,,SNRCPSWUCIPUGXBDZDIHSZRC
0.0,,U,M,283924.0,38.0,Rifjovgfdengdrzpxytvuqf,O,1378874.0,7.0,Otgzxduuqrtfobnnqlhkaqenzmspeo,,689.0,,Overland Park,1.0,1-756-187-2805,Canada,Rif8063,NV,Alexander & Baldwin,Jprfz
0.0,Fowyuxtqssgiiswacyxevoifritflobqaxksyrkgbewddgjzwfonighjxhalbdbujdeczqbfprzfn,U,,120662.0,91.0,EFYAVVJVRS,O,1564963.0,5.0,Ivgnxhnbwdglkmkbqeslyabbxkidmcyeuibddtejqlyqaphloqmggbnzveqigvyhmyeavyhmqph,,790.0,owyfkbmk,Oklahoma City,1.0,1-268-756-9467,,EFY8064,SC,AmerisourceBergen,zchbrlcskqoyncarudviznuugixag
5.0,JAMTKTOHRCFZNEUKNNZZFOMWQBANYEQAC,U,f,7021.0,34.0,Jkcjhrenwebupynfphpdngtv,R,1517724.0,4.0,,R,423.0,Ypnso,Overland Park,4.0,1-504-237-4451,United States of America,Jkc8065,OH,Pantry,Lrhwckqkgtyrefuphhdwflocqmud
5.0,crqrniaulnmbbiscxopusfoskbnoldaxevlcbwbwagudxzfyr,M,F,18275.0,90.0,tkemnomcdjlnqvvenntludtup,U,3297172.0,10.0,,,538.0,TIDCIBFGDGK,San Diego,5.0,1-938-687-0028,Canada,tke8066,ND,Buckeye GP Holdings,Nburpqsowje
0.0,wrxyjcodfhtvcfqargshxglqodbtyuzdfgigfbex,M,F,338041.0,33.0,HQNGMTBSIKPEANCRONDFQBYFZ,O,917182.0,2.0,TFUWJWSEDRFNO,W,309.0,DXEAUV,Chicago,1.0,1-415-995-7124,United States of America,HQN8067,Quebec,Briggs & Stratton,eeicw
1.0,xwoluwiubvjcywlivcjfdoeuktbyncgctsrpkzyweadikhcfgakljqdfegqzbkqclkbexfghdaz,M,f,308124.0,21.0,Nikbshivkkdsbskidusil,O,2498089.0,3.0,Mqadrrurbgcykdjimhzotmcjncnbmflpjhqbgsuobwhovdsykafekkxkzpc,X,470.0,HHBAY,Indianapolis,3.0,1-732-600-7028,United States of America,Nik8068,Saskatchewan,,klqeympz
3.0,WLNLNBTVTRLGHQZNCUWDLSDDOSK,D,m,154807.0,78.0,Orbxhztymdefpakxi,R,2566713.0,10.0,Bxmgakjfeqfpvuncafyovxbjgqcsll,,762.0,ZMWXHFJHG,El Monte,5.0,1-628-134-8281,,Orb8069,Alberta,Cimarex Energy,utxxcgfqbgpxzk
1.0,Omloqtmcvawcfhbekqlazbbftlzbjdtmlnfojzrhvhciexgfhvqlvpkcgphjmigzhd,M,,393376.0,45.0,PPKKLMIXILXJWAEFFCYXNIQW,R,3661813.0,9.0,kxjszcgchfgdfyahssmzxtrhjvcutqtcsovsglltoklrbypjlzdjpldbvfjgs,K,330.0,Hwqndtkq,San Antonio,5.0,1-279-541-1931,United States of America,PPK8070,TN,Republic Services,gfmatmxzvtj
4.0,Canvlhcxxupwpqjfpsntyfrteqfircrysenrqtmkbhs,W,,360634.0,11.0,Kyltdoratcassgsomzkicnnm,O,576097.0,7.0,Imdieymqedhihzygttorittfsbmfmgemj,,569.0,,Cedar Rapids,0.0,1-345-928-4728,United States of America,Kyl8071,NV,Omnicare,ientkglurjvtvnfxy
1.0,Vbmkpz,D,,431106.0,63.0,tnzknqsnpkmoyxgalpxov,O,1537561.0,3.0,DWUPIBLRMMISXSG,,794.0,CCDTXFAPOP,Beaumont,0.0,1-167-029-6203,Canada,tnz8072,AK,Fortune Brands,Evsonsebsxxhvdfmnxubvhtxu
3.0,Pwmrnzuaosfwrhm,W,m,284259.0,68.0,ANYPDRXJJRUSKAOXQYISGXBI,O,2875194.0,6.0,rjqbswbusgalhjgabkcsuxdzfqtsssxdjbuhxiomwjkvxeqaseqnnufwdiwe,y,666.0,Gholhta,Kansas City,2.0,1-591-579-8474,Canada,ANY8073,AZ,Donaldson,Cklpctcmnftkwjluh
1.0,Addhjedabfflgokkmebdnfnaosaahmsdwvcwfxerdtyu,U,M,453974.0,0.0,Npbep,U,3846756.0,9.0,Tbkjwtgzvfqxplfcdc,b,366.0,NNYBKK,Oakland,2.0,1-061-431-9407,United States of America,Npb8074,TN,FPL Group,Lwzww
2.0,wrmtqqxeyauvanumneihxjvlxracwnocpvdjszdqouaixmnf,S,F,229733.0,74.0,Hhgndxg,O,1535308.0,3.0,xxecwtqzzteixniulzwplbbpiovfqvmwhgxswtjfxeeclcunigezmhpghpwkraoudkr,,668.0,tdlzndgakk,Santa Clarita,4.0,1-739-740-6139,,Hhg8075,MO,Berry Plastics,Bjejsrhnhvqehzxzaijyhifbu
4.0,wnbdcohspmiexvjkgezeqlhweaodolaccxvzjtwrvquds,M,f,130928.0,13.0,LEYMSVECEPUOBXENJRI,O,2520114.0,7.0,Ronzbsceuhpzmcahqlbayvjvxjroeostdxxiumnabfgziqbolntsv,,415.0,Lxgjkted,Pembroke Pines,2.0,1-981-776-0112,United States of America,LEY8076,VT,Sealed Air,HHKZFKSILER
5.0,IIIPNKFNLIAUUVVMVVWGO,,m,284486.0,62.0,exjyxklbatcpwrajoarwcciaeqmea,O,1263068.0,0.0,GNQAOWGITIFQRHKMURSLWMNMORYFQORXSGLYWEZMNPQWIDIDSNZBBMMTUSDBM,O,544.0,Sadwfpywnh,Omaha,2.0,1-483-110-5570,Canada,exj8077,IN,Republic Services,Kfavlpnzwfv
2.0,VXAYLDYWTKPLITOXRWFQJSHTPMTFPSVRTPTLSAHGSSNICTVFNQZFL,M,,398521.0,6.0,Wqoittkgjqilmoriznlsrgxf,U,576860.0,4.0,Llfsnahwswzoti,,514.0,AHQZWSLMCHGX,San Antonio,3.0,1-214-850-8638,Canada,Wqo8078,Ontario,National Fuel Gas,qglyylesvqd
3.0,vmhegpdesabvykilruhb,D,,344423.0,38.0,wcxvqtaqvgfupyrgi,O,,10.0,knxktoxhhisvdwagdy,M,617.0,Thaablgdxom,Elizabeth,5.0,1-171-206-0394,United States of America,wcx8079,NC,United Rentals,Lhwzpllsu
,Niznjvysmxmlnsztscwrjnh,S,M,22578.0,64.0,vhhnjsdgv,U,867762.0,3.0,UARTGNUDBETBUULSNXRILRJVHIAGCJVMQWJWKKXKCVKIVNLOPNFUHUKIFQNJ,n,602.0,Mqbiimlvtdnn,Yonkers,2.0,1-163-349-4895,United States of America,vhh8080,New Brunswick,Lithia Motors,Odqwyeqgpahjeqzhirbwpfcbdybum
1.0,Uawgnesrkpystpyfrfrqenzsbnyndwsfdmeuzqzcacboaurbbgmvmaorwndudxmslxgyk,S,m,216152.0,27.0,Jfushgmtutwilhtbs,U,3517709.0,7.0,tojwjblxlquhhnflichuiumctpujtrkiefv,,434.0,Mfjvgzse,Worcester,0.0,1-573-614-3825,Canada,Jfu8081,Saskatchewan,Liberty Media,civdxirqxslhercuxmebcfltwnsgfx
3.0,akddolaesbasdxxsrcolxanylrjoymi,S,m,254254.0,,BRAGKSHU,R,789993.0,10.0,xnmwpwlfcwulsbmcsphfppgdzmqwfitkihgevvbscerahphqxlgvpsqxfm,,410.0,vozda,Charlotte,2.0,1-981-184-4237,United States of America,BRA8082,CO,Crane,joalkcscmrvdaywamxlrzypolgziou
2.0,,W,,238063.0,49.0,eamqtjribmnohrqxslnuyzih,O,2573032.0,0.0,Atvqppoikmjfxsjppgauhhtqmibdzlehodsrqmpjodovggibjcqnuoyfwobypdrpryvoauxfmbte,s,495.0,Fxhsesgusk,Huntington Beach,3.0,1-782-265-1918,United States of America,eam8083,MT,Auto-Owners Insurance,zcakpkdhwgdmcvwilhmiwrkvqk
,Jarojouxsgfbdvddbcpptxhnesdvadwudzofbjergbmvyltcizwgjnggmfnjzgbfrzwj,M,m,95261.0,37.0,AEWWHTMKNNJHVABFWZBH,R,74624.0,1.0,wwzflrbbluejonuhmqcrbfqrlhfc,H,429.0,yzgjlsq,San Jose,3.0,1-921-965-2114,United States of America,AEW8084,KS,Cliffs Natural Resources,OJNTIWBUFCEMYDXMOFCFPVKQFWTH
4.0,Joxsmufkegbkxuocvrhybticzugcvgxwvhwhomdaqrctraby,M,,171907.0,100.0,Wvjlskoytguobwnjqua,O,1331048.0,3.0,Aggrurmxfjdjmeamwypafobvaujza,v,382.0,iijngooprne,Edmonton,0.0,1-125-065-7159,United States of America,Wvj8085,IL,Biomet,vhwprzrfkegioafjxrhicxclolmlf
3.0,Xnxucjbxfofslijmsvxmdosqmjblrvkcmteevqidjdcrkvrrjzuxbpqsyjjheilwaugxjmn,M,,58285.0,77.0,Ajqmzhfcnlgvspdewexcgnkab,O,2961777.0,9.0,orsotk,,458.0,NTDMXNUQUENW,Santa Rosa,3.0,1-969-454-0562,United States of America,Ajq8086,DC,Penske Automotive Group,xyfcuxzmrkapwnxxlmskgk
1.0,Xzuckuoxcwlsmucbikomgrqpyjtrecympmflwamimtbxibcltmnltecoafssjjfrdznpynv,M,F,450122.0,77.0,Npgcy,R,1014724.0,10.0,epppsisshwtftmnpyjawhoxoppiptwadiwirmacbslstxmjygakpdgfubll,B,395.0,Kedcvea,Winnipeg,5.0,1-116-081-8170,United States of America,Npg8087,NY,Unisys,Bzsfxletcnudob
5.0,wprdkmdvsuaznscmvtcihccu,S,M,189975.0,9.0,Wyczf,,175998.0,1.0,Cugxezgrndwqnqdlc,,393.0,VDTTGSFEY,Chandler,3.0,1-395-439-2231,Canada,Wyc8088,NM,Beacon Roofing Supply,Lffmzswjabkgtnimylinglrkxbep
3.0,dyodgfzoqrbgkwqzipnxhoejeetanrbwjqsrkxolrajdwnejsxenlkkioterracopirehnkgwqgjxpua,U,,131586.0,14.0,Ddjkjobsbjwlzbx,O,1603482.0,3.0,AJGJP,K,569.0,Brxwv,Nashua,2.0,1-665-574-6764,United States of America,Ddj8089,Alberta,Kraft Foods,Wgzwnh
0.0,dmjcgftmwgkqslriaxvcwlsquyacvpcotanvpeuoeiaebuxamgwsncwashlpknuirtmactvxip,D,F,198921.0,38.0,pgwifyqccowwmqexha,O,2940685.0,7.0,sbjoksfwbygdkiiwpavnfx,,768.0,MTPQFRIEFQ,Norfolk,5.0,1-930-758-5891,,pgw8090,IA,Belden,Jzesaewkeaevsdf
3.0,QBPGVSYQGNDRUEPKCQYOFUTRCQAQULOKLGTYQJVYBLCJYLOQCYBZPELBBANWLWNJAPMT,M,,419717.0,55.0,siczafdkux,R,997874.0,5.0,ljwuswttuomlgbhlpsfthojcirhrvyeemkktcvkguitlpnpcdrljkaydjlkxtmcsufyomd,T,585.0,uiybcoxgz,Fresno,3.0,1-772-090-7589,United States of America,sic8091,MN,Oneok,Gqmyjtgzqnwctpgcgsi
2.0,Vhaedpgbnkisdanvqevnhlwtwlaxystbspykkg,M,,315699.0,23.0,AFPQVDWXHL,R,1210663.0,5.0,Zufopflpajwobstetjchjkdfkzxcnqllhqgfikbpgwmmdqybxxhcnoivensdh,,695.0,TRDZCURGC,San Antonio,1.0,1-940-293-8766,United States of America,AFP8092,Saskatchewan,Cummins,Ocfkil
0.0,Emtycdmgddkbyfissckibwntzotslwqbgtcdusftnxgrmvfksljostqsvtxrjgpgyl,S,,458150.0,38.0,ABETTOQSUDXFTEJXWHVJE,O,2550067.0,5.0,,d,560.0,nuzehnzufy,Savannah,3.0,1-981-100-7095,United States of America,ABE8093,British Columbia,Whirlpool,Hhzlbgydkvfhpjwwlwzlrptsn
,ERJWXQYXMMWAHEKM,U,,122267.0,73.0,Egypomvbancbwzluentqofdmbr,R,2539291.0,6.0,Izzgrkqtowioqholrlvgvdojkmsqqn,Z,574.0,Kathhixrn,Montpelier,3.0,1-937-993-9509,United States of America,Egy8094,New Brunswick,National Semiconductor,Nlurbghcteceblhakep
4.0,DQZSWL,U,,478349.0,40.0,JPQTLCTGNEGYAVPXXGGMNQ,O,2469405.0,0.0,tbwlgitsgecrkueihcqtmasbe,,376.0,Bvuqsj,Peoria,5.0,1-354-845-8552,United States of America,JPQ8095,NH,Belden,kbnrlyadqcoa
5.0,Fpqzdvzxqqdpuzelnpfguxdoorzhxbgeozjwbdgxccvrwbxnrntwjwacodr,S,,,42.0,endgioqanjrqwkpozrwuwinc,O,1975282.0,8.0,vvrmdjpubppehovosdzwfqzyunkegmxthwufbsojkgiigbdolfjlgonasqlptljinoccvbvc,,797.0,bobrea,Santa Clara,2.0,1-088-580-0647,United States of America,end8096,British Columbia,CIT Group,Bzekn
4.0,Prfrtbnsvprxspxvjwgmrjdg,W,,7977.0,50.0,MXEOCUVPCLP,O,3414193.0,0.0,Olinfcptrebmrzuvehauxptxuzlijedwubt,P,337.0,rjutwdpzbnhv,St. Catharines,1.0,1-085-672-0938,United States of America,MXE8097,WA,Cisco Systems,Dzyzwuisjdd
1.0,fwaggytpljvwwmadureror,M,F,114056.0,36.0,Amyypkrutcuve,O,716072.0,2.0,,,500.0,gmowmrbg,Fullerton,4.0,1-942-438-0390,United States of America,Amy8098,OH,DynCorp International,Vxkrgxvhgdbkynqontjtztdu
1.0,,M,,38385.0,1.0,THWXQFOLVLIRTMFBG,O,1939896.0,1.0,Gxsfnyvooniopvm,L,441.0,Fdopbgodnv,San Diego,3.0,1-368-485-7766,United States of America,THW8099,MI,AmerisourceBergen,Nwgiuocvaqbzbnvzkpyblicfqf
1.0,SVGAMDZGRWMFYTEJMVVTPKOJCBSVOSWYPNNNNTZVMSXFHBF,U,,440119.0,65.0,VOLITV,O,803068.0,,RIQXUJXJHGPVPEGVUKDNTXVPWNUPRQASFPGWIRROXMXIMGUTCXCNWOBWKABWUOEWQXRHCIGKQBCHGRDE,,457.0,HWOTCRWNHND,Palmdale,3.0,1-487-056-2126,United States of America,VOL8100,NJ,Symantec,Rdnwqpdzeayvfohqv
0.0,Piaotyvqwwjfraenxrxliphdkp,S,,169057.0,54.0,LPYIXVLDKTVFXAJSWTTMXWLN,O,2284224.0,6.0,EAOSFHKIQOJANWBRJBGXGG,,445.0,PETQFNGIXE,Ottawa,3.0,1-839-459-7027,United States of America,LPY8101,WA,Dynegy,fvojvejfozwy
5.0,dsjgeuomvwwywxrtqbmy,D,,17488.0,5.0,Tuamnhcjo,O,3097815.0,8.0,MZWIBFAKNHZCBUJWLUFANDGBOBJFYXCVCTNUWRJUVVEWHBICYVNDNSMTVAJFROQUAEEQRY,,332.0,rpfikhfxyujy,Greensboro,5.0,1-465-801-3992,Canada,Tua8102,Saskatchewan,Duke Energy,ULUVAUCWQWBRPLPSWWSYJ
0.0,bqtlobcdujhhvgqvspmwbebgisin,S,M,435367.0,95.0,clfpmbcxgxyyfyiyscbppj,O,3456695.0,0.0,Uwwwpjuwpusgtmudqprwhmogeamcienhsvmacivgdnnflcugiz,,312.0,BZLETHEAREAD,Grand Rapids,4.0,,United States of America,clf8103,OK,Amerco,PTIZWHFJQRIPI
1.0,Hsuoegedtkoecjyaurncxbqbwyqvdhselieh,U,F,68214.0,48.0,orxeor,O,407732.0,2.0,mfzcmnsltvxxfb,,627.0,Dmluvmeantxv,Erie,3.0,1-003-461-5039,United States of America,orx8104,LA,Enbridge Energy Partners,waatuodpwxsl
2.0,fcgfkgnrwgxemgrvwizuxbmnctcxbgkt,U,M,398010.0,90.0,Whjcxpatltrc,R,3440867.0,8.0,,Q,570.0,Hxethckqin,Chicago,,1-361-908-2795,Canada,Whj8105,DC,Publix Super Markets,KGCCGLSCNRNWJPMHHJMDSPKB
3.0,dcttneqeuevzjwmqukmrnbgfn,M,f,2374.0,68.0,odcwte,O,1045086.0,10.0,nzgesvldymoqfar,r,543.0,ddjija,Glendale,5.0,1-256-052-2241,United States of America,odc8106,AL,,Pydgctkjjweoont
3.0,rfqnwndjgsmsojwyjhfuilnlgpjcomkntojzsawfdhgtgnkwjovltpksacsjwfixylpi,S,,19437.0,,jcrlxobdsaxrzjtmxfugszkro,U,,0.0,QUXLFRNAFJICWDCMUQTAMRNVYTLGYRXKHSESEXSRGANF,i,492.0,CWEJMBIPXCR,Buffalo,2.0,,United States of America,jcr8107,NV,Reliant Energy,Ioilr
1.0,bbjlhrjwwiketdelrbusphguxiejizwro,U,,437123.0,97.0,SVDJBZWTZIAERPVVBTBAAW,O,1715912.0,8.0,ulylxvnqraxeigynwfxmeynflhrtenajmateetpgtilgyovkt,U,818.0,IRXAAC,Sherbrooke,1.0,1-491-847-6153,,SVD8108,HI,,HNNOCBXRPEMBXVDOOYCICGLQ
5.0,cwinagxujkcuqishhaouqqblafvvoavc,D,,209471.0,61.0,Oejkmlvrzhcjiyicsqgyrfjpvnhpu,U,1134049.0,9.0,Urahihnhiudonxidlwyppfffnyprrhogqtslsxvaedxhpxwa,,687.0,xqfuyqjns,Huntington,5.0,1-231-942-7653,United States of America,Oej8109,ME,Zimmer Holdings,Cbfbnaaej
5.0,fhpeyfszkolwrjrnfiaowufykoqm,M,m,352870.0,67.0,lymre,,3926979.0,10.0,Qzjuunadlgwmwlmgmmzntwrdhcm,,686.0,vwrbr,Idaho Falls,2.0,1-212-180-4062,United States of America,lym8110,WY,American Eagle Outfitters,untupnxalzsduuuvjx
5.0,Uqpkifxxrazwhcvvgdfvvtw,S,,362274.0,61.0,SNXYJ,O,3227952.0,0.0,ckkeaovihudslytvkggvbjfihmxxrlpt,,717.0,Qmpok,New Orleans,,1-894-425-4438,United States of America,SNX8111,MS,Newell Rubbermaid,GAKXYL
2.0,Unmshdhgnrdinatnpiarezwkippyhfiomucbpnvlneinuhixxrttewbkmxroeeifloxhwuycc,M,m,429384.0,74.0,Wwhlrydidqweaeheuvpkjxukln,O,2705339.0,2.0,vfrupdaqsqdvkvbrlhkctxfpbfbzzsashpdfstzmuxizsmwlktmttyucndiaqmjchaywjwdcwuxonxfs,,599.0,LTIKSIR,Overland Park,,1-345-782-7944,United States of America,Wwh8112,MI,Allegheny Energy,TCNRFCPAW
2.0,LNFEKPURZRLVKPQTNBFMDGCGOIYAKXHFWXPVZEXOHPAWRVZUVRIEMCNWRWJLORUAHKHFPCKWMAVVDA,M,,205435.0,83.0,Yzzidpvtknxbmhgv,O,403335.0,4.0,Umlyesndba,,547.0,DAXRE,Mount Pearl,0.0,1-060-328-8171,United States of America,Yzz8113,Nova Scotia,General Electric,cnulepwhcfezowmfxtasfrnj
4.0,Vdnmszdogyzyyluiacefavaeufohebzxdluksvqmihuhoetlpefbliwagsiekxgmhmtlnxfpy,M,M,162479.0,2.0,Vibsnwrlrcpkvuxegkipevevbc,O,977058.0,4.0,XIRXDRCZKXNWPHOLHPPQCTIYMZXFGSBJDRODPWAPUWJOMDJUWCAPGBJO,,400.0,IECOSOVQK,Elizabeth,4.0,1-608-054-6525,United States of America,Vib8114,IL,Belk,wsxapq
0.0,tphgjunlowgxntxlrvxxoeohaumjmvqcubirqc,M,,497960.0,62.0,Mvyrvvxtpckdo,O,1639703.0,1.0,Gzpzlpmtkjarmdwpywtfj,u,688.0,qctnc,Knoxville,3.0,1-845-870-4364,United States of America,Mvy8115,Ontario,AFLAC,xjthwtaddqolpqiobfxjvxwxsugv
5.0,PCSEXD,,,361157.0,45.0,Wgxdhozmtdwwjadzwaaxjxdpdyi,O,2678765.0,5.0,Ajhkngnpcdv,,432.0,GKLNCIFT,Irvine,1.0,1-172-658-0974,United States of America,Wgx8116,NJ,Liberty Mutual Insurance Group,RGDNMTBG
0.0,Ubpfitkybrmsiajgtirazrrsvnnxbozpcsykdcxufleiktc,S,m,308692.0,,PKTPWNFWXBGCHWLNPMEEHHLNYYQ,O,1171157.0,7.0,Omzkzvecsresuykrurklrhwndefbakigzeuquildokthobsfaujaivenuh,,766.0,Pjvfgieabfu,Oshawa,1.0,1-515-162-9130,United States of America,PKT8117,NY,Republic Services,DZADJOQNFHLXXOOWMZAUG
0.0,Ocqziffwefubviadhlvmihtkbzhiwfcgcjlxqnuueocrkydabdqfwprkawqvzcgwnscvlkps,M,f,237879.0,37.0,GVTCKLFSLT,O,3763406.0,10.0,PFHXSVHCRB,,533.0,,Seattle,1.0,1-966-006-8253,United States of America,GVT8118,IA,Burlington Coat Factory,vhvcxsiomf
