St,NumCreCa,LaNa,AgID,Co,Ge,NWo,MaSta,Ag,CreRa,Ci,Em,MiIn,NumCh,FirN,PoCo,AddrLi1,Inc,AddLi2,NuCa,OORFl,Pho
NV,1.0,Puvhtgahbhjlxaxvssqjpyv,Puv7781,United States of America,f,1482250.0,,92.0,651.0,Salinas,Sysco,I,0.0,Idswueimrsbycluamujgztzwqfipvf,Gphjr,Wfhwgsdugpoankasqrlzatlmwmibgkgjjcyt,241263.0,Dqjxdnzdirppetblzoymauhjzvqqiatmhrjppuodkayqqlnhwaikd,0.0,U,1-088-248-7795
VT,6.0,DAJYKNHLDHSWNJRF,DAJ7782,United States of America,M,3123257.0,U,78.0,,Brownsville,Entergy,L,2.0,Dvutcxgywkpttbkvzyfjmkh,Rncwspqx,Suyrqysxxkxvzrsqpblubcohuvvctcobyjoxsmclhsyythahqfnsgumohynahljqybiqrestbyuzlhoa,99175.0,GUGJFLCDDGKPREPICVQHFUEJPKQYRQYCMDLKAHZLRBJZVBNWWQESTBZAZKPIVDEYCUV,3.0,R,1-596-039-1994
HI,0.0,Iafcsetsxtejg,Iaf7783,United States of America,,944918.0,U,48.0,652.0,Fresno,,H,,Faywbcvwdbxvjwn,Wfdkdkfp,Ibbdukjufnykowgvqxqsbnsnjsne,198444.0,Xewlqueoojexdpcpsdechjrbosynovbtrhhesmqqlewvqmpfhpobhruuyejjxhucxgut,3.0,O,
New Brunswick,9.0,EJPEPVTDGKHTCGGDWHGEQIUNB,EJP7784,United States of America,,2050110.0,U,0.0,338.0,Ontario,Telephone & Data Systems,,4.0,YLPNDNVXGTDOCPCDO,JRFAEYJP,Jkvuhngyoysbzwdfucxdrjslvzeoaznfzniugnjzkz,250333.0,LXWBSWCYQNWISZMFAEJBCQMMMCUVXWNXHYALBNEAUUNSOFPXF,4.0,O,1-235-024-0569
MI,0.0,Blamzrkhfhlmowcwuv,Bla7785,United States of America,,2077778.0,W,89.0,779.0,Omaha,W.R. Berkley,A,5.0,undooshsgkeqftkoslmaaf,Awpujx,,,Tnalsvurvdhtldqiamhnwpzdheehybreorpjaiagippfoeztmvaph,0.0,O,1-138-843-5480
MD,5.0,Yhefikklhs,Yhe7786,Canada,F,1793821.0,W,47.0,786.0,Huntsville,,,4.0,SGMATJJSVBIKDDBJPKTKATCRAAOXBA,Ssjot,IIHPCROPUSWPKNEAAHHJGUREFCQVIOFJGNZUAZUOIBSBDTMSKZZZTFJDPNXC,173782.0,QNVJEDPGIKCEYPSPXAIQRQOJFRJMFJIZRGMYUMBRWWGW,0.0,O,1-637-845-9250
WI,6.0,Nfldvfworlfejwnuauklepwo,Nfl7787,Canada,,1847011.0,M,2.0,458.0,Hay River,Cognizant Technology Solutions,,1.0,Rklrkfhzsl,Nmkbypdtmp,CMDLERWALOTLTPIPCNKKBHPXFNQJXIMSUYITXACUZYNP,225849.0,nbcrjupiyhknikqbzseqouocvrlkgghsjkdavs,2.0,O,1-459-090-7413
MT,6.0,Lrdqj,Lrd7788,United States of America,,104018.0,M,18.0,806.0,Austin,Popular,,0.0,AFTPYVW,Oklorooxqq,pyfdzdqzhqamiawpilyhedtudt,205194.0,Lmmqznlgcgrjghgswcjjyafzxxcjsrbneskskyonmwiphsepkuiugaggvulqmlopwovo,,O,1-488-723-0835
TN,1.0,Ojhuowdyyckqv,Ojh7789,United States of America,f,113431.0,U,98.0,466.0,Winnipeg,CSX,,3.0,CKXQRLOOSHQZBHYMNCAZ,fjjakemv,Wandcgpllnpeziagozurrtdiclmgxbocwdjvlogunxbrokvbfd,40273.0,OQIZZVDULJMX,3.0,U,1-354-637-6196
MD,2.0,Gajos,Gaj7790,Canada,,1721394.0,U,79.0,801.0,Lexington,ITT,,3.0,Doeqhehoszhrq,Rmlgrerbtf,IZVHOKOQGCNOCUJK,388923.0,VCGQQSURSUVAWKPRYRVOOQNHKHTBDOZIDRKXSULJEDWQKBXXO,2.0,R,1-444-824-0484
SC,0.0,MHUWRDHDYJVD,MHU7791,United States of America,M,3905265.0,S,90.0,334.0,Rockford,BJ's Wholesale Club,,4.0,cggaqkwp,RPVDIFMY,Flzcybpcggbhrfdnvtdancrxmvpwpprqxnggzwvngecqtudfeclfipqtuqtpcdxgmdizajlkbguv,213273.0,RFKUZBAAKSKXYQODFAWGKWSCXVINFNULMZOVWZO,5.0,O,1-045-308-4672
Prince Edward Island,6.0,Luunhqajpnfmpufweqgxi,Luu7792,United States of America,,3710742.0,S,54.0,568.0,Waterbury,Cooper-Standard Holdings,,2.0,Kduyzgcfteqhvmxmpfngtp,Ixbubrxyi,Fzpqeuhonxyapezeiannclaurhnmscmojdjfojazglajv,499304.0,vwlxspobxurdjhsshgqkwlmfoolgsnukxqkdkfcmdzsyytdsveptnwciepmvohqclqivhaqrij,5.0,O,1-704-419-7623
AR,5.0,Bbhmrrnqlfhfufkpxxqjy,Bbh7793,Canada,,2289382.0,M,56.0,338.0,Bellevue,Insight Enterprises,,1.0,nynsipuzywbjggecpvknlcayu,SGBRI,Jxvqojvdbecisuumssuaiukyftwdwwigubsjpzduhaorwvqxsxjirgndrjyqkdmoucypdodnt,439546.0,Zdmmdklcnalbkfalprzrzkukmcyaewvotplddvawehnjfxtoucmlzmmfcu,5.0,O,
Newfoundland,8.0,VGQGVWCIERLRH,VGQ7794,United States of America,,2123750.0,M,61.0,421.0,Lubbock,National Oilwell Varco,,0.0,Ycqpoklsnj,HJSECFIO,Lngduxznsqabphefoepyclwftoyszijwgbniklzag,74548.0,Mtstognxxffufglwakwzebvxpmivexnvwqjvdonrigmzuioqqopepffxmgoemxcfd,5.0,R,1-126-402-8195
NV,0.0,Jtmslhltomrtynfyyqexquqs,Jtm7795,United States of America,F,1222348.0,M,20.0,312.0,Manchester,Newell Rubbermaid,,0.0,ysfljjorrmdywfventrzryj,FDDPZWE,lfkarwqljrblftlttidcwtaduuonhwg,472023.0,XTOALQPIMWMLTTNYHZFXKTAHUDSEWQQDFGZTCNIQJZGAKGLIMEMOIO,4.0,O,
OK,,WUWIZWKSDKRBBXIJE,WUW7796,United States of America,,1746167.0,M,95.0,361.0,San Jose,Supervalu,v,1.0,Zhgmcto,qgpsxpth,MXLLHMHGXS,155245.0,Eaxymjkuhgurgphpiahqemiqrdinnxsnacgo,2.0,O,1-348-201-5638
NV,5.0,ojddvrnopwp,ojd7797,United States of America,f,602321.0,S,42.0,626.0,Virginia Beach,Amazon.com,F,3.0,JQYDHVYIYTYTSQ,Bdijvsupu,atktzrwteqlojnugqwatdinmftmbkevonkfijfhnqwfbubkaevsqezk,95133.0,Orqkfmcondtsqjkjiwptoxnpxovizbxrfyblslu,4.0,O,1-878-085-2397
ND,4.0,Cvbhamcdnkpbeoajviq,Cvb7798,United States of America,,,U,30.0,,Indianapolis,IMS Health,,3.0,Ncdowbmgrubuhmne,btazmqvgcd,VYALNGFIOBUP,208626.0,IRNYXUZWGATEDYMP,,O,1-807-513-3749
Nova Scotia,3.0,rsofefba,rso7799,Canada,,3509965.0,M,61.0,445.0,Jackson,Holly,,2.0,CLNPTFYLEZVWYPPHDNFUL,pmvtjojeamwg,RKOVGSQLNLATINZVBFPWZTEXSTELUPAUJCG,338937.0,hmxlyjocunlhrfcixkhpvwxmwxgscexorsnimboptajpspxmtwwxlwbxsifp,1.0,O,1-308-751-4811
FL,9.0,Tpjjcihkpz,Tpj7800,,,1270225.0,W,27.0,347.0,Jacksonville,General Motors,,1.0,Caetayjalavmtqzvifgbmcgtrrgev,Qurmx,Bjjsjycpabvknyxhqxxoelzmmcjqcndtqwwxoxlqljecleh,75897.0,BFCZIHVPIEUZGTJATNBBEZUWCJIMNCBEHIYOALB,5.0,R,1-824-374-6093
MI,4.0,VEOLNMRQMLPNBDL,VEO7801,United States of America,,2882457.0,,31.0,617.0,Omaha,General Dynamics,f,4.0,LQWGPXAJEPPPAKCJFRS,CTYFK,ETIDZXYCPHGEEIXKLWRNZGLRVWVGRZJELIENUZKBGUIFNZZUQTRXCAABGDGOEWHRZXLK,354986.0,,1.0,U,1-711-107-1977
IA,8.0,Nrswglheedmcbj,Nrs7802,United States of America,,2828480.0,S,40.0,830.0,Toronto,Embarq,y,0.0,Iptmvgzimwxi,ejfuenlock,,19973.0,AYJCMWSRRXHPNGRJWXGGILEHVJLGPQCLIXBUVPF,3.0,O,1-392-137-4125
NV,10.0,Wcvpvcubsiqrvxvpcxtz,Wcv7803,United States of America,,2709790.0,U,58.0,,Buffalo,Murphy Oil,,4.0,Xihwaxbsmriyojafwhwtq,ipiabeu,,47920.0,LAQQZEOVHEDBKHYFQYEXF,4.0,R,1-520-247-4473
FL,0.0,Hxmiyovwcukkgjnxmnpgqpavb,Hxm7804,,,3065674.0,M,58.0,452.0,Fort Collins,Southwest Airlines,r,0.0,Deuokiidhhiwm,Saxbwptcbu,ecpnpohubcapglldexzigaeerftrswfmswlkuobxvujhxxixgchfyelkhznxx,6804.0,WQQGAIBZQMCIBNCVCIIKNWDJLDADCNUROILZDOMLTNHTNMXAUHLAEGXGKSXKVDBW,3.0,R,1-715-269-6830
MT,7.0,Ktbzezfrerjvqovifw,Ktb7805,United States of America,F,1493447.0,U,45.0,536.0,McAllen,Weyerhaeuser,,3.0,Sfhopawghyqgy,Hqoabpgar,,210120.0,Ulmjlyzyddxskmlrnaecwdhvxmhwkopoqzgvdlgshqgmcpjdiwayizobbgpwjjocwdpfhrzpnoado,,U,1-102-018-6502
New Brunswick,4.0,Ejsdccorefe,Ejs7806,,m,642765.0,M,9.0,536.0,Yonkers,Lender Processing Services,,5.0,Dladdfgt,PIQKVGA,Qaqdvfyiquxdoefattljlninzhzzppddwfrgqvpm,316764.0,mbfbngseajkhmunydlutzmtqgkioymvjvhluloiaakclzeayzqil,3.0,O,1-446-372-5314
MN,0.0,Sffwisgbwielvsguyqhavxhwnbeuww,Sff7807,Canada,m,3843812.0,M,46.0,681.0,Mobile,General Dynamics,W,3.0,VABUSJAVK,Jkdez,tzvfblxisoqxjumpaybybvpaiwquajcrjqp,325753.0,msjsludiqowgecpaqprkqhbbdorwoylgadjfnjbaekoshfkvihudyaziozreokzztapjjmruljo,,O,1-291-287-5870
Saskatchewan,,elcftshtnxyh,elc7808,United States of America,,2373701.0,M,4.0,516.0,Baton Rouge,Western Refining,,3.0,IXPEUEIPHDUFZXNSS,Tvicfoouwlw,vlzifpieqgasjdmxqlbbpbfmjtimtnsfdgjlbvkuincvokfdpqaxucrqgeoeswiwjhqfr,159571.0,Wvgjqyqswuutfikebntekuqywgfbpkiajgjnxmflwfbnhmyfqurgbovdbingsvtxblgf,,R,1-730-343-2879
TN,8.0,FSONUABABVSVKACQX,FSO7809,Canada,m,1365627.0,S,50.0,428.0,Philadelphia,Asbury Automotive Group,A,4.0,BGYRBAUF,Kzevl,inxduxddrdjfapenvrlnricgtpdcqnqbehjsglgozswfqtenmmm,236485.0,Bsxdngdcktjigvjojsbtvwlrkbealvakpvcotyccxpjsgiwdcldbufbgmok,5.0,R,1-717-739-3758
TX,8.0,Paljtgiiagvxeysahvwuut,Pal7810,Canada,m,1769029.0,M,78.0,783.0,Irving,,r,,Zvkjjdverawcvuymojezxa,isfkwvz,vquobcrgsqcsexfoecthwutcwepqwenszkagfhkrmkkhatfpjrdquzwiereomkkibnikqfmsgel,496074.0,Qptetysrvzwrcisggvkczqbltjrrgpjbtmmvhvzhjitnjvzgftbtwjvmglrgxjxctxqz,3.0,R,1-910-876-8455
WA,5.0,Pqmsziyqdu,Pqm7811,United States of America,M,2554799.0,S,14.0,307.0,Fullerton,Regal-Beloit,,0.0,ssnxdhqstoeth,PEBTEEHFAFCL,Vlxppdfoluhlyfqxgrjlwtyololdkzsfvxitmpbybfue,85.0,Nlkgkrrohbredhdnbvolqsowadxrzuwyxbld,3.0,O,1-211-658-8931
AL,9.0,Qrsqdchq,Qrs7812,United States of America,F,1241189.0,,21.0,846.0,Newport News,Enersys,X,3.0,dgzjldptskwzdtrxaqobutmpog,wxlqdirza,hsvombqfrmeskfvymxwclkrjhkrggqxyyjrry,112434.0,,,O,1-617-977-0368
ID,8.0,OLZDXSQASSWMUFOFNNWQRPIQB,OLZ7813,United States of America,,2432197.0,M,69.0,582.0,Hayward,Dominion Resources,,1.0,snxmrewhqbzwnm,Diqzu,Fmrkhlvgvlasgqggmihwxwtmbuzrvimvkmuoydqvewtinrnoohheovhpdvcuswkvmqpxcwtqxmkqhav,469546.0,QPWUSYXIDHOSHQAXWWXDDCDEAKHCQQRDJ,1.0,U,
AK,10.0,Cgrsevvvjfhejp,Cgr7814,United States of America,,3417367.0,D,29.0,500.0,Fairbanks,TRW Automotive Holdings,g,5.0,zljagwhlphbskib,eoopxjaxena,Vgxqlfakntefvimcaeqqtcjtsybxddknqmqxdfx,378681.0,Geswvfvrqluntngtvurswrpngvfnkamooxokjctymruhxixyjblkzfvabiefdbesnbgmmlphhzxh,4.0,O,1-526-226-5832
Alberta,6.0,yovxitkrqsbcqjccw,yov7815,United States of America,,573323.0,M,82.0,802.0,Warren,New York Life Insurance,V,4.0,Ppfnjejvbpslxdhs,NUYSKUMFLAN,Mtirsflwxspwviarhgkmchav,202225.0,NVOUPTHTTTKDDUXQXRKNYLDHYYIIFRGHOSILAYYULQNBUKPRVDLTEKEPWWCZQXTZBCNG,2.0,O,1-831-841-8863
NY,8.0,TVKCJHPWVSPYLXXQEKIPU,TVK7816,United States of America,,1544205.0,U,79.0,710.0,Coral Springs,CSX,G,1.0,pebevkfujgfunggrpxiqf,Kiyuisk,Vtyeyybm,83672.0,Fqdtuacxlhnceua,2.0,O,1-724-757-6864
WA,2.0,irnzgpkqaujlotpcxucmrttqffnqsc,irn7817,United States of America,F,2717331.0,S,59.0,407.0,Winston-Salem,PPG Industries,a,,Hernznbh,Jwxyyjkxt,JSDHCZRKXALVWUL,354744.0,rwhjmzaefnlwebllne,0.0,O,1-628-017-0065
MS,8.0,Yikbfcud,Yik7818,,M,639791.0,M,87.0,410.0,Sioux Falls,TD Ameritrade,,,WSKYOGUGL,Drzvvw,XHYAIUXQTSJBDXRFONBPXBUUDHMFWHHVEMUYUHYR,163223.0,,0.0,U,1-412-700-9835
LA,2.0,eixapiaikopsnqktdqfwgiqehdxcjx,eix7819,United States of America,M,,S,2.0,539.0,Nashville,Pepco Holdings,y,,EFJTNKCOTZOUWXKOZJF,Sjamrtnkqu,Kvxcufunidcgopbaowpacbmjhbvnnlvedltiazhtdtmlbhsqepnrscycnovgjwhljgxxdmu,323691.0,hvvdfzgjqrkibivsvlaugjvmnodi,4.0,U,1-458-534-5021
NC,2.0,SSYHJAPLGHOWCITJDRJH,SSY7820,United States of America,M,1224394.0,U,55.0,,Virginia Beach,Textron,,0.0,Bbkyaldejvrhxeyupb,Kgbaqwsyxu,BUOBXNJXGOQGWEGZBGDERZTYNKP,469771.0,hmdwsqpidshlncsvaybslpnilstfsylg,0.0,O,1-212-399-4585
AR,5.0,Emanwdvcpipoqfifozaazk,Ema7821,United States of America,,3884652.0,W,41.0,828.0,West Covina,Chemtura,p,4.0,vvvvxqqyinwklgh,LGVHYNQCOYWJ,Wopupqljkhiqzwigtlabdjjegwqjnevykvwrytc,186923.0,Yruvugicvnqivxbnemiartkkfodtsptumyepssenfug,3.0,O,1-925-811-3251
Prince Edward Island,9.0,yoalr,yoa7822,United States of America,,3632849.0,,9.0,501.0,Torrance,United Rentals,q,5.0,Fhhgrkluvgk,Duznhcbmmosf,Vgmlhcuwwiwanaibtlshdmcthncrrgbifprpypbtuikidxczjwmhlwgw,274143.0,Khrflkkhlgjwravlahypkpxrvntmidteewco,2.0,,1-255-979-0567
LA,7.0,FGBYDFDPQOYOHJNENAVOODUN,FGB7823,Canada,f,3423972.0,M,86.0,415.0,Thousand Oaks,Donaldson,j,0.0,Nevumcckjfwwwpbzaliucgxy,Gnmgvcvmnvae,UJRXALEIPMHWAJHEKIFUWIMYIMUTJCQPEPJWSDDRHVOABKZ,85347.0,XGNZQYACGAOGJCGEQ,2.0,O,1-235-290-4774
WA,8.0,ctrqepxqrbq,ctr7824,United States of America,M,334439.0,,39.0,625.0,Fayetteville,Polo Ralph Lauren,,2.0,Eylswx,wdailoo,KGGTXTYJEAESMWGWNBZLNWWBSXOFHWTVNUOSHDDZUYP,23172.0,osebp,5.0,O,1-789-903-0856
NC,9.0,GDLUHISITVLCAY,GDL7825,Canada,M,,S,,355.0,Tucson,Universal American,,0.0,Gimryuhijdckhgrckatkdod,Sqysxqlop,Pppftlxgiguubndlxvjcedstkecwfazcbqjtwgpnefowwweqfminxgiuniqppgilxhvpvuxj,26217.0,Xnvuktbioizlrumplulbofvwahbzsiwtposrbg,1.0,R,1-241-378-5340
RI,10.0,Uqbgiorwhki,Uqb7826,Canada,F,2733760.0,M,80.0,634.0,Grand Rapids,Convergys,P,2.0,NVORJLXLQEZOSRO,Wwfxd,,125930.0,EGATQLAFNTIVDGWOWYLNKVUQJSLFMMUQBVFYDAFPPCTMLPTSKIRGRMFPTMEWIROIKGLMXD,0.0,R,1-619-130-5337
SD,6.0,sdjtybpybtenlcs,sdj7827,Canada,,3813673.0,M,5.0,604.0,Livonia,Spectra Energy,F,5.0,JVOCBSAQIKCXZNKNIZBNPZP,EZUTXPIKTL,Jrhrjeuxshngstuvlhvamsukqndoasunrfibkbldvakllnmzsxhqdwuhbfzhndkxpxidttbossoc,416195.0,oafhxgokhfedkbmwatqidodloxdkbakgetmltfcyfnafvmf,0.0,O,1-068-004-0614
ID,2.0,ETAGFLVHNXSDFHSUHWBK,ETA7828,Canada,f,2996284.0,U,91.0,691.0,London,Estee Lauder,K,0.0,rtsbcfeu,Vdjpudmlq,CRPZRQGXNKNSYNLIBTQPYYMQXPKDOTG,257406.0,TNKAMPDKUPVMXQESYQMTGPHZRPWRYWZRHSPCAVQCEMMXCMCGNA,3.0,O,1-746-214-7798
NJ,0.0,DCNHTKDMYYQBTWLXOJEV,DCN7829,United States of America,,2682187.0,S,18.0,,Pomona,Washington Post,l,5.0,Zdbpoxzxuzuzcgrarvo,fwumslgkg,Qexxtcmmwrsoofwmooyqznhkavqcpswdvyhvktwcnoiplj,315271.0,Yuumbrityggpbhggpnlrtdkzxumadxoqscpqbnwjnpgimmkgzphsa,3.0,O,1-824-437-0300
Saskatchewan,4.0,Lsahlkfjovptb,Lsa7830,United States of America,U,3831798.0,M,91.0,687.0,Oshawa,Curtiss-Wright,c,2.0,HAECEFTN,edmiayyybetn,Qyjrlladrsfpefdmbaqlhrouw,497258.0,ncphbsbubxgurbr,5.0,R,1-867-461-4349
MN,,Ypjfrrimrr,Ypj7831,United States of America,,760428.0,W,81.0,324.0,Topeka,Ford Motor,M,5.0,Skcnmooeg,MFXCD,RRWMEIGMEGOBHMOBBQCDUSOGLHZOQPLSALQCLPAPSGLKITHADFBCCRBYPDWNTK,248158.0,Gzudnifiyhiyfouxqiohniksxznikzgrufovaoivphnm,1.0,O,1-753-206-7932
GA,6.0,Ilpqdbsgkkxxjlzwkcevgnbtzcg,Ilp7832,Canada,F,2952394.0,S,55.0,386.0,Raleigh,MDU Resources Group,f,2.0,Femvptxconsuivqbthqw,Lyqjmdhnhejn,AVLSMUKRZINRXOHXUNLMBATXXHUXETQZUOMFJHGGYNKZDPENGXGYVLINVMYWBMRXTLVWODENQCJANG,189605.0,BBPLYLRCEQOQZGFLFEUUUUULJYTRTKTOTBIKNITHSEFLCGWBAWFMJKAZCJGIFNPLDIO,1.0,O,1-098-863-1605
MN,8.0,JKMVYTDFNOE,JKM7833,Canada,m,765248.0,M,28.0,566.0,Tallahassee,Sun Microsystems,,3.0,DRGGBHWOEUCHS,,VLXJDMNLYMSTRLXAUWYCOMEJZYAYAIJSFHLMNTXIMQEEAZTUMXVUKVXIRYTDCABB,238398.0,mgjmxws,1.0,O,1-093-144-9837
TX,1.0,gfwkfe,gfw7834,United States of America,m,3439491.0,U,63.0,799.0,Independence,Quanta Services,,2.0,gcckahyxnqanam,Tgydk,szbcgtgnxscsyjupsbkjektqyftqidhcoorcyibgvnoiembtqdxltjvbgsjwfedoes,421306.0,ujuxetmfcosbcwkaxgqclnvnsumnbbqnhalkwtaacu,1.0,O,
NM,5.0,EHVJSE,EHV7835,,m,2334173.0,M,47.0,630.0,San Bernardino,Beazer Homes USA,,3.0,Ofdwqjgpgeus,vynwkr,Iktnlehktnmuskpkopjpjjaicgcagyltoouupazhxirhsgsxiscn,180787.0,rnvgitkpjugwhjilvwukbaiwumupmvwdgbldsbwqwcbeohomrxyhhwgqtbkx,,O,1-263-424-8969
NE,8.0,Tkfqhspsssx,Tkf7836,United States of America,,3812091.0,M,21.0,371.0,Inglewood,Coventry Health Care,,1.0,JUMJTFFDCVREKGFS,pykah,Cukwfgypyrijkuzbxrtsahvaioiegbotmckpjmdxlundmev,395340.0,Ysbxpcsiksembejj,2.0,O,1-745-878-9056
MT,3.0,Dgmiaeohstlzineatdlbkvarmnw,Dgm7837,United States of America,M,2269485.0,M,65.0,407.0,Huntington Beach,Chesapeake Energy,I,3.0,Wdwxnzowtx,FWYTJECUWC,,234030.0,BQWIJERGUUPCCUFGXGIACJGFDQHBXIUEUNZHMPZJJDKSMQYMCKKFOPYH,0.0,O,1-397-946-9623
CO,9.0,Mpsuhzswjguco,Mps7838,United States of America,,1737147.0,U,65.0,525.0,Des Moines,Great Atlantic & Pacific Tea,,5.0,Ycapkmjmkxooszzwsbtdweyifpkilq,Ytryp,AWBXDDJLVERQHZVLTJCMSDTKGOSHNPVHAQHZAECUVSTFFLSNGHMSEWZTHIKU,210405.0,MVLUJVGV,0.0,O,1-120-520-1560
KY,,Ftkltexxqnuanosspfbtprnbrfp,Ftk7839,Canada,f,3394079.0,M,42.0,,Hampton,Estee Lauder,q,3.0,YRSBLRGEBFNTQWQMDBJPE,,psejbbfxohilrjhpbyfkzjimaududpaoihntymrgzyxwmeynjgcvlsavyrfutoqqzjinpbok,353446.0,ZECVSLQJAPHEIHQISOMNHTYLUIMERMUCJZVMVNEMDOXUIOGUMCUJELPJ,5.0,O,1-230-771-4862
OK,2.0,XZDHDNBNAIVHAXAUWZD,XZD7840,Canada,F,1684124.0,S,42.0,377.0,Lancaster,AptarGroup,j,1.0,Dkpxkjezmosjbpbi,rhsjshydzs,KAUBEPASVNALAXRDGCXSJOGUHEMUWMBFKLDEJUAJYTXLDFRTQKUQIBALJHTKUA,497613.0,aevglfgozdjfbsrlsgtkjucishpnylnynyqqarrbcqgjyjwpyjrsgybzaiielriwr,2.0,O,1-478-181-4878
KY,8.0,Valfakadezvapvzduusqqpxx,Val7841,United States of America,f,835757.0,U,41.0,812.0,Lexington,Pacer International,,1.0,zgkwuoltokgtxnumkuafvxxr,VEIYUEXX,,183090.0,EUXNYUZVMVFJRWELCGCVAUETRYLIIGMUYSBQKUIMU,1.0,R,1-112-169-5136
KS,6.0,gxodqexjqghmyettnqcrdgvgfvv,gxo7842,United States of America,,600778.0,U,41.0,755.0,Windsor,Enersys,,4.0,Uuotlforwlmxth,hnnieoyeomer,Jmafzabzauirzfrhioziasfbxhnvzdjvmkafsahnlruiibfqsqdhndnwxwrsumqrrubotcb,164669.0,Vdehzbmypubqqpjwjqlabtaxmdhdehqzyaibehpuajvsrrxzxfgcxvjp,0.0,,1-339-657-1052
MD,8.0,AMAXGJSDJF,AMA7843,United States of America,,1276528.0,M,9.0,651.0,Casper,Ryder System,f,4.0,ENXLEURQRWSSUIXX,Irfkjxocrz,Zpwiluucfewmtk,357404.0,,0.0,O,1-950-536-1586
WY,0.0,ufazgxmrcavqoi,ufa7844,United States of America,,165037.0,S,38.0,761.0,Idaho Falls,,e,3.0,bcvrjfetetjghbmzkvbaoxeynonyso,Igrbdvnse,Mplzfpvnvkxymqizogvkdchdfftxosirkkbjtocqteowweefyzeegcbskyoruenqmpl,252335.0,Vddatheccbgbbttsxmv,4.0,O,1-562-334-7089
VT,5.0,Eigfpfogcaduemr,Eig7845,United States of America,,2757243.0,D,,446.0,Sunnyvale,MetLife,,4.0,Dicsxyxfmarnofwwdwuku,kzbwnqlpwtkk,STQHFBACLDBEYTYJBGMFCBGRGIETVEMVHMJBT,365804.0,Kulxoqqawltfovjfjdrzfkksaywh,,O,1-166-177-5281
AR,3.0,mgivmzoxzgnwxpx,mgi7846,United States of America,,1551248.0,M,37.0,455.0,Colorado Springs,Great Atlantic & Pacific Tea,,2.0,Xphttzltjhlrwxucqgopc,BGXRR,Gdpootuqpmnwnwtkiibcrvhpjxpcgbcnknfoggsubtywtbvggakonigtrdjlmszuoiykqzgygu,880.0,Qnccceerjvnbfrvqnc,5.0,U,1-609-761-7221
NE,3.0,Wznmicowbyanjejh,Wzn7847,Canada,,1321056.0,S,80.0,659.0,Carrollton,Google,F,3.0,veywteoxmwvugznaagursvqfohkrk,Mutvcwzisxp,Inywxbttusbjkizhzvkfqsxybhwqpnstdwzwnpkfwsi,318789.0,BRNTDXIBGLIOQQFQC,1.0,O,1-129-125-9035
NC,7.0,Zftvvfrjqsvesaerbote,Zft7848,United States of America,,3534970.0,U,2.0,713.0,Tempe,,,4.0,VDXKNNRJQCCOBZRHZPV,Pznboqbnkql,Abypfhxexjdokdqapphuckejvpsgusaezvucpfbkscfqjmwjhkvrbhprvdbqniptbrjakrywulxhb,345038.0,VFVXQKFGQQNSQGIIPDFPNSXYIDOMRVSHZEZKLCQPTZUNUQACLMYFDGVAEQR,5.0,O,1-936-540-4054
VA,1.0,Umpphnjkqvkwlabydyzov,Ump7849,United States of America,F,1894764.0,W,87.0,495.0,Fort Wayne,Werner Enterprises,L,3.0,rvxdk,Qlihnqopg,Nvdaqhiqhhypshcuakzmrpkbgoprvftfccshqxqvbiwrwijkxoyvivgam,132395.0,tplilnoe,3.0,U,1-690-233-8236
NV,6.0,XCWUPSUFOTD,XCW7850,United States of America,,1066589.0,M,7.0,626.0,Paterson,Bristol-Myers Squibb,,2.0,gazkpimwyrfwdvjxd,EIVIQFHVC,Rnnqlqyiehacjgdiumohgrfbojqmjo,,cxwyzcxhqgouirvvdjiipbbjewqpsjnkzrmdck,1.0,O,1-789-837-7238
MI,9.0,Vjcmft,Vjc7851,United States of America,,3583968.0,M,17.0,335.0,Santa Rosa,Dr Pepper Snapple Group,b,3.0,NUYFMRJTUMUJAHWUKOFURKWPPCJXS,Prmgksic,BSZDTYUSUJY,,FUZFWMCELFGABA,5.0,U,1-129-134-1820
ID,1.0,Woviwj,Wov7852,Canada,,2685074.0,D,41.0,504.0,Brownsville,Valspar,,,Tjyltdejmep,VQTHN,demslsvriohohkhqijtkxcmeqhnfwwyffflkzgufmebrglttjpieckrpkjqrpi,431628.0,Utnbqklhhwgmvzpnuqdmsacooquhu,0.0,R,1-613-597-5717
OR,8.0,Mjllgabisvehvfbodxhjngaoj,Mjl7853,United States of America,F,406002.0,S,31.0,507.0,Durham,Fifth Third Bancorp,T,0.0,qvihipsexxf,Acbjiwqbwpfg,guynwrbdzrfnvrsaqfqapcxcsl,,GSRFWNTMZIDJMRUFRXOLOPNHUWSOQVUHKD,1.0,O,1-207-263-3980
OR,,Xqnivjlspbwatltsax,Xqn7854,United States of America,,3551514.0,D,81.0,739.0,Grand Rapids,Winn-Dixie Stores,,1.0,Kswapmyzwbpyzo,jtwgatfrvo,Jhzjlsdhqmcntoiykowqqkvzsfvhgbpcbhhfftexmdinfftsovbwmeugimpteookdltvqwt,,Byjwelwrwyqydgpqrrsltaeumhloflbsxlujgnoyqja,1.0,O,1-833-808-2289
