OwnOrRentFlag,State,MaritalStatus,MiddleInitial,Age,Employer,NumberCreditCards,Country,Phone,NumberCars,AddressLine1,AddressLine2,City,Income,LastName,NumberChildren,AgencyID,CreditRating,NetWorth,Gender,FirstName,PostalCode
O,PA,D,F,,Rite Aid,,United States of America,1-072-333-8934,,17719 shadowbriar park,,Bismarck,420621.0,Marco,0.0,Mar289,529.0,91935.0,M,PATRIZIA,C2B 4X7
O,NJ,W,K,7.0,Forest Laboratories,4.0,United States of America,,1.0,23128 ROSWELL CRESCENT,,Calgary,187944.0,Bartush,1.0,Bar290,507.0,1818938.0,,Ileane,V6V 1Q1
O,NJ,S,N,4.0,Pioneer Natural Resources,8.0,United States of America,1-113-957-9923,0.0,1037 bonneville lane,,Ontario,146651.0,Woodhall,2.0,Woo291,726.0,177543.0,f,olivia,33185
O,IL,,,39.0,H&R Block,8.0,United States of America,1-270-496-9696,2.0,8426 navidad way,,San Diego,118757.0,Biray,1.0,Bir292,684.0,3078579.0,,yolande,90150
O,Ontario,U,A,84.0,Colgate-Palmolive,4.0,United States of America,1-151-106-1324,1.0,22609 reagan drive,,Yellow Knife,467906.0,Lavelle,1.0,Lav293,,1222308.0,,Kitson,10290
O,MI,S,,26.0,CBS,7.0,United States of America,1-130-325-1266,0.0,7895 crestline drive,,Palmdale,89920.0,Mcmichael,0.0,Mcm294,314.0,3341105.0,,Abdullah,21239
O,TN,S,,72.0,Cytec Industries,4.0,United States of America,1-102-293-7755,,4078 lexington north,,Stockton,43770.0,Paulhus,1.0,Pau295,,3128005.0,m,vradmin,C2b 4x5
U,MD,W,F,20.0,Calumet Specialty Products,9.0,United States of America,1-177-880-1774,2.0,5798 BELT LINE PARK,Suite 130,Cincinnati,435272.0,Leathers,4.0,Lea296,645.0,,,LEUNG,19155
R,CO,U,A,100.0,Popular,8.0,United States of America,1-042-914-3849,3.0,10530 lancaster south,,Winnipeg,464094.0,Sehgal,1.0,Seh297,713.0,,m,collen,92177
O,NC,U,,83.0,Patterson-UTI Energy,9.0,United States of America,1-074-076-1898,0.0,16764 mcafee park,,Omaha,474686.0,hitchcock,3.0,hit298,357.0,594723.0,,Constancy,55169
U,Manitoba,D,,45.0,Viacom,5.0,United States of America,1-217-087-5277,1.0,14362 reilly boulevard,,Iqaluit,106730.0,GASS,,GAS299,649.0,787771.0,M,ERNESTO,V6R 1S8
,OR,M,E,56.0,Calumet Specialty Products,0.0,United States of America,1-377-905-7875,1.0,18207 conley south,apt. 35,West Covina,97186.0,huether,1.0,hue300,835.0,148371.0,,wing-man,06133
O,UT,M,,65.0,AMR,0.0,United States of America,1-205-909-8362,4.0,4410 porter road,,Overland Park,161132.0,Kletchko,1.0,Kle301,,2760822.0,m,FAWN,53739
R,IL,M,V,96.0,Olin,1.0,United States of America,1-752-780-8339,2.0,8550 briggs avenue,,Brownsville,393718.0,Winsborrow,,Win302,629.0,2240874.0,f,PRYOR,V5a 1p6
O,CA,U,M,40.0,Bon-Ton Stores,1.0,United States of America,,3.0,9561 tartan north,,Sioux Falls,31765.0,Marcheck,2.0,Mar303,587.0,3676798.0,f,Ofelia,77146
R,ID,M,,51.0,Werner Enterprises,8.0,Canada,1-147-089-1963,0.0,6259 PARKWOOD CRESCENT,Suite 113,Jacksonville,411526.0,SWANSTON,3.0,SWA304,786.0,1137557.0,m,elyssa,V6w 1r1
O,LA,M,,85.0,PepsiCo,10.0,United States of America,1-956-899-9979,4.0,22632 country road,,Erie,316374.0,Joyner,3.0,Joy305,415.0,978089.0,m,Evvie,T5D 1L1
O,WV,S,,11.0,American Electric Power,5.0,United States of America,1-149-281-5678,5.0,15329 valderra drive,suite 308,Saskatoon,233970.0,mcrann,4.0,mcr306,791.0,3268379.0,,yan-zhen,94089
R,MN,M,X,100.0,Community Health Systems,0.0,United States of America,1-880-678-6428,3.0,9536 innsbrook west,,St. Petersburg,185988.0,Presley,5.0,Pre307,413.0,2476914.0,m,Alka,53720
O,Quebec,M,,51.0,IAC/InterActiveCorp,7.0,United States of America,1-589-765-3895,2.0,15023 LARNER CRESCENT,,Toronto,443246.0,HINDLE,5.0,HIN308,428.0,,M,Laz,75216
O,Quebec,W,,,Jack in the Box,10.0,United States of America,1-413-343-2912,1.0,311 PIKE SOUTH,,Spokane,474421.0,Seliske,1.0,Sel309,810.0,3405002.0,F,Ashlee,94334
U,MD,U,,39.0,U.S. Bancorp,2.0,United States of America,1-312-593-5173,2.0,10526 doheny rue,,Long Beach,256222.0,Weathersbee,0.0,Wea310,324.0,1958810.0,,AUGUSTA,T5c 1w9
O,UT,,C,47.0,PharMerica,6.0,United States of America,1-805-115-9823,4.0,6488 avalon north,,Fort Worth,396342.0,TOMLIN,1.0,TOM311,587.0,1941022.0,,Helga,b1c 1x2
,RI,,,,AGL Resources,1.0,United States of America,1-956-260-8837,0.0,11674 GREENE WAY,,Orlando,4870.0,Enstone,1.0,Ens312,700.0,1309748.0,M,Partick,80185
O,MA,S,P,66.0,Arkansas Best,,United States of America,1-451-999-0585,2.0,5461 gold crest way,,Lakewood,379475.0,Gerlt,3.0,Ger313,734.0,3632370.0,m,ALYS,87504
,MN,S,,83.0,BorgWarner,0.0,Canada,,4.0,22986 norfolk lane,,Huntington,422366.0,Battiston,2.0,Bat314,651.0,2475001.0,m,OVILA,10016
R,TX,W,N,49.0,Pride International,,United States of America,1-359-607-4329,4.0,14471 clower rue,,Hampton,67927.0,LONSDALE,4.0,LON315,555.0,2075664.0,M,abby,35292
R,WI,M,F,,DaVita,1.0,Canada,1-363-394-6166,4.0,5140 emerson lane,,Oceanside,363160.0,Tunali,2.0,Tun316,614.0,1250329.0,,koral,92807
O,New Brunswick,M,,73.0,Xerox,8.0,Canada,1-015-803-2474,4.0,8357 buckeye west,,Winston-Salem,419888.0,eisen,2.0,eis317,794.0,212451.0,M,BEVYN,92823
U,ID,D,C,86.0,Republic Services,8.0,Canada,1-362-478-2862,1.0,7075 glen loch drive,,Norfolk,229870.0,Vucinich,5.0,Vuc318,482.0,3049747.0,M,maskell,92815
O,British Columbia,U,,48.0,Cephalon,2.0,United States of America,1-558-480-1200,0.0,18538 mason south,Apt. 453,Birmingham,158840.0,beals,5.0,bea319,591.0,2417447.0,m,Charlsey,77191
O,NV,U,W,,,8.0,Canada,1-703-636-9996,1.0,5263 wayne drive,,Philadelphia,430061.0,Fergusson,0.0,Fer320,566.0,2612998.0,,Annick,94152
O,MN,M,,37.0,National Fuel Gas,6.0,United States of America,1-154-086-1903,0.0,7914 wycliffe street,,Boise,194526.0,Sood,,Soo321,381.0,734375.0,m,GURSHARAN,V6i 1r8
O,IL,D,,68.0,Target,7.0,United States of America,1-547-387-1078,0.0,12357 HAYES LOWER,,Fullerton,424188.0,Birkwood,2.0,Bir322,374.0,3717995.0,F,garnette,84092
O,Manitoba,U,Q,,Expedia,,United States of America,1-748-212-2340,0.0,13626 hawkins street,,Regina,470701.0,Verhotz,0.0,Ver323,328.0,956825.0,,nguyet,36601
O,Alberta,S,C,66.0,Hudson City Bancorp,8.0,United States of America,1-846-315-1764,1.0,13920 WEDGEWOOD LANE,,Sandy,404911.0,De souza,,De 324,807.0,,m,KORRIE,T6d 1f3
O,TN,S,,14.0,PharMerica,1.0,Canada,1-179-983-1576,3.0,8303 warren road,,Mesa,,Blackburn,4.0,Bla325,311.0,2390111.0,,Nazi,H2c 1x6
O,ME,S,U,69.0,Men's Wearhouse,5.0,United States of America,1-073-769-1833,5.0,14518 westheimer avenue,,Provo,436285.0,Hurd,3.0,Hur326,647.0,3576639.0,M,Nance,93361
O,GA,,,35.0,Williams,,United States of America,1-353-395-2825,0.0,21119 vickery west,,Kitchener,391695.0,rayner,4.0,ray327,622.0,339669.0,,Corny,93726
R,AK,U,,78.0,SPX,7.0,Canada,1-771-657-6355,3.0,3222 GRANT LANE,,Idaho Falls,479851.0,nixon,0.0,nix328,570.0,2731417.0,,DANIELLE,h5k 1q7
R,CT,S,K,33.0,BE Aerospace,8.0,United States of America,1-942-527-3307,4.0,21181 2nd rue,,Allentown,409873.0,zagorski,5.0,zag329,840.0,2179616.0,,bell,73177
O,WI,M,,77.0,Wells Fargo,2.0,United States of America,,0.0,24280 piney point rue,,Waterbury,245133.0,Roithmaier,4.0,Roi330,389.0,,,Jany,02107
,MO,M,T,94.0,,2.0,United States of America,1-205-874-4529,,7042 ottley park,,Raleigh,181694.0,Hogue,5.0,Hog331,467.0,2950835.0,,Dvm,19222
O,MS,S,,19.0,Lincoln National,8.0,United States of America,,2.0,10795 balmoral south,Apt. 345,Baton Rouge,106385.0,Marconi,2.0,Mar332,793.0,1515524.0,,Nedi,T6d 1h1
O,NY,,W,50.0,Targa Resources,3.0,United States of America,1-831-988-7672,4.0,15696 chadbourne lower,APT. 492,Oshawa,488485.0,Colantonio,2.0,Col333,749.0,2007473.0,,Gilda,H6c 1y1
O,MI,D,T,65.0,Spherion,8.0,United States of America,1-079-481-2220,3.0,2612 havenridge avenue,,Carrollton,90218.0,negandhi,2.0,neg334,789.0,1757951.0,,paqs,89137
O,MD,,J,29.0,Family Insurance Group,8.0,Canada,1-853-953-1134,2.0,15498 durango north,,Columbus,308552.0,Wildeman,1.0,Wil335,768.0,1980948.0,M,Lubomyr,94661
O,SD,U,,37.0,Adobe Systems,6.0,United States of America,1-471-099-6976,5.0,24178 turtle creek street,,Cedar Rapids,380031.0,Goszczynski,5.0,Gos336,625.0,1630998.0,,melantha,99211
O,Prince Edward Island,M,,56.0,Blockbuster,0.0,United States of America,1-235-350-8301,2.0,3570 REYNOLDS UPPER,,Yonkers,348345.0,Ntprel,5.0,Ntp337,751.0,463905.0,F,Quinn,85029
O,TN,S,A,,Radian Group,3.0,United States of America,1-020-844-6258,1.0,7125 COOPER LOWER,,Flint,406014.0,milway,4.0,mil338,460.0,352542.0,,Kimberli,78522
R,ID,U,,46.0,M&F Worldwide,8.0,United States of America,1-101-164-5047,,10570 WEIZMANN LOWER,,Kitchener,55811.0,TELKE,4.0,TEL339,812.0,3243615.0,,fredi,M7m 1b5
O,MO,M,,28.0,MeadWestvaco,0.0,United States of America,1-424-458-1913,4.0,428 EMERSON WEST,,Grand Prairie,456536.0,RIVERS,4.0,RIV340,532.0,156383.0,m,nuri,27407
R,Ontario,U,M,31.0,RadioShack,8.0,United States of America,1-071-151-3531,4.0,5524 frostwood court,,Alexandria,42908.0,hollen,1.0,hol341,509.0,3366650.0,,Zondra,85722
R,UT,U,,55.0,Abbott Laboratories,0.0,United States of America,1-548-500-5378,5.0,6106 ASHLAND EAST,,Overland Park,319596.0,Fryar,4.0,Fry342,461.0,3762007.0,m,Suvanee,V6n 1w1
O,CT,S,D,26.0,Phoenix,2.0,United States of America,1-780-269-2599,2.0,9390 fir street,,Columbia,146636.0,Esch,,Esc343,,2915479.0,f,Cornelle,e7n 1j9
,CA,M,,93.0,Medical Mutual of Ohio,4.0,United States of America,1-503-223-2295,5.0,4871 havenridge court,,Fort Smith,282004.0,LIDDLE,2.0,LID344,332.0,518175.0,d,Pammy,19194
R,IN,M,H,14.0,National Oilwell Varco,1.0,United States of America,1-036-637-5684,5.0,2116 whistler upper,,Kitchener,339377.0,BAYERKOHLER,4.0,BAY345,371.0,3240188.0,m,ISADORA,23295
O,NE,U,,30.0,Cincinnati Financial,8.0,United States of America,1-117-775-7922,1.0,12683 starling upper,Apt. 449,Lowell,391590.0,SEDDIGH,1.0,SED346,546.0,492570.0,F,Subra,93800
U,VT,M,,18.0,Ecolab,6.0,United States of America,1-420-197-0842,3.0,6795 greenspoint street,,Fairbanks,319668.0,SHUKOR,1.0,SHU347,754.0,3189432.0,M,gillie,60606
O,HI,U,,69.0,Baldor Electric,2.0,United States of America,1-057-255-5641,4.0,8065 killeen upper,,St. Catharines,251066.0,hinsdale,,hin348,516.0,1862636.0,m,Whitfield,91323
O,WA,W,,60.0,Smithfield Foods,1.0,United States of America,1-864-198-2367,1.0,7366 fox boulevard,Apt. 954,San Buenaventura,122433.0,Luwemba,1.0,Luw349,737.0,1891784.0,,Shana,H2E 1Y3
O,Saskatchewan,D,,77.0,Hormel Foods,1.0,United States of America,1-089-865-4449,4.0,12530 CLOWER CRESCENT,,San Diego,229086.0,PCBOARDS,2.0,PCB350,404.0,2999683.0,m,Kaile,T5a 1v4
O,SC,M,,,Patterson,0.0,United States of America,1-848-728-0817,4.0,6284 cordoba boulevard,,Syracuse,387138.0,BEZANSON,2.0,BEZ351,583.0,1482145.0,,Reeba,m1h 1p3
O,OK,U,E,62.0,Anadarko Petroleum,8.0,United States of America,1-816-138-9438,5.0,21119 vickery west,,Charlotte,192643.0,Buckingham,3.0,Buc352,461.0,2237352.0,,Brenton,35852
O,NJ,M,,96.0,Michael Foods,2.0,United States of America,1-036-611-5081,5.0,16917 FARMERS UPPER,,Winnipeg,301108.0,RAMPAUL,3.0,RAM353,343.0,2903967.0,,NERTI,83402
O,KY,W,,45.0,International Game Technology,0.0,United States of America,1-841-019-7366,3.0,24867 wilmington park,,Pembroke Pines,448626.0,THREADER,0.0,THR354,431.0,2208391.0,,MARJI,T5C 1M5
R,ME,M,L,65.0,Western Digital,10.0,United States of America,1-285-189-5251,1.0,18313 5TH LANE,,Plano,432792.0,RAUD,4.0,RAU355,319.0,1052954.0,,Aloysia,90150
O,WY,M,,12.0,Sonoco Products,0.0,United States of America,1-632-062-4993,5.0,17405 palisades road,,Fort Wayne,499596.0,Goldberg,2.0,Gol356,504.0,3751568.0,m,marietta,23502
O,MO,M,M,71.0,Verizon Communications,6.0,Canada,1-614-232-0003,4.0,21404 SHERIDEN SOUTH,,San Buenaventura,30189.0,Updt,4.0,Upd357,611.0,1980882.0,f,janean,48910
O,AK,,R,38.0,Securian Financial Group,2.0,United States of America,1-035-288-5444,4.0,9086 ridgelea boulevard,,Mount Pearl,111428.0,MORIARTY,2.0,MOR358,359.0,579641.0,,irving,T6C 1D7
O,CT,W,F,7.0,Electronic Arts,2.0,Canada,1-477-970-4729,5.0,20929 lee east,,Sandy,146638.0,SHAFIK,2.0,SHA359,398.0,3476510.0,,Ganesh,90760
O,SD,M,S,30.0,LandAmerica Financial Group,4.0,United States of America,1-092-479-3305,3.0,4812 NORMAN WAY,,Henderson,40323.0,Claxton,4.0,Cla360,,505464.0,,DISCOVER,V6M 1U1
O,IA,,V,58.0,C.H. Robinson Worldwide,0.0,United States of America,1-618-745-5747,0.0,15424 bramblewood north,,Mobile,461807.0,LICERIO,0.0,LIC361,537.0,2494978.0,,manuela,T5a 1j8
O,UT,U,,8.0,Alaska Air Group,1.0,United States of America,1-363-472-9200,5.0,13056 BEATTY WAY,Suite 471,Hilo,184868.0,PELKIE,5.0,PEL362,743.0,1609289.0,,vu,20073
O,Newfoundland,M,K,18.0,Buildings Materials Corp.,8.0,Canada,1-430-155-3830,5.0,18787 englewood park,,Virginia Beach,125814.0,Ashraf,3.0,Ash363,432.0,,,anni,50321
R,ID,S,,83.0,Interactive Brokers Group,10.0,United States of America,1-637-251-1599,2.0,14004 pelan way,,Fullerton,267270.0,DYNIE,3.0,DYN364,614.0,1681770.0,B,hesther,E7n 1n1
O,MI,M,,50.0,Rockwell Automation,6.0,United States of America,1-392-994-6165,0.0,12683 starling upper,,Lancaster,408878.0,Larmour,1.0,Lar365,704.0,,,brynna,10710
R,CA,M,,88.0,Pantry,0.0,Canada,1-351-837-0111,2.0,14553 round lake boulevard,,Durham,418717.0,ENGINEERING,3.0,ENG366,604.0,2933990.0,,CANTRELL,90826
R,MD,U,,60.0,Werner Enterprises,5.0,United States of America,1-352-607-5329,0.0,20776 whistler west,,Fort Wayne,345984.0,Haroutounian,2.0,Har368,556.0,2112951.0,f,Shelbi,93850
O,KS,U,J,52.0,Cisco Systems,1.0,United States of America,1-227-269-1037,2.0,4684 whale court,,Seattle,171271.0,Heydon,5.0,Hey369,344.0,3418282.0,,Elzbieta,83721
O,WI,W,C,48.0,Lockheed Martin,6.0,Canada,1-208-109-2479,0.0,23701 PELICAN WAY,,Vancouver,448397.0,lehrbaum,3.0,leh370,388.0,2898609.0,,KAI-WAI,V6c 1r8
O,NC,U,V,40.0,SanDisk,8.0,Canada,1-265-022-0496,4.0,15108 ryder road,apt. 926,Tucson,359271.0,Co-op,,Co-371,416.0,1765032.0,,Felisha,90320
O,TN,M,,69.0,News Corp.,6.0,Canada,1-220-323-3039,2.0,24795 clover court,,Oxnard,322068.0,Elting,2.0,Elt372,709.0,3176317.0,,Rchlab,M9e 1t7
O,IL,M,I,42.0,Markel,5.0,United States of America,1-055-237-4260,2.0,18614 TIDE MILL COURT,,Corona,76346.0,Alvaro,,Alv373,426.0,461490.0,F,CARLYNNE,80081
R,OR,M,H,39.0,Silgan Holdings,2.0,United States of America,1-285-900-2874,0.0,22461 MORTON EAST,,Sacramento,469442.0,YOKELEY,1.0,YOK374,665.0,3164372.0,f,JAWAID,25325
O,DC,M,,19.0,SPX,3.0,United States of America,1-562-501-9401,2.0,22151 bluff road,,Escondido,167918.0,ZINGELER,0.0,ZIN375,547.0,1294197.0,,twana,E7o 1p7
O,Saskatchewan,U,K,10.0,L-3 Communications,,United States of America,1-572-985-7236,0.0,20405 DOWLEN NORTH,,Chicago,104354.0,zimmermann,4.0,zim376,558.0,661877.0,m,KALI,10017
O,KS,M,X,47.0,Thermo Fisher Scientific,9.0,United States of America,1-378-748-1930,4.0,4501 norfolk east,,Frederick,467285.0,lafargue,4.0,laf377,511.0,2709193.0,,Marguerite,V6c 1r4
R,British Columbia,S,Q,83.0,Kimberly-Clark,7.0,Canada,1-525-579-7508,1.0,3262 KATHERINE NORTH,,Thousand Oaks,,POPOVICS,,POP378,504.0,1744304.0,M,Yannick,E7n 1f9
O,MI,S,V,,Church & Dwight,6.0,United States of America,1-901-469-7568,5.0,15330 payne drive,,Mobile,72940.0,menashian,2.0,men379,693.0,1670195.0,,issy,T6a 1d7
O,CT,M,,42.0,Vanguard Health Systems,0.0,Canada,,5.0,11293 rice avenue,,Pomona,150336.0,TURCOTTE,4.0,TUR380,454.0,1443342.0,,Phuong,M5c 1x6
O,IA,D,H,2.0,Embarq,10.0,United States of America,1-260-434-2400,0.0,14656 coffey rue,,Little Rock,81333.0,feeley,4.0,fee381,372.0,681302.0,F,Ernesto,e7o 1h3
O,NH,S,,67.0,AMC Entertainment,9.0,United States of America,1-304-461-8478,0.0,20065 clara way,,Hilo,117399.0,terranella,3.0,ter382,568.0,3406439.0,F,vikky,64103
R,TN,M,,,Sigma-Aldrich,4.0,Canada,1-413-648-3099,4.0,16825 BITTERCREEK WAY,,Simi Valley,489099.0,BARSZCZEWSKI,4.0,BAR383,530.0,315234.0,,chloe,72241
O,MS,M,V,77.0,Leap Wireless International,7.0,United States of America,1-229-508-9311,0.0,2916 THROCKMORTON SOUTH,,Las Vegas,201358.0,Tappert,5.0,Tap384,770.0,2584094.0,,tilak,77085
O,Ontario,,,19.0,CME Group,2.0,United States of America,1-259-692-4195,1.0,11912 JARVIS WEST,Apt. 936,Ottawa,47401.0,Modl,4.0,Mod385,646.0,,f,Bob,h5k 1o1
O,CT,U,,8.0,Allstate,1.0,United States of America,1-798-192-2357,4.0,3788 HOLMES RUE,APT. 587,Vallejo,259459.0,cimolai,4.0,cim386,397.0,977864.0,F,SKICLUB,06515
O,RI,M,,,Curtiss-Wright,1.0,United States of America,1-093-204-5478,3.0,14497 FROSTWOOD BOULEVARD,,Iqaluit,351789.0,Salb,1.0,Sal387,713.0,1163838.0,,Marybeth,80085
O,TX,M,,83.0,Family Dollar Stores,9.0,United States of America,1-564-311-0205,2.0,20880 PALM UPPER,,Lowell,206326.0,bruhl,1.0,bru388,346.0,69460.0,f,Nawa,m5f 1u3
O,Saskatchewan,D,,43.0,Spectrum Brands,8.0,United States of America,1-789-574-4753,4.0,5049 mills avenue,,Rochester,341402.0,GAUDET,3.0,GAU389,482.0,3599223.0,,Lydie,V6l 1w7
O,CA,D,L,46.0,Comerica,2.0,United States of America,1-270-694-9104,5.0,21180 TRAFALGAR WAY,,Salinas,438918.0,LOBAUGH,3.0,LOB390,753.0,1381885.0,T,candida,35227
,MN,M,,14.0,CenturyTel,10.0,Canada,1-659-227-7397,1.0,4371 ASHFORD HOLLOW LANE,,Buffalo,413943.0,DANBROOK,5.0,DAN391,691.0,171313.0,m,wieslaw,70501
R,AK,M,,72.0,Scholastic,6.0,United States of America,1-154-445-3681,1.0,21891 DEWEY STREET,,Cincinnati,211789.0,SALKINI,0.0,SAL392,587.0,1373558.0,m,Joke,M9f 1t5
R,KS,S,V,29.0,Boise,0.0,Canada,1-154-688-7786,0.0,14835 westover boulevard,,Memphis,237314.0,Marx,5.0,Mar393,566.0,2335796.0,f,MARY-MICHELLE,T5D 1M9
O,PA,M,P,51.0,Amkor Technology,7.0,United States of America,1-768-261-0631,3.0,6284 cordoba boulevard,,Chicago,22080.0,Bratten,1.0,Bra394,323.0,2494081.0,m,Txp,64182
O,IA,M,,81.0,Ameren,8.0,Canada,1-413-720-1871,5.0,10905 apollo west,,Mount Pearl,481195.0,Koch,4.0,Koc395,344.0,252245.0,m,BRIT,79910
O,OH,W,U,67.0,DirecTV Group,4.0,Canada,1-875-794-5779,0.0,14817 BAILEY BOULEVARD,,Palmdale,208298.0,Platthy,0.0,Pla396,765.0,3970725.0,,celestine,07113
O,ND,W,,91.0,Williams,7.0,United States of America,1-515-931-7519,1.0,22133 wesleyan way,,Grand Rapids,221.0,mccuaig,4.0,mcc397,,2030035.0,,amberly,38138
O,IN,M,S,43.0,U.S. Bancorp,6.0,United States of America,1-243-258-4789,0.0,10877 CENTURY CRESCENT,,Whitehorse,207979.0,Despault,4.0,Des398,650.0,2227601.0,,cayla,92155
R,CA,M,,27.0,Spherion,,Canada,1-608-078-5547,4.0,16354 SAND RUE,,Fort Wayne,,NORWOOD,2.0,NOR399,466.0,1012111.0,,tonu,90772
U,VT,W,,1.0,Nasdaq OMX Group,3.0,United States of America,1-982-075-1883,4.0,2533 WOLFE NORTH,,Elizabeth,,Paquin,,Paq400,538.0,1927066.0,M,candace,V5c 1p9
O,IN,M,A,91.0,Nicor,8.0,United States of America,1-326-811-3709,2.0,5128 BELLWOOD CRESCENT,,Fort Lauderdale,287081.0,Sfiroudis,4.0,Sfi401,780.0,2530133.0,M,Zbignew,95263
O,KY,M,N,55.0,Coventry Health Care,5.0,United States of America,1-907-100-6458,4.0,5680 powers drive,,Waco,126706.0,Amouzgar,0.0,Amo402,690.0,2695189.0,M,Ninnette,95260
O,MN,W,,46.0,Winn-Dixie Stores,5.0,United States of America,1-279-100-2128,3.0,17774 applewood rue,,Buffalo,435365.0,Sayegh,4.0,Say403,660.0,392585.0,M,davita,14201
R,NH,U,C,62.0,Pepsi Bottling,2.0,United States of America,1-923-860-0562,3.0,2777 durand crescent,,Providence,257974.0,angus,3.0,ang404,369.0,3170355.0,M,Lilias,V6w 1v2
O,GA,M,,67.0,Oceaneering International,6.0,United States of America,1-990-841-0058,3.0,8096 northland road,,Chesapeake,145250.0,lighthall,4.0,lig405,368.0,57156.0,F,CORILLA,60700
O,WY,,C,51.0,Lexmark International,4.0,United States of America,1-192-723-4902,0.0,12880 whittington west,,Austin,340395.0,Schwab,0.0,Sch406,434.0,237138.0,F,Manuela,10209
O,Ontario,U,,49.0,WellPoint,9.0,United States of America,1-018-125-3814,2.0,20917 carlingford crescent,,Chattanooga,121125.0,BRANNAN,5.0,BRA407,500.0,2960029.0,F,Lawrence,t5c 1l7
O,IA,M,N,40.0,Capital One Financial,1.0,Canada,1-585-604-8746,4.0,12397 ingersoll upper,,Vancouver,328766.0,Coallier,3.0,Coa408,521.0,2645718.0,,NUNTEL,36167
O,WY,M,T,59.0,Aleris International,4.0,United States of America,1-897-010-8443,0.0,9818 PEARSON AVENUE,,Fort Worth,223976.0,NARAYANAN,0.0,NAR409,573.0,2500380.0,f,RAMIZ,06710
O,MT,S,,83.0,Sentry Insurance Group,2.0,United States of America,1-424-251-0934,3.0,17991 chamberlin way,,Irving,338008.0,caine,5.0,cai410,474.0,,,JORDAN,H5I 1Q9
U,WI,D,,49.0,Atmos Energy,2.0,United States of America,1-769-010-6742,3.0,3561 hilltop lower,,Sterling Heights,36596.0,holdren,4.0,hol411,,823819.0,M,Tedra,68508
R,British Columbia,D,,22.0,Visteon,6.0,United States of America,1-521-013-9070,4.0,15129 ROSEMAN UPPER,,Toronto,289137.0,YEDEMA,3.0,YED412,702.0,1279474.0,m,Carly,60634
R,Quebec,U,,16.0,Molex,7.0,United States of America,1-793-128-8100,1.0,16777 stanford avenue,,Great Falls,454271.0,GIAMBERARDINO,3.0,GIA413,314.0,1723410.0,,sangman,64130
O,OK,M,,71.0,OfficeMax,1.0,United States of America,1-918-771-5318,1.0,11790 graves west,,Charlotte,296199.0,TOOTHMAN,1.0,TOO414,363.0,3099344.0,M,Sashenka,85044
O,WI,M,,84.0,VeraSun Energy,10.0,Canada,1-593-981-3882,5.0,19931 runyan crescent,,Fairbanks,439149.0,Seiple,1.0,Sei415,467.0,3268514.0,M,Kenneth,v6t 1u4
O,SD,S,,36.0,Oil States International,6.0,United States of America,1-299-722-3778,3.0,3681 HOLLY KNOLL CRESCENT,Apt. 250,Fort Wayne,304065.0,RENDON,0.0,REN416,494.0,3782981.0,M,Kare,19048
O,New Brunswick,D,,94.0,Ruddick,1.0,United States of America,1-311-843-6163,,14290 BARBERRY RUE,,Little Rock,228020.0,Saxena,4.0,Sax417,653.0,103988.0,,lani,60744
R,NV,W,,86.0,Public Storage,3.0,Canada,1-987-774-4255,2.0,2648 miller street,,Glendale,158386.0,deslauriers,5.0,des418,337.0,2211238.0,m,herschel,23465
O,MS,S,,,PG&E Corp.,0.0,United States of America,1-582-851-4667,1.0,6454 kiel upper,,Waterbury,,KUHN,5.0,KUH419,701.0,1719692.0,,koen,64144
O,MT,S,A,44.0,Portland General Electric,10.0,Canada,1-748-807-5619,5.0,18338 bailey park,,Abilene,334302.0,mencer,5.0,men420,632.0,1068987.0,,Idt,S7d 1n4
O,NE,D,F,62.0,Northrop Grumman,1.0,United States of America,1-668-942-2081,1.0,3624 shelter way,,Sherbrooke,461356.0,Adolfie,5.0,Ado421,774.0,3841340.0,F,Ashly,30303
O,Quebec,M,,31.0,UGI,2.0,United States of America,1-835-309-0718,3.0,12267 SPAULDING PARK,apt. 68,Bismarck,68100.0,SHAMES,3.0,SHA422,589.0,3119163.0,m,Hadi,55177
O,British Columbia,M,,39.0,PC Connection,7.0,Canada,1-029-745-0264,1.0,11538 KIMBERLEY BOULEVARD,,San Diego,426915.0,mcminn,,mcm423,574.0,428749.0,,ITALO,10182
U,OK,S,,32.0,Alaska Air Group,6.0,United States of America,1-034-268-2410,0.0,13056 beatty way,Suite 162,Honolulu,415992.0,vermette,1.0,ver424,342.0,2815691.0,F,NANCY,19108
O,WY,M,,97.0,Kroger,4.0,United States of America,1-351-767-4357,4.0,22787 UNIVERSITY CRESCENT,,Baton Rouge,,Burrowes,5.0,Bur425,305.0,,,CANDACE,t6c 1k9
O,VA,M,C,84.0,Dean Foods,2.0,United States of America,1-220-502-9436,2.0,17027 9TH ROAD,,Wichita,152237.0,kauffeldt,2.0,kau426,647.0,1842060.0,f,mariaelena,23278
O,New Brunswick,D,W,37.0,Flowserve,7.0,United States of America,1-917-467-8858,,3238 SKILLMAN COURT,Apt. 486,Ontario,200548.0,mcconnell,5.0,mcc427,595.0,798572.0,f,nathalie,M7o 1b1
O,MD,M,P,68.0,,2.0,United States of America,1-581-355-8837,0.0,22461 MORTON EAST,,St. Johns,84477.0,Uberig,1.0,Ube428,426.0,1392742.0,M,Tedda,77001
