MiddleInitial,Employer,NetWorth,Phone,State,City,LastName,MaritalStatus,FirstName,Gender,AgencyID,CreditRating,AddressLine1,NumberCars,OwnOrRentFlag,NumberChildren,NumberCreditCards,Age,AddressLine2,Country,Income,PostalCode
O,Amazon.com,498336.0,1-288-694-5859,ME,Henderson,Rahn,D,monling,F,Rah783,669.0,22351 zimmerman crescent,3.0,O,4.0,2.0,13.0,,United States of America,159371.0,10056
U,Cardinal Health,1761618.0,1-081-919-7463,AZ,Pomona,Pedneault,U,saleem,,Ped784,325.0,2916 throckmorton south,4.0,O,5.0,9.0,84.0,,United States of America,279347.0,M8a 1x5
M,Lexmark International,3124631.0,,TX,Elizabeth,HRUSKA,M,hestia,,HRU785,419.0,15293 forest avenue,0.0,R,2.0,1.0,58.0,,United States of America,460190.0,77071
,Phoenix,403271.0,1-397-191-8781,MO,Mesquite,kaden,U,nadir,,kad786,850.0,24595 denton road,0.0,R,1.0,3.0,,,United States of America,236529.0,H2f 1v3
,Aleris International,3571153.0,1-165-278-2653,Ontario,Eugene,CRISTESCU,S,ALVIN,F,CRI787,633.0,21586 braeswood street,3.0,O,0.0,7.0,25.0,,United States of America,417583.0,93361
,Google,2469744.0,1-094-367-8667,HI,Casper,Pietromonaco,M,brinn,m,Pie788,318.0,10526 doheny rue,0.0,O,0.0,5.0,69.0,,United States of America,37046.0,V6R 1R7
,Pep Boys,2630076.0,1-643-808-4067,AR,Colorado Springs,Briggs,M,Trudie,M,Bri789,531.0,19663 REINA STREET,5.0,O,2.0,9.0,10.0,,United States of America,289481.0,v6n 1w8
,Rite Aid,1323987.0,1-505-421-0569,PA,Glendale,Feeney,U,gweneth,,Fee790,347.0,18970 ledgestone boulevard,4.0,U,0.0,4.0,42.0,,Canada,96959.0,m5c 1u7
B,Piedmont Natural Gas,3997290.0,1-404-444-2318,Newfoundland,Elizabeth,De marco,M,Erik,,De 791,774.0,21476 bannister west,3.0,O,0.0,1.0,17.0,,United States of America,493046.0,77134
,Biogen Idec,777027.0,1-126-559-5085,Quebec,Newark,elkington,M,cathi,,elk792,365.0,5291 market avenue,2.0,O,5.0,8.0,71.0,,United States of America,122951.0,V6g 1u6
,Wendy's/Arby's Group,2647963.0,,MD,Biloxi,Barnhardt,M,Selinda,M,Bar793,317.0,15407 fillmore north,3.0,U,0.0,2.0,1.0,,United States of America,33942.0,78253
X,Invacare,1972593.0,1-033-650-8500,NV,Hialeah,schmadtke,S,FERIDOUN,,sch794,300.0,16279 anaconda drive,2.0,O,5.0,8.0,95.0,,Canada,170006.0,v6e 1q7
O,ManTech International,3516878.0,1-122-915-3449,Quebec,Edmonton,JAVALLAS,S,Brennan,m,JAV795,716.0,3542 blount boulevard,1.0,O,3.0,4.0,22.0,,United States of America,341681.0,79420
,Marriott International,2450767.0,1-207-321-6095,KS,Jacksonville,nishida,M,Dahlia,M,nis796,443.0,15180 chadbourne south,3.0,U,5.0,1.0,81.0,,United States of America,56336.0,65805
,Ryland Group,3460246.0,1-534-856-8516,FL,St. Louis,Berna,U,KATHRERINE,,Ber797,773.0,14073 dexter west,4.0,O,0.0,4.0,27.0,,United States of America,163177.0,32208
,VWR Funding,2560198.0,1-209-517-6055,IN,Jacksonville,NASSOY,U,kelsi,,NAS798,826.0,19670 norman park,2.0,R,4.0,8.0,97.0,,United States of America,393648.0,48202
,Newmont Mining,3006873.0,1-815-458-8293,Ontario,Frederick,RICKBORN,M,jobina,m,RIC799,340.0,20031 crumley south,5.0,O,1.0,7.0,74.0,,United States of America,191808.0,V5A 1P6
I,Coventry Health Care,335157.0,1-963-582-6949,UT,North Las Vegas,ABDULLA,U,rajan,M,ABD800,662.0,13005 bramblewood south,0.0,O,5.0,3.0,39.0,,Canada,229027.0,36651
,Washington Post,1853619.0,1-586-182-1091,ME,Hollywood,Valerio,S,REED,F,Val801,732.0,24062 blount east,,R,5.0,6.0,67.0,,Canada,267444.0,90221
,Trinity Industries,3717286.0,1-080-065-5481,OK,St. Petersburg,Testing,M,Seraphine,f,Tes802,528.0,23140 gale east,2.0,R,2.0,8.0,20.0,,United States of America,304692.0,19212
,Advanced Micro Devices,684788.0,1-322-455-4531,UT,Anaheim,ENDSLEY,W,Sib,,END803,414.0,199 summit crescent,3.0,R,0.0,8.0,69.0,,United States of America,477833.0,72254
,OfficeMax,3682560.0,1-596-864-1886,Quebec,Boston,PAYTON,M,Iain,f,PAY804,574.0,885 crosby lane,0.0,O,2.0,1.0,0.0,,United States of America,389830.0,64185
X,United Natural Foods,2748386.0,1-404-977-5392,FL,Milwaukee,bernard,U,Chi-kwan,F,ber805,702.0,8767 graves boulevard,3.0,U,2.0,1.0,10.0,,United States of America,91133.0,20015
Z,Williams-Sonoma,1594184.0,1-948-247-9407,NH,El Monte,eisler,S,ethel,,eis806,651.0,5003 travis lower,2.0,O,4.0,5.0,4.0,,United States of America,129304.0,23266
,Air Products & Chemicals,217423.0,1-636-223-7917,RI,Rancho Cucamonga,Gough,U,Lanae,M,Gou807,542.0,12158 brinkman lane,0.0,R,4.0,7.0,90.0,,United States of America,374174.0,53745
I,Sunoco,3955298.0,1-398-213-7985,RI,Raleigh,Fontana,U,meta,F,Fon808,384.0,14422 morning rue,4.0,U,2.0,4.0,73.0,,Canada,369152.0,93869
,Polaris Industries,594099.0,1-160-979-2701,CA,Burlington,flueckinger,W,allie,,flu809,595.0,15465 beach upper,1.0,R,1.0,6.0,11.0,,United States of America,52738.0,V6S 1V4
,Urban Outfitters,1125872.0,1-503-714-2980,NH,Mesquite,Methot,S,garnette,m,Met810,404.0,17812 MESA UPPER,1.0,R,5.0,4.0,37.0,,United States of America,16139.0,73118
,AECOM Technology,1827926.0,1-685-092-3693,GA,Louisville,MAYBEE,M,Seyar,m,MAY811,520.0,14526 saxon west,4.0,R,0.0,,67.0,,Canada,255177.0,85254
,Wendy's/Arby's Group,3585577.0,1-901-669-0556,DE,Chandler,THAIN,D,EVANGELO,,THA812,402.0,18056 jennings north,4.0,O,3.0,1.0,80.0,,United States of America,12403.0,H6b 1z7
P,Vectren,720576.0,1-655-314-2896,NJ,Santa Ana,YENILMEZ,M,sami,,YEN813,651.0,2992 WAKEFOREST LANE,5.0,O,2.0,1.0,70.0,,United States of America,136736.0,94122
B,Granite Construction,969009.0,1-142-479-3590,GA,Lubbock,Edgreen,M,Laverna,f,Edg814,661.0,13272 shaw east,1.0,O,4.0,4.0,50.0,,United States of America,140016.0,48203
,AMC Entertainment,2446548.0,1-064-009-2843,GA,Mesa,Defilippis,D,HUGH,,Def815,725.0,3170 avondale rue,5.0,R,5.0,3.0,17.0,,United States of America,139226.0,72239
A,Terex,311385.0,1-744-718-9276,MI,Yellow Knife,Unger,,Dnadoc,,Ung816,439.0,14653 peachtree road,5.0,U,1.0,2.0,56.0,,United States of America,460200.0,V6Q 1U7
W,Estee Lauder,3465593.0,1-265-140-2940,Nova Scotia,Nashville,Spingola,S,jazmin,,Spi817,627.0,7557 park stream street,1.0,O,1.0,7.0,30.0,,United States of America,15215.0,31401
D,Boise Cascade Holdings,2077511.0,1-476-518-3472,NH,North Las Vegas,Wickham,S,legra,f,Wic818,687.0,24450 marcus street,0.0,O,5.0,2.0,15.0,,United States of America,414317.0,53752
,Cardinal Health,1331865.0,1-550-933-9248,LA,Oxnard,Teitelbaum,U,Domenico,,Tei819,827.0,14817 BAILEY BOULEVARD,1.0,O,3.0,8.0,54.0,,Canada,316694.0,36125
U,Pepco Holdings,611764.0,1-502-188-5543,MA,Wilmington,schoenling,U,Hui,,sch820,787.0,23140 gale east,4.0,O,4.0,6.0,3.0,,Canada,44904.0,91216
E,ConAgra Foods,1092011.0,,IN,Biloxi,Quan,U,Clem,,Qua821,498.0,21747 COUNTRY UPPER,,U,3.0,1.0,96.0,,United States of America,487050.0,78421
G,Frontier Communications,604198.0,1-128-837-1248,MS,New York,Akens,M,sheila,f,Ake822,565.0,19233 olive lower,2.0,O,1.0,9.0,46.0,,United States of America,332075.0,32227
,Energy Future Holdings,1058297.0,1-872-576-4720,CT,Syracuse,Lakhani,M,kora,M,Lak823,687.0,14543 laredo south,0.0,U,1.0,9.0,24.0,,United States of America,24972.0,46253
,CH2M Hill,3899764.0,1-086-118-5951,ID,Salinas,AYUKAWA,U,Kitson,,AYU824,764.0,23182 trail lake west,0.0,U,4.0,4.0,35.0,,Canada,100814.0,99731
,Expeditors International,2591921.0,1-573-368-7643,AL,Hollywood,Stanciu,U,alexandru,,Sta825,318.0,1111 norden street,4.0,O,0.0,5.0,81.0,,Canada,22452.0,V6g 1t1
,J.B. Hunt Transport Services,3727782.0,1-690-648-1387,HI,Montgomery,Macleod,M,Krishna,,Mac826,499.0,10887 pike east,,O,4.0,9.0,22.0,,Canada,274448.0,85238
,"Toys ""R"" Us",3501057.0,,CA,Savannah,Yuengling,S,JORRY,m,Yue827,481.0,16699 sanders south,3.0,R,1.0,2.0,52.0,,United States of America,95660.0,77155
,TJX,3763715.0,1-597-248-3021,VT,Fort Collins,parham,S,Simhan,m,par828,358.0,22091 macon road,,O,1.0,2.0,39.0,,United States of America,198467.0,40228
,Wyeth,2815906.0,1-741-740-2437,IL,Fort Collins,andreasen,M,Nenad,F,and829,363.0,17261 alpine upper,5.0,O,4.0,7.0,73.0,suite 292,United States of America,98119.0,H5i 1r5
,Fred's,2018196.0,1-669-272-3612,SD,Garden Grove,benschop,M,Janith,,ben830,,12146 COURTLAND NORTH,1.0,O,4.0,1.0,66.0,,United States of America,363598.0,77234
H,3M,3142971.0,1-538-272-0856,AZ,Yonkers,Bacchiochi,M,Hsing-ju,F,Bac831,673.0,755 MAYWIND SOUTH,2.0,O,5.0,3.0,13.0,,Canada,30387.0,99691
,Fidelity National Information,1161272.0,1-500-400-9177,KY,Sacramento,Martel,M,isidora,F,Mar832,681.0,1860 sabine east,1.0,O,3.0,7.0,69.0,,United States of America,33484.0,t5d 1u7
,Loews,1795743.0,,VA,Charlottetown,limerick,M,Petre,m,lim833,845.0,7076 CHAPIN DRIVE,1.0,U,1.0,9.0,31.0,,United States of America,,90875
,Northwestern Mutual,2154513.0,1-262-183-0260,NY,Savannah,De coursey,U,Alix,,De 834,383.0,17986 maywind drive,2.0,O,2.0,0.0,76.0,,United States of America,91722.0,H2G 1X3
,PSS World Medical,3648409.0,1-531-400-3165,KS,Livonia,Development,S,champathon,m,Dev835,361.0,20902 ashley avenue,2.0,O,4.0,,76.0,,United States of America,340041.0,V6q 1q4
,Convergys,1363259.0,1-755-225-1362,Prince Edward Island,Bismarck,santella,U,Dnsproj,F,san836,608.0,13897 stan hope south,0.0,O,4.0,6.0,10.0,,United States of America,438821.0,02134
,Westlake Chemical,905760.0,1-948-074-9863,OH,Virginia Beach,okon,M,waneta,,oko837,514.0,8211 pelican avenue,5.0,U,0.0,10.0,31.0,,United States of America,55462.0,94317
,Steel Dynamics,819932.0,1-116-273-5761,FL,Lakewood,Slusser,,Harm,f,Slu838,793.0,7131 TAUBMAN COURT,4.0,R,0.0,2.0,35.0,,United States of America,142680.0,94518
H,Cognizant Technology Solutions,3163906.0,,NE,Mobile,Alary,M,DENNI,,Ala839,488.0,6156 HOLMES COURT,4.0,R,5.0,,66.0,,United States of America,213126.0,16508
,Crane,3762057.0,1-857-886-6131,HI,Fresno,TEMP,M,bill,,TEM840,327.0,18815 washington west,1.0,O,3.0,5.0,70.0,,United States of America,482259.0,c2a 4w8
,KB Home,,1-723-961-7810,NM,San Bernardino,Pkdcd,M,Jean-pierre,d,Pkd841,835.0,7458 denton boulevard,0.0,,,4.0,18.0,,Canada,392617.0,V6j 1s6
,Auto-Owners Insurance,,1-850-473-4567,NJ,Tempe,Battershill,S,LUSA,,Bat842,577.0,17040 4th north,5.0,O,4.0,0.0,99.0,,Canada,387335.0,H2G 1V9
,AGCO,1327349.0,1-884-452-5294,ME,Salem,Logan,D,Shoeb,m,Log843,762.0,2097 HARRIS WEST,3.0,U,3.0,9.0,30.0,,United States of America,215576.0,m5g 1u1
,Fifth Third Bancorp,1396758.0,1-505-680-4182,HI,Jacksonville,MONTEGGIA,M,CONNIE,,MON844,526.0,8532 COOPER LANE,4.0,O,0.0,2.0,59.0,,United States of America,403185.0,92502
,Expeditors International,3377552.0,1-257-747-9551,LA,Austin,yabe,D,Berte,,yab845,751.0,13087 JENSEN EAST,0.0,R,2.0,8.0,38.0,,Canada,201426.0,35263
M,Southwest Gas,3740276.0,1-739-786-4114,MD,Beaumont,kenedi,M,Lynsey,f,ken846,577.0,6316 palm upper,4.0,O,4.0,7.0,12.0,,United States of America,230406.0,90869
,Patterson-UTI Energy,619097.0,1-672-975-3888,MD,Fargo,Kum,M,BRETON,f,Kum847,652.0,23201 seip road,5.0,O,0.0,6.0,94.0,,United States of America,427020.0,98190
,Omnicare,3524235.0,1-136-986-3511,ID,Whitehorse,Ponthieux,S,Ringo,,Pon848,419.0,4180 MAPLE DRIVE,4.0,O,1.0,9.0,63.0,,Canada,229672.0,37212
X,Convergys,513031.0,1-758-851-1486,WV,Madison,DEGAN,S,Tadayuki,F,DEG849,426.0,19663 cantrell west,,O,3.0,1.0,7.0,,United States of America,186312.0,07106
L,Discover Financial Services,2157300.0,1-319-518-2511,IN,Cheyenne,pereira,M,Dasya,F,per850,,17043 MONTVIEW WEST,2.0,O,1.0,4.0,44.0,,United States of America,303979.0,V6U 1W5
Q,TECO Energy,2355120.0,1-390-952-0127,Ontario,Minneapolis,eberlin,W,FLORIS,,ebe851,438.0,10033 lake upper,0.0,O,5.0,7.0,56.0,Apt. 865,United States of America,193381.0,m5e 1z1
,,2399575.0,1-876-294-8508,MI,Iqaluit,Valia,M,TARUS,F,Val852,424.0,15401 winter park lane,0.0,O,0.0,4.0,7.0,,United States of America,390570.0,14202
D,Allegheny Energy,3521038.0,1-768-332-6404,UT,Lansing,DORAY,S,beatrix,,DOR853,555.0,19526 foster rue,3.0,O,3.0,0.0,99.0,,United States of America,361571.0,02903
A,Owens Corning,191023.0,1-360-763-0483,PA,Huntington Beach,Streater,S,Candie,f,Str854,584.0,1879 arcana lane,5.0,O,2.0,4.0,54.0,,United States of America,333612.0,21212
,FPL Group,3307382.0,1-477-377-9318,Alberta,Hamilton,Cizmar,S,Emily,,Ciz855,746.0,15748 royalton park,0.0,O,,3.0,17.0,,Canada,,M5e 1y2
,Cooper-Standard Holdings,781956.0,1-176-151-7579,VT,Philadelphia,OLSEN,U,elfrida,,OLS856,567.0,23523 bolt street,3.0,O,3.0,3.0,8.0,,Canada,436790.0,90370
,Micron Technology,,1-217-395-3444,MT,Vancouver,schwaderer,M,Micheline,,sch857,512.0,13424 whittington lower,4.0,O,0.0,0.0,64.0,,United States of America,20140.0,V6M 1P4
,Nvidia,3894354.0,1-849-680-8193,New Brunswick,Eugene,Ezzat,M,NORIKO,m,Ezz858,724.0,2203 valita boulevard,1.0,O,5.0,4.0,79.0,Apt. 458,United States of America,221410.0,V5d 1p8
,Northwestern Mutual,3101606.0,1-817-652-1815,OK,Virginia Beach,Battiston,U,Lilli,m,Bat859,748.0,21989 grassland lower,2.0,,0.0,5.0,27.0,,United States of America,67022.0,80522
,Harris,464328.0,1-827-129-4746,AL,Hampton,Kurolapnik,S,sys,,Kur860,788.0,17146 santa monica rue,2.0,R,2.0,4.0,83.0,,United States of America,259515.0,V6e 1t7
Y,Alaska Air Group,1541517.0,1-430-506-5248,VA,Evansville,Mcharg,U,nguyen,,Mch861,805.0,12343 maywind west,2.0,O,1.0,4.0,45.0,,United States of America,224034.0,H2e 1u5
,Plains Exploration,2137971.0,,NE,Brownsville,Spicer,M,Umeko,f,Spi862,603.0,4522 BROWN AVENUE,1.0,O,5.0,10.0,33.0,,United States of America,348689.0,61106
E,MPS Group,,1-537-174-0742,PA,Santa Fe,BOHANAN,S,schouwen,,BOH863,596.0,11358 elle lee street,2.0,U,5.0,10.0,8.0,,United States of America,325126.0,46216
,Nash-Finch,3953273.0,1-769-271-9134,WA,Moncton,MONTIJO,U,WREN,,MON864,,12089 silver sage way,1.0,O,3.0,4.0,82.0,,United States of America,291502.0,94611
N,PHH,,1-729-128-8858,KS,Bridgeport,LETOURNEAU,S,SICKLE,,LET865,446.0,688 kempner south,4.0,O,0.0,6.0,53.0,,United States of America,464441.0,90367
,Fleetwood Enterprises,1476269.0,1-369-249-7629,NM,Shreveport,dupuis,W,Humberto,,dup866,765.0,24402 marsh way,5.0,R,2.0,7.0,3.0,,United States of America,45266.0,m4k 1o9
,Nasdaq OMX Group,2341861.0,1-839-314-9134,OR,Chesapeake,KRYSKI,D,Marquita,,KRY867,677.0,6095 CORALBERRY NORTH,5.0,R,1.0,1.0,12.0,,United States of America,437422.0,76132
,Old Republic International,2478318.0,1-728-296-6589,ID,Las Cruces,READE,S,Melli,,REA868,668.0,24375 GEMINI ROAD,1.0,O,2.0,2.0,5.0,,United States of America,398321.0,10051
G,Medco Health Solutions,1408221.0,1-527-652-0371,NJ,Corpus Christi,Baskaran,D,kiki,M,Bas869,394.0,18344 HAYDEN STREET,5.0,O,2.0,10.0,89.0,SUITE 371,United States of America,96610.0,94161
,Biogen Idec,2401265.0,1-167-504-0613,CA,Regina,Zigrand,M,Romy,m,Zig870,457.0,16550 SPICEBRUSH STREET,3.0,,0.0,7.0,95.0,Apt. 646,United States of America,334228.0,32202
B,Sovereign Bancorp,1255431.0,1-774-550-3351,IL,Lancaster,JOUDREY,M,AKEMI,,JOU871,745.0,14148 saxon park,2.0,O,5.0,0.0,42.0,,United States of America,425484.0,21280
Q,CSX,1747256.0,1-210-577-9810,AK,Oklahoma City,Nallengara,U,alisun,,Nal872,683.0,14359 commerce west,0.0,O,4.0,8.0,44.0,,Canada,193897.0,63109
C,WGL Holdings,3411007.0,1-680-930-5668,PA,Ontario,marling,U,APARNA,,mar873,375.0,24176 imperial north,0.0,O,4.0,7.0,68.0,,United States of America,499182.0,M4J 1N1
,Clorox,2578534.0,,MS,Halifax,fainaru,M,Angel,M,fai874,811.0,23755 frostwood lower,4.0,U,2.0,10.0,81.0,,United States of America,275612.0,95272
Q,Auto-Owners Insurance,3773763.0,1-385-323-8406,CT,Garland,Basmadjian,M,VICTOR,M,Bas875,602.0,9511 forest park way,0.0,O,4.0,9.0,91.0,,United States of America,77410.0,Y5d 1m6
,Adobe Systems,981652.0,1-009-860-4245,NY,Springfield,De la,U,bihari,,De 876,347.0,19923 MAIN AVENUE,1.0,O,0.0,2.0,34.0,,Canada,326963.0,01850
,Ecolab,1051531.0,1-338-187-8595,HI,Atlanta,Rashid,M,Jeralee,M,Ras877,839.0,3021 VERMACK COURT,1.0,O,2.0,6.0,84.0,,Canada,369148.0,T6c 1k6
I,E*Trade Financial,2280469.0,1-320-350-1118,IA,Quebec,HOLMES,U,Bettink,,HOL878,801.0,7123 drexel rue,1.0,O,2.0,0.0,71.0,,United States of America,353533.0,93312
,First Horizon National Corp.,2138918.0,1-080-390-9784,RI,Cleveland,burgi,M,gianina,M,bur879,,1558 university avenue,2.0,O,4.0,8.0,3.0,,Canada,127583.0,95149
,Polo Ralph Lauren,2983358.0,1-723-061-8722,MT,Oxnard,Turnbull,W,maurice,M,Tur880,690.0,18688 BEATTY BOULEVARD,2.0,O,1.0,6.0,45.0,,United States of America,44720.0,T5a 1m2
,CB Richard Ellis Group,2072951.0,1-119-675-3453,Prince Edward Island,Lincoln,brassem,S,LIANA,,bra881,547.0,9883 DONALDSON SOUTH,5.0,U,3.0,5.0,70.0,,United States of America,383586.0,47722
J,Neiman Marcus,2704695.0,1-731-177-1557,UT,Santa Clarita,Kochis,M,barbee,,Koc882,665.0,16152 parkland north,4.0,O,2.0,2.0,69.0,,United States of America,455860.0,95237
,Hess,1027060.0,1-842-146-6446,IL,Rancho Cucamonga,Willard,U,RAOUF,M,Wil883,459.0,16550 spicebrush street,,O,1.0,4.0,85.0,,United States of America,177531.0,H7h 1t8
O,Amphenol,3374949.0,1-678-184-4766,MD,Casper,FAHY,M,Rosemonde,,FAH884,627.0,341 dunbar west,5.0,O,2.0,4.0,32.0,,United States of America,241109.0,66117
,Targa Resources,3938776.0,1-973-207-2490,VT,Albuquerque,Diduch,M,elfreda,,Did885,635.0,15913 alexis street,3.0,R,0.0,4.0,65.0,,United States of America,267712.0,21227
C,Franklin Resources,2076174.0,1-099-889-7981,HI,Norfolk,milligan,M,Sayla,,mil886,358.0,3923 blossom upper,4.0,O,5.0,9.0,27.0,,United States of America,37366.0,T6a 1i7
,Plexus,3464618.0,1-310-245-3372,WY,Ann Arbor,Sugarman,S,VITTORIA,,Sug887,572.0,23131 clint way,1.0,O,4.0,1.0,,,Canada,148058.0,30324
T,Raymond James Financial,482395.0,1-353-306-5394,KS,Thousand Oaks,rodriquez,M,HOTLINE,,rod888,307.0,10543 cravens crescent,1.0,O,3.0,,46.0,,United States of America,478620.0,V6l 1u3
,KAR Holdings,2175089.0,1-820-290-5625,Alberta,Frederick,lecompte,M,JACQUE,,lec889,642.0,24438 cedar springs avenue,2.0,O,2.0,1.0,44.0,,United States of America,49083.0,V6n 1s9
,Electronic Arts,,1-088-617-9780,ND,Moreno Valley,maliepaard,M,kalinda,,mal890,832.0,378 NOLAN AVENUE,,U,2.0,4.0,61.0,,United States of America,27365.0,V6o 1u3
,BE Aerospace,3387850.0,1-330-257-3813,WY,Kitchener,RUZYCKI,S,Suzanne,f,RUZ891,420.0,5798 belt line park,0.0,O,2.0,9.0,34.0,,United States of America,206651.0,95297
,Universal Forest Products,,1-021-095-9105,IN,El Monte,Tue,M,khamdy,F,Tue892,628.0,6594 moultrie avenue,2.0,O,5.0,9.0,11.0,,United States of America,462208.0,V6n 1s2
,AmeriCredit,2789774.0,1-134-241-3440,VA,Vallejo,lichtenstein,D,Ngai,m,lic893,777.0,19342 wycliffe park,1.0,R,2.0,9.0,82.0,,United States of America,379926.0,75236
,Rohm & Haas,1850489.0,1-364-294-1113,DC,Dawson City,BOUTIN,U,JEAN-MICHEL,,BOU894,804.0,9307 beale upper,5.0,O,1.0,9.0,19.0,,United States of America,430086.0,99681
P,First American Corp.,1430619.0,1-335-520-2549,GA,Columbia,GLASER,W,GUENDOLEN,M,GLA895,422.0,4209 wilshire way,0.0,O,4.0,0.0,93.0,,United States of America,138592.0,V5c 1m1
T,ServiceMaster,688138.0,1-703-549-1442,IN,San Jose,rollin,U,Chloette,,rol896,440.0,18781 parkland lane,0.0,R,0.0,0.0,30.0,,United States of America,376900.0,92834
,Community Health Systems,3125485.0,1-624-706-6526,CT,St. Louis,dubois,S,Dannye,,dub897,779.0,5409 PEMBERTON CRESCENT,2.0,O,,7.0,68.0,,United States of America,322217.0,19207
,AutoNation,1161768.0,1-279-365-3275,New Brunswick,Kitchener,Choudhury,S,barb,,Cho898,620.0,19424 VERDE STREET,5.0,O,5.0,8.0,77.0,,Canada,367042.0,V6T 1R7
,Conseco,3536480.0,1-896-058-5067,VA,Los Angeles,DIMILLO,U,LEELA,f,DIM899,427.0,19812 briar forest road,2.0,O,1.0,2.0,39.0,,United States of America,342511.0,98135
B,Polaris Industries,2358348.0,1-680-360-1373,CO,Syracuse,Dunsmore,S,leticia,,Dun900,336.0,1540 murie rue,2.0,O,0.0,4.0,94.0,apt. 711,United States of America,19170.0,66605
,OM Group,,1-240-948-2986,ID,Oshawa,Lanteigne,U,estele,,Lan901,678.0,13776 EAST BOULEVARD,1.0,R,3.0,2.0,80.0,,United States of America,80928.0,m5e 1w9
G,Service Corp. International,3778987.0,1-762-475-6095,SD,Charleston,Geiger,,henny,,Gei902,761.0,8729 halle street,1.0,O,3.0,6.0,79.0,Apt. 585,United States of America,200902.0,63170
,Parker Hannifin,3729314.0,1-555-808-0576,UT,Scottsdale,FLEMING,D,arlee,,FLE903,466.0,13640 ethridge lower,2.0,O,5.0,1.0,43.0,,United States of America,384271.0,32254
,First Data,776105.0,,IA,North Las Vegas,Ebrahim,S,CAMILA,f,Ebr904,672.0,4333 MOCKINGBIRD COURT,,O,1.0,2.0,37.0,,United States of America,329034.0,77175
,Fidelity National Financial,1348505.0,1-216-529-0948,Manitoba,Lincoln,Henline,S,isabeau,,Hen905,307.0,21074 MALLORY LOWER,1.0,R,0.0,2.0,49.0,,Canada,473978.0,M7n 1a1
G,Cenveo,2777211.0,1-525-508-7526,FL,Allentown,Nguyen-the,M,Partha,,Ngu906,512.0,17104 whitman boulevard,0.0,R,4.0,9.0,38.0,APT. 720,United States of America,66572.0,64158
,MDU Resources Group,3683452.0,,Newfoundland,Syracuse,OFFERS,M,Afif,,OFF907,409.0,2297 AMSTERDAM COURT,0.0,O,4.0,1.0,79.0,,United States of America,101226.0,V6I 1U2
D,Berry Plastics,135371.0,1-974-592-6981,New Brunswick,Montreal,Macsupport,M,Debby,F,Mac908,321.0,199 summit crescent,3.0,R,1.0,7.0,24.0,,United States of America,49022.0,T5b 1w4
,,248057.0,1-408-120-3254,AL,Stamford,Bins,S,ELEANORE,m,Bin909,706.0,4199 harvard avenue,,,2.0,,47.0,,United States of America,353105.0,90855
L,Principal Financial,1792906.0,1-121-136-9472,IL,Glendale,Defranchi,S,Leontine,R,Def910,423.0,21477 juniper crescent,4.0,O,1.0,1.0,91.0,,Canada,418894.0,77147
,Frontier Communications,376980.0,1-747-033-3011,CA,Tacoma,Kashani-nia,W,Polly,,Kas911,791.0,351 GRANADA WEST,4.0,O,5.0,1.0,98.0,,Canada,321575.0,93341
M,Air Products & Chemicals,3144214.0,1-834-607-1929,TN,Garland,Van es,S,Chabert,m,Van912,463.0,23572 sycamore crescent,0.0,O,2.0,7.0,96.0,,United States of America,310500.0,73120
D,Helmerich & Payne,3567254.0,1-204-907-2339,OR,Charlotte,KARDOMATEAS,M,Iormina,K,KAR913,452.0,5426 smithdale south,3.0,O,3.0,6.0,99.0,,United States of America,193074.0,92058
U,PG&E Corp.,2632755.0,1-546-260-9963,MI,Huntington,WIGGS,U,Samaria,M,WIG914,671.0,18699 potomac boulevard,1.0,O,0.0,3.0,85.0,,United States of America,173183.0,94350
,Jo Ann Stores,3736046.0,,MD,Independence,logntp,W,Eleonora,,log915,778.0,8705 flagler park,4.0,U,4.0,3.0,56.0,,United States of America,87409.0,15236
Y,Regions Financial,1294909.0,1-513-255-4094,AK,Cheyenne,Majumdar,U,Hanns,f,Maj916,487.0,14349 clifton west,3.0,R,1.0,7.0,20.0,,United States of America,209977.0,v6d 1r1
,Protective Life,837314.0,1-999-356-8716,MD,Mount Pearl,KOOHI,S,OLE,m,KOO917,345.0,1898 halliswood north,5.0,O,0.0,2.0,19.0,,United States of America,370150.0,m5b 1y1
D,Teleflex,3725935.0,1-579-328-7017,KS,Grand Rapids,Fedoruk,S,SEANNA,,Fed918,718.0,22024 darlington north,5.0,O,4.0,3.0,81.0,suite 427,United States of America,496404.0,m7o 1a4
,Georgia Gulf,3473912.0,1-221-520-9734,GA,Savannah,Schonberger,M,Jagdish,,Sch919,638.0,1063 LOS ALTOS NORTH,3.0,O,3.0,5.0,87.0,,Canada,175479.0,45254
,Rite Aid,2863313.0,1-493-573-3326,ME,Simi Valley,Chambers,S,Millisent,m,Cha920,500.0,5620 royalton avenue,0.0,O,2.0,1.0,67.0,,Canada,415659.0,94438
,Costco Wholesale,,1-092-831-4161,DC,Bridgeport,DAGENAIS,W,Harriette,,DAG921,804.0,2342 summer crest north,,R,0.0,6.0,77.0,apt. 646,United States of America,373747.0,V6q 1w8
,Harris,1432008.0,1-907-451-4250,NH,Palmdale,Maxey,M,VITO,,Max922,646.0,11630 archer west,1.0,O,1.0,0.0,100.0,,United States of America,2281.0,80161
,Questar,3687943.0,1-763-250-4157,CO,Sandy,reinink,S,sheelagh,,rei923,415.0,16849 vessey park,5.0,R,3.0,9.0,,,United States of America,379282.0,r5g 1m9
