gndr,frstnm,pstlcd,nmbrchldrn,nmbrcrs,wnrrntflg,phn,mddlntl,ncm,ddrssln1,ct,ntwrth,mplr,stt,gncd,crdtrtng,cntr,lstnm,nmbrcrdtcrds,mrtlstts,g,ddrssln2
M,EQRBLDLT,Qqsxhhi,5.0,5.0,R,1-298-167-9421,,160141.0,Wfmswvffjwpvplxheuwyrpnwdotdfbdmesqy,Cleveland,587454.0,UAL,ND,geq8870,712.0,,geqvoepozzoydknjwifhndfflw,5.0,S,27.0,Yxhcvkticaixeyfstygwvhfeepumcxntttqzaknqjwusyymsbe
F,Ewegsybstpnecbttyxgv,KYWZURM,4.0,0.0,O,1-881-277-1678,O,153459.0,Ncvlgsbhgbgjyybwdwzkldlftlybzfrdfowjrzzdkqjsuuponqswnaszpkhduyqglbanocrvegmaon,Casper,1442966.0,Warner Music Group,NE,ubv8871,680.0,United States of America,ubvcfescnvjcfynrgtvsexjwe,3.0,M,12.0,Njywfgslybjfuhktlinhtrrxzddjvtlbtkmvimdogjfdgbkzxojmsjruozpraplrzobhovkfapbjjex
,xjlqnlgtmeknomaijfcqyii,Lxhadl,5.0,0.0,O,1-179-545-7465,I,256660.0,Gmxfw,Columbia,3965825.0,Icahn Enterprises,UT,Dwo8872,606.0,Canada,Dwotgolswsgbbrli,3.0,S,42.0,Gbrpomsxmxahfqicwrmppqknhjcaesflvxylqlkigrbirjdhclhyubxwpyemattwpmssdjc
F,Dqvhxmqdmbylyc,Vddpacdms,2.0,4.0,U,1-985-448-4351,,227584.0,RMBUKNGHJBPSKKWMEZTLIRWZNGGCXOCPXMHORLUTVFZIOE,Sacramento,1075557.0,Cytec Industries,WY,MMH8873,754.0,United States of America,MMHNPDSWLAQRTRVOGHIFGTMUT,10.0,U,63.0,KOJBVDTPIXLLBRFAGAEONBYFPJWGUCHXULTBL
f,kpcckatwnihrf,XRESL,4.0,4.0,R,1-857-486-9272,E,120011.0,Ktqrefkdomiykl,Regina,184885.0,Frontier Oil,KS,Eqb8874,496.0,United States of America,Eqbnxmxqmgkubqfghkxq,1.0,,52.0,Sqaqqdljhnchxiqpesvsvofrhcqlehaabkjw
F,Qaxhvdiybhxftgtczyliatldnyl,Zzndpcuice,0.0,5.0,O,,,11940.0,Vwmmhxdnfqvcjxtrjkopbfmfkkb,Tacoma,1471024.0,MeadWestvaco,CT,FGE8875,500.0,United States of America,FGEWKGTMIGQRG,10.0,M,1.0,DKKNKDXJWUDMINIYFNOGOAATJOQEBCOFPTBUIVUIGCJXCOSLNKKTLGTAKVGSHVCJDBMQT
,Gahrajcdbexzyuaeq,ukexn,2.0,1.0,U,1-182-762-5633,E,478851.0,rqepamufmzhsrubnfymspffjsszbrhltcgontauxlqqfnrcojxrc,Indianapolis,2367831.0,Autodesk,MN,FQH8876,732.0,United States of America,FQHCMXULOEARGMTVVMHWJUNHTP,5.0,M,91.0,Amdfteo
M,Mimts,XESBWHREDO,5.0,2.0,O,1-532-976-7047,,61212.0,,Modesto,969844.0,Nordstrom,Prince Edward Island,ENZ8877,720.0,United States of America,ENZLYUDAP,,S,45.0,Gmmhdqlfqzydk
,tyjjuiobtivefrhscgpcvthga,kvvcoq,5.0,2.0,O,1-506-846-4911,,469342.0,Afafewsabfpsvgaxniwgzwbikcepsradhimbcahudbvpfxwfjx,Indianapolis,1306276.0,CC Media Holdings,NE,CSL8878,817.0,United States of America,CSLPSSHYXZTNVXWQYOUGRF,,D,60.0,LTDIGFXOEQXAQYNIEWMNTAVSJZVYCGGKQ
,WFBMSOZZBSJENNGEFBDTFKYEMA,Yppaxeteykuw,0.0,1.0,O,1-814-306-8730,,134460.0,CNFAPGGLFJOCGNFJEHZQSYGQFHUFJGSXUVUYAPQUKOGPRFEBPJMFVACGPZXQMPAJBKQQGUJEAKFLMKO,Huntington Beach,,Southern Union,MT,DYN8879,,United States of America,DYNGYJQKKXVU,6.0,S,81.0,Rtmejggolnvxgwuwgujbjgvotwkpsbndwejvbsyfcggpnfpkeyyzydworudsqwhbszxgqhfnj
,Pddxmafpoohhpvhp,UHBPEHTP,3.0,4.0,R,1-099-373-4276,U,188.0,OORBWAJGLVEWTNEQEHJBBAAJPGXWPVTMMJHPBC,Mobile,2459848.0,Polo Ralph Lauren,IA,OET8880,573.0,United States of America,OETXRDKCJFTRQUEFSLQBIV,7.0,D,34.0,Dmaqprpnsdcqjqtjptzkcu
,MBVCHTXFEQVDSGKHLACSJUGI,JHEDMVNPIJH,1.0,,O,1-206-982-8100,Y,125928.0,Ovniuyzhzspxwhtyiwsdhwovrcdsrkmaxpavlawxjqqrktahorosychjffv,Billings,1141839.0,Graphic Packaging Holding,GA,PMI8881,784.0,United States of America,PMICDMRLAZOKCOAPXMASWFAWO,10.0,S,80.0,NDDEPKQGLDADMIZROIAFQBZIZESCYRUKHOLSFHXZFHWROGYAUDQTJSQVP
F,Bugugdeyiboezjyddxuvzhmxtmz,Rprfwlkk,3.0,2.0,R,1-786-406-3178,q,63834.0,Vhwyrbwlpulyilmjhrchavjrinkregzjikecggxtpiqdnuuwmetyoqxhs,Boston,575547.0,Fiserv,MA,EMI8882,846.0,United States of America,EMIRUSHUJKZHUFCJJINQ,7.0,S,33.0,Dwiumeuqiveqryurrofnocjrtupudkhxbxdxkttjjtebrvioypno
,wccegnbrchjqtriszap,XNAINOQIPKZ,4.0,1.0,U,,Z,60848.0,XLKDSBWWAGFBCVRTPNQKJZBB,Akron,1998526.0,,DC,iis8883,404.0,United States of America,iisxttocggx,1.0,M,83.0,Lmquequoqesucbinpctkuqokhhoqukbotbaqupkpeubfmsjidqstca
m,EAMRYJZJZMIUJPTVMRVWJBDQBT,Ksrero,2.0,3.0,O,1-871-210-6439,,20456.0,Tlrnpfcboacfevukb,Worcester,3323737.0,,IA,Nac8884,682.0,Canada,Nacskngicvcbct,3.0,S,64.0,Omnofbqotsrtmqzceqrbyrv
,Axhkrwvowiepgrhejdc,GSWDJPR,3.0,1.0,O,1-524-091-7799,G,19773.0,IATZJQSEFRSVMWIOYFDRBNZEKW,Lafayette,3490733.0,West,DC,Lgg8885,806.0,United States of America,Lggapjcuuyvgqwhyxdczhxdcjfkhxr,3.0,M,27.0,Ztwhttggvcmqejmtksovbhurtjztfztyencujpmhrfzlpwmwkalwhngotlfbmds
,HIKUOTWLSAES,Vkbaodntj,0.0,3.0,R,1-030-583-2951,,396570.0,jkqxanyzarwpbboblndcelzrrrxpjzqtqxhninnyomwgtioexgwkvnzixxluollwaoc,Milwaukee,3011197.0,Ingram Micro,PA,Tmn8886,594.0,Canada,Tmnhdhiajbewxxsaic,6.0,W,93.0,Sspxehdkfqsbtipwcsumwenknobksukswtbkbtjztam
,Wrpkofwpxzvmbbmtsbt,Oezlmruei,3.0,2.0,O,1-915-839-3035,,320048.0,mbnvxnldatmsifovqnopbdaopautytyfdrsavwxnwuptipuaatrppbgmtexgzzcgtkrdyiewrlj,Yellow Knife,993941.0,UnitedHealth Group,OK,vpz8887,706.0,United States of America,vpzaxxtyodcuiwbtrdrkcf,3.0,M,87.0,Ljhrsomviybkcfmhllovifqautgphnzozaxhxqousjpqzipfxctmhkjk
,tipths,Mwqte,5.0,5.0,O,1-745-508-4544,W,,EBHOPOPAICUUXYLIAZUUKWGPOTHJTJPYSJILMAAYRFSPPUZJEWGAYSCUVOXKNNTWAIDXHXQUDCH,Billings,1987261.0,Core-Mark Holding,WY,obb8888,593.0,United States of America,obbgyxufjlswweclojmm,1.0,W,81.0,fdabvvlothfwfxpfthvrvgbpwxyrhbhdpmqhcphl
,AVXLPMGTBOLYEBKJCNACKXALFULG,Kwdkdjrpql,1.0,3.0,O,1-816-529-9933,,234746.0,CRRTTXQNNJBXXXYHRPOGPGHPVHQNCRJOKBFR,Bellevue,3000677.0,Perrigo,VT,cqb8889,668.0,Canada,cqblj,2.0,D,73.0,Bnxvsrcsmb
,rwatbpkpmuts,UJLWBVBAWTEP,4.0,0.0,U,,T,226703.0,Mkadbxflwvbnjqnkecndznubjgyncbmqpvpavncosqga,San Jose,3947234.0,AMC Entertainment,NM,Dhc8890,769.0,Canada,Dhctbjcvnx,8.0,U,21.0,RRRDWRIEMTBVNHLLQPCQUNFUTGFCBNAAVVTNBQMCLYPHUGBWEVPNIRJBIFBJTPAINUVAHVFOFXKWPX
,Paslzfrjvfbingytonouhusjmdaag,Taksjljzk,5.0,1.0,O,1-223-469-3603,f,459370.0,QLDWZICKHUJVPAAQIHVSZUTQNQVQWTKXHQTREJGGD,Plano,1571254.0,Genuine Parts,WV,OAR8891,831.0,United States of America,OARTS,2.0,,28.0,Ztlthhppsehnmjjjvyrpgmnsbicgyxvplqctyjkqgpgsnoc
f,ntzposxxxa,noxixfdxpoa,2.0,2.0,U,1-608-843-2076,,417801.0,gnguxpskbhzjraqeaxwjqsnqosnochelyuxvvsmibjnxvudhphckxkkuowilulhrjztaprhzxme,Akron,2830891.0,Affiliated Computer Services,AZ,Zau8892,711.0,United States of America,Zaubpseu,,S,20.0,Exkuskghdkrreiggqmecoyribjifkhnfcxvnbfxmpcmlcualifdsojn
M,Vszffvxxoikuuznefplkte,Mwndawczmiib,2.0,5.0,R,1-917-033-4688,u,230436.0,NYICIKPDSXMBCQHELIPNAVPCEYCMVPNROSWEEEEOSDGRXWEKDOQJFQGQONLCVPHNOFVQPWFNADZYBICX,Jersey City,1448098.0,Mettler-Toledo International,WY,Yfp8893,432.0,United States of America,Yfpmmxdrukcxfephfx,5.0,M,54.0,Egmljpykwyupnrqofldslitdktrgiqvbqcbdtoo
M,FVKAUYCZZQKHARLOUWV,,0.0,3.0,O,1-333-834-5498,K,308606.0,Ndfwygfyuqurum,Lansing,3741167.0,Eaton,AZ,Sno8894,500.0,United States of America,Snotcdxpyvjperoorrnxdxnif,0.0,M,73.0,perizjjzwvrywqtdrizfxrvmoxlpiydibqtmpplousbdrchbhrsiqqko
,vkfmmogqepjms,jybeaexw,5.0,,O,1-491-099-3318,G,,Xftestjafeqiacfxmtmmzcnxcagxwwqjhsbnxrsuftqth,Chandler,3427282.0,Eagle Rock Energy Partners,WY,gsx8895,,United States of America,gsxkwyqgfeyzvee,4.0,S,45.0,rqnjaezkocsjvbvhhfr
m,lgcwnreltasbjreqnarlbni,Oebhfcwh,2.0,1.0,O,1-743-552-6048,P,270741.0,HBAHWGPJEOLPWSOMPQHYQIISAQLKWPTIVOWNLIPRQTSTGXDXVBHZNOHASCVNQELXOKMYRBP,Salinas,2967585.0,Maxim Integrated Products,FL,Tjn8896,726.0,United States of America,Tjnfzcwwoagesmig,2.0,S,97.0,Ptxyezrmrzcuporjgjuypgcslflqtccasvccawsndnchof
f,YTXCLOIWBSPHOZOQXHYCISIY,Hbuzjssa,1.0,2.0,O,1-407-618-1938,w,495664.0,Wirrkhrvpnuluhxgtwbecsxpzmfnyfqmmjahnciugkgemvixukn,Buffalo,1796289.0,Honeywell International,Quebec,qyr8897,756.0,United States of America,qyrfryeahiih,6.0,M,57.0,dafjxvpbuknxekrodksmtrj
M,ikajxx,Rmmhvepdbjqj,3.0,3.0,O,1-017-751-4041,o,98709.0,gbcyklzvaxihglfwbchxulxbkjymbpwcucqzlz,Las Vegas,1022708.0,Discovery Communications,NV,THZ8898,439.0,United States of America,THZYGGIQSEYS,8.0,M,22.0,gvnlspocixbnqmeykrrchimhkfgaqpdrvigpxexpmmkufyhnngvzxtcjoqrcocaitsy
,Uafvak,Hjxxzz,2.0,2.0,O,1-320-372-4579,,443416.0,Rsceytdfysyuwnrhuslhrhrkopyx,McAllen,1313379.0,Superior Energy Services,DE,Jgw8899,830.0,United States of America,Jgwrlkjwxjtndmlorprfw,7.0,M,,xihsfj
,Orcxfzhjsq,qufrmtq,5.0,2.0,O,1-276-896-3386,C,488166.0,VDXHOXIJSIZFDSMYLDLJDGRGCLXUHEBCVVWJYSKECZMDMZQVLFQPQVUBUU,Hayward,1746934.0,,IN,Eia8900,639.0,Canada,Eiaresrfkagkqqgwcxljsvvvhwnhfb,5.0,M,82.0,JWGHOTPYBLESVXYLFZFWLC
M,Fjdzwbzpkfpctqhf,IJCLKI,5.0,5.0,O,1-346-857-0171,,150229.0,JZHIKKLVFHIMEHCCZEEIJGGWUYBCKYUELSIXZ,Chattanooga,1309524.0,Fiserv,Manitoba,CBN8901,376.0,United States of America,CBNTZJSCW,5.0,U,75.0,SOOJDNDVALGICCVCYS
,Bikltupmcttmir,Rvxvozvii,5.0,0.0,O,1-490-587-1753,,450129.0,sngrgwmzcnvdwgxclbedsgizgmzfjgpsfcwbdpcmojvjqpbepmvysmonafhjntybxngae,Columbia,154786.0,Radian Group,NV,THW8902,560.0,United States of America,THWMIBQSVGNPQBZKVOE,10.0,U,6.0,TGRVDTQKEMMEXBLRNXALJMCDMZASGXYIHGASVKBLSQBJZOCOXKWGXGSZBMCORVJSLMIUVSVGCSY
M,Ayaxqmpztxtufkenshrhbmfwdtcqbr,eyfyibkmb,1.0,0.0,O,1-539-172-7276,,435338.0,Btrpjdkz,Des Moines,3244595.0,Energy Future Holdings,British Columbia,DAD8903,404.0,,DADCXBBQWIADBKLIRXNCTVIMVBVIA,5.0,W,50.0,qlbyciqaekohnkwpjicpemrmjkbcxxfpydbecmanaqlpzdmgiljrcqvbkegstlfvvtflgsozghn
,Emuumdmf,dfiznjmasks,2.0,2.0,O,1-853-273-2769,Y,63899.0,Rbfeukpnuktodypsizvhbnfwshevxywgd,Oceanside,373029.0,NetApp,WA,Fcc8904,655.0,United States of America,Fccoi,7.0,U,24.0,Juytsmudvqchjbsqgcjkavvtjrytdseatlqvouqditgcniczhvvferiivdobuuezkdrhntz
m,Jnuvonmabsicbl,pwmelpnn,0.0,1.0,U,1-074-812-9135,X,32563.0,pkflfdxb,Milwaukee,2878147.0,MGM Mirage,AZ,ABT8905,,Canada,ABTACRMGXOWIBIDEDJ,,U,,Giqmehvjrycqpgxoajsdlurknxqjuofxlpatgqyddijraiwjqftreazphhenglrr
M,DMRQTL,VLIXLYUCBX,2.0,5.0,O,1-822-129-9241,,321055.0,IXKJNSNODJKICMCJ,Reno,218894.0,Wells Fargo,NY,Sxf8906,325.0,Canada,Sxfecfgcyzprpljzsmcdv,,M,84.0,Hvgfkrekelhikkpylprlgvkdatpbfbde
F,Ircamsmbqjfbszvdj,Sieolddh,1.0,5.0,O,1-103-793-7794,I,441786.0,Mmfvvvklkoqduuyroyviwpngjjrrdirpufezjamvhsebdusnyblmdynv,Birmingham,626614.0,Allegheny Energy,MO,Cwg8907,767.0,United States of America,Cwgqdwjzefrx,5.0,U,38.0,Aaiqjjtzbmhiqoqhjsbykornvlqmkfcrggrclnhp
,Bqyefbciisqghc,iqcoeusmb,4.0,3.0,O,1-945-929-8119,,204275.0,tpxycgoddxkskycdqvjeajpunrnmyfnckwscetlyfpkp,San Bernardino,1993352.0,Walt Disney,IL,Dum8908,826.0,Canada,Dumofxyzrqgaivvoeoegg,4.0,S,33.0,zwsgqtuhdnnjmkkvfgrfeltvoygezu
,rimfiqkngplsrd,NLQWGXOIVLFE,5.0,2.0,O,1-373-331-6586,I,372423.0,Dzdvnldlpaakpjdivoejdhtbswkjkyjlcplrqlzvqpsdjexpxqtqzcpwap,Honolulu,1482863.0,Cypress Semiconductor,MS,HXU8909,843.0,Canada,HXUDI,10.0,S,2.0,Nlivqlaadkjdheibxmdxogdzwdl
f,Dbahvblnmgpctwppgbsflncxyvbgdt,OZYVSEGGNGJ,2.0,5.0,,1-751-107-8757,,397152.0,gcohqqkzlrfehhnztloiqwwfxcenjbfbizskxndalpmsargaend,Modesto,2629281.0,Oshkosh,MN,Kzn8910,799.0,United States of America,Kznlsbobdoauotunhcdtjvesmutra,1.0,U,35.0,kdwgpf
m,EDYHURYPO,Fwhvp,5.0,2.0,O,1-759-650-2117,i,421297.0,Cfexpkfujanlifrsqfwpnzutpoulrieahlbfacrhxzfdh,Victoria,399151.0,Boston Scientific,Saskatchewan,Ewl8911,576.0,United States of America,Ewlwefxffwefy,0.0,U,62.0,Ojdqxnpxpllvsnsegflak
n,Iaqvipfdj,,4.0,3.0,R,1-445-076-1102,D,,Joqoyyeaxscsxfppacs,Fairbanks,2475278.0,Fastenal,WI,Fzm8912,535.0,Canada,Fzmtktzkbniqaojnkadhgbzhumf,0.0,U,12.0,Ybcdmreytqdm
M,Oprefpehhg,Nfgbeerains,2.0,4.0,O,1-965-138-7030,l,376750.0,Rkzfgkopyctcbtvofkrnansegxolznskmxogmzzfbpgirutvknbtdvprcysqovskbczmkfonpxzbg,Baton Rouge,1303135.0,Bemis,KS,Ljg8913,444.0,United States of America,Ljgkhh,9.0,M,87.0,kktwrfffbahjgdantpzdzzdpwtlcjdzipttixqsripycqcoylaoowotwdxgwmnmyuxanj
,yxejcelxxwsnn,Hfndsg,5.0,0.0,O,1-503-190-5777,,136792.0,Vyzdnnkgiiulsydnllofmkvpkmcrvxycxwpplhvrgcilgiwnhjkqcnqkqiafspzg,Oklahoma City,3192589.0,Kraft Foods,DC,myz8914,844.0,Canada,myzatajyfjqqjfzzguk,9.0,M,41.0,tteyxrglfwsbstulz
M,Asdfxceycxuevwq,Rceelo,2.0,5.0,R,1-968-308-2463,O,31258.0,TAHAFTUHEGPKFGINOLLOJNVMQYMVSXEAMF,Memphis,1372448.0,Entergy,PA,Fkr8915,625.0,United States of America,Fkrizogcwqihjmfqhfuggsmhrjtdjc,9.0,S,70.0,Swsercqeibwxlvghaqwsajyqdhpwqshupyjvkqlgskfsejpcofmdmccenfjdfeclkkgljerfihp
M,Wkytcksypzxeii,,0.0,5.0,O,1-130-264-1555,,260655.0,Ucpqcjlphfxfhexfqwrhuwjplmswnndwwsfretjdzes,Santa Clara,112238.0,Fleetwood Enterprises,MN,QYR8916,611.0,United States of America,QYRLENKFLGADOAQHJLNDRCSVJFEE,2.0,U,66.0,Uqiutjmguzouitsyusfstesafeasvhwnusnxultwbmymlikvbupyoufhmjnfuzcfyjutobvqjgsjbi
m,Ibunitbe,PUTZWGJ,5.0,2.0,R,1-045-964-7489,S,201577.0,JRWDOUK,Iqaluit,3660673.0,Pepsi Bottling,Saskatchewan,Gkr8917,614.0,United States of America,Gkraqdsehctulpdd,1.0,M,93.0,Suvclnpugsdalmpwdkreiqknryxumq
m,Ibblgibmpfpfcywlfcvcaumvud,JVTFDTC,5.0,2.0,R,1-615-441-0011,,392137.0,Qpxosmhghxxrv,Atlanta,522761.0,A. Schulman,FL,khw8918,611.0,United States of America,khwlppbiqzdxcwfcdskokpoyoekddb,5.0,U,61.0,Lqrhvgigsljxqdqdaoyxdajssrleyhh
M,UIKTCKEMETQAHWMRNJ,qdfxnurqxaso,2.0,4.0,O,1-643-154-6745,G,145648.0,kpanzrjniotxfwcbefmgrlkcpkoguanhxrqoodpvqowdojligxegzohozuxmzdkwbkbxhuukoepiwb,Charlotte,1437039.0,TravelCenters of America,VA,STP8919,501.0,Canada,STPDQTMTSFYKTSXZSGVP,10.0,S,47.0,uhbuaritwrwytgzltvhchrdbhswsabotwqqvldwkrgcpqwmkhil
m,YRQNWFXCBYDONMGKBJQ,Afiwhsu,1.0,5.0,O,1-737-706-1426,P,,csqkbhkutws,Columbus,1082092.0,Popular,VA,Aht8920,822.0,,Ahtehmaqth,8.0,U,23.0,Hewtvhlqfxnvascdxqmysucqqbkdrmhkilcmpsqqgboudvefhrbmoorfzukplbmzmf
F,Aihjwbjudsybibkvlpz,Wsijsoxwk,1.0,1.0,U,1-848-856-4138,,49234.0,WOKYTJLQSVYHH,Minneapolis,1523635.0,PSS World Medical,IA,wsk8921,470.0,United States of America,wsksiwqthnjdeig,2.0,U,8.0,dndbdorxqeyxuqjmlongasvprtkhartyeitmdhyvadtjzyih
F,JWODHPTISUVGJGUALMQMZUV,Arycnaso,3.0,3.0,,1-530-918-9603,,75432.0,,New Haven,1198108.0,Electronic Arts,ID,Lwu8922,800.0,United States of America,Lwugoultnvsjguzwwjyjgyutaiy,3.0,M,52.0,rhwyrdodbxbcwqnwqbkfxyajygngfvmabxrhwx
,Ilzgugisawtfqlmex,Tayfyfvubq,,2.0,O,1-876-620-7905,C,364311.0,tzonihiwerypvtjq,Riverside,2449776.0,United Services Automobile,NV,Btu8923,709.0,Canada,Btujsokufh,2.0,,,FBRRZRABBUWLDJKQUWGCIOEPCFQMWJSIBRNCLWWQRS
,norewuvbmcwocguj,wlvdhmysywiy,2.0,3.0,O,1-319-951-8665,h,63150.0,Kqdgcwtrajdptzxtlwbdrggypavelvvhhwlls,Chicago,3847130.0,BB&T Corp.,Newfoundland,Yqj8924,707.0,United States of America,Yqjitdemxeavny,1.0,W,,waewiujgbtnjrehqg
,HCOPKCCOAVFKBFLGFMTDILCRVIW,Xtbrqqfid,5.0,5.0,O,,,312217.0,,Huntington,1009438.0,,WA,JME8925,676.0,United States of America,JMEDKGYETXYGLOMOTDPDYUPXRWLE,0.0,M,57.0,GVORXDEVBVQZDYDEV
,Apksmljzzverkfvqflqemlbgmxsh,Hbjrjgid,2.0,5.0,R,1-393-770-0106,H,463049.0,DMMWVEXIYTYZMPIDLGJRJFEAOPTSPBPRTZQVNGXELDBKSCVJAMTEWK,New Orleans,2952723.0,J.M. Smucker,Nova Scotia,Pcq8926,602.0,United States of America,Pcqgvmxmx,1.0,M,28.0,tyjdnqhqtphlqtwhogzpnlkmdkwqxcvigkvrljadvfquzzbfpfxscncffnrx
,Qzqeitpkukosvhd,ytjcryw,3.0,1.0,O,,f,186496.0,mdnmwajhmxmujtmebwvxvjpftyrgtcbovfszhtlkxe,Missoula,1173505.0,American Electric Power,Quebec,JSM8927,685.0,United States of America,JSMKDOQRNIMORAIXZUUKM,1.0,M,10.0,GVTLUINCNRHELAMDSEDCVLWRCRPCARFDXPJTYJTCMT
f,MPCGQNHKOOL,pqnhnsuxk,5.0,1.0,O,1-240-519-1443,e,333428.0,Ilopeiseqlxtglrrkikbnfkgsvdfjbldxzfmqmahplrypgfyplarfskfk,Tallahassee,3230663.0,Ingram Micro,Newfoundland,JXW8928,535.0,Canada,JXWORRATNNMVL,2.0,U,44.0,LVHEPYZUECCTQQSSBCQTKTVWVYIMYQDJIPKCGVJTSHKLPU
,GOKEBMBZXIG,JZZKGOBBXVKZ,1.0,3.0,R,,,76646.0,Nzyrv,Tucson,837878.0,Genzyme,SD,GUX8929,,United States of America,GUXHWMC,5.0,S,1.0,
,Vflddzmukhcwbcq,nrajdmbgq,2.0,0.0,O,1-313-600-7323,k,225543.0,GRFRBBPFBPHRWCDKPVWHJLTXBEOLINBDUVYCEWTTZLPIVGWCEBFPCARKJLUIMXK,Baton Rouge,1740431.0,NSTAR,Saskatchewan,Jit8930,534.0,United States of America,Jitltnxvkmgplwqpzhqxveh,0.0,S,6.0,jlyounwwuiuewdsskaemfeenxmuw
,Nabskpii,GSIELJ,0.0,3.0,R,1-545-874-5368,s,309045.0,Tfwjdxvudmhcmthaadnnvrcqknqpqtzxdvlxcsitbxvktblrkppdzoh,Overland Park,251770.0,Raytheon,MT,BXB8931,625.0,United States of America,BXBMBMLWIWBQWPVXFJOATG,3.0,M,67.0,
f,Yehiocr,Aovezu,3.0,2.0,O,1-060-238-7569,,143699.0,jaeaqippsyrqxvswlvxowiqwcsbprdaerlnegogkmatbvexyzfixyofpsid,Pembroke Pines,816789.0,Virgin Media,OK,Upr8932,,Canada,Uprwvmutrvjuansbkdgkwuxyt,4.0,S,61.0,Kkbybroufutjmtlftvuvtittilkatxbx
,Rdcqazxskjqcxbqxjklyyuib,Rrcquih,4.0,5.0,O,1-447-146-3257,w,14287.0,Srrtfdjtpfsuxcvaxxvyvadbdfiyrmpvelwfaluotzbt,Miami,3236105.0,Coca-Cola Enterprises,OK,slv8933,405.0,Canada,slvjexxdalgwog,5.0,U,45.0,slfyorkwgdgqirbvtbvunbjiyrpsymcxfvrxopspoxzkmmiv
,EGGUOPDDK,RJBCVPIG,2.0,1.0,O,1-471-081-0757,,135807.0,Pqgvidztwaftsoqg,Sandy,97770.0,Expeditors International,Newfoundland,Wbo8934,441.0,United States of America,Wbomx,0.0,D,67.0,txidspvcumvitziboqrvawsmrlkahvqkwvltlcywtplxxftgwhthprmndwmhha
,upruzeclibrhretijwtvfp,Ejjpojksyqdy,3.0,2.0,O,1-161-929-9587,f,486818.0,bxpaywiqswqvnczhsgltxzobwrixoemyticocexm,Montreal,1589615.0,International Assets Holding,WY,SSD8935,579.0,Canada,SSDSEZKLSNYTEW,2.0,,41.0,zlbxhquthnxbupotibgpsbqsrnsyzclvvogrbgmywfjsruxf
,WAVMPYURTMXXKZPJRNHVPXYQZ,BQHYDMT,,2.0,O,1-087-000-8463,,,Bcegmdklmzdetikjrliisasxsjbtlm,Vancouver,2389234.0,JetBlue Airways,VA,Svk8936,,United States of America,Svkpjasexnuueah,4.0,S,92.0,osxwptwhhnhxiwkdsvwvubklhg
,Fhctkdkgjkjsammdfjiecjqonxqavh,hzesxliy,0.0,2.0,O,1-647-567-7318,M,262063.0,ILQIRUWRAQNVBBAUEC,Huntsville,569382.0,Mercury General,FL,KGY8937,764.0,,KGYFDIQT,4.0,U,44.0,zbquhjnvwzwwpnwlathlhqeasuzpbndsqomogvjberuxtjruk
M,Vvlyqcnerqhegivhgsplsqghmmos,FPWKJRN,0.0,2.0,O,1-117-620-4297,J,200013.0,SUFUEYMBSVOKXVTULMCVTFMRBNJOSYRCGORMGYJVHUHHOWCAHNZUEALDUUTOZXUHN,Waterbury,2802360.0,Sempra Energy,CO,Lid8938,482.0,Canada,Lidjphxctrocoin,10.0,U,93.0,DUQWEAEUKQBCBQS
F,PXWHVMIJTXMXHVNSBROAE,cpbfyge,4.0,2.0,O,1-851-882-0435,k,197991.0,Rktqjtmsiurjybzmlmwlavqgvmislfc,Newark,123545.0,,WV,PJJ8939,573.0,United States of America,PJJTUMMIALNZOMLEPOJ,1.0,S,82.0,jljsntkyqbmydedkpowkfherbpofdabsmgmrtyfpjv
F,Eozeayfqszhdnccluivoc,Nzzbmzajwk,5.0,2.0,O,1-548-292-1165,J,410654.0,Fcxvfzpwlmfpoacms,Salt Lake City,1593753.0,Anadarko Petroleum,Alberta,WTB8940,654.0,United States of America,WTBGDOOKGJHACGPYGDP,1.0,S,31.0,Jezzupl
f,Kgiiowpewjgbinwcj,tchkfmicrrqf,0.0,2.0,R,1-174-883-4058,P,243022.0,Hvimxcpaffxcnejmzeotlxwywrjbxmipteywkvctihwctojdjsbcahwxctpxaqgfhtaeqqzag,Pasadena,,,WI,Vut8941,361.0,United States of America,Vutsjyzxxumav,7.0,W,69.0,mdbzkukfe
f,ejzemci,Luveak,0.0,3.0,O,1-513-996-6074,,248462.0,Ylwaqpxtgwfgrdcvjydddibjxlcvenanfsifkkkmoye,Plano,2631962.0,Stater Bros. Holdings,Ontario,VPR8942,548.0,United States of America,VPRIRIQFYSAFG,,D,12.0,Orsdqkmizaxgkcednxzyu
m,Pueehqc,mvotjmsnu,1.0,1.0,O,1-382-840-5132,,497094.0,Rwcpqqygquinkjqillglvoeqxxulodqsz,Fullerton,2141297.0,Atlas America,ND,Brk8943,,United States of America,Brkcknmvnecruyspcxjp,4.0,M,35.0,Noapytdjdmghwxxgfsnymywnquxafnduzmuovoqihdettopubhjqhooskmyrtjqlofkycfdwwe
,qmwjtdjt,naadduxgtxoj,1.0,2.0,O,1-144-998-0797,F,20155.0,PFCZQNNUUGLWQWUTTUBSWSCUW,London,226923.0,AptarGroup,NH,Lnk8944,489.0,United States of America,Lnkwmqgpd,6.0,U,85.0,Mkohulgffgn
